Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
School Counseling,"The Professional Counseling Program at MTSU offers two M.Ed. programs: Clinical Mental Health Counseling and School Counseling. Both programs are CACREP-accredited and designed to prepare students for licensure as professional counselors in the state of Tennessee and for national certification. Our mission is to prepare competent, ethically and culturally-aware counselors to work in a variety of settings. We are committed to an inclusive learning environment and value the importance of diversity and advocacy. We seek to foster a professional identity in our students as counselors who will be leaders, advocates and life-long learners. Faculty in the professional counseling program provide a challenging, yet supportive, student-centered environment. In addition to rigorous coursework and an emphasis on professional identity development, students are provided extensive opportunities for clinical skill development, professional development, research, and service. The School Counseling program prepares students to work as school counselors in K-12 school settings.",https://edu-leadership.mtsu.edu/professional_counseling-about/,CACREP-accredited,Master of Education in School Counseling,https://edu-leadership.mtsu.edu/professional_counseling-about/,
,"The Master of Arts in Liberal Arts (M.A.L.A.) degree is an individually designed, interdisciplinary program of study for students whose educational goals are not met by traditional graduate programs. M.A.L.A. students create their own programs of study by drawing on the course offerings of various departments in the College of Liberal Arts and, when appropriate, on the offerings of other colleges of the university. The program is designed for students who desire a broader-based, more flexible curriculum than is available in a traditional master's degree program. It can be especially useful for those whose career or personal interests are interdisciplinary in nature. The program requires 30 semester hours of course work in at least two, but no more than three, fields of study. Students will also be required to complete a thesis (6 semester hours) or a creative project (3 semester hours) in which they will demonstrate their ability to work in an interdisciplinary manner.",https://mtsu.test-imodules.com/s/601092/17/interior.aspx?sid=601092&gid=1&pgid=1452,,Master of Arts in Liberal Arts,https://mtsu.test-imodules.com/s/601092/17/interior.aspx?sid=601092&gid=1&pgid=1452,
Concrete Industry Management,"The Concrete Industry Management (CIM) M.B.A. is a specialized business degree that is designed to broaden the graduate’s knowledge of business and management in general and the concrete industry in particular. Courses are delivered on-campus and synchronously online, providing both face-to-face and virtual interaction with faculty and fellow students. Offered through the Jennings A. Jones College of Business, which is accredited by AACSB International, the CIM M.B.A. is a 30-credit hour program requiring a four-year bachelor's degree. Students from various undergraduate backgrounds are considered.",https://www.mtsu.edu/programs/concrete-industry-management-mba/index.php,"Offered through the Jennings A. Jones College of Business, which is accredited by AACSB International",Master of Business Administration in Concrete Industry Management,https://www.mtsu.edu/search-program/,
,"The Master of Science in Health Care Informatics is designed to prepare students for informatics leadership roles in a variety of health care settings. The curriculum is comprised of 33-credit hours that provides students with knowledge and skills in information systems, health care systems, and leadership. The curriculum has a strong emphasis on project management, systems analysis and design, and decision support. The program is offered completely online, making it attractive to working professionals. Graduates of the program are able to plan, design, implement, and direct health care information systems in a variety of settings. Students will learn the essentials of health care information technology, data analytics and research, legal and ethical issues, leadership and management, clinical decision support, and project management. Coursework is designed to promote critical thinking and problem-solving skills to manage health information and the systems that store, transmit, and analyze that information.",https://www.mtsu.edu/programs/health-care-informatics-ms/,,Master of Science in Health Care Informatics,https://www.mtsu.edu/search-program/,
"['International Development and Humanitarian Assistance', 'International Security and Peace Studies']","The Master of Arts in International Affairs (M.A.I.A.) is an interdisciplinary program designed for students who desire careers in the public, private, or non-profit sectors with an international orientation. Graduates find jobs as foreign service officers, intelligence analysts, military officers, international civil servants, political risk analysts, international business consultants, policy advocates for non-governmental organizations, and international bankers, among many others. The curriculum blends academic study with policy analysis to equip students with practical knowledge and marketable skills. Students are encouraged to study foreign languages and travel or study abroad during their program. A capstone experience can take the form of an academic thesis or an applied professional project. The M.A.I.A. offers a general track in International Affairs, or one of two specialized concentrations in International Development and Humanitarian Assistance, or in International Security and Peace Studies.",https://www.mtsu.edu/programs/international-affairs-ma/index.php,,Master of Arts in International Affairs,https://www.mtsu.edu/search-program/,MA
International Security and Peace,"The Master of Arts in International Affairs (MAIA) is a two-year, 36-credit interdisciplinary program designed to prepare students for professional and academic careers in the increasingly complex and interconnected world of international affairs. The MAIA program equips students with the essential knowledge, research skills, and practical tools to understand, analyze, and address the multifaceted political, historical, economic, social, and cultural issues that shape our world. Students in the MAIA program will: Learn to critically examine international issues from a variety of disciplinary perspectives, including political science, history, economics, sociology, and cultural studies. Develop strong analytical and research skills through rigorous coursework, culminating in a thesis or a comprehensive exam project. Gain practical experience through internships, study abroad programs, and other experiential learning opportunities. Engage with faculty who are experts in their fields and are committed to mentoring students. Benefit from a small, diverse, and collaborative learning environment.",https://pga.mtsu.edu/maia/,,Concentration in International Security and Peace,https://pga.mtsu.edu/maia/,Master of Arts
International Development and Globalization,"The Master of Arts degree in International Affairs is designed to meet the academic and professional needs of students interested in all facets of the international arena. It is an interdisciplinary program that draws upon faculty from seven different departments. The program requires 36 hours of course work that includes an interdisciplinary core of 9 hours. Students may choose to specialize in one of two concentrations: International Security and Peace Studies or International Development and Globalization. All students also choose a regional specialization to further deepen their understanding of global politics and cultures. Students in the program may take advantage of the many study abroad opportunities offered by MTSU, and the program encourages students to pursue internships in the public or private sectors. Students complete their degrees by either writing a master’s thesis or sitting for a comprehensive exam.",https://www.mtsu.edu/program/international-affairs-m-a/,,Concentration in International Development and Globalization,https://www.mtsu.edu/program/international-affairs-m-a/,M.A.
"Financial Analytics, Statistics","An actuary is a business professional who uses mathematical and statistical skills to manage financial risks. Actuaries are in high demand and enjoy a top-ranked profession with excellent salaries and a high level of job satisfaction. For more information, please see BeAnActuary.org.

The M.S. in Actuarial Science program at MTSU offers a balance of theory and application with substantial exposure to the real-world usage of actuarial concepts. Students will be well prepared to pass the preliminary professional examinations administered by the major actuarial professional societies in the United States: the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS). The program is designed to develop the students’ ability to apply mathematical concepts and analytical skills to solve business problems and manage financial risks in insurance companies, consulting firms, government, and in many other capacities.",https://www.mtsu.edu/programs/actuarial-science-ms/index.php,"The M.S. in Actuarial Science program at MTSU has received the distinction of being designated a Center of Actuarial Excellence (CAE) by the Society of Actuaries (SOA), the largest professional organization for actuaries in the world.",Master of Science in Actuarial Science,https://www.mtsu.edu/search-program/,Master's
"Assessment, Learning, and Student Success","MTSU’s Doctor of Education, or Ed.D., in Assessment, Learning, and Student Success program is designed for those working in K-12 and higher education who are interested in improving teaching and student learning. The program focuses on three major areas: assessment, learning, and student success. It has a focus on improvement science, an approach to problem-solving. Students identify a problem of practice in their context, their school or school district, try to make a change that they think will be an improvement and then study it in very rapid cycles. Graduates of this program are qualified to work as assessment specialists in school districts, universities, and other government agencies or private companies; direct student success initiatives at colleges and universities; teach in higher education institutions; or become curriculum specialists in school districts.",https://www.mtsu.edu/programs/assessment-learning-student-success-edd/,,"Doctor of Education in Assessment, Learning, and Student Success",https://mtsunews.com/doctoral-education-program-10th-anniversary/,Doctoral
,"The Master of Arts in Economics is designed to prepare students for careers as professional economists in business and government. It is also an excellent preparation for students who wish to pursue a Ph.D. in economics. The program is small, allowing for close student-faculty interaction. The program may be completed on a full-time (three courses per semester) or part-time basis. Full-time students typically finish the program in three to four semesters. Many of the courses are offered in the late afternoons and evenings to accommodate working students.",https://econfin.mtsu.edu/ma-economics.php,The Jennings A. Jones College of Business is accredited by AACSB International-the Association to Advance Collegiate Schools of Business-the premier accrediting agency for business schools.,Master of Arts in Economics,https://econfin.mtsu.edu/,
