Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Education in School Counseling,,,,,,"Fall, Spring",,,"February 1, 2026",Required,Required,Not Required,"Applicants whose native language is not English must submit proof of English language proficiency. Options include a minimum score of 71 on the TOEFL iBT, 6.0 on the IELTS, 52 on the PTE Academic, 100 on the Duolingo English Test, or successful completion of level 112 at an ELS Language Center.","Applicants for the M.Ed. in Professional Counseling (both Clinical Mental Health Counseling and School Counseling concentrations) must meet the admission requirements of the College of Graduate Studies and additional program requirements. To be considered for admission, applicants must have a bachelor’s degree from an accredited institution and submit a graduate school application, the application fee, and all transcripts. Applicants must submit the following directly to the program: Three letters of recommendation from individuals who can speak to the applicant’s potential for graduate education and work as a professional counselor. A resume. A statement of purpose (no more than three pages, double-spaced) addressing the applicant’s interest in the counseling profession, personal characteristics that will contribute to being an effective counselor, and any relevant experience. Official scores on the Graduate Record Examination (GRE) (verbal, quantitative, and analytical writing). Applicants with at least a 3.00 undergraduate GPA or a master’s degree may request a GRE waiver from the program coordinator.",Not Required,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,35563.0,,,,,,School Counseling,"The Professional Counseling Program at MTSU offers two M.Ed. programs: Clinical Mental Health Counseling and School Counseling. Both programs are CACREP-accredited and designed to prepare students for licensure as professional counselors in the state of Tennessee and for national certification. Our mission is to prepare competent, ethically and culturally-aware counselors to work in a variety of settings. We are committed to an inclusive learning environment and value the importance of diversity and advocacy. We seek to foster a professional identity in our students as counselors who will be leaders, advocates and life-long learners. Faculty in the professional counseling program provide a challenging, yet supportive, student-centered environment. In addition to rigorous coursework and an emphasis on professional identity development, students are provided extensive opportunities for clinical skill development, professional development, research, and service. The School Counseling program prepares students to work as school counselors in K-12 school settings.",,https://edu-leadership.mtsu.edu/professional_counseling-about/,CACREP-accredited,,583.0,False,False,2.0,4.0,2.75,,,,,,,,,,,35563.0,,,,,,,False,False,,,100.0,112.0,,,6.0,,,52.0,,71.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Liberal Arts,,,,,,"Fall, Spring, Summer",,,,,Required,,"All applicants whose native language is not English must demonstrate English proficiency. Accepted tests include TOEFL with a minimum score of 71 (iBT) or 525 (PBT), IELTS with a minimum score of 6.0, PTE Academic with a minimum score of 54, or Duolingo English Test with a minimum score of 95.","Admission to the Master of Arts in Liberal Arts (M.A.L.A.) program is determined by the candidate’s overall academic record, letters of recommendation, and a writing sample submitted to the program director. Applicants must have a bachelor’s degree from an accredited institution. For unconditional admission, a student must have a minimum 2.75 undergraduate GPA. Students with a GPA below 2.75 may be admitted conditionally. For admission, a student must also submit to the director of the M.A.L.A. program a writing sample that demonstrates the applicant’s ability to do graduate-level work and arrange to have two letters of recommendation from former professors sent directly to the program director. Applicants must also submit a one-page statement describing their academic interests and reasons for wanting to pursue the M.A.L.A. degree.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts,18546.0,,,,,,,"The Master of Arts in Liberal Arts (M.A.L.A.) degree is an individually designed, interdisciplinary program of study for students whose educational goals are not met by traditional graduate programs. M.A.L.A. students create their own programs of study by drawing on the course offerings of various departments in the College of Liberal Arts and, when appropriate, on the offerings of other colleges of the university. The program is designed for students who desire a broader-based, more flexible curriculum than is available in a traditional master's degree program. It can be especially useful for those whose career or personal interests are interdisciplinary in nature. The program requires 30 semester hours of course work in at least two, but no more than three, fields of study. Students will also be required to complete a thesis (6 semester hours) or a creative project (3 semester hours) in which they will demonstrate their ability to work in an interdisciplinary manner.",,https://mtsu.test-imodules.com/s/601092/17/interior.aspx?sid=601092&gid=1&pgid=1452,,,562.0,False,False,,4.0,2.75,,,,,,,,,,,18546.0,,,,,,,False,False,,,95.0,112.0,,,6.0,,,54.0,,71.0,,,,,,,,,,,,,"Graduate Assistantships, Scholarships",,,,,,,
,Master of Business Administration in Concrete Industry Management,,,,,,"Fall, Spring, Summer",,,,Required,Not Required,Either,"All applicants whose native language is not English must demonstrate English proficiency by submitting an official score from the Test of English as a Foreign Language (TOEFL), the International English Language Testing System (IELTS), Duolingo English Test, Pearson Test of English (PTE) Academic, or by completing Level 112 at an ELS Language Center.","Admission to the Master of Business Administration program is based on a combination of GMAT/GRE scores and undergraduate GPA. The minimum requirements are one of the following:

1. GMAT score of 500 or higher (or equivalent GRE score) and a minimum undergraduate GPA of 2.75.
2. Admission Index of 1050 or higher (Index = GPA X 200 + GMAT).

Applicants may be admitted with deficiencies. See director for details.

A GMAT waiver may be considered for candidates who meet the following criteria:

1. an advanced degree (e.g., master’s or doctoral degree) from a regionally accredited institution, or
2. five years of significant, progressive, and professional work experience; an undergraduate GPA of 3.0 or higher from a regionally accredited institution; and successful completion of a business statistics course with a grade of C or better from a regionally accredited institution, or
3. a bachelor’s degree in business from an AACSB-accredited institution with an undergraduate GPA of 3.25 or higher, or
4. an undergraduate GPA of 3.5 or higher from a regionally accredited institution.

Students seeking admission to the Concrete Industry Management concentration must present two years of industry work experience.

In some cases, applicants who do not meet these criteria may be recommended for conditional admission.",Not Required,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,Jennings A. Jones College of Business,27630.0,,,,,,Concrete Industry Management,"The Concrete Industry Management (CIM) M.B.A. is a specialized business degree that is designed to broaden the graduate’s knowledge of business and management in general and the concrete industry in particular. Courses are delivered on-campus and synchronously online, providing both face-to-face and virtual interaction with faculty and fellow students. Offered through the Jennings A. Jones College of Business, which is accredited by AACSB International, the CIM M.B.A. is a 30-credit hour program requiring a four-year bachelor's degree. Students from various undergraduate backgrounds are considered.",,https://www.mtsu.edu/search-program/,"Offered through the Jennings A. Jones College of Business, which is accredited by AACSB International",,767.5,False,False,,4.0,2.75,,,,,,,,,,,27630.0,,,,,,,False,False,,,100.0,112.0,,,6.0,,,54.0,,71.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Science in Health Care Informatics,,,,,,"Fall, Spring, Summer",,,,Required,Required,Either,Students from non-English speaking countries must also achieve a minimum score of 550 on the paper-based TOEFL or 213 on the computer-based TOEFL or 79 on the Internet-based TOEFL or 6.5 on the IELTS or graduate from a U.S. institution.,"Applicants should apply through the College of Graduate Studies. Additional admission requirements, in addition to the University requirements for graduate school, are as follows:
1. an undergraduate GPA of 3.0 or higher;
2. statement of purpose;
3. three letters of recommendation;
4. resume; and
5. interview.",,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,College of Behavioral and Health Sciences,18872.0,,,,,,,"The Master of Science in Health Care Informatics is designed to prepare students for informatics leadership roles in a variety of health care settings. The curriculum is comprised of 33-credit hours that provides students with knowledge and skills in information systems, health care systems, and leadership. The curriculum has a strong emphasis on project management, systems analysis and design, and decision support. The program is offered completely online, making it attractive to working professionals. Graduates of the program are able to plan, design, implement, and direct health care information systems in a variety of settings. Students will learn the essentials of health care information technology, data analytics and research, legal and ethical issues, leadership and management, clinical decision support, and project management. Coursework is designed to promote critical thinking and problem-solving skills to manage health information and the systems that store, transmit, and analyze that information.",,https://www.mtsu.edu/search-program/,,,520.0,True,True,,4.0,2.75,,,,,,,,,,,18872.0,,,,,,,False,False,,,,,450.0,146 on the Verbal portion and 144 on the Quantitative portion,6.5,,,,,79.0,,,,,,,,,,,,,"Graduate Assistantships, Fellowships",,,,,,,
,Master of Arts in International Affairs,,,,,MA,"Fall, Spring",,,,Required,Required,Not Required,"All applicants whose native language is not English are required to furnish the University with proof of English proficiency. This can be met by submitting one of the following: TOEFL (525 paper-based or 71 internet-based), IELTS (6.0), PTE (54), Duolingo (100), or ELS (completion of Level 112).","Applicants should submit the following directly to the College of Graduate Studies:
1. an application for admission,
2. official transcripts of all previous college course work,
3. an official score on the Graduate Record Examination (GRE),
4. a statement of purpose outlining their career goals and how a master's degree in International Affairs will help attain them,
5. three letters of recommendation from individuals familiar with the student's academic background and potential for graduate studies,
6. a resume, and
7. a writing sample, preferably a research paper written for an upper-division undergraduate course.

In addition to the above, applicants must have an undergraduate degree from an accredited university or college with a minimum 2.75 GPA. Students who do not have at least 18 hours of undergraduate credit in one of the following areas—political science, history, geography, economics, or world languages—may be required to complete at least 12 hours of leveling course work determined by the graduate coordinator. The College of Graduate Studies requires a minimum GRE score of 146 on the verbal portion, 140 on the quantitative portion, and 3.5 on the analytical writing portion. These minimums are required for unconditional admission to the program. The International Affairs M.A. program requires all three components of the GRE exam (Verbal, Quantitative, and Analytical Writing). Applicants must complete the entire exam. Test scores more than five years old will not be accepted.",Required,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts,21168.0,,,,,,"['International Development and Humanitarian Assistance', 'International Security and Peace Studies']","The Master of Arts in International Affairs (M.A.I.A.) is an interdisciplinary program designed for students who desire careers in the public, private, or non-profit sectors with an international orientation. Graduates find jobs as foreign service officers, intelligence analysts, military officers, international civil servants, political risk analysts, international business consultants, policy advocates for non-governmental organizations, and international bankers, among many others. The curriculum blends academic study with policy analysis to equip students with practical knowledge and marketable skills. Students are encouraged to study foreign languages and travel or study abroad during their program. A capstone experience can take the form of an academic thesis or an applied professional project. The M.A.I.A. offers a general track in International Affairs, or one of two specialized concentrations in International Development and Humanitarian Assistance, or in International Security and Peace Studies.",,https://www.mtsu.edu/search-program/,,,588.0,False,False,,4.0,3.0,,,,,,,,,,,21168.0,,,,,,,False,False,,,100.0,112.0,,,6.0,,,54.0,,71.0,,,,,,,,,,,,,"Assistantships, Fellowships",,,,,,,
,Concentration in International Security and Peace,,,,,Master of Arts,"Fall, Spring",,,,Required,Required,Not Required,Applicants from non-native English speaking countries must submit one of the following to meet the minimum English proficiency requirement for admission to a graduate degree program: Test of English as a Foreign Language (TOEFL) with a minimum of 525 on the paper-based test (PBT) or 71 on the internet-based test (iBT); International English Language Testing System (IELTS) with a minimum of a 6.0 band score; Pearson Test of English (PTE) with a minimum of 48; Duolingo with a minimum score of 95; or ELS Language Center's Level 112 of the English for Academic Purposes.,"All application materials must be submitted to the College of Graduate Studies. Applicants should refer to the graduate catalog for details of the admission process. In addition to the application materials required by the College of Graduate Studies, applicants for the M.A. in International Affairs must also submit the following documents: a statement of purpose outlining interest in the program and career goals (1-2 pages, double-spaced); a resume; three letters of recommendation from individuals familiar with applicant's academic and/or professional abilities; and a writing sample (10 pages maximum) that demonstrates applicant's academic writing and research abilities.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts,19854.0,,,,,,International Security and Peace,"The Master of Arts in International Affairs (MAIA) is a two-year, 36-credit interdisciplinary program designed to prepare students for professional and academic careers in the increasingly complex and interconnected world of international affairs. The MAIA program equips students with the essential knowledge, research skills, and practical tools to understand, analyze, and address the multifaceted political, historical, economic, social, and cultural issues that shape our world. Students in the MAIA program will: Learn to critically examine international issues from a variety of disciplinary perspectives, including political science, history, economics, sociology, and cultural studies. Develop strong analytical and research skills through rigorous coursework, culminating in a thesis or a comprehensive exam project. Gain practical experience through internships, study abroad programs, and other experiential learning opportunities. Engage with faculty who are experts in their fields and are committed to mentoring students. Benefit from a small, diverse, and collaborative learning environment.",,https://pga.mtsu.edu/maia/,,,551.5,False,False,,4.0,3.0,,,,,,,,,,,19854.0,,,,,,,False,False,,,95.0,112.0,,,6.0,,,48.0,,71.0,,,,,,,,,,,"Up to $10,000 stipend plus a full tuition waiver",,Graduate Assistantships,,,,,,,
,Concentration in International Development and Globalization,,,,,M.A.,Fall and Spring,,,,,Required,GRE,International applicants must have a minimum TOEFL score of 550 (paper-based) or 213 (computer-based) or 79 (Internet-based) or an IELTS score of 6.5.,"Applicants should have a bachelor's degree from an accredited institution. To be considered for admission, applicants must have an undergraduate grade point average of 3.00 on a 4.00 scale or have received a master's degree. Applicants who do not have a 3.00 GPA must submit a GRE score of 150 verbal and 144 quantitative. In addition, all applicants must submit a 500-word statement of purpose. Three letters of recommendation should be sent directly to the Graduate School. Recommendation forms are available upon request.",,,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,,,,College of Liberal Arts,19728.0,,,,,,International Development and Globalization,"The Master of Arts degree in International Affairs is designed to meet the academic and professional needs of students interested in all facets of the international arena. It is an interdisciplinary program that draws upon faculty from seven different departments. The program requires 36 hours of course work that includes an interdisciplinary core of 9 hours. Students may choose to specialize in one of two concentrations: International Security and Peace Studies or International Development and Globalization. All students also choose a regional specialization to further deepen their understanding of global politics and cultures. Students in the program may take advantage of the many study abroad opportunities offered by MTSU, and the program encourages students to pursue internships in the public or private sectors. Students complete their degrees by either writing a master’s thesis or sitting for a comprehensive exam.",,https://www.mtsu.edu/program/international-affairs-m-a/,,,548.0,,False,,4.0,2.75,,,,,,,,,,,19728.0,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,1000,,"Assistantships, Scholarships, Fellowships",,,,,,,
,Master of Science in Actuarial Science,,,,,Master's,"Fall, Spring, Summer",,,,,,GRE,,"Admission to the M.S. in Actuarial Science is based on a holistic review of each applicant’s file. The graduate program director will evaluate each applicant’s likelihood of success in the program. Applicants should have a bachelor’s degree from an accredited college or university. Preference will be given to those with a sufficient background in mathematics, statistics, or a related field with a GPA of 3.0 or better.

Successful completion of two professional actuarial exams from the Society of Actuaries is expected for admission. Admission may be granted with the completion of only one exam. In this case, the student may be required to successfully complete an approved exam prep course or self-study course and pass the corresponding professional exam as part of their degree program. A student who has not passed any professional actuarial exams may be admitted under certain circumstances but would be required to complete two approved exam prep courses and pass the corresponding exams as part of their degree program. In all cases, two exams must be passed before graduating from the program.

International applicants must satisfy the English proficiency requirements.",,,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,College of Basic and Applied Sciences,,,,,,,"Financial Analytics, Statistics","An actuary is a business professional who uses mathematical and statistical skills to manage financial risks. Actuaries are in high demand and enjoy a top-ranked profession with excellent salaries and a high level of job satisfaction. For more information, please see BeAnActuary.org.

The M.S. in Actuarial Science program at MTSU offers a balance of theory and application with substantial exposure to the real-world usage of actuarial concepts. Students will be well prepared to pass the preliminary professional examinations administered by the major actuarial professional societies in the United States: the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS). The program is designed to develop the students’ ability to apply mathematical concepts and analytical skills to solve business problems and manage financial risks in insurance companies, consulting firms, government, and in many other capacities.",,https://www.mtsu.edu/search-program/,"The M.S. in Actuarial Science program at MTSU has received the distinction of being designated a Center of Actuarial Excellence (CAE) by the Society of Actuaries (SOA), the largest professional organization for actuaries in the world.",,653.0,,True,,4.0,2.75,,,,,,,,,,,21549.0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Graduate Assistantships, Grants, and Scholarships",,,,,,,
,"Doctor of Education in Assessment, Learning, and Student Success",,,,,Doctoral,Fall,,,,Required,Required,Not Required,"International applicants from non-native English speaking countries must demonstrate English proficiency by meeting the minimum score on one of several approved tests, including TOEFL (71 iBT), IELTS (6.0), PTE (54), Duolingo (100), or by completing ELS Level 112. Certain exemptions apply, such as holding a degree from an accredited U.S. institution.","Admission to the Doctor of Education (Ed.D.) in Assessment, Learning, and Student Success is selective and based upon a holistic review of all application materials. Applicants seeking admission to the Ed.D. program in Assessment, Learning, and Student Success must submit the following to the College of Graduate Studies:

1. An application for admission.
2. Official transcripts of all previous college work. Applicants must possess either
    a master’s degree from an accredited institution with a minimum GPA of 3.25 for all graduate work undertaken or
    an undergraduate degree from an accredited institution with a minimum GPA of 3.25 and a minimum combined GRE score of 297 (150 verbal and 147 quantitative) or MAT score of 400.
3. A curriculum vitae or resume.
4. Three letters of recommendation addressing academic qualifications for doctoral study.
5. A statement of purpose (1000-1500 words) describing the applicant's research interests, professional goals, and how the program will advance those goals.
6. A writing sample demonstrating the applicant’s academic writing skills (e.g., master's thesis, course paper, or professional publication).",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,36066.0,,,,,,"Assessment, Learning, and Student Success","MTSU’s Doctor of Education, or Ed.D., in Assessment, Learning, and Student Success program is designed for those working in K-12 and higher education who are interested in improving teaching and student learning. The program focuses on three major areas: assessment, learning, and student success. It has a focus on improvement science, an approach to problem-solving. Students identify a problem of practice in their context, their school or school district, try to make a change that they think will be an improvement and then study it in very rapid cycles. Graduates of this program are qualified to work as assessment specialists in school districts, universities, and other government agencies or private companies; direct student success initiatives at colleges and universities; teach in higher education institutions; or become curriculum specialists in school districts.",,https://mtsunews.com/doctoral-education-program-10th-anniversary/,,,498.0,False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.0,,,54.0,,71.0,,,,,,,,,,,,,"Graduate Assistantships, MTSU Graduate Scholarship, Dissertation Scholarships",,,,,,,
,Master of Arts in Economics,,,,,,"Fall, Spring",,,,Not Required,Not Required,Not Required,Applicants whose native language is not English must submit one of the following to demonstrate English proficiency: TOEFL score of 525 (paper-based) or 71 (Internet-based); IELTS score of 6.0; PTE score of 58; Duolingo score of 100; or completion of ELS Language Centers level 112.,"To apply for the M.A. in Economics program, a prospective student must have the following:
1. A bachelor's degree from an accredited institution. We welcome applicants with various undergraduate backgrounds.
2. An official Graduate Record Examination (GRE) score. There is no minimum score requirement; however, a quantitative score of 151 or above is recommended. To request a GRE waiver, please contact the graduate program director. The GMAT will also be accepted.
3. Two letters of recommendation.
4. For international students, an official TOEFL or IELTS score is required if the bachelor's degree was not from a US institution.",Not Required,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Jennings A. Jones College of Business,22230.0,,,,,,,"The Master of Arts in Economics is designed to prepare students for careers as professional economists in business and government. It is also an excellent preparation for students who wish to pursue a Ph.D. in economics. The program is small, allowing for close student-faculty interaction. The program may be completed on a full-time (three courses per semester) or part-time basis. Full-time students typically finish the program in three to four semesters. Many of the courses are offered in the late afternoons and evenings to accommodate working students.",,https://econfin.mtsu.edu/,The Jennings A. Jones College of Business is accredited by AACSB International-the Association to Advance Collegiate Schools of Business-the premier accrediting agency for business schools.,,741.0,False,True,,4.0,2.75,,,,,,,,,,,22230.0,,,,,,,False,False,,,100.0,112.0,,,6.0,,,58.0,,71.0,,,,,,,,,,,10000,100% of the in-state portion of tuition and fees,Graduate Assistantship,,,,,,,
