QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Education,2.0,4.0,2.75,,"Fall, Spring",,"February 1, 2026",35563.0,,583.0,,,"Merit-based, Need-based",61 credit hours,35563.0,Master of Education in School Counseling,https://edu-leadership.mtsu.edu/professional_counseling-about/
,College of Liberal Arts,,4.0,2.75,,"Fall, Spring, Summer",,,18546.0,,562.0,,,"Graduate Assistantships, Scholarships",2 to 3 years,18546.0,Master of Arts in Liberal Arts,https://mtsu.test-imodules.com/s/601092/17/interior.aspx?sid=601092&gid=1&pgid=1452
,Jennings A. Jones College of Business,,4.0,2.75,,"Fall, Spring, Summer",,,27630.0,,767.5,,,"Merit-based, Need-based",2 years,27630.0,Master of Business Administration in Concrete Industry Management,https://www.mtsu.edu/search-program/
,College of Behavioral and Health Sciences,,4.0,2.75,,"Fall, Spring, Summer",,,18872.0,,520.0,,,"Graduate Assistantships, Fellowships",33 credit hours,18872.0,Master of Science in Health Care Informatics,https://www.mtsu.edu/search-program/
,College of Liberal Arts,,4.0,3.0,,"Fall, Spring",,,21168.0,,588.0,,,"Assistantships, Fellowships",36 credit hours,21168.0,Master of Arts in International Affairs,https://www.mtsu.edu/search-program/
,College of Liberal Arts,,4.0,3.0,,"Fall, Spring",,,19854.0,,551.5,"Up to $10,000 stipend plus a full tuition waiver",,Graduate Assistantships,2 years,19854.0,Concentration in International Security and Peace,https://pga.mtsu.edu/maia/
,College of Liberal Arts,,4.0,2.75,,Fall and Spring,,,19728.0,,548.0,1000,,"Assistantships, Scholarships, Fellowships",two years,19728.0,Concentration in International Development and Globalization,https://www.mtsu.edu/program/international-affairs-m-a/
,College of Basic and Applied Sciences,,4.0,2.75,,"Fall, Spring, Summer",,,21549.0,,653.0,,,"Graduate Assistantships, Grants, and Scholarships",,,Master of Science in Actuarial Science,https://www.mtsu.edu/search-program/
,College of Education,,4.0,3.0,,Fall,,,,,498.0,,,"Graduate Assistantships, MTSU Graduate Scholarship, Dissertation Scholarships",three years,36066.0,"Doctor of Education in Assessment, Learning, and Student Success",https://mtsunews.com/doctoral-education-program-10th-anniversary/
,Jennings A. Jones College of Business,,4.0,2.75,,"Fall, Spring",,,22230.0,,741.0,10000,100% of the in-state portion of tuition and fees,Graduate Assistantship,As little as 12 months,22230.0,Master of Arts in Economics,https://econfin.mtsu.edu/
