Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Required,"Completed online graduate application, Bachelor's degree from an accredited institution, Official transcripts from all institutions attended, Minimum 3.0 cumulative GPA for full acceptance, Two letters of recommendation, Statement of purpose, Copy of teaching license (if applicable).",Not Required,True,False,False,False,False,False,,,program,Master of Arts in Education,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online graduate application; Official transcripts from all institutions attended sent directly to the University of Findlay, Office of Admissions; GPA of 3.0 or higher; Two letters of recommendation; A current résumé or curriculum vitae; A statement of purpose; A writing sample",Required,True,False,True,False,False,False,,,program,Master of Arts in Professional Communication,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online application; Official transcripts from all institutions attended; Overall undergraduate GPA of 3.0 or higher; A current résumé or curriculum vitae that demonstrates relevant professional experience; A formal academic writing sample of at least five pages (e.g., a paper from a previous undergraduate or graduate course); A 500-700-word statement of purpose describing your educational and professional goals and how the Master of Arts in Rhetoric and Writing will help you achieve those goals; Two letters of recommendation from professional or academic references (sent directly from the reference).",Required,True,False,False,False,False,False,,,program,Master of Arts in Rhetoric and Writing,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online graduate application. Official transcripts from all institutions attended. A grade point average of 3.0 or higher. A bachelor's degree from an accredited institution. Two letters of recommendation. A one-page statement of purpose explaining your interests in TESOL and Applied Linguistics and your career goals. A resume or curriculum vitae. Students for whom English is not their first language must submit a TOEFL score of 79 (iBT), an IELTS score of 6.5, or a Duolingo score of 105.",Not Required,True,False,,False,False,False,,,program,Master of Arts in TESOL and Applied Linguistics,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"To be considered for admission into the Master of Business Administration program, you must have: A completed online application. A baccalaureate degree from an accredited institution. Official transcripts from all institutions attended sent directly to the University of Findlay's Office of Admissions. A cumulative GPA of 3.0 or higher is required.* One letter of recommendation. Current resume. A personal statement outlining your professional goals and how the University of Findlay’s MBA can help you achieve them. *Applicants with a GPA between 2.5 and 2.99 can be conditionally admitted.",Not Required,True,False,False,False,False,False,,,program,Master of Business Administration,https://www.findlay.edu/admissions/graduate/graduate-programs
Not Required,Required,"To be considered for admission, applicants must submit the following items to the Occupational Therapy Centralized Application Service (OTCAS). Apply here: https://portal.otcas.org/.

Minimum cumulative GPA of 3.0
Minimum prerequisite GPA of 3.0
No prerequisite course grade can be less than a “C”
Prerequisite courses must be completed within seven years of matriculation into the OT program
Official transcripts from all post-secondary institutions
Three letters of recommendation
Minimum of 40 observation hours are required in at least two diverse practice settings; a minimum of 20 hours in each setting. Hours must be verified by an OTR or COTA.
Personal statement addressing why you selected OT as a career and how an OT degree relates to your immediate and long-term professional goals. Describe how your personal, educational, and professional background will help you achieve your goals.",Not Required,True,False,False,False,False,False,,,program,Master of Occupational Therapy,https://www.findlay.edu/admissions/graduate/graduate-programs
,,"Application must be submitted through the Centralized Application Service for Physician Assistants (CASPA).

Application Requirements:
- Baccalaureate degree from a regionally accredited U.S. institution
- All prerequisite courses must be completed at a regionally accredited U.S. institution with a C or better.
- Overall GPA of 3.0 or higher (on a 4.0 scale).
- Overall science GPA of 3.0 or higher (on a 4.0 scale).
- Prerequisite GPA of 3.0 or higher (on a 4.0 scale).
- The GRE is no longer required for admission.
- Technical Standards acknowledgment is required.
- A minimum of 500 hours of direct patient care experience is required.
- Two letters of reference.
- CASPer test score submission.
- Applicants must be U.S. citizens or permanent residents.",,True,False,False,False,False,False,,,program,Master of Physician Assistant,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online graduate application; Bachelor's degree from an accredited institution; Official transcripts from all institutions attended; Overall undergraduate GPA of 3.0; Resume; Statement of Purpose: A one-page personal statement describing your professional goals and why you are choosing this program; One of the following: 1. Hold an undergraduate degree in computer science with an overall GPA of 3.0 or higher from a U.S. regionally accredited institution. 2. Pass the GRE with a quantitative score of 155 or higher, a verbal score of 150 or higher, and an analytical writing score of 4.0 or higher. 3. Pass the MSASA challenge exam. 4. Complete, with a grade of B or higher, the following University of Findlay courses: CSCI 501 and CSCI 502.",,False,True,False,True,False,False,,,program,Master of Science in Applied Security and Analytics,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,Completed online application; Bachelor’s degree from an accredited institution; Official transcripts from all institutions attended; Minimum undergraduate GPA of 3.0 on a 4.0 scale (applicants with a GPA of at least 2.7 may be considered for conditional admission); Resume; A statement of purpose describing your professional goals and why you are interested in pursuing the master's degree at The University of Findlay.,Not Required,True,False,False,True,False,False,,,program,"Master of Science in Environmental, Safety and Health Management",https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,Complete the online application. Hold a bachelor's degree from an accredited institution. Possess a cumulative GPA of at least 3.0 on a 4.0 scale or a 2.7-2.99 with three years of related work experience in healthcare or information technology. Submit official transcripts from all institutions attended. Submit a resume of professional experience. Submit a statement of purpose. Two recommendation forms from professional or academic references.,Not Required,True,False,False,False,False,False,,,program,Master of Science in Health Informatics,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online application; Official transcripts from all institutions attended (send to Findlay's admissions office); Minimum 3.0 GPA; Copy of American Registry of Radiologic Technologists (ARRT) certification and registration in Radiography (R), Nuclear Medicine (N), Sonography (S), or Radiation Therapy (T); Copy of state license (if applicable); Completed prerequisites (must be completed with a ""C"" or better): College algebra or higher math, English composition, Medical terminology; Resume/CV detailing professional work experience; Personal statement describing career goals; Three letters of recommendation.",Not Required,True,False,False,False,False,False,,,program,Master of Science in Radiologic Sciences,https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Completed online graduate application
Official transcripts from all institutions attended; undergraduate and graduate
Master's degree from a regionally accredited institution
Minimum graduate GPA of 3.0 on a 4.0 scale
Vita or resume outlining professional and educational experience
Personal statement addressing the question ""Why a Doctorate in Education from The University of Findlay?""
Two letters of recommendation​
Successful interview with the Doctoral Admissions Committee
If an applicant's native language is not English and he/she has not graduated from an approved English-speaking university, then the Test of English as a Foreign Language (TOEFL) is required.",Not Required,True,False,,False,False,False,,,program,Doctor of Education (Ed.D.),https://www.findlay.edu/admissions/graduate/graduate-programs
Required,Required,"Bachelor’s degree in psychology or related field from a regionally-accredited institution
Overall undergraduate grade point average of at least 3.0 on a 4.0 scale
Psychology GPA of at least 3.25
Official transcripts from all colleges and universities attended
A current Curriculum Vita (CV) or resume
Three letters of recommendation
A one-page statement describing your career goals, how this degree will help you attain them, and your qualifications for this profession
A writing sample
Graduate Record Exam (GRE) is NOT required for admission to the Ed.D. in School Psychology program
A successful interview with program faculty",Required,True,False,False,False,False,False,,,program,Doctor of Education in School Psychology,https://www.findlay.edu/admissions/graduate/graduate-programs
