QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Education,,4.0,3.0,,Continuous,,,No application fee,,705.0,,,"Endowed Scholarships, Graduate Assistantships",As little as 18 months,23265,Master of Arts in Education,https://www.findlay.edu/admissions/graduate/graduate-programs
,"College of Arts, Humanities, and Social Sciences",,4.0,3.0,,,,Rolling basis,0,,650.0,,,"Endowed scholarships, Graduate Assistantships",As little as one year,19500,Master of Arts in Professional Communication,https://www.findlay.edu/admissions/graduate/graduate-programs
,"College of Arts, Humanities, and Social Sciences",,4.0,3.0,,,,Rolling Admissions,0,,575.0,"Full-tuition waiver and a $7,500 stipend for graduate assistantships.",,Graduate Assistantships,as little as two years,17250,Master of Arts in Rhetoric and Writing,https://www.findlay.edu/admissions/graduate/graduate-programs
,"College of Arts, Humanities, and Social Sciences",,4.0,3.0,,,,,0,,710.0,,,Graduate Assistantships,,,Master of Arts in TESOL and Applied Linguistics,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Business,,,3.0,,"fall, spring, and summer",,,0,,830.0,,,"Graduate Assistantships, Alumni Discounts, Endowed Scholarships",as little as one year,27390,Master of Business Administration,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,0.0,4.0,3.0,,Fall,,"Feb 1, 2025",,,947.0,1000,,Endowed scholarships (may be based on academic merit and/or financial need),"two-year, full-time",102240,Master of Occupational Therapy,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,0.0,4.0,3.0,,Summer,late April,Oct. 1,,,,,,"PA Program Scholarship, Graduate Assistantships",24 months,98392,Master of Physician Assistant,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,55,,830.0,,,,as little as one calendar year,24900,Master of Science in Applied Security and Analytics,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,,4.0,3.0,,"Fall, Spring, Summer",,,0,,805.0,,,"Graduate Assistantships, Endowed Scholarships",1.5 years,26565 - 28980,"Master of Science in Environmental, Safety and Health Management",https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,,4.0,3.0,,,,,0,,815.0,,,,as little as five semesters,26895,Master of Science in Health Informatics,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,,4.0,2.7,,"Fall, Spring",,Aug. 1 for fall semester start and Dec. 1 for spring semester start,50,,745.0,,,"Endowed Scholarships, Graduate Assistantships",as few as two years,22350,Master of Science in Radiologic Sciences,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Education,,4.0,3.0,,Summer,,Feb. 1,0,,780.0,,,,3 years,46800,Doctor of Education (Ed.D.),https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Education,,4.0,3.0,,Fall,,Rolling Admission,0,,815.0,,,Endowed Scholarships,3 years,51345,Doctor of Education in School Psychology,https://www.findlay.edu/admissions/graduate/graduate-programs
,College of Health Professions,2.0,4.0,3.0,,Fall,"July 20, 2024","January 15, 2025",,,1150.0,"1,000 - 2,000 per year",,Merit-based,3 years,115920,Doctor of Occupational Therapy (OTD),https://www.findlay.edu/health-professions/occupational-therapy/doctor-of-occupational-therapy
