QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Hankamer School of Business,,,,45%,Fall 2026,,,57750/Year,,2407,"$15,000 - $26,000 per year",,"Merit-based, Institutional, External",,57750/Year,Bachelor of Business Administration in Accounting,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,4.0,2.5,47.3%,Fall 2026,,,5246,29086,2286,"$10,000 - $28,000 annually",,"Merit-based, Need-based",18 semester hours,54844,Minor in Advertising,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/journalism-public-relations-new-media/journalism-public-relations-new-media.pdf
,School of Engineering and Computer Science,,4.0,2.0,46%,Fall 2026,"August 1, 2025","February 1, 2026","$56,552/Year","more than $30,000","$2,357 per credit hour","$20,000 - $26,000 per year",,"Merit-based, Need-based",4 years,"$56,552/Year",Bachelor of Science in Aerospace Engineering,https://www.youtube.com/watch?v=Lm1eZwUu4_I
,College of Arts & Sciences,,4.0,2.0,,,,,,,2406,"$15,000 - $27,000 annually",,"Merit-based, Need-based, Departmental",,,Minor in Aerospace Studies,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/aerospace-studies/aerospace-studies-minor/
951-1000,Robbins College of Health and Human Sciences,,4.0,,45.9%,Fall 2026,,,"$56,732/Year","more than $28,000",2364,"$1,000 to $26,000 annually",86%,"Academic Scholarships, Need-Based Scholarships & Grants",,"$56,732/Year",Minor in American Sign Language,https://csd.robbins.baylor.edu/undergraduate/american-sign-language-minor
,College of Arts & Sciences,,4.0,,,Fall 2026,,,"$54,844/Year",,,"$60,000 to $92,000 (disbursed over four years)",,"Merit-based, Need-based",,"$54,844/Year",Bachelor of Arts in American Studies,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,4.0,2.0,47.7%,Fall 2026,,,"$58,354/Year","$29,000","$2,431/Credit Hour","Academic scholarships range from $60,000 to over $100,000 (disbursed over four years)",86%,"Merit-based, Need-based",4 years,"$58,354/Year",Bachelor of Arts in Anthropology,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf
,College of Arts & Sciences,,4.0,2.0,46.3%,Fall 2026,,,"$54,844/Year",,"$2,285","$15,000 - $23,000 per year",89%,"Merit-based, Need-based",4 years,"$54,844/Year",Bachelor of Science in Anthropology,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf
,Robbins College of Health and Human Sciences,,,,42.5%,Fall 2026,,,"$57,750/Year",,"$2,407/hour","$15,000 - $26,000+",,"Merit-based, Departmental, Endowed",4 years,"$57,750/Year",Bachelor of Science in Apparel Design & Product Development,https://hsd.robbins.baylor.edu/apparel/apparel-design-product-development
,Robbins College of Health and Human Sciences,,4.0,,,Fall 2026,"August 1, 2025","February 1, 2026","$54,844/Year",,2285,"Academic scholarships range from $15,000 to $26,000 per year",,"Merit-based, Need-based, Departmental",18 credit hours,"$54,844/Year",Minor in Apparel Merchandising,https://catalog.baylor.edu/undergraduate/robbins-college-health-human-sciences/human-sciences-design/apparel-merchandising/
,College of Arts & Sciences,,,,,,,,54844,,"$2,285 per credit hour","$8,000 - $26,000 annually",,"Academic Scholarships, Institutional Scholarships, Need-Based Scholarships",4 years,"$54,844/Year",Bachelor of Science in Applied Mathematics,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,,,,,,"more than $30,000",,"$60,000 to $92,000 (over four years)",,"Merit-based, Institutional, Need-based",,"$57,756/Year",Minor in Arabic,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,46%,Fall 2026,,,56732,"Over $43,000",,"$20,000 - $25,000 per year",,"Merit-based, Need-based, Departmental",,"$56,732/Year",Bachelor of Arts in Arabic and Middle East Studies,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,45.3%,Fall 2026,,,,"$46,260",,"$5,750 - $25,000 per year",,"Merit-based, Need-based",,,Minor in Archaeology,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,4.0,2.0,45.9%,Fall 2026,"August 1, 2025","February 1, 2026",56552,,"$1,885 per semester hour","$15,000 to $23,000 per year",,Merit-based Academic Scholarships,4 years,"$56,552/Year",Bachelor of Arts in Art History,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/art-art-history/art-art-history.pdf
801-850,College of Arts & Sciences,,4.0,2.0,46.4%,Fall 2026,,,"$28,350/Semester or $56,700/Year",18485,2363,"$15,000 - $24,000 per year",,"Merit-based, Need-based",,"$28,350/Semester or $56,700/Year",Minor in Art History,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/art-art-history/art-history-minor/
,College of Arts & Sciences,,4.0,2.5,,Fall 2026,,,56228,"$48,600","$2,343/Credit Hour","$15,000 to $26,000 annually",,"Academic Scholarships, Merit-based, Need-Based",4 years,56228,Bachelor of Arts in Asian Studies,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/interdisciplinary-programs/area-studies-programs/asian-studies/
,College of Arts & Sciences,,4.0,2.0,46%,Fall 2026,"August 1, 2025","February 1, 2026",57700/Year,,2404,"up to $28,000 per year",,Merit-based,18 credit hours,57700/Year,Minor in Asian Studies,https://fass.nus.edu.sg/cs/asian-studies-minor/
,College of Arts & Sciences,,,,45.9%,Fall 2026,,,"$57,848/Year",,"$2,411","$5,600 - $24,000 annually",,"Merit-based, Need-based",,"$57,848/Year",Bachelor of Arts in Astronomy,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,,Fall 2026,,,"$56,732/Year",,"$2,364/credit hour","$10,000 to $27,000 annually",,"Academic, Need-based, Departmental",,"$56,732/Year",Bachelor of Science in Astronomy,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,"46.4% (21,518 admitted from 46,389 applications for Fall 2023)",Fall 2026,,,"$54,844/Year","over $29,000",,"$20,000 - $26,000 per year",86% of students receive a Baylor scholarship,Merit-based,4 years,"$54,844/Year",Bachelor of Arts in Astrophysics,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,,,46%,Fall 2026,,,"$56,732/Year","over $24,000",,"$15,000 - $24,000 per year",,Merit-based,,"$56,732/Year",Bachelor of Science in Astrophysics,https://admissions.web.baylor.edu/about-baylor/majors-minors
,School of Engineering & Computer Science,,,,45.9%,Fall 2026,,,,"$44,554",,"$60,000 - $96,000 (disbursed over four years)",,"Merit-based, Need-based",,"$54,844/Year",Bachelor of Science in Aviation Administration,https://admissions.web.baylor.edu/about-baylor/majors-minors
,School of Engineering & Computer Science,,,,42.8%,Fall 2026,,,58368,"$44,534",,"$15,000 - $23,000 per year",,"Merit-based, Need-based",4 years,"$58,368/Year",Bachelor of Science in Aviation Sciences,https://admissions.web.baylor.edu/about-baylor/majors-minors
,College of Arts & Sciences,,4.0,,,Fall 2026,,,"$56,732/Year",,"$2,364/Credit Hour","$15,000 - $26,000 per year",,"Merit-based, Need-based",4 years,"$56,732/Year",Bachelor of Arts in Biochemistry,https://asuonline.asu.edu/online-degree-programs/undergraduate/bachelor-science-biochemistry/
,College of Arts & Sciences,,4.0,2.0,46%,Fall 2026,,,"$54,844/Year",,"$2,285/Credit Hour","$15,000 - $24,000 per year",92%,"Merit-based, Need-based",4 years,"$54,844/Year",Bachelor of Science in Biochemistry,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/chemistry-biochemistry/biochemistry-bs/
,College of Arts & Sciences and the School of Engineering & Computer Science,,,,,,,,"$56,438/Year",,,"$60,000 - $92,000 (disbursed over four years)",,"Merit-based, Need-based",,"$56,438/Year",Minor in Bioinformatics,https://admissions.web.baylor.edu/degrees/bioinformatics
,College of Arts & Sciences,,4.0,2.0,42.3% for Fall 2023,Fall 2026,,,"$56,542/Year","over $45,000",2356,"$15,000 to $23,000 per year",,Merit-based,4 years,"$56,542/Year",Bachelor of Arts in Biology,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/biology/biology-ba/
,College of Arts & Sciences,,,,,Fall 2026,,,57750,35000,,"$5,000-$20,000",,"Merit-based, Need-based",,"$57,750/Year",Bachelor of Science in Biology,https://admissions.web.baylor.edu/about-baylor/majors-minors
,Hankamer School of Business,,4.0,3.0,45.9%,Fall 2026,,,"$58,368/Year","$43,776","$2,432","$15,000 to $26,000 per year",,"Academic Scholarships, Need-Based Scholarships, Baylor Departmental Scholarships, External Scholarships",,"$58,368/Year",Minor in Business Administration,https://catalog.baylor.edu/undergraduate/hankamer-school-business/minors/business-administration-minor/
