Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Business Administration in Accounting,,,,,,Fall 2026,,,,Optional,Required,Not Required,True,"To apply for freshman admission to Baylor, applicants must complete an online application and submit the following required credentials: an official high school transcript, a required short answer response, and either ACT/SAT scores or apply through the Test Optional policy. Optional application items include an additional short answer response, a résumé, and letters of recommendation.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Hankamer School of Business,57750/Year,,,,,,,"Accounting is the process of collecting, recording, classifying, summarizing and reporting the financial dealings of a business, organization or individual. Businesses must maintain accurate and timely accounting records to measure their economic performance, satisfy reporting requirements and make sound financial decisions. Accountants are essential in every industry, providing services in financial management, auditing, taxation and forensic accounting. With a bachelor's degree in accounting, you'll be prepared for careers as diverse as auditing, corporate accounting, tax preparation, risk management, financial planning and forensic accounting. In addition, an accounting degree is excellent preparation for law school and an MBA. Accounting majors at Baylor acquire a broad understanding of the functional areas of business and the accounting profession while developing effective critical thinking, analytical, problem-solving, and communication skills. Students apply theory to practice through experiential learning and case studies, gaining the necessary skills and professional judgment to succeed in a wide variety of accounting and business careers.",,https://admissions.web.baylor.edu/about-baylor/majors-minors,Accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,,2407,,False,,,,45%,,,,,,,,,,57750/Year,,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$15,000 - $26,000 per year",,"Merit-based, Institutional, External",,,,,,,
,Minor in Advertising,,,,,,Fall 2026,,,,Not Required,Not Required,,,"The Department of Journalism, Public Relations and New Media offers an 18-semester hour minor in Advertising. The minor requires the following courses: JOU 2303 Advertising in a Market Economy, JOU 3374 Advertising Media, JOU 3375 Advertising Copywriting, JOU 3388 Advertising Management, JOU 4376 Advertising Campaigns, and JOU 4386 Creative Strategy.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,54844,,,,,,,,,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/journalism-public-relations-new-media/journalism-public-relations-new-media.pdf,"The Department of Journalism, Public Relations, and New Media is accredited by the Accrediting Council on Education in Journalism and Mass Communications (ACEJMC).",29086,2286,,False,,4.0,2.5,47.3%,,,,,,,,,,5246,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$10,000 - $28,000 annually",,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Aerospace Engineering,,,,,,Fall 2026,,"August 1, 2025","February 1, 2026",Optional,,Not Required,True,"To apply as a first-year student, you will need to submit: A completed online application (either the Baylor Online Application or the Common Application), an official high school transcript, and a required personal essay. Standardized test scores (ACT/SAT) are optional for the 2024-2025 application cycle. While not required, letters of recommendation and a resume are highly recommended.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Engineering and Computer Science,"$56,552/Year",,,,,,,"The Department of Mechanical Engineering and the Department of Electrical & Computer Engineering at Baylor University collaborate to offer the Bachelor of Science in Aerospace Engineering. Students are taught aerospace engineering foundations while focusing on design and integration of aerospace systems. The program provides the intellectual foundation for those entering the aerospace industry, defense industry, space exploration or graduate study. Graduates are prepared for careers in manned and unmanned aircraft, rotorcraft, and spacecraft development and operations; aerospace product sales, marketing, and management; and more.",,https://www.youtube.com/watch?v=Lm1eZwUu4_I,,"more than $30,000","$2,357 per credit hour",,True,,4.0,2.0,46%,,,,,,,,,,"$56,552/Year",,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$20,000 - $26,000 per year",,"Merit-based, Need-based",,,,,,,
,Minor in Aerospace Studies,,,,,,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,,,,,,,,"The Aerospace Studies minor will expose students to leadership fundamentals through experiential learning and the study of aerospace history, national security policy, and space operations. The curriculum emphasizes critical thinking, problem-solving, effective communication, and ethical decision-making. These skills are essential for future leaders and are highly valued in both military and civilian careers. In addition to gaining a comprehensive understanding of aerospace studies, students will also develop a strong sense of discipline, teamwork, and social responsibility. This minor will prepare students for leadership roles in various fields, including military service, government, and industry.",,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/aerospace-studies/aerospace-studies-minor/,,,2406,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,000 - $27,000 annually",,"Merit-based, Need-based, Departmental",,,,,,,
,Minor in American Sign Language,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,True,Any student may declare a minor in American Sign Language by using the 'request to change major/minor' form through BearWeb.,Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Robbins College of Health and Human Sciences,"$56,732/Year",,,,,,,"The American Sign Language Minor requires a minimum of 18 credit hours and is housed in the Department of Communication Sciences and Disorders. This Minor will help students develop a foundational knowledge of ASL and Deaf culture, which can enhance any major by developing an understanding of diversity, language acquisition, and communication differences. The minor helps prepare students to work with the Deaf community and also satisfy language requirements for graduate schools or professional schools (Law school, Medical school, etc.).",,https://csd.robbins.baylor.edu/undergraduate/american-sign-language-minor,,"more than $28,000",2364,,False,,4.0,,45.9%,951-1000,,,,,,,,,"$56,732/Year",,,,,,,False,False,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$1,000 to $26,000 annually",86%,"Academic Scholarships, Need-Based Scholarships & Grants",,,,,,,
,Bachelor of Arts in American Studies,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$54,844/Year",,,,,,,"Do you want to study American culture from a variety of perspectives? The American Studies program lets you explore the many dimensions of the American experience, including its history, literature, politics, religion, fine arts, and popular culture. The program provides the knowledge and critical thinking skills to prepare you for a wide range of graduate programs and careers, including law, journalism, public history, education, and museum studies. The American Studies major is an interdisciplinary program that allows students to explore American culture from multiple perspectives, including its history, literature, religion, fine arts, political science, and sociology. As a student, you will have the opportunity to take courses from a variety of departments, providing you with a broad understanding of the American experience.",,https://admissions.web.baylor.edu/about-baylor/majors-minors,,,,,,,4.0,,,,,,,,,,,,"$54,844/Year",,,,,,,,,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$60,000 to $92,000 (disbursed over four years)",,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Anthropology,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$58,354/Year",,,,,,General Anthropology Concentration,"The study of anthropology aims to provide an understanding of human experience and the human condition both past and present through cultural, archaeological, biological, and linguistic approaches. By examining humanity's diverse forms of social organization and meaning-making, anthropology seeks to promote an informed appreciation of differences in human cultures and societies, and an understanding of the relationship between local and global issues. As an academic discipline, anthropology is committed to interdisciplinary and holistic perspectives regarding humans, their institutions, and the environment. This commitment, in turn, supports Baylor's mission by fostering broad scholarship and promoting responsible citizenship that serves global communities. Through its courses and curriculum, the Anthropology program emphasizes critical thinking and communication skills, cultural and ethical reasoning, and qualitative and quantitative research methods.",,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf,,"$29,000","$2,431/Credit Hour",,,,4.0,2.0,47.7%,,,,,,,,,,"$58,354/Year",,,,,,,,,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"Academic scholarships range from $60,000 to over $100,000 (disbursed over four years)",86%,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Anthropology,,,,,,Fall 2026,,,,Optional,Not Required,Not Required,True,"To apply, prospective students must submit: a completed online application through GoBaylor, ApplyTexas, or the Common App; an official high school transcript; a required essay; and a non-refundable $50 application fee. In addition, the following are optional but strongly recommended: a résumé and two letters of recommendation. Baylor has a test-optional admissions policy, so applicants are not required to submit ACT or SAT scores.",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$54,844/Year",,,,,,General Anthropology Concentration,,,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf,,,"$2,285",,False,,4.0,2.0,46.3%,,,,,,,,,,"$54,844/Year",,,,,,,False,False,,,110.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$15,000 - $23,000 per year",89%,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Apparel Design & Product Development,,,,,BS,Fall 2026,,,,,,Not Required,True,,,,,,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Robbins College of Health and Human Sciences,"$57,750/Year",,,,,,,"The Bachelor of Science (B.S.) in Apparel Design & Product Development prepares students for careers in the global apparel industry. Students will gain knowledge of apparel design, product development, production, merchandising, and entrepreneurship. The curriculum combines coursework in apparel, business, and fine arts. Students gain hands-on experience in garment construction, computer-aided design, textile science, product lifecycle management, global sourcing, and retail strategies. Emphasis is placed on ethical and sustainable practices within the fashion supply chain. Graduates are prepared for roles such as apparel designers, product developers, merchandisers, buyers, and entrepreneurs in various sectors of the apparel industry.",,https://hsd.robbins.baylor.edu/apparel/apparel-design-product-development,,,"$2,407/hour",,,,,,42.5%,,,,,,,,,,"$57,750/Year",,,,,,,,,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"$15,000 - $26,000+",,"Merit-based, Departmental, Endowed",,,,,,,
,Minor in Apparel Merchandising,,,,,,Fall 2026,,"August 1, 2025","February 1, 2026",,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Robbins College of Health and Human Sciences,"$54,844/Year",,,,,,,"The Minor in Apparel Merchandising provides an overview of the apparel industry and equips students with an understanding of key apparel merchandising components and professional functions. The curriculum exposes students to a variety of topics within apparel design and merchandising, including apparel product development, textile science, apparel manufacturing, visual merchandising, and buying and selling. Students develop knowledge and skills to successfully work in global apparel and retail industries. Students must earn a grade of “C” or better in all courses counted toward the minor.",,https://catalog.baylor.edu/undergraduate/robbins-college-health-human-sciences/human-sciences-design/apparel-merchandising/,,,2285,,,,4.0,,,,,,,,,,,,"$54,844/Year",,,,,,,,,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,"Academic scholarships range from $15,000 to $26,000 per year",,"Merit-based, Need-based, Departmental",,,,,,,
