QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Hankamer School of Business,,,,,Fall,,,,,1805,,,Merit-based,Two or three semesters,59565,Master of Accountancy,https://graduate.baylor.edu/programs
,Louise Herrington School of Nursing,1.0,4.0,3.0,,Fall,"September 1, 2025","March 1, 2026","$23,400/Year",,1300,,,Merit-based,As little as two years,"$23,400/Year",Doctor of Nursing Practice in Adult-Gerontology Acute Care Nurse Practitioner,https://graduate.baylor.edu/programs
,College of Arts and Sciences,,4.0,3.0,,Fall,Applications for Fall admission typically open in early August of the preceding year.,December 15,"$18,567/Semester",,2063,"Annual stipend of at least $19,000, plus full tuition remission.",100%,Graduate assistantships,2 years,"$18,567/Semester",Master of Arts in American Studies,https://catalog.baylor.edu/graduate-school/curriculum-departments-institutes-instruction/college-arts-sciences/american-studies/american-studies.pdf
,Louise Herrington School of Nursing,1.0,4.0,3.0,,Fall,"July 1, 2024","August 31, 2025",0,,0,,,,36-month,,Doctor of Nursing Practice in Anesthesia Nursing (Army-Baylor),https://catalog.baylor.edu/graduate-school/affiliated-programs/nursing-anesthesia/anesthesia-nursing-dnp-bsn-dnp-program/
,College of Arts & Sciences,3.0,4.0,,,Fall,,December 1,21105/Semester,"annual stipend of $25,000",2345,"annual stipend of $25,000",100,"Fellowship, Stipend, Tuition Waiver",five-year program,21105/Semester,PhD in Anthropology,https://graduate.baylor.edu/programs
,Robbins College of Health and Human Sciences,,4.0,3.0,,Fall,,,"$17,900 per semester",,,,,"Merit-based, Fellowships, Assistantships",2 years (6 semesters),"$17,900 per semester",Master of Athletic Training,https://graduate.baylor.edu/programs
,College of Arts & Sciences,2.0,4.0,3.0,,Fall,"August 1, 2025","December 1, 2025",21069/Semester,,2341,"$32,000/year stipend and full tuition remission",100%,Graduate Assistantship,5 years,"$21,069/Semester",PhD in Biology,https://science.indianapolis.iu.edu/academics/degrees-and-programs/_degrees/biology-phd-iupui-biophd.html
801-1000,College of Arts & Sciences,,4.0,3.0,,Fall,,,"$18,981 per semester","$22,000 stipend","$2,109 per credit hour","$22,000 stipend and a full tuition waiver",100% tuition waiver,Teaching or research assistantship,Two full academic years,"$18,981 per semester",Master of Science in Biology,https://graduate.baylor.edu/programs
,College of Arts & Sciences,,4.0,3.0,,Fall,,,"$42,768/Year",,2376,,,Merit-based,1 year,"$42,768/Year",Master of Arts in Biology – Health Professions,https://graduate.baylor.edu/programs
,School of Engineering and Computer Science,,4.0,3.0,,"Fall, Spring, Summer",,,"$37,962/Year",,"$2,109",Full tuition coverage,100%,"Merit-based scholarships, Graduate assistantships, Baylor Graduate Fellowships",,"$37,962/Year",Master of Science in Biomedical Engineering,https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/msbe
,Hankamer School of Business,2.0,4.0,3.0,,Summer,,,59512,,1608.43,"From $5,000 to $20,000",,Merit-based,12 months,59512,Master of Science in Business Analytics,https://graduate.baylor.edu/programs
801-1000,College of Arts & Sciences,1.0,4.0,3.0,,Fall,,,40986,,2277,"31,000/year stipend",100% tuition waiver,"Teaching Assistantship, Research Assistantship, Presidential Scholarship",5 years,40986,PhD in Chemistry & Biochemistry,https://chemistry.artsandsciences.baylor.edu/graduate/phd-degree
,School of Music,,,,,Fall,,,"$18,981/Semester or $37,962/Year",,2109,"$5,000 to over $22,000",25% to 100%,"Graduate Assistantship, Graduate school scholarships",2 years,"$18,981/Semester or $37,962/Year",Master of Music in Church Music,https://graduate.baylor.edu/programs
,School of Music,,4.0,3.0,,Fall,,December 1,37836,,2102,"$12,000 to $16,000 stipend plus full tuition waiver",100% tuition remission,"Merit-based scholarships, assistantships, and fellowships",,"$37,836/Year",Doctor of Musical Arts in Church Music,https://graduate.baylor.edu/programs
,School of Music,,4.0,3.5,,Fall,,,"$1,614 per credit hour",,1614,"Full tuition scholarship and a $21,000 stipend",100,"Scholarship, Graduate Assistantship",,"$1,614 per credit hour",PhD in Church Music,https://catalog.baylor.edu/graduate-school/curriculum-departments-institutes-instruction/school-music/doctoral-degrees-church-music/church-music-phd/
,College of Arts & Sciences,,4.0,,,Fall,,December 1,"$2,253 per credit hour",,2253,Full tuition remission and a stipend,100%,"Tuition Remission, Stipends, Graduate Practicum",5 years,"$2,253 per credit hour",Doctor of Psychology in Clinical Psychology,https://graduate.baylor.edu/programs
,School of Music,,4.0,,,Fall,,,"$21,438/Semester",,2189,Full tuition waiver and a competitive stipend,100%,Graduate assistantships,Four semesters,"$21,438/Semester",Master of Music in Collaborative Piano,https://graduate.baylor.edu/programs
,College of Arts & Sciences,2.0,,,,Fall,,,,,,"more than $16,000 per academic year",approximately 90%,Graduate assistantships,Two academic years,,Master of Arts in Communication,https://graduate.baylor.edu/programs
,Robbins College of Health and Human Sciences,,4.0,3.0,,Fall,mid-August 2025,"January 15, 2026",,,,,partial to nearly full tuition,"Merit-based, Graduate assistantships",5 semesters,,Master of Science in Communication Sciences & Disorders,https://graduate.baylor.edu/programs
,Robbins College of Health and Human Sciences,,4.0,3.5,,Fall,,February 1,21843,,2427,Full tuition coverage and a stipend,100,Graduate assistantships,"four years of full-time study, including summers",21843,PhD in Communication Sciences & Disorders,https://graduate.baylor.edu/programs
,Robbins College of Health and Human Sciences,,,3.0,,"Fall, Spring, Summer",,,,,1452,,,Merit-based,5 semesters (20 months) for students with a CSD background or 8 semesters (32 months) for students without a CSD background,"$1,452 per credit hour",Master of Science in Communication Sciences & Disorders (Online),https://graduate.baylor.edu/programs
951-1000,School of Music,,4.0,,,Fall,,,,,"$2,341 per credit hour","Full tuition waiver and a stipend of approximately $10,000/year for assistantships",At least 60%,Merit-based scholarships and assistantships,Two years,,Master of Music in Composition,https://music.baylor.edu/mmcomposition
,School of Engineering and Computer Science,,4.0,3.0,,"Fall, Spring",,February 15,"$37,872/Year",,2104,,Up to 100%,"Teaching Assistantships, Research Assistantships, Fellowships",1.5 - 2 years,"$37,872/Year",Master of Science in Computer Science,https://graduate.baylor.edu/programs
,School of Engineering & Computer Science,,4.0,3.0,,Fall,,December 1,42138,"Full tuition waiver, $30,000/year stipend, and health insurance",2341,"Full tuition waiver, $30,000/year stipend, and health insurance",100,"Assistantships (Teaching or Research), Tuition Waiver, Stipend",5 years,42138,PhD in Computer Science,https://graduate.baylor.edu/programs
,School of Engineering and Computer Science,,4.0,3.0,,"Fall, Spring, Summer",,,,,1826,,,,As few as 12 months,,Master of Science in Computer Science (Online),https://graduate.baylor.edu/programs
