Program name,Program Page url
Master of Arts in Applied Nutrition and Dietetics,https://www.csulb.edu/graduate-studies
Master of Science in Athletic Training,https://www.csulb.edu/graduate-studies
Master of Science in Criminology and Criminal Justice,https://www.csulb.edu/graduate-studies
Master of Public Health (Community Health),https://www.csulb.edu/graduate-studies
Master of Arts in Curriculum and Instruction in Physical Education,https://www.csulb.edu/graduate-studies
Master of Science in Emergency Services Administration,https://www.csulb.edu/graduate-studies
Master of Science in Health Care Administration,https://www.csulb.edu/college-of-health-human-services/health-care-management/master-of-science-health-care
Master of Arts in Kinesiology with option in Coaching and Student Athlete Development,https://www.csulb.edu/graduate-studies
Master of Arts in Kinesiology with option in Individualized Studies,https://www.csulb.edu/college-of-health-human-services/graduate-programs
Master of Arts in Kinesiology with option in Sport Management,https://www.csulb.edu/graduate-studies
Master of Science in Kinesiology with option in Exercise Physiology and Nutrition,https://www.csulb.edu/college-of-health-human-services/graduate-programs
Master of Science in Kinesiology with option in Exercise Science,https://www.csulb.edu/graduate-studies
Master of Science in Kinesiology with option in Sport and Exercise Psychology,https://www.csulb.edu/academic-senate/master-of-science-sport-exercise-and-performance-psychology
Master of Science in Gerontology,https://www.csulb.edu/graduate-studies
Master of Science in Nutritional Science,https://www.csulb.edu/college-of-health-human-services/family-and-consumer-sciences/ms-program-nutritional-science
Master of Public Health,https://www.csulb.edu/graduate-studies
Master of Public Administration with option in Public Works Administration,https://www.csulb.edu/graduate-studies
Master of Public Administration with option in Urban Affairs,https://www.csulb.edu/sites/default/files/document/mpa_student_handbook.pdf
Master of Science in Recreation Administration,https://www.csulb.edu/college-of-health-human-services/recreation-and-leisure-studies/masters-degree-recreation
Master of Social Work,https://www.csulb.edu/graduate-studies
Master of Arts in Speech-Language Pathology,https://www.csulb.edu/college-of-health-human-services/speech-language-pathology
Master of Arts in Anthropology with option in General Anthropology,https://www.csulb.edu/graduate-studies
Master of Arts in Anthropology with option in Applied Anthropology,https://www.csulb.edu/graduate-studies
Master of Arts in Asian Studies with option in General Asian Studies,https://cla.csulb.edu/departments/aaas/graduate-credential/
Master of Arts in Asian Studies with option in Chinese Studies,https://www.csulb.edu/graduate-studies
Master of Arts in Asian Studies - Teaching Chinese as a Foreign Language,https://cla.csulb.edu/departments/aaas/graduate-credential/
Master of Arts in Communication Studies,https://www.eiu.edu/commstudiesgrad/
Master of Arts in Economics,https://www.csulb.edu/graduate-studies
Master of Arts in English,https://www.csulb.edu/graduate-studies
Master of Fine Arts in English - Creative Writing,https://cla.csulb.edu/departments/english/mfa/wp-content/uploads/2021/09/MFA-Handbook-Rev-2021-1.pdf
Master of Arts in French & Francophone Studies,https://www.csulb.edu/graduate-studies
Master of Science in Geographic Information Science,https://www.youtube.com/watch?v=r4DOUQ6COYA
Master of Arts in Geography,https://cla.csulb.edu/departments/geography/wp-content/uploads/2019/10/INVITATION-TO-GRADUATE-STUDY-GEOGRAPHY-CSULB-web.pdf
Master of Arts in German,https://cla.csulb.edu/departments/rgrll/wp-content/uploads/2012/06/German-MA-Application-RGRLL-Website.pdf
Master of Arts in History,https://www.csulb.edu/graduate-studies
Master of Arts in International Affairs,https://www.csulb.edu/graduate-studies
Master of Arts in Italian Studies,https://www.csulb.edu/george-l-graziadio-center-for-italian-studies/programs
Master of Arts in Linguistics with option in Language & Culture,https://www.csulb.edu/college-of-liberal-arts/linguistics-department/ma-linguistics
Master of Arts in Linguistics with option in General Linguistics,https://www.csulb.edu/graduate-studies
Master of Arts in Linguistics with option in Special Concentration,https://www.csulb.edu/graduate-studies
Master of Arts in Linguistics with option in Teaching English to Speakers of Other Languages,https://www.csulb.edu/graduate-studies
Master of Arts in Philosophy,https://www.csulb.edu/graduate-studies
Master of Arts in Political Science,https://www.csulb.edu/college-of-liberal-arts/political-science/master-of-arts
Master of Arts in Psychological Research,https://www.csulb.edu/graduate-studies
Master of Science in Industrial/Organizational Psychology,https://www.csulb.edu/graduate-studies
Master of Arts in Religious Studies,https://www.csulb.edu/graduate-studies
Master of Arts in Spanish,https://www.csulb.edu/graduate-studies
Master of Science in Sustainability Management,https://science.gmu.edu/academics/departments-units/environmental-science-policy/graduate-programs
Master of Science in Applied Statistics with option in Biostatistics,https://www.csulb.edu/graduate-studies
Master of Science in Applied Statistics with option in Data Science,https://www.csulb.edu/academic-senate/ms-applied-statistics-option-data-science
Master of Science in Biochemistry,https://www.csulb.edu/graduate-studies
Master of Science in Biology,https://www.csulb.edu/graduate-studies
Master of Science in Chemistry,https://www.csulb.edu/graduate-studies
Master of Science in Geology,https://www.csulb.edu/graduate-studies
Master of Science in Mathematics with option in Applied Math,https://www.csulb.edu/mathematics-statistics/graduate-programs
Master of Science in Mathematics for Educators,https://www.csulb.edu/graduate-studies
Master of Science in Microbiology,https://www.csulb.edu/graduate-studies
Master of Science in Physics with option in Applied Physics,https://www.csulb.edu/graduate-studies
Master of Science in Physics with option in Computational Physics,https://www.csulb.edu/physics-astronomy/graduate-programs
Master of Science in Science Education with option in Elementary & Middle School,https://www.csulb.edu/science-education/graduate-programs
Master of Science in Science Education with option in Informal Science Education,https://www.csulb.edu/graduate-studies
Master of Science in Science Education with option in Science Education,https://www.youtube.com/watch?v=pEQFT37L5zk
Master of Science in Science Education with option in Secondary Science Education,https://www.csulb.edu/graduate-studies
Master of Arts in Education with option in Dual Language Development,https://www.csulb.edu/graduate-studies
Master of Arts in Education with option in Early Childhood Education,https://www.csulb.edu/sites/default/files/document/document_ced_ece_ma-education-option-early-childhood-education-f18-aim.pdf
Master of Arts in Education with option in Educational Administration,https://www.csulb.edu/graduate-studies
Master of Arts in Education with option in Mathematics Education,https://www.csulb.edu/graduate-studies
Master of Arts in Education with option in School Psychology,https://www.csulb.edu/graduate-studies
Master of Science in Counseling with option in Counseling Psychology,https://www.csulb.edu/graduate-studies
Master of Science in Counseling with option in Student Development in Higher Education,https://www.csulb.edu/college-of-education/student-development-higher-education/program-description
Master of Science in Counseling with option in School Counseling,https://www.csulb.edu/graduate-studies
Education Specialist in School Psychology,https://www.csulb.edu/sites/default/files/document/eds_school_psychology_pps_application_packet_2020wm.pdf
Master of Science in Aerospace Engineering,https://www.csulb.edu/graduate-studies
Master of Science in Chemical Engineering,https://www.csulb.edu/graduate-studies
Master of Science in Civil Engineering with option in Construction Management,https://www.csulb.edu/college-of-engineering/master-of-science-civil-engineering-0
Master of Science in Civil Engineering with option in Environmental/Water Resources,https://www.csulb.edu/graduate-studies
Master of Science in Civil Engineering with option in Structural,https://www.csulb.edu/college-of-engineering/master-of-science-civil-engineering-0
Master of Science in Civil Engineering with option in Transportation/Geotechnical,https://www.csulb.edu/graduate-studies
Master of Science in Computer Science,https://www.csulb.edu/graduate-studies
Master of Science in Construction Management,https://www.csulb.edu/college-of-engineering/civil-engineering-construction-engineering-management
Master of Science in Electrical Engineering,https://www.csulb.edu/graduate-studies
Master of Science in Engineering (Interdisciplinary),https://www.csulb.edu/graduate-studies
Master of Science in Mechanical Engineering,https://www.csulb.edu/graduate-studies
Master of Arts in Art with option in Art History,https://www.csulb.edu/graduate-studies
Master of Arts in Art with option in Art Education,https://www.csulb.edu/school-of-art/mfa-art-concentration-studio-art
Master of Fine Arts in International Studio Arts,https://www.csulb.edu/school-of-art/mfa-art-concentration-studio-art
Master of Arts in Dance,https://www.csulb.edu/graduate-studies
Master of Fine Arts in Dance,https://www.csulb.edu/graduate-studies
Master of Music with option in Composition,https://www.csulb.edu/graduate-studies
Master of Music with option in Instrumental/Vocal Performance,https://csulbmusic.shopwindow.io/content/render/crm_form/7af1d55c-e451-4919-9015-d7a22bf88d32?presentation=web
Master of Music with option in Instrumental/Choral Conducting,https://www.csulb.edu/graduate-studies
Master of Music with option in Opera,https://www.csulb.edu/college-of-the-arts
Master of Music with option in Jazz Studies,https://www.csulb.edu/graduate-studies
Master of Arts in Music Education,https://www.jammusiclab.com/academics/master-arts-music-education
Master of Arts in Musicology,https://www.csulb.edu/graduate-studies
Master of Fine Arts in Theatre Arts with option in Acting,https://www.csulb.edu/graduate-studies
Master of Fine Arts in Theatre Arts with option in Theatre Management (MFA/MBA),https://www.csulb.edu/theatre-arts/graduate-admissions-0
Master of Arts in Japanese Language & Pedagogy,https://cla.csulb.edu/departments/aaas/graduate-credential/
Master of Science in Accountancy,https://www.csulb.edu/graduate-studies
Master of Science in Finance,https://www.csulb.edu/graduate-studies
Master of Science in Information Systems,https://www.csulb.edu/college-of-business/information-systems
Master of Science in Marketing Analytics,https://www.csulb.edu/graduate-studies
Master of Business Administration (MBA),https://business.fsu.edu/graduate
Master of Business Administration (MBA) Accelerated,https://www.csulb.edu/cob-graduate-programs/mba-programs/day-time-mba
Master of Business Administration (MBA) Evening,https://www.csulb.edu/graduate-studies
Master of Business Administration (MBA) Online,https://www.csulb.edu/graduate-studies
Master of Science in Nursing,https://www.csulb.edu/college-of-health-human-services/graduate-programs
Doctor of Philosophy in Engineering and Computational Mathematics,https://www.csulb.edu/college-of-engineering/engineering-doctoral-studies
Doctorate in Educational Leadership,https://www.baypath.edu/academics/graduate-programs/educational-leadership-edd/
Doctorate in Educational Administration,https://www.csulb.edu/graduate-studies
Doctorate in Higher Education Administration,https://www.csulb.edu/college-of-education/educational-doctorate-educational-leadership
Certificate in Advanced Paralegal,https://www.csulb.edu/graduate-studies
Certificate in Agile Project Management,https://www.cpace.csulb.edu/courses/certificate-programs
Certificate in Applied Analytics and Machine Learning for Higher Education,https://www.csulb.edu/graduate-studies
Certificate in Certified Nursing Assistant (CNA),https://www.cpace.csulb.edu/courses/certified-nursing-assistant
Certificate in Clinical Medical Assistant,https://www.youtube.com/watch?v=Uki3jDXHaXk
Certificate in Collections Management for Costume and Textiles,https://www.csulb.edu/graduate-studies
Certificate in Crime and Intelligence Analysis Program,https://www.youtube.com/watch?v=RVl81T6x11M
Certificate in Digital Marketing,https://www.cpace.csulb.edu/
Certificate in Geographic Information Science,https://www.csulb.edu/graduate-studies
