Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Arts in Applied Nutrition and Dietetics,,,,,Master of Arts,Fall,,"October 1, 2025","January 15, 2026",Not Required,Required,Optional,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English. Those who do not possess a bachelor's degree from a postsecondary institution where English is the principal language of instruction must receive a minimum score on one of these tests: TOEFL (Internet) - 80, TOEFL (Paper) - 550, IELTS - 6.0, PTE - 53, Duolingo - 105, ELS - 112.","Students must first apply to the university. A separate, departmental application must also be submitted online through Cal State Apply. The department application requirements include: Three letters of recommendation; A statement of purpose (see department website for writing prompts); Official transcripts from all colleges and universities attended; GPA of 3.0 or better in the last 60 semester units (or 90 quarter units) of coursework; A bachelor’s degree in nutrition and dietetics or related field from a regionally accredited institution, or the equivalent from a foreign institution. The GRE is not required for admission.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health & Human Services,"$8,754/Year",,,,,,,"The Master of Arts in Applied Nutrition and Dietetics is a 30-unit program designed for students who want to develop specialized knowledge and skills in nutrition and dietetics beyond the baccalaureate level. The M.A. degree provides advanced study in medical nutrition therapy, food science, and nutritional status assessment, along with research and other contemporary topics in dietetics. The M.A. program will enhance the skills of individuals seeking to work in positions in dietetics, nutrition, public health, or related fields. The program is designed to meet the advanced education requirements set by the Commission on Dietetic Registration (CDR) that will be required to be eligible for the registration examination for dietitians beginning January 1, 2024. The program does not provide the required coursework or supervised practice to be eligible to sit for the registration examination for dietitians. Students who want to become a registered dietitian should complete a Didactic Program in Dietetics and a Dietetic Internship. For information on these programs, please contact the FCS department.",,https://www.csulb.edu/graduate-studies,,,,True,False,,4.0,3.0,,,,,,,,,,,8754,,,,,,,False,False,,,105.0,112.0,,50th percentile or above on one of the three sections,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Science in Athletic Training,,,,,Master of Science,Summer,,,,,,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English.",,,,,,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Health & Human Services,"$6,408/Year",,,,,,,"The Master of Science in Athletic Training (MSAT) program is a 60-unit, two-year, full-time, cohort-style program, that starts each year in the fall semester. The program provides students with a strong foundation in evidence-based practice and is designed to develop professional skills in the following domains: risk management and injury prevention, pathology of injury and illness, orthopedic clinical examination and diagnosis, medical conditions and disabilities, acute care of injury and illness, therapeutic interventions, psychosocial strategies and referral, health care administration, and professional development and responsibilities. Students complete a variety of clinical education experiences under the direct supervision of a preceptor and the program’s clinical education coordinator. Clinical experiences are offered in a variety of settings which may include university athletics, community college athletics, high school athletics, clinics, and industrial settings.",,https://www.csulb.edu/graduate-studies,The Master of Science in Athletic Training program is accredited by the Commission on Accreditation of Athletic Training Education (CAATE).,,$396 per unit (for non-residents),,,,4.0,3.0,,,,,,,,,,,"$8,754/Year",,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Program-specific",,,,,,,
,Master of Science in Criminology and Criminal Justice,,,,,,Fall,,,,Required,Required,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English. CSULB will be accepting the following English tests to demonstrate proficiency: TOEFL iBT with a score of 80, IELTS with a score of 6.0, PTE with a score of 53, Duolingo with a score of 105, or ELS with a score of 112.","Applicants must meet the university admission requirements. Students must meet the following school requirements for admission to the Master of Science program:

1. A bachelor’s degree with a major in Criminology and Criminal Justice from an accredited institution. Applicants with a baccalaureate degree in a related field will be considered.
2. An overall undergraduate GPA of 3.0 or higher.
3. A grade of “B” or better in an upper-division undergraduate research methods course.
4. A grade of “B” or better in an upper-division undergraduate statistics course.
5. Good academic standing at the last college or university attended.
6. Three letters of recommendation from individuals who can attest to the applicant’s capacity to succeed in a graduate program.
7. A 2-4 page, typed statement of purpose that describes the applicant’s interest in the field of criminology and criminal justice, reasons for pursuing a master’s degree, and future career goals.
8. A resume or curriculum vitae (CV) that describes the applicant’s academic and any relevant professional experience.
9. A sample of the applicant’s scholarly writing (e.g., a term paper from a prior course).",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,"$9,338/Year",,,,,,,"The Master of Science degree in Criminology and Criminal Justice is a 36-unit program consisting of core courses in criminological theory, research methods, and statistics, as well as a variety of electives that address both traditional and contemporary topics in the study of crime and the criminal justice system. The M.S. program is designed to provide students with the critical thinking, analytical, and research skills to pursue professional careers in criminal justice or to continue their education at the doctoral level. Students will learn about the complex causes and correlates of crime, the challenges of achieving a fair and effective criminal justice system, and the policies and practices that reduce crime and promote community safety.",,https://www.csulb.edu/graduate-studies,,,,False,False,,4.0,3.0,,,,,,,,,,,8490,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, need-based",,,,,,,
,Master of Public Health (Community Health),,,,,Master,Fall,,"October 1, 2025","January 15, 2026",,,Not Required,"All graduate applicants whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English by meeting the minimum score on one of the following tests: TOEFL iBT (80), IELTS (6.0), PTE (53), or Duolingo (105).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,"$4,836/Semester or $9,672/Year",,,,,,Community Health,"The Master of Public Health (MPH) degree in Community Health at California State University, Long Beach (CSULB) is a professional degree that provides students with the knowledge and skills necessary to improve the health and well-being of individuals, families, and communities. The program is designed to prepare students for careers in a variety of settings, including public health departments, non-profit organizations, hospitals, and worksite wellness programs. The curriculum is based on the core competencies of public health and includes coursework in epidemiology, biostatistics, health policy and management, social and behavioral sciences, and environmental health. In addition, students complete a professional paper or thesis and a field experience in a public health setting. The MPH program at CSULB is accredited by the Council on Education for Public Health (CEPH).",,https://www.csulb.edu/graduate-studies,accredited by the Council on Education for Public Health (CEPH),,,,,,4.0,3.0,,,,,,,,,,,"$4,836/Semester or $9,672/Year",,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Leadership",,,,,,,
,Master of Arts in Curriculum and Instruction in Physical Education,,,,,MA,Fall,,"October 1, 2025","April 1, 2026",,,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English by submitting a minimum score on one of the following tests: TOEFL (80 iBT or 550 PBT), IELTS (6.0), PTE (53), or Duolingo (105).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,"$4,008/Semester",,,,,,,"The Master of Arts Degree in Kinesiology option in Curriculum and Instruction in Physical Education is designed to provide advanced study for students interested in teaching physical education in a variety of settings (e.g., public/private schools, community colleges, university). This option requires students to develop, implement and assess a curriculum project designed to improve physical education instruction. The Curriculum and Instruction option is offered in a cohort model with a new cohort of students starting every Fall semester. The cohort is designed to be completed in two years (including summers). Course work is offered in the evening (i.e., after 4:00 pm) and online.",,https://www.csulb.edu/graduate-studies,,,,,,,4.0,2.75,,,,,,,,,,,8016,,,,,,,,,,,105.0,,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Science in Emergency Services Administration,,,,,Master of Science,"Fall, Spring",,,,,,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English by submitting one of the following: TOEFL with a minimum score of 80 (iBT), IELTS with a minimum overall band score of 6.0, PTE with a minimum score of 53, or Duolingo with a minimum score of 105. Successful completion of ELS Language Centers' Level 112 is also accepted. Applicants who have a bachelor's degree from a U.S. college or university are exempt from this requirement.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,"$17,825 for the entire 31-unit program",,,,,,,"The Master of Science in Emergency Services Administration (EMER) is a 33-unit, graduate-level program that prepares students for leadership roles in the fields of emergency management and homeland security. A cohort of 25-30 students begins the two-year program each fall semester. Classes are delivered via a hybrid model that blends once-a-month, face-to-face class sessions with online instruction. The EMER Program has earned the distinction of being ranked among the Best Online Master’s in Emergency Management Programs in the nation by U.S. News & World Report.",,https://www.csulb.edu/graduate-studies,,,575,,,,4.0,3.0,,,,,,,,,,,"$17,825 for the entire 31-unit program",,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Science in Health Care Administration,,,,,Master of Science,Fall,,"October 1, 2025","June 1, 2026",,,Not Required,"All applicants, regardless of citizenship, who do not have a bachelor's degree from a U.S. institution or a country where English is the official language are required to take an English proficiency exam. Accepted exams and minimum scores are: TOEFL (80 iBT or 550 PBT), IELTS (6.0), PTE (53), or Duolingo (105).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health & Human Services,"$3,399/Semester",,,,,,,"The Master of Science in Health Care Administration (MSHCA) program is designed to meet the needs of those who wish to pursue leadership roles in health care organizations. The curriculum is designed to help students develop the values, knowledge, and skills needed to become effective health care administrators. Courses are taught by full-time faculty and health care professionals with extensive experience in the field. The program is offered in two formats: a traditional, on-campus program and an accelerated program. The accelerated MSHCA is offered through the College of Professional and Continuing Education (CPaCE). Both formats offer a comprehensive curriculum and provide flexibility for students at different points in their career. The Health Care Administration department is a full graduate member of the Association of University Programs in Health Administration (AUPHA).",,https://www.csulb.edu/college-of-health-human-services/health-care-management/master-of-science-health-care,The MSHCA program is proud to be accredited by the Commission on Accreditation of Healthcare Management Education (CAHME).,,,,,,4.0,3.0,,,,,,,,,,,4635,,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,1000,,Merit-based,,,,,,,
,Master of Arts in Kinesiology with option in Coaching and Student Athlete Development,,,,,M.A.,Fall,,"October 1, 2025","February 1, 2026",Required,Required,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English. Those who do not possess a bachelor’s degree from a postsecondary institution where English is the principal language of instruction must receive a minimum score on one of the tests below: TOEFL (Internet): 80, TOEFL (Paper): 550, IELTS: 6.0 overall band score, PTE: 53, Duolingo: 105.","In addition to the general requirements of the university, specific requirements for admission to classified graduate status are:

1. A minimum of 24 units of upper-division coursework in Kinesiology or a related field;
2. A course in introductory statistics;
3. A course in either exercise physiology or biomechanics;
4. One of the following:
    a. A minimum of a 3.0 GPA in the last 60 semester units (90 quarter units) of coursework;
    b. A minimum score on the Graduate Record Examination (GRE): 150 on the verbal section, 141 on the quantitative section, and 3.5 on the analytical writing section; or
    c. A master’s degree in a related field from an accredited university.
5. Submission of the following to the department Graduate Coordinator:
    a. Three letters of recommendation from individuals who can speak to the applicant’s academic and professional potential;
    b. A 500-word statement of purpose describing the applicant’s motivation and goals for pursuing the M.A. in Kinesiology, option in Coaching and Student-Athlete Development at CSULB; and
    c. A professional résumé highlighting the applicant’s experience in coaching, athletic administration, and/or student-athlete development.
6. A personal interview with the CSAD faculty.",Not Required,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health & Human Services,"$14,628/Year",,,,,,Coaching and Student-Athlete Development,The Coaching and Student-Athlete Development (CSAD) option prepares students for a career in coaching and leadership within intercollegiate athletics. This program aims to equip coaches with evidence-based knowledge and practical skills that will enhance their professional coaching practice and help them guide student-athletes toward holistic development and success in sport and life. The CSAD option culminates in either a comprehensive exam or a capstone project.,,https://www.csulb.edu/graduate-studies,,,,False,False,,4.0,3.0,,,,,,,,,,,"$14,628/Year",,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Kinesiology with option in Individualized Studies,,,,,Master of Arts,Fall,,"October 1, 2025","January 15, 2026",Not Required,Required,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English.","To be considered for admission to the Master of Arts Degree in Kinesiology, a student must:
1. A baccalaureate degree from an accredited institution with a major in Kinesiology or an equivalent degree with an appropriate background in the field as determined by the graduate committee;
2. Be in good academic standing at the last college or university attended;
3. A grade point average (GPA) of 3.0 or better in the last 60 semester units (90 quarter units) of upper-division coursework and a 3.0 GPA in all Kinesiology coursework;
4. Three letters of recommendation from persons who have knowledge of the applicant’s academic and professional potential;
5. A written statement of purpose that demonstrates the applicant’s interest and preparation for graduate study in the chosen option;
6. A sample of the applicant’s scholarly writing (e.g., a paper from a previous course);
7. A personal interview with the graduate coordinator and/or option faculty.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health & Human Services,"$9,014/Year",,,,,,Individualized Studies,The Individualized Studies option is a research-based program of study designed for students who have a focused interest that cannot be accommodated by one of the existing options. The student and faculty advisor will collaboratively design a program of study that includes Kinesiology courses as well as courses from other departments on campus. The student will gain knowledge in research design and statistics and complete a thesis. Graduates of this option will be well-prepared to enter doctoral programs in their area of specialization. This program is offered on-campus.,,https://www.csulb.edu/college-of-health-human-services/graduate-programs,,,,True,True,,4.0,3.0,,1001-1200,,,,,,,,,"$9,014/Year",,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Kinesiology with option in Sport Management,,,,,,Fall,,,,Required,Required,Not Required,"All graduate applicants, regardless of citizenship, who do not possess a bachelor’s degree from a postsecondary institution where English is the principal language of instruction must submit official scores from an English Language Proficiency test. CSULB accepts TOEFL, IELTS, PTE, and Duolingo. CSULB also accepts ELS, Language School Level 112.","In addition to the general requirements for admission to the university, applicants must meet the following department-specific requirements for admission to the MA in Kinesiology:
1. A bachelor’s degree in kinesiology or an equivalent degree from an accredited institution.
2. A grade point average (GPA) of 3.0 or higher in the last 60 semester units (or 90 quarter units) of coursework.
3. A GPA of 3.0 or higher in all upper-division coursework in the major.
4. Prerequisite undergraduate coursework: Introduction to Kinesiology (e.g., KIN 201); Sport Management (e.g., KIN 332); Sport Psychology (e.g., KIN 339); Sport Sociology (e.g., KIN 338 or SOC 342); Statistics (e.g., KIN 483).
5. A statement of purpose.
6. Two letters of recommendation from individuals who can speak to the applicant’s academic and/or professional potential.
7. A resume.
8. An interview with the Sport Management graduate faculty.",Not Required,,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,College of Health & Human Services,"$8,670/Year",,,,,,Sport Management,"The Master of Arts in Kinesiology has four options for students to choose from: Adapted Physical Education, Coaching and Student-Athlete Development, Pedagogical Studies, and Sport Management. Our program is designed to develop leaders, educators, and researchers in the field of Kinesiology. Our faculty are experts in their fields and are committed to providing a high-quality education to our students. Our program is designed to be flexible to meet the needs of our students. We offer a variety of courses that are offered in the late afternoon and evening to accommodate working professionals. Our program is designed to be completed in two years.

The Sport Management option is designed to prepare students for a career in the sport industry. The program provides students with a strong foundation in the business of sport, including finance, marketing, law, and facility management. Students will also have the opportunity to complete an internship in the sport industry. Our graduates have gone on to work for professional sports teams, collegiate athletic departments, and other sport organizations.",,https://www.csulb.edu/graduate-studies,,,,True,False,,4.0,3.0,,,,,,,,,,,8670,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Campus/community activities",,,,,,,
,Master of Science in Kinesiology with option in Exercise Physiology and Nutrition,,,,,,Fall,,,,,,Not Required,"All graduate and post-baccalaureate applicants, regardless of citizenship, whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English. Those who do not possess a bachelor’s degree from a postsecondary institution where English is the principal language of instruction must receive a minimum score on one of the following tests: TOEFL (Internet) - 80, TOEFL (Paper) - 550, IELTS - 6.0, PTE - 53, or Duolingo - 105. CSULB also accepts ELS, Language Level 112.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health & Human Services,"$8,016/Year",,,,,,Exercise Physiology and Nutrition,"This option provides students with a strong scientific foundation in both exercise physiology and nutrition. Students will learn to critically evaluate research, and develop skills to conduct research and apply their knowledge in a variety of professional settings. The program is designed to provide excellent preparation for those interested in doctoral studies in either exercise physiology or nutrition, as well as for those planning a career in cardiac rehabilitation, corporate fitness, or as an exercise specialist working with a variety of healthy and clinical populations.",,https://www.csulb.edu/college-of-health-human-services/graduate-programs,,,"$420 per unit (for non-residents, in addition to base tuition)",,,,4.0,3.0,,,,,,,,,,,"$8,016/Year",,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Program-specific",,,,,,,
,Master of Science in Kinesiology with option in Exercise Science,,,,,Master of Science,Fall,,,,,,Not Required,"All graduate applicants whose native language is not English and whose preparatory education was principally in a language other than English must demonstrate competence in English. Minimum scores required are: TOEFL (Internet-based) 80, TOEFL (Paper-based) 550, IELTS 6.0, PTE 53, or Duolingo English Test (DET) 105.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,"$8,346/Year",,,,,,Exercise Science,"The Master of Science in Kinesiology is designed for students with an undergraduate degree in Kinesiology or a related field. The program provides advanced study in the sub-disciplines of Kinesiology. It also prepares students for doctoral work or for professional careers in a variety of fields including teaching, coaching, research, and for work in private industry or public agencies related to physical activity, exercise, and sport.",,https://www.csulb.edu/graduate-studies,,,,,,,4.0,3.0,,,,,,,,,,,"$8,346/Year",,,,,,,,,,,105.0,,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
