QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
801-850,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$58,390/Year",51901,1946,"$20,000 - $28,000 per year",,Merit-based,,"$58,390/Year",Minor in Biology-Behavior and Society,https://www.clarkson.edu/academics/majors-minors
494,Wallace H. Coulter School of Engineering,,4.0,2.0,,,,,,,"$2,041/Credit","$20,000 up to full tuition annually",,Merit-based,,"$61,230/Year",Minor in Biomedical Engineering,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,59182/Year,,1973/credit hour,20000 - 34000,,Merit-based,,59182/Year,Minor in Biomedical Science and Technology,https://www.clarkson.edu/academics/majors-minors
,Wallace H. Coulter School of Engineering,,4.0,2.0,,,,,61284,45700,"$2,043/Credit Hour","Up to $30,000 annually",,Merit-based,4 years,61284,Concentration in Biomolecular Engineering,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,,,,,"$61,044/Year","over $36,000",,"Up to $30,000+ per year",,Merit-based,4 years,61044,Bachelor of Science in Biomolecular Science,https://www.unirank.org/guides/university-programs-courses/bachelor-of-biomolecular-science/
,Reh School of Business,,4.0,2.0,,Fall 2026,,,61096/Year,48095,2037,"Up to $30,000 per year",,Merit-based,,61096/Year,Minor in Business,https://www.clarkson.edu/academics/majors-minors/business
,Reh School of Business,,4.0,2.0,,Fall 2026,"August 1, 2025","January 15, 2026","$61,232/Year",,"$2,041/Credit Hour","$20,000 to $45,000 annually",98%,"Merit-based, Need-based",4 years,"$61,232/Year",Bachelor of Science in Business Administration,https://www.clarkson.edu/academics/majors-minors
,Reh School of Business,,4.0,2.0,66%,Fall 2026,,,60576,"Over $48,000","$2,019","$18,000 to $30,000 annually",99% of students receive financial aid,"Merit-based, Specialty scholarships",4 years,"$60,576/Year or $30,288/Semester",Bachelor of Science in Business Analytics,https://www.clarkson.edu/academics/majors-minors
751-800,School of Arts & Sciences and Reh School of Business,,4.0,2.0,,Fall 2026,,,,"over $48,000","$1,946","$15,000 up to $45,000 annually",,Merit-based,4 years,"$58,360/Year",Bachelor's Degree in Business of Biotechnology,https://www.clarkson.edu/academics/majors-minors
,David D. Reh School of Business,,4.0,2.0,76%,Fall 2026,,,59290/Year,"over $51,000","$1,976","$15,000 to $40,000 annually",,"Merit-based, Need-based",4 years,"$59,290/Year",Bachelor of Science in Business Studies,https://www.clarkson.edu/majors-minors/business-administration-major
,Reh School of Business,,4.0,2.0,67.8%,,,,59334,,1978,"$20,000 to full tuition",,Merit-based,4 years,,Concentration in Business Intelligence and Data Analytics,https://www.clarkson.edu/academics/majors-minors/information-systems
,Wallace H. Coulter School of Engineering,,4.0,2.0,74.3%,,,,"$59,334/Year",,"$1,978 per credit hour","Up to $31,000 per year",,Merit-based,4 years,"$59,334/Year",Bachelor of Science in Chemical Engineering,https://www.clarkson.edu/academics/majors-minors
751-800,School of Arts & Sciences,,,,71%,Fall 2026,,,"$60,290/Year",,"$2,010","$20,000 to $40,000 annually",,Merit-based,4 years,"$60,290/Year",Bachelor of Science in Chemistry,https://www.clarkson.edu/academics/majors-minors
751-800,School of Arts & Sciences,,4.0,2.0,75.7%,,,,"$59,340/Year",27018,1978,"$20,000 - $38,000 per year",,"Merit-based, Need-based",,"$59,340/Year",Minor in Chemistry,https://clarkson.edu/sites/default/files/2025-10/Master%2025-26%20UGrad%20Catalog.pdf
,Wallace H. Coulter School of Engineering,,4.0,2.0,77.6%,,,,"$59,384/Year","$49,067","$1,979","Up to $46,000",,Merit-based,4 years,59384,Bachelor of Science in Civil Engineering,https://www.clarkson.edu/academics/majors-minors/civil-engineering
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$1,970/Year",44700,"$2,034/credit hour","$20,000 - $30,000 per year",,Merit-based,,"$61,014/Year",Minor in Cognitive Neuroscience,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,,73% (Fall 2022),Fall 2026,,,58390,,"$1,946 per credit hour","$20,000 - $45,000 annually",,Merit-based,4 years,"$58,390/Year",Major in Communication,https://www.youtube.com/watch?v=PKiuuT7LGwQ
,School of Arts & Sciences,,4.0,2.0,75% (Fall 2023),Fall 2026,,,,"over $42,000","$1,986 per credit hour","$15,000 to $35,000 annually",,Merit-based,18 credit hours,"$59,570/Year",Minor in Communication,https://www.clarkson.edu/academics/majors-minors
,David D. Reh School of Business,,4.0,2.0,76%,Fall 2026,,,59186,"$51,130","$1,973","$20,000 to $46,000 annually",,Merit-based,4 years,"$59,186/Year",Bachelor of Science in Accounting,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis
,School of Arts & Sciences,,4.0,2.0,74%,Fall 2026,,,61044,43732,"$2,035/credit hour","$20,000 to $40,000 per year",Up to 100% (Full Tuition),Merit-based,4 years,"$61,044/Year",Bachelor of Arts in American/United States Studies/Civilization,https://clarkson.edu/sites/default/files/2024-10/ClarksonUniversity2024-2025UndergraduateCatalog.pdf
,School of Arts & Sciences,,4.0,,76.8%,,,,"$60,290/Year","over $49,000","$2,010 per credit hour","$15,000 to $45,000 annually",,"Merit-based, Need-based",4 years,"$60,290/Year","Bachelor of Arts in Animation, Video Graphics and Special Effects",https://www.youtube.com/watch?v=ENpulER4964
,School of Arts & Sciences,,4.0,2.0,74%,Fall 2026,,,"$58,590/Year",,"$1,748","$15,000 to $30,000 per year",,Merit-based,4 years,"$58,590/Year",Bachelor of Science in Anthropology,https://www.clarkson.edu/academics/majors-minors/humanities-social-science
741-750,Coulter School of Engineering,,4.0,2.0,,Fall 2026,,,"$59,290/Year","$49,000","$1,976/Credit Hour",Up to full tuition,,"Merit-based, Need-based",4 years,"$59,290/Year",Bachelor of Science in Architectural and Facilities Engineering,https://www.clarkson.edu/academics/majors-minors/architectural-facilities-engineering
751-800,School of Arts & Sciences,,4.0,2.0,77.7%,Fall 2026,,,"$58,934/Year","$49,100","$1,965/Credit","Up to $30,000 annually",,Merit-based,4 years,"$58,934/Year",Bachelor of Science in Biochemistry and Molecular Biology,https://www.clarkson.edu/academics/majors-minors
751-800,Wallace H. Coulter School of Engineering,,4.0,2.0,69.9%,Fall 2026,,,"$60,290/Year",,"$2,010","$20,000 - $37,000 per year",Over 99% of students receive financial aid,Merit-based,4 years,"$60,290/Year",Bachelor of Science in Biomedical Engineering,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,59334,,"$1,978/Credit Hour","$20,000 to full tuition",,Merit-based,4 years,"$59,334/Year",Bachelor of Science in Biomedical Science and Technology,https://www.clarkson.edu/academics/majors-minors/biomedical-science-technology
,Wallace H. Coulter School of Engineering,,4.0,2.0,76%,Fall 2026,,,59290,52382,1976,"$20,000 to $35,000",,Merit-based,4 years,59290,Bachelor of Science in Biomolecular Engineering,https://www.clarkson.edu/academics/majors-minors/biomolecular-engineering
,School of Arts & Sciences and Wallace H. Coulter School of Engineering,,4.0,2.0,61.6%,Fall 2026,,,"$58,390/Year","Over $49,000","$1,946/credit hour","$20,000 to $43,000 annually",,Merit-based,4 years,"$58,390/Year","Bachelor of Science in Bioscience and Technology, Interdisciplinary",https://www.clarkson.edu/academics/majors-minors
,David D. Reh School of Business,,4.0,2.0,,Fall 2026,,,"$58,390/Year",,"$1,946/Credit Hour","Merit scholarships range from $6,000 per year to full tuition",,Merit-based,4 years,"$58,390/Year",Bachelor of Science in Business,https://www.clarkson.edu/academics/majors-minors
751-800,Wallace H. Coulter School of Engineering,,4.0,2.0,70%,,,,"$61,288/Year","$39,250","$1,891 per credit hour","$15,000 annually to full tuition",,Merit-based,,"$61,288/Year",Minor in Materials Engineering,https://www.clarkson.edu/academics/majors-minors
,David D. Reh School of Business,,4.0,2.0,76%,Fall 2026,,,61260,40553,2042,"15,000 - 34,000",,Merit-based,4 years,"$61,260/Year",Bachelor in Business Intelligence and Data Analytics,https://fba.um.edu.mo/programmes/bachelor/bscbia/
741-750,School of Business and School of Engineering,,4.0,2.0,75.16%,,,,"$59,794/Year","$50,891","$1,993","$15,000 - $36,000 per year",,"Merit-based, Specialty",4 years,"$59,794/Year",Bachelor of Science in Engineering and Management,https://www.clarkson.edu/academics/majors-minors/engineering-management
801-1000,David D. Reh School of Business,,4.0,2.0,68%,Fall 2026,,,"$59,184/Year","$45,528","$1,973 per credit hour","$15,000 - $45,000",,"Merit-based, Need-based, Specialty",4 years,"$59,184/Year",Bachelor of Science in Finance,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis
,Reh School of Business,,4.0,2.0,,Fall 2026,"August 1, 2025",,"$61,014/Year",,"$1,972/Credit Hour","$20,000 - $42,000 per year",30-70%,"Merit-based, Need-based",4 years,"$61,014/Year",Bachelor of Science in Financial Information and Analysis,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis
,Reh School of Business,,4.0,2.0,,Fall 2026,,,61238,"$48,658","$2,041/Credit Hour","Up to $35,000",,Merit-based,4 years,"$61,238/Year",Bachelor of Science in Global Supply Chain Management,https://www.clarkson.edu/academics/majors-minors
,Reh School of Business,,4.0,2.0,69.7%,Fall 2026,,,2052,,"$1,973","$20,000 to $45,000 per year",,Merit-based,4 years,"$59,184/Year",Bachelor of Science in Innovation and Entrepreneurship,https://www.clarkson.edu/academics/majors-minors
,Wallace H. Coulter School of Engineering,,4.0,2.0,70.2%,,,,"$61,096/Year",42652,2037,"$20,000 to full tuition",,Merit-based,4 years,"$61,096/Year",Bachelor of Science in Computer Engineering,https://www.clarkson.edu/academics/majors-minors/computer-engineering
,Wallace H. Coulter School of Engineering,,4.0,2.0,73.5%,Fall 2026,August 1,January 15,"$58,390/Year",36890,1946,"$15,000 to $35,000 annually",,"Merit-based, Need-based",4 years,58390,Bachelor of Science in Electrical Engineering,https://www.mccormick.northwestern.edu/electrical-computer/academics/undergraduate/electrical-engineering/curriculum-requirements.html
851-900,Wallace H. Coulter School of Engineering,,,,74%,Fall 2026,,,"$61,232/Year","$47,000","$2,041 per credit hour","Up to $30,000 per year",,Merit-based,4 years,"$61,232/Year",Bachelor in Engineering Studies,https://www.clarkson.edu/academics/majors-minors
,Wallace H. Coulter School of Engineering,,4.0,2.0,75%,,,,"$59,342/Year","$48,266","$1,978","$15,000 to $45,000 annually",,"Merit-based, Need-based",4 years,"$59,342/Year",Bachelor of Science in Environmental Engineering,https://www.clarkson.edu/academics/majors-minors
,Wallace H. Coulter School of Engineering,,4.0,2.0,76%,Fall 2026,,,"$60,290/Year","$47,698","$2,010/Credit Hour","Up to $38,000 annually",100%,"Merit-based, Need-based",4 years,"$60,290/Year",Bachelor of Science in Mechanical Engineering,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,70%,Fall 2026,"August 1, 2025","January 15, 2026",59796,,"$1,993 per credit hour","$15,000 to $40,000 annually",,Merit-based and Need-based,4 years,"$59,796/Year",Bachelor of Science in Mathematics,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,76%,Fall 2026,,,61288,"more than $47,000","$2,043","$20,000 to $45,000 annually",up to 75%,Merit-based,4 years,"$61,288/Year",Bachelor of Science in Physics,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,77%,,,,"$61,570/Year","over $40,000","$2,053","$20,000 to $40,000 per year",,"Merit-based, Need-based",4 years,"$61,570/Year",Bachelor of Science in Computer Science,https://www.clarkson.edu/academics/majors-minors
751-800,"School of Arts & Sciences, Reh School of Business, Coulter School of Engineering",,4.0,2.0,76%,Fall 2026,,,"$59,184/Year","$39,200","$1,973/Credit Hour","up to $42,000 annually",,Merit-based,4 years,"$59,184/Year",Bachelor of Science in Data Science,https://www.clarkson.edu/academics/majors-minors
,David D. Reh School of Business,,4.0,2.0,,Fall 2026,,,60290,"over $30,000","$2,010","$15,000 to $30,000 annually",99%,"Merit-based, Specialty",4 years,"$60,290/Year",Bachelor of Science in Information Systems,https://www.sps.nyu.edu/explore/degrees-and-programs/bs-in-information-systems-and-technology.html
,Wallace H. Coulter School of Engineering,,4.0,2.0,,,,,"$61,234/Year","$44,950","$2,041/credit hour","$20,000 to $40,000 annually",,"Merit-based, Need-based",4 years,"$61,234/Year",Bachelor of Science in Software Engineering,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,75%,Fall 2026,,,"$60,190/Year",,"$2,006","$12,000 - $30,000 per year",,Merit-based,4 years,"$60,190/Year",Bachelor of Arts in Science Studies,https://www.clarkson.edu/academics/majors-minors/science-studies
,School of Arts & Sciences,,4.0,2.0,76%,,,,"$61,230/Year","over $37,000","$1,873","up to $37,000 annually",,Merit-based,4 years,"$61,230/Year",Bachelor of Science in Environmental Toxicology,https://www.clarkson.edu/academics/majors-minors
,School of Arts & Sciences,,4.0,2.0,67.7%,Fall 2026,,,"$58,390/Year","$43,010","$1,946/Credit","$20,000 to full tuition",,"Merit-based, Need-based",4 years,"$58,390/Year",Bachelor of Arts in Liberal Arts and Humanities,https://www.youtube.com/watch?v=TZmOoq7K60E
,School of Arts & Sciences,,4.0,2.0,68.8%,Fall 2026,,,"$61,232/Year",46432,"$2,041 per credit hour","$20,000 - $35,000 per year",,"Merit-based, Need-based",4 years,"$61,232/Year",Bachelor of Arts in Political Science and Government,https://polisci.ucsd.edu/undergrad/major-and-minor-requirements/index.html
,School of Arts & Sciences,,4.0,2.0,65%,,,,61314,"over $45,000","$2,044","$15,000 up to full tuition",99%,Merit-based,4 years,"$61,314/Year",Bachelor of Arts in Communications,https://hass.rpi.edu/communication-and-media/communication-media-and-design
,School of Arts & Sciences,,4.0,2.0,,,,,61190,,1972,"from $18,000 to full tuition annually",,Merit-based,4 years,61190,Bachelor of Science in Digital Communication and Media/Multimedia,https://www.northcountrynow.com/news/clarkson-universitys-communication-degree-undergoes-name-change-0318875/
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$61,280/Year",35000,"$2,043/credit hour","$15,000 - $43,000 annually",,"Merit-based, Need-based",4 years,"$61,280/Year",Bachelor of Arts in History,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGWKyk_NXgbbDlvY51_ERPT8qkE41Aoe4GSITYOvdBlYljXtEs8LQM1TMPMdDcxNk5rCueNYGdnFSHhDyDnIlS_pzNgkc0Mc0hVzQRpwnKWsl7b
,School of Arts & Sciences,,4.0,2.0,75%,Fall 2026,,,"$61,234/Year","over $47,000","$2,042 per credit hour","$12,000 - $35,000 annually",,"Merit-Based, Need-Based, Specialty Scholarships",4 years,"$61,234/Year",Bachelor of Science in Psychology,https://www.clarkson.edu/academics/majors-minors/psychology
,School of Arts & Sciences,,4.0,2.0,68%,Fall 2026,,,"$61,096/Year",,"$2,037","$20,000 - $40,000 per year",,Merit-based,4 years,"$61,096/Year",Bachelor of Science in Computational and Applied Mathematics,https://www.clarkson.edu/academics/majors-minors
,Wallace H. Coulter School of Engineering,,4.0,2.0,,Fall 2026,,,60290/Year,,2010,"$15,000 to full tuition",,Merit-based,4 years,60290/Year,Bachelor of Science in Computer Hardware Engineering,https://www.clarkson.edu/academics/majors-minors
