Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
"['Aviation/Aerospace Education Technology', 'Aviation/Aerospace Management', 'Aviation Safety Management Systems', 'Air Traffic Management', 'Space Studies', 'Unmanned Aircraft Systems', 'Aviation/Aerospace Operations']","The Master of Science in Aeronautics (MSA) is Embry-Riddle's flagship graduate program, offering a technical, professional-oriented, and broad-based aviation/aerospace education. The MSA degree is for students who want to advance their current knowledge and experience in the aviation/aerospace industry, as well as for those who are seeking to transition into the field.

The Master of Science in Aeronautics degree program builds on Embry-Riddle’s strong aviation foundation, providing students with a deep understanding of aviation and aerospace operations, safety, security, and regulations. It is a professionally oriented program designed to meet the demands of the modern aerospace industry.

Students will gain a broad perspective on all facets of aeronautics, including air transportation, aircraft systems, human factors, maintenance management, aviation safety, and more.",https://erau.edu/degrees/master/aeronautics,,Master's,Master of Science in Aeronautics,https://erau.edu/degrees
Aviation and Aerospace Sustainability,"The Master of Science in Aeronautics (MSA) degree is a broad, yet deep program designed to provide aviation and aerospace professionals with a keen understanding of aviation and aerospace operations, safety, security, systems, quality and management. Offered by the College of Aeronautics, the MSA is a completely online degree that allows students the flexibility to work on their studies anytime, anywhere in the world.

The curriculum provides a strong, technical foundation for those looking to advance their career. Graduates are prepared for leadership and management roles in all segments of aviation and aerospace, including airlines, airports, corporate aviation, government, and the U.S. military. The MSA has been a flagship, online program for Embry-Riddle since 1993 and is the academic pillar of our Worldwide Campus.",https://erau.edu/degrees/master/aeronautics,The Master of Science in Aeronautics is accredited by the Aviation Accreditation Board International (AABI).,Master's,Master of Science in Aeronautics with Specialization in Aviation and Aerospace Sustainability,https://erau.edu/degrees
Small Unmanned Aircraft Systems (sUAS) Operation,"The Master of Science in Aeronautics (MSA) degree gives students a technical look into the aviation and aerospace industry. Students gain the specific knowledge and skills needed to elevate their careers, whether that’s in flight, maintenance, safety, education or another related field.

This graduate program is designed for aviation professionals looking to advance their knowledge and for students who have a bachelor’s degree but wish to transition into the aviation industry. Graduates of the M.S. in Aeronautics program are set up for a competitive advantage to advance their careers.

Within the Small Unmanned Aircraft Systems (sUAS) Operation specialization, students will learn about topics critical to the sUAS operation industry including sUAS design, control and navigation, applications, data collection and processing as well as safety and human factors.",https://erau.edu/degrees/master/aeronautics,,Master,Master of Science in Aeronautics with Specialization in Small Uncrewed Aircraft Systems (sUAS) Operations,https://erau.edu/degrees
Uncrewed and Autonomous Systems,"The Master of Science in Aeronautics (MSA) is a multi-disciplinary program that combines a core of aviation and aerospace courses with a choice of specialization options, enabling you to tailor a degree program that elevates your career. The MSA program is an online program that offers both convenience and quality and has been ranked as one of the best online graduate programs for the past seven years by U.S. News & World Report. Build on your aviation/aerospace foundation as you work toward a career in management with a degree that strategically positions you for growth. The program is ideal for professionals already in an aviation/aerospace career and for those who wish to enter the field. As an MSA graduate, you will have the skills necessary to succeed as a leader in today’s demanding aviation/aerospace industry. The Uncrewed and Autonomous Systems specialization focuses on the operational and safety aspects of uncrewed and autonomous systems, including design, development, policy, and procedures. Explore topics related to uncrewed and autonomous systems, such as command and control, human factors, data links, and payloads.",https://erau.edu/degrees/master/aeronautics,,,Master of Science in Aeronautics with Specialization in Uncrewed and Autonomous Systems,https://erau.edu/degrees/master/aeronautics
Space Operations,"The Master of Science in Aeronautics (MSA) has a justly-earned reputation as a broad, technically-oriented professional degree program that has consistently attracted people already established, or seeking to establish, a career in aviation or aerospace. The degree prepares graduates for high-level, leadership positions in government and industry.

The MSA degree is a 30-credit-hour graduate program, offered fully online and at many of our Worldwide Campus locations, that students typically complete in two years. Students are required to take five core courses that cover core aspects of aeronautics, and then select five additional courses from one of several specializations.",https://erau.edu/degrees/master/aeronautics,,Master,Master of Science in Aeronautics with Specialization in Space Operations,https://erau.edu/degrees
Aviation Safety,"The Master of Science in Aeronautics (MSA) degree is a broad-based, flexible program designed for the aviation and aerospace professional. The MSA enhances your knowledge and pursuit of opportunity within the industry, covering topics from airport operations to aircraft design and beyond. In this program, students will gain an advanced understanding of aeronautics and the skills required to be a leader in the aviation industry. Our Aviation Safety specialization provides students with the technical skills required in the areas of accident investigation, safety management and human factors in aviation.",https://erau.edu/degrees/master/aeronautics,,Master,Master of Science in Aeronautics with Specialization in Aviation Safety,https://erau.edu/degrees
Human Factors,"The MSA Human Factors specialization is a multidisciplinary program that applies knowledge of human performance, limitations, and capabilities to the design of systems. The curriculum offers a broad education in the human factors discipline focusing on the human component in the design, development and operation of complex human-machine systems. The program provides graduates with the knowledge and skills necessary to be successful human factors professionals. Graduates are prepared for doctoral level studies in human factors or for a career as a human factors practitioner in government or industry. Program graduates will be qualified for positions in the military, civil and general aviation sectors of the aviation industry as well as other areas such as medical, automotive and nuclear fields.",,,Master of Science,Master of Science in Aeronautics with Specialization in Human Factors,https://commons.erau.edu/cgi/viewcontent.cgi?article=1011&context=db-sgs-newletter
Aviation Maintenance,"A leader in aviation education, Embry-Riddle's Master of Science in Aeronautics offers an opportunity for students to not only obtain an advanced, competitive edge in the field, but also to choose a specialization that is tailored to their unique interests and career goals. Students in the Aeronautics master's degree program learn in a dynamic, high-tech environment from faculty who are experts in their fields. Embry-Riddle's alumni network and industry partnerships are a valuable resource for students to leverage when seeking mentorship and career advancement opportunities. The Master of Science in Aeronautics is a broad, flexible program that provides students with a solid technical foundation in aeronautics and the ability to customize their curriculum in one of our diverse areas of specialization.",https://erau.edu/degrees/master/aeronautics,,Master,Master of Science in Aeronautics with Specialization in Aviation Maintenance,https://erau.edu/degrees/master/aeronautics
Aviation Cybersecurity,"The Master of Science in Aeronautics (MSA) degree is a broad, flexible program that allows you to customize your coursework in an area of specialization. With the MSA, you can combine your existing technical expertise with an advanced aeronautics curriculum to prepare for an aviation/aerospace career in fields such as airline management, aviation safety, education, or airport management. The MSA curriculum is built upon a required core of 3 courses: Air Transportation, Aircraft and Spacecraft Development, and Aeronautical Research. These courses prepare students to investigate and solve problems currently facing the aviation and aerospace industries. MSA students then work with their advisors to customize a curriculum that matches their interests and career goals by choosing from a wide variety of electives and an area of specialization.",https://erau.edu/degrees/master/aeronautics,,Master's,Master of Science in Aeronautics with Specialization in Aviation Cybersecurity,https://erau.edu/degrees
,"The Master of Science in Aerospace Business Analytics degree from Embry-Riddle provides the analytical skills and business acumen necessary to expertly analyze and communicate critical business data to key decision-makers.

Students will develop their quantitative and analytical skills by blending business classes in areas such as finance, economics and statistics with aviation-related courses in subjects such as air transportation management and airline economics.

Embry-Riddle’s unique program emphasizes application over theory by combining the study of aerospace business with data analytics. Students will learn how to approach, analyze and communicate information in order to develop better business practices and results.

Available at Embry-Riddle’s Daytona Beach Campus, this degree is ideal for those who want to use their data and analytical skills to work in the aerospace and aviation sectors. The curriculum is focused on producing expert analysts who possess the creative thinking and problem-solving skills needed to succeed in business.",https://erau.edu/degrees/master/aerospace-business-analytics,The Master of Science in Aerospace Business Analytics is accredited by the Association of Collegiate Business Schools and Programs (ACBSP).,Master's,Master of Science in Aerospace Business Analytics,https://erau.edu/degrees
