Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Public Administration,,,,,Graduate,Fall,,,,Required,Required,Not Required,,"To apply for the Master of Public Administration program, applicants must complete the Graduate Application for Admission, submit a 2-3 page statement of purpose responding to a specific prompt, submit a current résumé detailing educational and work experience, provide two letters of recommendation submitted through the online application system, submit official transcripts from all previously attended colleges, and submit a 3-4 page Critical Essay on an Issue in Public Administration based on a provided topic. A $50 application fee is also required. Some applicants may be invited for an interview.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,17205.0,,,,,,"Public & Nonprofit Administration, Public Policy, Tribal Governance","Our Master of Public Administration (MPA) program offers an interdisciplinary curriculum that responds to the changing needs of the public and nonprofit sectors. You’ll be prepared for leadership and management positions in public service, from small local nonprofits to large federal agencies. You’ll learn to engage in thoughtful inquiry and act in the public interest with compassion, competence, and commitment. You’ll learn: Critical thinking, writing, quantitative and qualitative analysis to support decision making and problem solving. Collaborative leadership in diverse organizations and communities. How to define public problems and opportunities, analyze policies, and manage programs with an equity lens. Ethical public service that is responsible, accountable, and dedicated to pursuing the public interest.",,https://www.evergreen.edu/offices-services/master-of-public-administration-mpa,,,684.0,,False,,4.0,3.0,,,,,,,,,,,17205.0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,2000,75.0,"Merit-based, Diversity-based",,,,,,,
,Master of Environmental Studies,,,,,Graduate,Fall,,,,Required,Required,Not Required,"If your native language is not English, you will need to take an English language proficiency test. You can provide scores for TOEFL, IELTS, or Duolingo. We look for a minimum score of 80 on TOEFL IBT, 6.0 on IELTS, or 105 on the Duolingo English Test. If your secondary or postsecondary education was completed in English, you may be able to waive the English proficiency requirement.","To be considered for admission, you will need to submit a complete application. Your application will consist of: Online application with non-refundable fee ($50). Statement of Purpose. Resume. Unofficial transcripts from all colleges/universities you attended. Official transcripts will be required upon acceptance. Two letters of recommendation. Writing Sample (optional).",Optional,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,11703.0,,,,,,,"The Master of Environmental Studies (MES) is a two-year, interdisciplinary graduate degree that prepares you to work in a wide variety of environmental fields. You’ll learn to combine science, policy, and community action to understand and solve complex environmental problems. Our graduates are respected for their skills, confidence, and professionalism. The MES program started in 1984 and has an alumni network of over 1,000 working in environmental professions around the world. We offer a distinctive approach to graduate education based on our interdisciplinary curriculum, collaborative and interactive learning environment, and narrative evaluations instead of grades. You’ll become part of a close-knit and supportive community of learners as you explore the environmental challenges of the Pacific Northwest and the world.",,https://www.evergreen.edu/academics/graduate-studies,,,390.1,,True,,4.0,3.0,,,,,,,,,,,1281.0,,,,,,,False,False,,,105.0,,,,6.0,,,,,80.0,,,,,,,,,,,1000 to 3000,,"Merit-based, Need-based",,,,,,,
,Master in Teaching,,,,,Master,Fall,,,,Not Required,Required,Not Required,,"A complete application for the Master in Teaching program includes: an online Application for Graduate Study, a two-page Statement of Purpose, official transcripts from all colleges and universities attended, three letters of recommendation submitted through the online application system, passing scores for the Washington Educator Skills Test-Basic (WEST-B) or an approved alternative, documentation meeting the endorsement requirement, a Character & Fitness Supplement, and an interview. An application fee is also required.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,14244.0,,,,,,"K-8 Elementary Education, K-12 Special Education, K-12 Reading, English Language Learner","The Master in Teaching (MiT) Program at The Evergreen State College prepares and supports justice-oriented teachers for public schools. We support our teacher candidates in developing the knowledge, skills, and dispositions to bring Evergreen’s five foci to their own work in K-12 classrooms: collaborative, interdisciplinary, student-centered, hands-on, and community-based learning. We are a full-time, in-person, four-quarter cohort program that culminates in a Master in Teaching degree and a Washington State teaching certificate with endorsements in K-8 Elementary Education and/or K-12 Special Education. We also offer pathways to a K-12 Reading endorsement and an English Language Learner endorsement. While in our program, candidates are placed in a professional-track internship in a K-12 public school classroom throughout the school year. They have the opportunity to work alongside an experienced mentor teacher and to connect theory from their graduate coursework to the practice of teaching.",,https://www.evergreen.edu/academics/graduate-studies,The Master in Teaching (MiT) program is approved by the Professional Educator Standards Board (PESB).,,476.0,True,False,1.0,4.0,3.0,,,,,,,,,,,14244.0,,,,,,,False,False,,22.0,,,,,,,,,1125.0,,,,,,,,,,,,"up to $8,000 per year",,Conditional,,,,,,,
,Sustainability Master of Business Administration,,,,,MBA,,,,,,,Not Required,"Evergreen does not require you to take an English language proficiency exam (TOEFL or IELTS) to be admitted. However, we may recommend that you consider enrolling in a program at an ESL school before attending Evergreen.",,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,"The Evergreen State College is excited to offer a new Master of Business Administration (MBA) in Sustainability. With classes set to begin in Fall 2022, students can expect to gain the necessary business skills and knowledge to lead and manage organizations in an ever-changing world with complex economic, social and environmental challenges.

The program will focus on strategic thinking, leadership, and collaboration through applied learning taught by a team of faculty who have business and organizational leadership experience. The program provides the business credentials students need to succeed in their careers while also making a positive impact on their communities and the world.

Evergreen’s MBA program will allow students to graduate with the knowledge to manage finances and understand markets, build collaborative organizations, and have the skills to implement long-term goals for success in a sustainable and equitable manner.",,https://www.evergreen.edu/admissions-and-aid/graduate-student,The MBA program is currently undergoing accreditation review. More information will be available soon.,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Public Administration in Tribal Governance,,,,,Masters,Fall,,"October 1, 2025","January 15, 2026",Required,Required,Not Required,"You can demonstrate proficiency by submitting one of the following:

Test of English as a Foreign Language (TOEFL) with a minimum score of 80 on the iBT.
International English Language Testing System (IELTS) with a minimum score of 6.5.
Duolingo English Test with a minimum score of 105.
Pearson Test of English (PTE) Academic with a minimum score of 59.
Successful completion of the ELS Language Centers’ Level 112.","All applicants must submit:

An online application for admission to The Evergreen State College Graduate School for the MPA program.
An application fee of $50 (this fee may be waived based on financial need).
Official transcripts from all previously attended colleges and universities.
At least two letters of recommendation from faculty who have taught you, or supervisors who know your work.
Statement of purpose describing how the MPA program will help you meet your personal and professional goals (500–750 words).
A resume listing your relevant work and volunteer experience.
An analytical essay based on one of two prompts (500–750 words).",Required,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,30750.0,,,,,,Tribal Governance,"The Tribal Governance concentration is the first of its kind in the nation. It is designed for students who are or intend to be managers or leaders in tribal governments or in organizations that work with tribal governments. The concentration addresses the history and legal status of American Indian tribes and the unique governance issues they face. The curriculum emphasizes tribal sovereignty, ethics, and values.",,https://www.evergreen.edu/academics/graduate-studies,"Evergreen's MPA program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA) Commission on Peer Review and Accreditation and listed on the annual roster of accredited programs in conformity with NASPAA standards.",,512.5,,False,,4.0,3.0,,,,,,,,,,,33444.0,,,,,,,False,False,,,105.0,,,,6.5,,,59.0,,80.0,,,,,,,,,,,"500 - 5,000",,"Merit-based, Need-based, Program-specific",,,,,,,
,Master of Public Administration in Public Policy,,,,,Master,Fall,,,,Required,Required,Not Required,"International students can prove proficiency in English with one of the following: TOEFL score of 72 iBT / 530 PBT, IELTS score of 6.0, Duolingo English Test score of 105, PTE Academic score of 52, or successful completion of ELS Language Centers Level 112. The requirement may be waived for students with official transcripts from a high school, college or university in the United States, United Kingdom, Ireland, Australia, New Zealand, or English-speaking provinces of Canada.","All applicants to the MPA program must submit the following materials to be considered for admission:

*   Graduate Application
*   Application Fee
*   Statement of Purpose: In 500-1000 words, tell us why you are applying to Evergreen’s MPA program. This is your opportunity to demonstrate your writing ability and to tell us about your personal and professional goals.
*   Résumé: Upload a current résumé that highlights your professional and/or academic experience and skills relevant to the MPA program. For applicants with limited professional experience, highlight your relevant volunteer and community service.
*   Official College Transcripts: Official transcripts from all previously attended colleges and universities are required.
*   Letters of Recommendation: Three letters of recommendation are required from academic or professional references who can attest to your ability to do graduate-level work.
*   Analytical Writing Prerequisite: Applicants must be able to demonstrate they have met the prerequisite by submitting one of the following:
    *   An official transcript showing successful completion of an analytical writing-intensive course or courses in the social sciences, humanities, or sciences. The course(s) must have been completed within the past 5 years and with a grade of 3.0 or higher (on a 4.0 scale).
    *   A scored analytical writing section of the GRE from a test taken within the past 5 years. A score of 4.5 or higher is required.
    *   A 3-5 page analytical essay.
    *   Completion of the MPA Program’s Public Policy and Governance (PP&G) course, taken through open enrollment within the past 5 years. A grade of 3.0 or higher is required.
    *   For applicants with a graduate degree from a regionally-accredited college or university in the U.S. (or its equivalent in another country) may submit their Academic Statement of Purpose in lieu of the Analytical Writing Prerequisite.",Optional,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Graduate Studies,13746.0,,,,,,Public Policy,"Prepare for a career as a policy analyst or for policy advocacy. You'll gain a firm foundation in the policy process, including analysis, research, strategies, and implementation. Electives can be tailored to fit your policy area of interest.",,https://www.evergreen.edu/academics/graduate-studies,"Evergreen's MPA program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA).",,458.0,False,False,,4.0,3.0,,,,,,,,,,,13746.0,,,,,,,False,False,,,105.0,112.0,,,6.0,,,52.0,,72.0,,,,,,,,,,,"up to $3,000",,Fellowships,,,,,,,
,Bachelor of Arts,,,,,,Fall 2026,,,,Not Required,Required,Not Required,"If your native language is not English, you will need to demonstrate English proficiency. You can submit one of the following: TOEFL minimum score of 72 iBT or 525 PBT; IELTS minimum score of 6.0; Duolingo English Test minimum score of 105; Pearson Test of English (PTE) minimum score of 53; Completion of ELS Language Centers level 112.","To apply as a first-year student, you’ll need to submit: Your application, an application essay, and official transcripts. Submitting SAT and ACT scores is optional.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,"Washington Resident: $7,977/Year; Non-Resident: $29,559/Year",,,,,,,,,https://www.evergreen.edu/registration/degree-requirements,,,Washington Resident: $265/credit; Non-Resident: $984/credit,,False,,,,99%,,,,,,,,,,"Washington Resident: $7,977/Year; Non-Resident: $29,559/Year",,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,72.0,,,,,,,,,,,"Up to $5,000",,"Merit-based, Need-based",,,,,,,
,Bachelor of Science,,,,,,Fall 2026,,"August 1, 2025","February 1, 2026",Not Required,Required,Not Required,"If your native language is not English, you will need to submit proof of English proficiency. You can meet this requirement in any of the following ways: TOEFL: 79 iBT / 550 PBT, IELTS: 6.0, Duolingo English Test: 105, Pearson Test of English (PTE): 53, ELS Language Centers: Level 112. This requirement can also be met by successful completion of 2 years in a U.S. high school or 1 year in a U.S. college, including a college-level English composition course with a grade of 3.0 (B) or higher; successful completion of a U.S. associate’s degree; or graduation from a high school in which the primary language of instruction was English.","To apply as a first-year student, you'll need to submit the Evergreen application or the Common App, a $50 nonrefundable fee or fee waiver, a required essay, and an official transcript from the last high school you attended. Evergreen is test-optional.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,"$29,541/Year (Non-Resident)",,,,,,,,,https://www.reachivy.com/degree/bsc,,,$984.70,True,True,,4.0,2.5,,,,,,,,,,,29541,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"Up to $3,000 per year",,"Merit-based, Need-based, Talent-based",,,,,,,
,Bachelor of Arts and Science,,,,,,Fall 2026,,,,Not Required,Required,Not Required,"If English is not your first language, you will need to submit proof of your English proficiency. You can meet this requirement in any one of the following ways: TOEFL: Minimum score of 72 on the internet-based test (iBT) or 525 on the paper-based test (PBT). IELTS: Overall band score of 6.0. Duolingo English Test (DET): Minimum score of 100. ELS Language Centers: Completion of level 112 of the ELS English for Academic Purposes program. Pearson Test of English (PTE): Minimum score of 52.","To apply for first-year admission, you'll need to submit:

Application: You can apply using the Evergreen Application or the Common Application.
Application Fee: A nonrefundable $50 application fee. You can request a fee waiver if you can't afford the fee.
Transcripts: Official high school transcript or official GED scores.
Essay: An essay on one of two prompts is required.
Test Scores (Optional): We are test-optional. If you choose to submit them, send us your official ACT or SAT scores.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,"$8,496/Year",,,,,,,,,https://www.evergreen.edu/registration/degree-requirements,,,$341/credit,True,False,,,,74%,,,,,,,,,,"$8,496/Year",,,,,,,False,False,,,100.0,112.0,,,6.0,,,52.0,,72.0,,,,,,,,,,,"$1,000 - $2,000",,Merit-based,,,,,,,
,Interdisciplinary Arts and Sciences at Olympia,,,,,,,,,,Not Required,Optional,Not Required,"If English is not your first language, you will need to provide proof of English language proficiency.","To apply for first-year admission, you will need to submit: Application for Admission, a nonrefundable $50 application fee, and official high school transcripts or GED results.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,"$31,179/Year (Non-Resident)",,,,,,,,,https://www.quora.com/Is-it-possible-to-establish-an-unconventional-college-that-doesnt-guarantee-GPAs-but-only-academic-portfolios-and-its-teaching-approach-is-project-based-and-no-course-credit-hours-of-general-education-courses-and,,,"$1,180 per credit (Non-Resident, part-time)",True,False,,,,99%,,,,,,,,,,"$31,179/Year (Non-Resident)",,,,,,,False,False,,,100.0,112.0,,,6.0,,,50.0,,72.0,,,,,,,,,,,"Up to $11,250 depending on the scholarship",,"Merit-based, Need-based, Community Service-based",,,,,,,
