Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,,,,Bachelor of Arts,https://www.evergreen.edu/registration/degree-requirements,
,,,,Bachelor of Science,https://www.reachivy.com/degree/bsc,
,,https://www.evergreen.edu/registration/degree-requirements,,Bachelor of Arts and Science,https://www.evergreen.edu/registration/degree-requirements,
,,,,Interdisciplinary Arts and Sciences at Olympia,https://www.quora.com/Is-it-possible-to-establish-an-unconventional-college-that-doesnt-guarantee-GPAs-but-only-academic-portfolios-and-its-teaching-approach-is-project-based-and-no-course-credit-hours-of-general-education-courses-and,
,,,,Liberal Studies at Evergreen Tacoma,https://www.evergreen.edu/registration/degree-requirements,
,"The Native Pathways Program (NPP) is an upper-division transfer program designed for Indigenous students pursuing a bachelor's degree at The Evergreen State College. This unique academic program helps Indigenous students transfer their associate's degree to Evergreen, offering tailored support and community as they complete their bachelor's. Our Indigenous faculty and staff provide holistic advising to help students navigate their academic journey, identify career goals, and build community. We offer rigorous academic coursework focused on Indigenous topics and perspectives, which fulfills Evergreen's bachelor's degree requirements. NPP faculty are interdisciplinary and collaborate with students in developing individualized academic plans and pathways. NPP offers an academic path to a bachelor’s degree from Evergreen. This path can lead to a variety of degree programs, including but not limited to Native American and Indigenous Studies (NAIS), Tribal Governance, Political Science, Environmental Studies, Public Administration, and Education.",https://www.evergreen.edu/academics/native-pathways-program,,Native Pathways Program,https://www.evergreen.edu/academics/native-pathways-program,
,,,,Applied Computer Science and Information Technology,https://www.evergreen.edu/registration/degree-requirements,
,"El Camino is a program for students interested in Latinx Studies, Latin American Studies, and/or Multilingual Studies. It brings together multiple disciplines and ways of knowing to understand the history, politics, arts, literatures, social movements, and cultures of Latinx people in the U.S. and Latin America, as well as the sociolinguistics of multilingualism, second language acquisition, and Spanish language pedagogy. El Camino is designed for undergraduates with an intermediate or advanced level of Spanish, and it offers an opportunity to deepen their engagement with social sciences, humanities, and arts through the lens of language and culture. Students can expect to improve their Spanish language proficiency and intercultural communication skills, as well as develop critical analysis skills by studying the theories, histories, and cultural production of Latinx and Latin American peoples.",https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual,,Education and English Language Learning,https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual,
,,,,Ethnic Studies,https://www.evergreen.edu/registration/degree-requirements,
,"Literature is a fundamental way that humans imagine and represent themselves and their worlds. At Evergreen, you’ll study the literature of different places, periods, and genres. Through reading, discussion, and writing, you’ll investigate the historical and cultural contexts of literary works while honing your own analytical skills. You’ll learn how literature both reflects and shapes societies and how it impacts individuals. Evergreen’s interdisciplinary approach means that you’ll have opportunities to connect your literary studies with other fields, such as history, philosophy, gender studies, media studies, political economy, and fine arts.

Some of the questions you might explore include: How do literary forms and conventions develop? How do stories travel and change across cultures and time? How do authors use language and imagery to create meaning? How do literary works engage with social issues such as race, class, gender, and environmental justice? What roles do writers and literature play in society?",https://www.evergreen.edu/programs/literature,,Literature,https://www.evergreen.edu/registration/degree-requirements,
