QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,99%,Fall 2026,,,"Washington Resident: $7,977/Year; Non-Resident: $29,559/Year",,Washington Resident: $265/credit; Non-Resident: $984/credit,"Up to $5,000",,"Merit-based, Need-based",4 years,"Washington Resident: $7,977/Year; Non-Resident: $29,559/Year",Bachelor of Arts,https://www.evergreen.edu/registration/degree-requirements
,,,4.0,2.5,,Fall 2026,"August 1, 2025","February 1, 2026",29541,,$984.70,"Up to $3,000 per year",,"Merit-based, Need-based, Talent-based",4 years,"$29,541/Year (Non-Resident)",Bachelor of Science,https://www.reachivy.com/degree/bsc
,,,,,74%,Fall 2026,,,"$8,496/Year",,$341/credit,"$1,000 - $2,000",,Merit-based,4 years,"$8,496/Year",Bachelor of Arts and Science,https://www.evergreen.edu/registration/degree-requirements
,,,,,99%,,,,"$31,179/Year (Non-Resident)",,"$1,180 per credit (Non-Resident, part-time)","Up to $11,250 depending on the scholarship",,"Merit-based, Need-based, Community Service-based",4 years,"$31,179/Year (Non-Resident)",Interdisciplinary Arts and Sciences at Olympia,https://www.quora.com/Is-it-possible-to-establish-an-unconventional-college-that-doesnt-guarantee-GPAs-but-only-academic-portfolios-and-its-teaching-approach-is-project-based-and-no-course-credit-hours-of-general-education-courses-and
,,,,,,Fall 2026,,,"$9,339/Year",,283.6,Awards range from $500 to full in-state tuition,,"Academic achievement, Financial need, Field of study, Community service, Leadership",,"$9,339/Year",Liberal Studies at Evergreen Tacoma,https://www.evergreen.edu/registration/degree-requirements
,,,,2.5,98.8% for 2023-2024,,,,"Undergraduate (2023-2024): $8,340/year (WA Resident), $29,457/year (Non-Resident)",,"Undergraduate (2023-2024): $290/credit (WA Resident), $923/credit (Non-Resident)","$3,000/year",,"Merit-based, Need-based","Two-year, 60-credit course of study","Undergraduate (2023-2024): $8,340/year (WA Resident), $29,457/year (Non-Resident)",Native Pathways Program,https://www.evergreen.edu/academics/native-pathways-program
,,,,,98%,Fall 2026,"August 1, 2025","January 15, 2026","$9,246/Year (Resident)",4686.0,"$315 for first 2 credits, $226 for each additional credit (Resident)","$1,000 to $3,000 per year",,"Merit-based, Need-based",4 years,"$9,246/Year (Resident)",Applied Computer Science and Information Technology,https://www.evergreen.edu/registration/degree-requirements
,,,,,97.8%,Fall 2026,,,"$31,152/Year",,"$1,298","$12,000",,Merit-based,4 years,"$31,152/Year",Education and English Language Learning,https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual
,,,,,,Fall 2026,,,"$29,919/Year",,$971 per credit,"$1,000–$5,000",,Merit-based,4 years,"$29,919/Year",Ethnic Studies,https://www.evergreen.edu/registration/degree-requirements
,,,,,98%,Fall 2026,,,"$8,139/Year (Resident), $29,919/Year (Non-resident)",,"$269/credit (Resident), $995/credit (Non-resident)",Awards range from $100 up to the full cost of attendance,,"Merit-based, Need-based, Program-specific",4 years,"$8,139/Year (Resident), $29,919/Year (Non-resident)",Literature,https://www.evergreen.edu/registration/degree-requirements
,,,,,,,,,"$8,502/Year (WA Resident), $29,871/Year (Non-Resident)",,"$281/credit (WA Resident), $993/credit (Non-Resident)","Up to $3,000 per year",,"Merit-based, Need-based",1 Year,"$8,502/Year (WA Resident), $29,871/Year (Non-Resident)","El Camino: Latinx Studies, Latin American Studies, and Multilingual Education",https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual
,,,,2.0,98%,Fall 2026,,,"Washington Resident: $8,352/Year; Non-Resident: $30,816/Year",,"Washington Resident: $327/credit; Non-Resident: $1,154/credit","$2,000 - $3,000",,"Merit-based, Need-based, Community involvement",4 years,"Washington Resident: $8,352/Year; Non-Resident: $30,816/Year",Environmental Solutions,https://www.evergreen.edu/academics/undergraduate-studies/environmental-solutions
,,,,2.0,74%,Fall 2026,,,"Washington Resident: $8,442/Year; Non-Resident: $31,509/Year",,"Washington Resident: $352/credit; Non-Resident: $1,313/credit","$1,000 - $10,000",,"Merit-based, Need-based",4 years,"Washington Resident: $8,442/Year; Non-Resident: $31,509/Year",Environmental Studies,https://www.evergreen.edu/academics/undergraduate-studies/environmental-studies
,,,,,99%,,,,"$10,281/Year (WA Resident) or $30,714/Year (Non-Resident)",,$272/Credit (WA Resident) or $952/Credit (Non-Resident),"$3,000 (WA Resident) or $12,000 (Non-Resident)",,"Merit-based, Need-based",1 Academic Year,"$10,281/Year (WA Resident) or $30,714/Year (Non-Resident)",Environmental Justice,https://www.evergreen.edu/catalog/offering/environmental-justice-social-movements-42762
