Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"The Master of Education in Art Education degree program is a 33-credit program for students who currently have a teaching certificate in art. It is designed to further develop artistic and creative talents, deepen knowledge of art history and criticism, investigate contemporary issues and trends in art education, and renew and invigorate the spirit of professionalism. The M.Ed. in Art Education is accredited by the National Association of Schools of Art and Design (NASAD).",https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/department-of-art-and-design/graduate-art-education.html,accredited by the National Association of Schools of Art and Design (NASAD),Master's,Master of Education in Art Education,https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
,"The Art Education Certification program at Kutztown University is an intensive post-baccalaureate program designed for individuals who hold a bachelor’s degree in studio art and now wish to become certified to teach art in Pennsylvania’s public schools, grades pre-kindergarten to 12. Graduates of the program will meet all requirements for a Level I Teaching Certificate. KU's Art Education certification program consists of 33 credits, 27 in art education and 6 in student teaching. The Art Education Certification Program is designed for post-baccalaureate students who already hold a bachelor’s degree in studio art, from an accredited college or university, with a minimum of 40 studio credits. The program results in initial certification only. It does not culminate in a master’s degree. Students who wish to obtain a master’s degree in art education must apply for admission to that program.",https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/department-of-art-and-design/graduate-programs/art-education-certification.html,Kutztown University is accredited by the Middle States Commission on Higher Education and the National Association of Schools of Art and Design (NASAD).,Certification,Art Education (Certification),https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
,The Master of Fine Arts in Communication Design program at Kutztown University is a 60-credit degree designed to foster the individual voice and advance the skills of designers who wish to contribute to the global community in a meaningful way. Our nationally ranked MFA program is the only program of its kind in the Pennsylvania State System of Higher Education (PASSHE) and one of the largest graduate Communication Design programs in the country.,https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/department-of-art/communication-design/graduate-program.html,The Master of Fine Arts in Communication Design is an accredited institutional member of the National Association of Schools of Art and Design (NASAD).,MFA,Master of Fine Arts in Communication Design,https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
"Thesis Track, Non-Thesis Track","The Master of Education in Music Education is a fully online program designed for the certified, practicing music educator. The purpose of this program is to expand the student's understanding and application of pedagogy, research, and philosophy in order to improve and inform their teaching in the P-12 music classroom. The Master of Education in Music Education offers a choice between two tracks, Thesis and Non-Thesis, and may be completed in two years. Courses are offered on a rotating cycle and taught by the accomplished and diverse music faculty in the Music Department.",https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/majors-minors-and-certificates/music/music-degrees/master-of-education-in-music-education.html,Kutztown University is an accredited institutional member of the National Association of Schools of Music (NASM).,Master of Education,Master of Education in Music Education,https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/majors-minors-and-certificates/music/music-degrees/master-of-education-in-music-education.html
,The Music Education Certification Program at Kutztown University provides an opportunity for individuals who hold an undergraduate degree in music to complete the coursework required to be recommended for Pennsylvania teacher certification in music. The program is specifically designed to meet the needs of each individual student and can include undergraduate prerequisite courses and deficiencies in addition to the professional education sequence of courses. An initial review of the student's undergraduate transcript will determine the required music and education coursework to be completed for certification.,https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/departments/music/graduate-programs/music-education-certification.html,Kutztown University is an accredited institutional member of the National Association of Schools of Music (NASM).,Certification,Music Education (Certification),https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
"General, Supply Chain Management and Logistics, Health Care Management, Leadership, Finance, Business Analytics, Marketing","The Kutztown University Master of Business Administration program provides students with a high-quality graduate business education. Our comprehensive curriculum is designed to give students the theoretical background and practical skills needed for success in today's competitive global business environment. Students in the program develop skills in problem-solving, strategic thinking, and managing people and resources. Courses are taught by a distinguished faculty that are experts in their fields and are also dedicated teachers. Our students represent a diverse mixture of business professionals and managers, recent college graduates, and people seeking a career change. Because of this, the Kutztown MBA curriculum is designed with flexibility in mind. Courses are scheduled in the evening to accommodate our many working students. We also offer a 100% online MBA program. In addition to a general MBA, we offer a variety of in-demand academic tracks and certificate programs.",https://www.kutztown.edu/academics/colleges-and-departments/business/master-of-business-administration-(mba).html,"Kutztown University's College of Business is an accredited member of AACSB International, which represents the highest standard of achievement for business schools worldwide. Less than 5% of the world's 13,000 business programs have earned AACSB Accreditation. This distinction is the hallmark of excellence in business education.",,Master of Business Administration (MBA),https://www.kutztown.edu/academics/colleges-and-departments/business/master-of-business-administration-(mba).html
,The Graduate Certificate in Business Decision-Making is designed for individuals who have already earned an undergraduate degree and wish to continue their education at the graduate level to make more effective and efficient data-driven business decisions. Decision-making is a critical skill for any business leader. The curriculum provides a strong foundation in core analytical and quantitative business concepts to allow a leader to use business information and data for more effective decisions. This certificate is ideal for those who are looking to advance in their career or who are considering a graduate degree in business. This 12-credit certificate can be a stand-alone credential or it can be a pathway to the Kutztown University MBA program. Students who successfully complete the graduate certificate with a GPA of 3.0 or higher are eligible to have their GMAT/GRE requirement waived for admission into the Kutztown MBA program. All credits earned in the certificate program can be applied to the KU MBA.,https://www.kutztown.edu/decisionmakingcertificate,"The College of Business at Kutztown University is accredited by AACSB International, The Association to Advance Collegiate Schools of Business. This accreditation represents the highest standard of achievement for business schools worldwide.",Graduate Certificate,Graduate Certificate in Business Decision-Making,https://www.kutztown.edu/decisionmakingcertificate
"['Thesis Track', 'Project Track']","The Master of Science degree in Computer Science is designed for students who have a bachelor's degree in computer science or a related field. The program is specifically designed to expand the students' knowledge and expertise in the field of computer science and information technology. The graduate program includes advanced topics in software engineering, database management, high-performance computing, data analytics, and machine learning. In this program, students will learn advanced topics in computer science and also get a hands-on experience by completing a final project/thesis.",https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/computer-science-and-information-technology/graduate-programs/computer-science---ms.html,,Master's,Master of Science in Computer Science,https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
,"The MBA Data Analytics Certificate is for business professionals who seek to enhance their managerial and decision-making skillsets through data analysis. It covers topics such as regression, data mining, text mining, forecasting, and visualization in a business context. Students will acquire hands-on experience by applying these techniques to business problems, using popular software packages such as Excel, Tableau, and SAS Viya. All courses are applicable toward a KU MBA degree. Students can complete this certificate in addition to an MBA degree from KU or from another AACSB accredited business school. Students who complete the certificate can waive the GMAT requirement to join the KU MBA program.",https://www.kutztown.edu/academics/colleges-and-departments/business/graduate-programs/mba/data-analytics-certificate.html,The College of Business at Kutztown University is an accredited member of AACSB International.,Certificate,Graduate Certificate in Data Analytics (MBA),https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
,"The Kutztown University Graduate Certificate in Leadership program provides students the opportunity to gain relevant leadership skills and knowledge from MBA-level coursework. These courses are designed to give students practical tools to effectively lead, motivate and communicate in a dynamic and diverse workforce. The courses taken for this certificate may be applied to the Kutztown University MBA program.",https://www.kutztown.edu/academics/colleges-and-departments/business/graduate-programs/leadership-certificate.html,"The College of Business is accredited by AACSB International, a benchmark for business school quality. Less than 5% of the world's 13,000 business programs have earned AACSB Accreditation.",Certificate,Graduate Certificate in Leadership (MBA),https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
"['Nonprofit Administration', 'Public Management']","The Master of Public Administration (MPA) program at Kutztown University prepares students for careers as leaders and managers in the public and nonprofit sectors. Our graduates are equipped with knowledge of the values and ethics of public service and skills in policy analysis, program evaluation, budgeting and human resource management. The 36-credit hour MPA program combines a core curriculum in public administration with career-track specializations. Courses are offered in a flexible format, using a combination of in-person, hybrid and online classes to meet the needs of our diverse student population. Classes are taught by full-time faculty who hold doctoral degrees in public administration or a related field and have professional experience at all levels of government and nonprofit management.",https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/political-science-and-public-administration/graduate-program.html,"Kutztown University's Master of Public Administration (MPA) program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA) Commission on Peer Review and Accreditation and is listed on the Annual Roster of Accredited Programs in conformity with NASPAA standards. NASPAA is the recognized global accreditor of master's degree programs in public administration, public policy, public affairs, and nonprofit and related fields.",Master's,Master of Public Administration (MPA),https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
"['Student Affairs Practice', 'College Student Development and Services']","The Master of Education in Student Affairs in Higher Education is designed to prepare students for a variety of student affairs positions in a college or university setting. The curriculum emphasizes the integration of theory and practice to prepare graduates for entry and mid-level student affairs positions. The program consists of 36 credit hours, which includes an internship experience. This program also fulfills the educational requirements for students to pursue licensure as professional counselors in Pennsylvania and other states. Our program is unique in its flexibility. We offer a variety of course formats, including in-person, hybrid, and fully online, to best meet student needs. Students who are currently working full time in a student affairs setting may choose to complete a 36-credit curriculum that does not include the internship. This non-internship track of the Student Affairs in Higher Education program provides those already working in the field with the knowledge and skills necessary to enhance their professional competence as well as the opportunity for advancement to more responsible positions.",https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/counseling-and-student-affairs/graduate-programs/student-affairs-in-higher-education.html,The Student Affairs in Higher Education program at Kutztown University is consistent with the standards established by the Council for the Advancement of Standards in Higher Education (CAS).,Master's,Master of Education in Student Affairs in Higher Education,https://www.kutztown.edu/about-ku/administrative-offices/graduate-studies/graduate-programs.html
,,,,,Master of Arts in Addiction Counseling,https://www.kutztown.edu/academics/colleges-and-departments/education/academic-departments/counselor-education-and-student-affairs/student-handbook.html
