Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Science in Game Development,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in General Studies,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"A completed application, a nonrefundable $35 application fee, and an official high school transcript.",Not Required,True,False,,False,False,False,,,program,
Minor in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Not Required,"Students in any major at Kutztown University may minor in Geography by completing the course requirements. To declare a minor in Geography, students must complete the Declaration of Major/Minor form and have it approved and signed by the chairperson of the Department of Geography and the Dean of the College of Liberal Arts and Sciences.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Geology,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/physical-sciences/geology/bachelor-of-science-in-geology.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Geology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in German Communication & Culture,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Not Required,The minor in German Communication & Culture requires 18 semester hours. Six semester hours from the core courses and 12 semester hours from the elective courses.,Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Biochemistry: Pharmacy,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biology - Molecular/Micro/Cell,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"To apply as a first-year student, the following are required: a completed application (either through the KU application or the Common App), a $35 application fee, and an official high school transcript. Optional documents include SAT/ACT scores, a personal essay, and letters of recommendation.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Biology - Organismal Biology and Ecology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Bachelor of Science in Biology - Pre-Medical, Pre-Veterinary, Pre-Dental",https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biology: Allied Health,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biology: Medical Laboratory Sciences,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/biological-sciences/bachelor-of-science-in-biology/bs-biology-medical-laboratory-science.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Data Science,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"Requirements for admission include a completed application, an official high school transcript showing a solid college preparatory curriculum, the application fee, and optional SAT or ACT test scores. An optional essay can also be submitted.",Not Required,True,False,,True,False,False,,,program,
Minor in Disability Studies,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,True,False,,False,False,False,,,program,
Minor in Case Management,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/social-work/minor-in-case-management.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
