QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Liberal Arts and Sciences,,4.0,2.0,96%,Fall 2026,,,"In-state: $7,716/Year; Out-of-state: $19,290/Year",,In-state: $322/credit; Out-of-state: $804/credit,"$1,000 to full tuition",,"Merit-based, Foundation",4 years,"In-state: $7,716/Year; Out-of-state: $19,290/Year",Bachelor of Science in Game Development,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,96%,Fall 2026,,,"$10,277.70/Year (in-state)",,$322/credit (in-state tuition),"Awards range from $1,000 to $8,000 annually",,"Merit-based, Program-specific",4 years,,Bachelor of Science in General Studies,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,,Fall 2026,"August 1, 2025","December 1, 2025 (Priority Deadline, Rolling Admissions)","In-State: $7,716/Year, Out-of-State: $19,290/Year",,"In-State: $322/credit, Out-of-State: $804/credit","Amounts range from $1,000 per year to full tuition scholarships.",,Merit-based,4 years,"In-State: $7,716/Year, Out-of-State: $19,290/Year",Bachelor of Arts in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,95%,Fall 2026,,,,,"In-State: $451.55, Out-of-State: $965.20","Up to $8,000 per year",,"Merit-based, Need-based, Transfer, Departmental",18 semester hours,"In-State (tuition and fees): $10,901.10/year; Out-of-State (tuition and fees): $23,235.10/year",Minor in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,,Fall 2026,"August 1, 2025",,"PA Resident: $10,666.50/year; Non-Resident: $22,528.50/year (based on 2023-2024 rates, includes tuition and required fees)",,PA Resident: $322/credit; Non-Resident: $804/credit (based on 2023-2024 rates),"ranging from $1,000 to $7,000 annually",,Merit-based,4 years,"PA Resident: $10,666.50/year; Non-Resident: $22,528.50/year (based on 2023-2024 rates, includes tuition and required fees)",Bachelor of Science in Geology,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/physical-sciences/geology/bachelor-of-science-in-geology.html
,College of Liberal Arts and Sciences,,4.0,2.0,,Fall 2026,,,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,"In-State: $322/credit, Out-of-State: $804/credit","Scholarships range from $1,000 to $7,000 per year; some cover full tuition.",,"Merit-based, Departmental",,"In-State: $7,716/Year, Out-of-State: $19,290/Year",Minor in Geology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,96%,Fall 2026,"August 1, 2025",,"$3,994/Year",,"In-State: $497.40/Credit, Out-of-State: $994.40/Credit","$1,000 - $8,000",,"Merit-based, Need-based, Talent-based",18 credit hours,"In-State: $11,942/Year, Out-of-State: $23,864/Year",Minor in German Communication & Culture,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,96% (Fall 2022),Fall 2026,"August 1, 2025","December 1, 2025","In-State: $11,234/Year, Out-of-State: $23,334/Year",,"In-State: $451/credit, Out-of-State: $954/credit","Up to $7,000 per year",,Merit-based,4 years,"In-State: $7,716/Year, Out-of-State: $19,290/Year",Bachelor of Science in Biochemistry: Pharmacy,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,96%,Fall 2026,,,"In-State: $5,035.75/Semester; Out-of-State: $10,822.75/Semester",,In-State: $322/credit; Out-of-State: $804/credit,"$1,000 - $8,000 per year",,"Merit-based, Foundation-based, External",4 years,"In-State: $3,858/Semester; Out-of-State: $9,645/Semester",Bachelor of Science in Biology - Molecular/Micro/Cell,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
,College of Liberal Arts and Sciences,,4.0,2.0,96%,Fall 2026,"August 1, 2025","May 1, 2026",,,$322/credit (In-state); $804/credit (Out-of-state),"Ranges from $1,000 to full tuition",,Merit-based,4 years,"$11,119/Year (In-state); $22,693/Year (Out-of-state) for the 2024-2025 academic year",Bachelor of Science in Biology - Organismal Biology and Ecology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
