Program name,Program Page url
Bachelor of Science in Game Development,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in General Studies,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Arts in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Geography,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Geology,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/physical-sciences/geology/bachelor-of-science-in-geology.html
Minor in Geology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in German Communication & Culture,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Biochemistry: Pharmacy,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Biology - Molecular/Micro/Cell,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Biology - Organismal Biology and Ecology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
"Bachelor of Science in Biology - Pre-Medical, Pre-Veterinary, Pre-Dental",https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Biology: Allied Health,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Biology: Medical Laboratory Sciences,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/biological-sciences/bachelor-of-science-in-biology/bs-biology-medical-laboratory-science.html
Bachelor of Science in Data Science,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Disability Studies,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Case Management,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/social-work/minor-in-case-management.html
Bachelor of Science in Chemistry,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Chemistry,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
"Bachelor of Science in Cinema, Television and Media Production",https://www.kutztown.edu/academics/program-finder/a-z-programs.html
"Minor in Cinema, Television and Media Production",https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Coaching and Fitness Administration,https://www.kutztown.edu/academics/colleges-and-departments/business/department-of-sport-management/programs/minor-in-coaching-and-fitness-administration.html
Bachelor of Fine Arts in Communication Design,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Arts in Communication Studies,https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/majors-minors-and-certificates/communication-studies/programs/bachelor-of-arts-in-communication-studies.html
Minor in Communication Studies,https://catalog.ua.edu/undergraduate/communication-information-sciences/communication-studies/minor/
Bachelor of Science in Computer Science,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Computer Science,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/computer-science-and-information-technology/undergraduate-programs/minors-and-certificates.html
Bachelor of Science in Computer Science-Information Technology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Computer Science-Information Technology,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/computer-science-and-information-technology/undergraduate-programs/minors-and-certificates.html
Bachelor of Science in Criminal Justice,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/criminal-justice/checksheets.html
Minor in Criminal Justice,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Science in Business Administration in Accounting,https://www.kutztown.edu/academics/colleges-and-departments/business/department-of-business-administration/majors-minors-and-certificates/bachelor-of-science-in-business-administration/accounting.html
Minor in Actuarial Sciences,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Fine Arts in Animated Arts,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor of Arts in Anthropology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Anthropology,https://www.kutztown.edu/academics/courses/program-guides.html
Minor in Applied Engineering,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor's in Art,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Art,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor's in Art Education,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Minor in Art Education,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
Bachelor's in Art History,https://arthistory.umd.edu/academics/undergraduate/art-history-BA
Minor in Art History,https://www.kutztown.edu/academics/program-finder/a-z-programs.html
