Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Game Development,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-state: $7,716/Year; Out-of-state: $19,290/Year",,,,,,,"Game development is one of the fastest-growing sectors of the economy, and our students are trained with the skills necessary to join this exciting industry. Our program is a Bachelor of Science (BS) in Game Development which provides a strong foundation in programming, mathematics, and computer science coupled with a variety of game-specific courses and experience. With our comprehensive curriculum, you will learn how to design, develop, test, and publish games for various platforms, including PC, console, and mobile. Our program emphasizes hands-on experience, and students work on real-world game projects throughout their studies. You will learn game design, programming, art, sound, and project management while developing a professional portfolio that will showcase your skills to potential employers. Our Game Development program is designed to prepare students for a successful career in the video game industry, with graduates finding employment as game designers, programmers, artists, quality assurance testers, and project managers. Kutztown University is one of the few Pennsylvania State System of Higher Education (PASSHE) universities that offers a bachelor's degree in game development.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,In-state: $322/credit; Out-of-state: $804/credit,,,,4.0,2.0,96%,,,,,,,,,,"In-state: $7,716/Year; Out-of-state: $19,290/Year",,,,,,,,,,,100.0,112.0,,,6.0,,,53.0,,70.0,,,,,,,,,,,"$1,000 to full tuition",,"Merit-based, Foundation",,,,,,,
,Bachelor of Science in General Studies,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,,,,,,,,"The General Studies Degree Completion Program is a unique and flexible bachelor of science degree program designed for those who have some previous college credits but have not earned a degree and wish to complete a four-year bachelor's degree. Students can complete this program at Kutztown University. The program is specifically designed to provide students with the ability to pursue a baccalaureate degree in a manner that takes into consideration their previous educational experiences and current and future academic and career goals. Students will complete courses in a variety of disciplines, including 30 credits in one of three designated subject areas: Humanities, Natural Sciences or Social Sciences. This will allow students to individualize their program of study while achieving breadth and depth in their coursework.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,$322/credit (in-state tuition),,,,4.0,2.0,96%,,,,,,,,,,"$10,277.70/Year (in-state)",,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Awards range from $1,000 to $8,000 annually",,"Merit-based, Program-specific",,,,,,,
,Bachelor of Arts in Geography,,,,,,Fall 2026,,"August 1, 2025","December 1, 2025 (Priority Deadline, Rolling Admissions)",Not Required,Optional,Not Required,True,"A completed application, a nonrefundable $35 application fee, and an official high school transcript.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,,,,,,"Geography is the study of the Earth's landscapes, environments, and peoples. It is a multidisciplinary field that examines the spatial distribution of phenomena, human-environment interactions, and the processes that shape our world. Geographers use a variety of tools and techniques, including Geographic Information Systems (GIS), remote sensing, cartography, and field methods, to analyze and interpret spatial data. The Bachelor of Arts (BA) in Geography at Kutztown University provides students with a strong foundation in geographic concepts, theories, and methods.
The BA in Geography provides students with a broad and flexible liberal arts degree emphasizing the human and physical dimensions of geography, geographic techniques, and the interconnections between people and their environments. The curriculum introduces students to a variety of geographic subfields, including cultural geography, economic geography, urban geography, political geography, population geography, environmental geography, and physical geography. Students also gain proficiency in geographic techniques, including GIS, remote sensing, and cartography. With a strong emphasis on critical thinking, problem-solving, and spatial analysis, the BA in Geography prepares students for a diverse range of careers in both the public and private sectors, as well as for graduate studies.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"In-State: $322/credit, Out-of-State: $804/credit",,False,,4.0,2.0,,,,,,,,,,,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,,,,,,False,False,,,100.0,112.0,,,6.0,,,48.0,,70.0,,,,,,,,,,,"Amounts range from $1,000 per year to full tuition scholarships.",,Merit-based,,,,,,,
,Minor in Geography,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,True,"Students in any major at Kutztown University may minor in Geography by completing the course requirements. To declare a minor in Geography, students must complete the Declaration of Major/Minor form and have it approved and signed by the chairperson of the Department of Geography and the Dean of the College of Liberal Arts and Sciences.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-State (tuition and fees): $10,901.10/year; Out-of-State (tuition and fees): $23,235.10/year",,,,,,,"A minor in Geography will complement most majors at Kutztown University and increase your marketability as you begin your career. Geography is a field that offers both breadth and depth in the study of our planet, its environments, and human societies. It emphasizes the integrated understanding of the world, drawing on the natural sciences, social sciences, and humanities. Our minor is designed to provide you with a solid foundation in the fundamental concepts and methods of geographic inquiry, including spatial analysis, cartography, and geographic information systems (GIS). You will explore topics such as cultural landscapes, urban development, environmental sustainability, climate change, and global interconnectedness. By understanding the intricate relationships between people and their surroundings, you will develop a critical perspective on global and local issues, preparing you for a wide range of professional paths or further academic pursuits.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"In-State: $451.55, Out-of-State: $965.20",,False,,4.0,2.0,95%,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Up to $8,000 per year",,"Merit-based, Need-based, Transfer, Departmental",,,,,,,
,Bachelor of Science in Geology,,,,,,Fall 2026,,"August 1, 2025",,,,Not Required,True,,,,,,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,"PA Resident: $10,666.50/year; Non-Resident: $22,528.50/year (based on 2023-2024 rates, includes tuition and required fees)",,,,,,,"The Bachelor of Science (B.S.) in Geology at Kutztown University is a comprehensive program designed to provide students with a strong foundation in geological sciences, preparing them for diverse careers in environmental consulting, natural resource management, geological surveying, education, and research. Our curriculum emphasizes hands-on learning, fieldwork, and research opportunities, ensuring graduates are well-equipped with practical skills and theoretical knowledge. Program Highlights: Experienced Faculty: Learn from dedicated faculty members who are experts in various geological fields, including hydrogeology, geomorphology, paleontology, sedimentology, and structural geology. Field-Based Learning: Participate in extensive fieldwork experiences, including trips to local geological sites, national parks, and international locations, providing real-world application of classroom knowledge. State-of-the-Art Facilities: Access modern laboratories equipped with advanced instrumentation for geological analysis, including GIS software, petrography microscopes, and geochemistry tools. Research Opportunities: Engage in faculty-mentored research projects, presenting findings at regional and national conferences, and contributing to scientific literature. Career Preparation: Develop critical thinking, problem-solving, and analytical skills highly valued by employers in both the public and private sectors. Interdisciplinary Approach: Explore connections between geology and other scientific disciplines, such as environmental science, chemistry, and physics. Curriculum: The B.S. in Geology curriculum covers core geological principles and offers elective courses allowing students to tailor their studies to their interests. Key areas of study include physical geology, historical geology, mineralogy, petrology, structural geology, sedimentology, stratigraphy, geophysics, and hydrogeology. Students also complete coursework in related sciences, mathematics, and general education requirements.",,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/physical-sciences/geology/bachelor-of-science-in-geology.html,,,PA Resident: $322/credit; Non-Resident: $804/credit (based on 2023-2024 rates),,,,4.0,2.0,,,,,,,,,,,"PA Resident: $10,666.50/year; Non-Resident: $22,528.50/year (based on 2023-2024 rates, includes tuition and required fees)",,,,,,,,,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"ranging from $1,000 to $7,000 annually",,Merit-based,,,,,,,
,Minor in Geology,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,,,,,,"Geology is the study of Earth and its materials, structure, and processes, and the history of the evolution of life on Earth. A minor in Geology is an ideal complement to a variety of majors including environmental science, biology, marine science, geography, physics, physical science, and anthropology. The program provides the opportunity to explore Earth processes, resources, and environmental issues without the rigor of a full major.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"In-State: $322/credit, Out-of-State: $804/credit",,,,4.0,2.0,,,,,,,,,,,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Scholarships range from $1,000 to $7,000 per year; some cover full tuition.",,"Merit-based, Departmental",,,,,,,
,Minor in German Communication & Culture,,,,,,Fall 2026,,"August 1, 2025",,Not Required,Not Required,Not Required,True,The minor in German Communication & Culture requires 18 semester hours. Six semester hours from the core courses and 12 semester hours from the elective courses.,Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-State: $11,942/Year, Out-of-State: $23,864/Year",,,,,,,"KU's minor in German Communication and Culture is designed for students who want to develop practical, real-world communicative proficiency in German in a variety of personal and professional situations while also deepening their understanding of German-speaking cultures and societies. The minor combines language, culture, and communication-focused courses and offers students the flexibility to select courses to tailor their program of study to their individual interests and career goals. Students completing the minor will have a unique competitive advantage in a variety of fields including business, technology, international relations, tourism, arts, education and more. They will also be well-prepared to pursue further study of German at the graduate level.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"In-State: $497.40/Credit, Out-of-State: $994.40/Credit",,False,,4.0,2.0,96%,,,,,,,,,,"$3,994/Year",,,,,,,False,False,,,100.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"$1,000 - $8,000",,"Merit-based, Need-based, Talent-based",,,,,,,
,Bachelor of Science in Biochemistry: Pharmacy,,,,,,Fall 2026,,"August 1, 2025","December 1, 2025",,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-State: $7,716/Year, Out-of-State: $19,290/Year",,,,,,,,,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"In-State: $451/credit, Out-of-State: $954/credit",,,,4.0,2.0,96% (Fall 2022),,,,,,,,,,"In-State: $11,234/Year, Out-of-State: $23,334/Year",,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Up to $7,000 per year",,Merit-based,,,,,,,
,Bachelor of Science in Biology - Molecular/Micro/Cell,,,,,,Fall 2026,,,,Not Required,Optional,Not Required,True,"To apply as a first-year student, the following are required: a completed application (either through the KU application or the Common App), a $35 application fee, and an official high school transcript. Optional documents include SAT/ACT scores, a personal essay, and letters of recommendation.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Sciences,"In-State: $3,858/Semester; Out-of-State: $9,645/Semester",,,,,,Molecular/Micro/Cell,"The Molecular/Micro/Cell track of the Biology program at Kutztown University is a four-year curriculum designed for students who desire to study biological processes at the molecular, microbial, and cellular levels. Graduates with this degree are prepared to pursue careers in health professions (pre-med, pre-vet, pre-dental, pre-PA, etc.), biotechnology, pharmacy, genetic counseling, or scientific research. The skills developed in this track are also applicable to careers in education, scientific communication, policy, and law. Many students also pursue graduate degrees in a wide array of fields, including molecular biology, microbiology, cell biology, genetics, biochemistry, neuroscience, immunology, virology, toxicology, bioinformatics, and many others.

Students in the Molecular/Micro/Cell track will develop a strong scientific foundation through coursework in biology, chemistry, physics, and mathematics. Students then choose advanced coursework from fields such as molecular biology, microbiology, cell biology, genetics, immunology, virology, bioinformatics, and biochemistry. Students are also encouraged to participate in undergraduate research with a faculty mentor to gain hands-on experience and develop a research project from conception to presentation. Other opportunities include independent study, internships, and student teaching.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,In-State: $322/credit; Out-of-State: $804/credit,,True,,4.0,2.0,96%,,,,,,,,,,"In-State: $5,035.75/Semester; Out-of-State: $10,822.75/Semester",,,,,,,False,False,,,95.0,112.0,,,6.0,,,48.0,,70.0,,,,,,,,,,,"$1,000 - $8,000 per year",,"Merit-based, Foundation-based, External",,,,,,,
,Bachelor of Science in Biology - Organismal Biology and Ecology,,,,,,Fall 2026,,"August 1, 2025","May 1, 2026",,,Not Required,True,,,,,,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,"$11,119/Year (In-state); $22,693/Year (Out-of-state) for the 2024-2025 academic year",,,,,,Organismal Biology and Ecology,"The Organismal Biology and Ecology concentration is designed for students interested in a variety of fields, including natural resource management, conservation biology, field biology, wildlife biology, fisheries biology, animal behavior, evolution, ecology, and systematics. Students take courses in zoology, botany, ecology, evolution, and relevant electives within the Department of Biology and other departments at Kutztown University. Hands-on learning experiences, including field trips, are emphasized in many courses.",,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,$322/credit (In-state); $804/credit (Out-of-state),,,,4.0,2.0,96%,,,,,,,,,,,,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Ranges from $1,000 to full tuition",,Merit-based,,,,,,,
