Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Applicants for the M.Ed. in Professional Counseling (both Clinical Mental Health Counseling and School Counseling concentrations) must meet the admission requirements of the College of Graduate Studies and additional program requirements. To be considered for admission, applicants must have a bachelor’s degree from an accredited institution and submit a graduate school application, the application fee, and all transcripts. Applicants must submit the following directly to the program: Three letters of recommendation from individuals who can speak to the applicant’s potential for graduate education and work as a professional counselor. A resume. A statement of purpose (no more than three pages, double-spaced) addressing the applicant’s interest in the counseling profession, personal characteristics that will contribute to being an effective counselor, and any relevant experience. Official scores on the Graduate Record Examination (GRE) (verbal, quantitative, and analytical writing). Applicants with at least a 3.00 undergraduate GPA or a master’s degree may request a GRE waiver from the program coordinator.",Not Required,False,False,False,False,False,False,,,program,Master of Education in School Counseling,https://edu-leadership.mtsu.edu/professional_counseling-about/
,Required,"Admission to the Master of Arts in Liberal Arts (M.A.L.A.) program is determined by the candidate’s overall academic record, letters of recommendation, and a writing sample submitted to the program director. Applicants must have a bachelor’s degree from an accredited institution. For unconditional admission, a student must have a minimum 2.75 undergraduate GPA. Students with a GPA below 2.75 may be admitted conditionally. For admission, a student must also submit to the director of the M.A.L.A. program a writing sample that demonstrates the applicant’s ability to do graduate-level work and arrange to have two letters of recommendation from former professors sent directly to the program director. Applicants must also submit a one-page statement describing their academic interests and reasons for wanting to pursue the M.A.L.A. degree.",Required,True,False,False,False,False,False,,,program,Master of Arts in Liberal Arts,https://mtsu.test-imodules.com/s/601092/17/interior.aspx?sid=601092&gid=1&pgid=1452
Required,Not Required,"Admission to the Master of Business Administration program is based on a combination of GMAT/GRE scores and undergraduate GPA. The minimum requirements are one of the following:

1. GMAT score of 500 or higher (or equivalent GRE score) and a minimum undergraduate GPA of 2.75.
2. Admission Index of 1050 or higher (Index = GPA X 200 + GMAT).

Applicants may be admitted with deficiencies. See director for details.

A GMAT waiver may be considered for candidates who meet the following criteria:

1. an advanced degree (e.g., master’s or doctoral degree) from a regionally accredited institution, or
2. five years of significant, progressive, and professional work experience; an undergraduate GPA of 3.0 or higher from a regionally accredited institution; and successful completion of a business statistics course with a grade of C or better from a regionally accredited institution, or
3. a bachelor’s degree in business from an AACSB-accredited institution with an undergraduate GPA of 3.25 or higher, or
4. an undergraduate GPA of 3.5 or higher from a regionally accredited institution.

Students seeking admission to the Concrete Industry Management concentration must present two years of industry work experience.

In some cases, applicants who do not meet these criteria may be recommended for conditional admission.",Not Required,False,False,False,False,False,False,,,program,Master of Business Administration in Concrete Industry Management,https://www.mtsu.edu/search-program/
Required,Required,"Applicants should apply through the College of Graduate Studies. Additional admission requirements, in addition to the University requirements for graduate school, are as follows:
1. an undergraduate GPA of 3.0 or higher;
2. statement of purpose;
3. three letters of recommendation;
4. resume; and
5. interview.",,True,False,True,True,False,False,,,program,Master of Science in Health Care Informatics,https://www.mtsu.edu/search-program/
Required,Required,"Applicants should submit the following directly to the College of Graduate Studies:
1. an application for admission,
2. official transcripts of all previous college course work,
3. an official score on the Graduate Record Examination (GRE),
4. a statement of purpose outlining their career goals and how a master's degree in International Affairs will help attain them,
5. three letters of recommendation from individuals familiar with the student's academic background and potential for graduate studies,
6. a resume, and
7. a writing sample, preferably a research paper written for an upper-division undergraduate course.

In addition to the above, applicants must have an undergraduate degree from an accredited university or college with a minimum 2.75 GPA. Students who do not have at least 18 hours of undergraduate credit in one of the following areas—political science, history, geography, economics, or world languages—may be required to complete at least 12 hours of leveling course work determined by the graduate coordinator. The College of Graduate Studies requires a minimum GRE score of 146 on the verbal portion, 140 on the quantitative portion, and 3.5 on the analytical writing portion. These minimums are required for unconditional admission to the program. The International Affairs M.A. program requires all three components of the GRE exam (Verbal, Quantitative, and Analytical Writing). Applicants must complete the entire exam. Test scores more than five years old will not be accepted.",Required,False,False,False,False,False,False,,,program,Master of Arts in International Affairs,https://www.mtsu.edu/search-program/
Required,Required,"All application materials must be submitted to the College of Graduate Studies. Applicants should refer to the graduate catalog for details of the admission process. In addition to the application materials required by the College of Graduate Studies, applicants for the M.A. in International Affairs must also submit the following documents: a statement of purpose outlining interest in the program and career goals (1-2 pages, double-spaced); a resume; three letters of recommendation from individuals familiar with applicant's academic and/or professional abilities; and a writing sample (10 pages maximum) that demonstrates applicant's academic writing and research abilities.",Required,True,False,False,False,False,False,,,program,Concentration in International Security and Peace,https://pga.mtsu.edu/maia/
,Required,"Applicants should have a bachelor's degree from an accredited institution. To be considered for admission, applicants must have an undergraduate grade point average of 3.00 on a 4.00 scale or have received a master's degree. Applicants who do not have a 3.00 GPA must submit a GRE score of 150 verbal and 144 quantitative. In addition, all applicants must submit a 500-word statement of purpose. Three letters of recommendation should be sent directly to the Graduate School. Recommendation forms are available upon request.",,True,False,,False,False,False,,,program,Concentration in International Development and Globalization,https://www.mtsu.edu/program/international-affairs-m-a/
,,"Admission to the M.S. in Actuarial Science is based on a holistic review of each applicant’s file. The graduate program director will evaluate each applicant’s likelihood of success in the program. Applicants should have a bachelor’s degree from an accredited college or university. Preference will be given to those with a sufficient background in mathematics, statistics, or a related field with a GPA of 3.0 or better.

Successful completion of two professional actuarial exams from the Society of Actuaries is expected for admission. Admission may be granted with the completion of only one exam. In this case, the student may be required to successfully complete an approved exam prep course or self-study course and pass the corresponding professional exam as part of their degree program. A student who has not passed any professional actuarial exams may be admitted under certain circumstances but would be required to complete two approved exam prep courses and pass the corresponding exams as part of their degree program. In all cases, two exams must be passed before graduating from the program.

International applicants must satisfy the English proficiency requirements.",,True,False,,True,False,False,,,program,Master of Science in Actuarial Science,https://www.mtsu.edu/search-program/
Required,Required,"Admission to the Doctor of Education (Ed.D.) in Assessment, Learning, and Student Success is selective and based upon a holistic review of all application materials. Applicants seeking admission to the Ed.D. program in Assessment, Learning, and Student Success must submit the following to the College of Graduate Studies:

1. An application for admission.
2. Official transcripts of all previous college work. Applicants must possess either
    a master’s degree from an accredited institution with a minimum GPA of 3.25 for all graduate work undertaken or
    an undergraduate degree from an accredited institution with a minimum GPA of 3.25 and a minimum combined GRE score of 297 (150 verbal and 147 quantitative) or MAT score of 400.
3. A curriculum vitae or resume.
4. Three letters of recommendation addressing academic qualifications for doctoral study.
5. A statement of purpose (1000-1500 words) describing the applicant's research interests, professional goals, and how the program will advance those goals.
6. A writing sample demonstrating the applicant’s academic writing skills (e.g., master's thesis, course paper, or professional publication).",Required,True,False,False,False,False,False,,,program,"Doctor of Education in Assessment, Learning, and Student Success",https://mtsunews.com/doctoral-education-program-10th-anniversary/
Not Required,Not Required,"To apply for the M.A. in Economics program, a prospective student must have the following:
1. A bachelor's degree from an accredited institution. We welcome applicants with various undergraduate backgrounds.
2. An official Graduate Record Examination (GRE) score. There is no minimum score requirement; however, a quantitative score of 151 or above is recommended. To request a GRE waiver, please contact the graduate program director. The GMAT will also be accepted.
3. Two letters of recommendation.
4. For international students, an official TOEFL or IELTS score is required if the bachelor's degree was not from a US institution.",Not Required,False,False,False,True,False,False,,,program,Master of Arts in Economics,https://econfin.mtsu.edu/
Required,Required,"In addition to the general requirements for admission to the College of Graduate Studies, applicants must have a bachelor's degree in geosciences or an equivalent degree that includes at least 30 semester hours in the geosciences (geology, geography, environmental science) or related sciences with at least a 2.75 GPA. Applicants with fewer than 30 semester hours of undergraduate coursework in geosciences may be required to complete additional undergraduate coursework, which will not count toward the M.S. degree.

Applicants must also submit to the Department of Geosciences

1. three letters of recommendation;
2. a statement of purpose (300-500 words) that describes their interests in the geosciences and their professional goals; and
3. a current resume.",Not Required,True,False,True,True,False,False,,,program,Master of Science in Geosciences,https://www.mtsu.edu/search-program/
Required,Required,"To be considered for admission to the M.A. program, all applicants must submit the following materials: A completed online application form to the College of Graduate Studies; Official transcripts for all previous undergraduate and graduate work; Three letters of recommendation from former professors that speak to your academic potential; A statement of purpose (approximately 500 words) that discusses why you want to pursue a graduate degree in History, what you hope to do with that degree, and in what fields of history you are most interested; A sample of your academic writing (at least five pages), preferably a research paper based on primary sources that you have written for a history course; A resume or curriculum vitae; Official scores for the Graduate Record Exam (GRE), unless you have already earned a graduate degree from an accredited university or college.",Required,False,False,True,False,False,False,,,program,Master of Arts in History,https://www.mtsu.edu/search-program/
Not Required,Required,"Admission to the Master of Arts in History program is competitive. Meeting minimum requirements for admission to the College of Graduate Studies does not guarantee admission into the M.A. in History program. Applicants seeking admission to the Master of Arts in History program must submit the following to the College of Graduate Studies: an application for admission; official transcripts of all previous college course work; three letters of recommendation from individuals in a position to evaluate the applicant's potential for graduate work; a statement of purpose (approximately 500 words) indicating why the applicant wants to pursue graduate study in history at MTSU, his/her primary fields of interest, and his/her career goals; a writing sample (10-20 pages), preferably a research paper from an upper-division history course.",Required,True,False,False,False,False,False,,,program,Concentration in Public History,https://icpn.museum.state.il.us/content/middle-tennessee-state-university
Required,Required,"To be considered for admission to the Master of Science in Professional Science (MSPS) program, you must meet the admission requirements for the College of Graduate Studies and be accepted by the MSPS program. MSPS Program Admission Requirements include: An earned baccalaureate degree from an accredited university or college; Official transcripts of all previous college work; An acceptable grade point average (GPA) in the last 60 hours of undergraduate coursework (Unconditional admission requires a 3.0 GPA. Conditional admission requires a 2.75 GPA); Three letters of recommendation; A statement of purpose explaining your career goals and reasons for pursuing the MSPS degree; An up-to-date resume or curriculum vitae; Admission to the College of Graduate Studies; Acceptance by the MSPS Program. Graduate Record Examination (GRE) is not required for MSPS applicants.",Not Required,True,False,False,True,False,False,,,program,Master of Science in Professional Science,https://msps.mtsu.edu/contact/
Required,Required,"Admission to the Master of Science in Professional Science program requires

1.  an earned bachelor's degree from an accredited university or college;
2.  an acceptable grade point average in all college-level course work.

Applicants should also submit

1.  an official transcript from each college or university attended;
2.  three letters of recommendation;
3.  a resume;
4.  a statement of purpose.",Not Required,True,False,,True,False,False,,,program,Concentration in Professional Science - Actuarial Sciences,https://academiccatalog.umd.edu/graduate/
Not Required,Not Required,"Admission requirements for the Master of Science in Professional Science are the same as those for other master’s programs at MTSU. See Graduate Admissions. GRE scores are not required. Applicants must have an undergraduate major in a science, mathematics, or business field that is deemed appropriate by the M.S.P.S. Graduate Committee. Students with deficiencies may be required to take additional undergraduate coursework. Students select a concentration when they apply for admission. The program can be completed entirely online.",Not Required,True,False,False,True,False,False,,,program,Concentration in Professional Science - Biotechnology,https://www.mtsu.edu/search-program/
Required,Required,"The College of Graduate Studies at MTSU requires that all students submit: An application and a non-refundable application fee. Official transcripts for all colleges and universities attended. The Master of Science in Professional Science also requires that students submit the following additional materials with their applications: Two letters of recommendation. A statement of purpose (approximately 300-500 words). A curriculum vitae (CV) or professional resume. Minimum undergraduate GPA of 3.0. GRE General Test with a minimum Verbal score of 146 and a minimum Quantitative score of 144. In some cases, students may qualify for a GRE waiver.",Not Required,True,False,False,True,False,False,,,program,Concentration in Professional Science - Engineering Management,https://msps.mtsu.edu/
Required,Required,"Admission to the Master of Arts degree program in Psychology is granted by the Dean of the College of Graduate Studies upon the recommendation of the department's master's admissions committee. In addition to the university graduate admission requirements, the following departmental requirements must be met: a minimum GPA of 3.00 is generally required for admission to the M.A. programs, and applicants must have completed a minimum of 18 hours of undergraduate psychology coursework, including General Psychology, Statistics, and Research Methods. Applicants seeking admission to the Clinical, Experimental, or I/O Psychology M.A. program must submit the following directly to the Graduate School: Graduate application and application fee, Official transcripts, Three letters of recommendation, Statement of purpose (approximately 500 words), A résumé or curriculum vitae (CV). The GRE is not required for admission.",Not Required,True,False,True,False,False,False,,,program,Master of Arts in Psychology,https://www.mtsu.edu/search-program/
,Required,"The Quantitative Psychology concentration will admit students for Fall only. Deadline for applications is January 15. In addition to the admission requirements for the College of Graduate Studies, the M.A. program in Psychology requires an official transcript showing a bachelor’s degree from an accredited college or university with a major in psychology or a minimum of 18 semester hours of psychology course work; an undergraduate GPA of 3.00; Graduate Record Exam (GRE) scores; three letters of recommendation from individuals in a position to make a sound judgment of the applicant’s academic potential; and a one- to two-page statement of purpose.",,False,False,False,True,False,False,,,program,Concentration in Psychology - Quantitative,https://www.mtsu.edu/search-program/
Required,Required,"Applicants for the M.A. in Psychology with a concentration in Industrial/Organizational Psychology should submit the following to the College of Graduate Studies:

An application for admission.
Official transcripts of all previous college work.
Official scores on the Graduate Record Examination (GRE). A waiver of the GRE requirement is available for select applicants. For more information, please visit the Psychology department’s admissions page.
Three letters of recommendation from individuals in a position to make an academic appraisal.
A current resume or vitae.
A statement of purpose of approximately 500 words describing the applicant’s interest in I/O psychology and career aspirations.",Not Required,False,False,True,True,False,False,,,program,Concentration in Psychology - Industrial/Organizational,https://www.mtsu.edu/program/psychology-industrial-organizational-concentration-m-a/
