Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Optional,Optional,"Completed Midway University graduate application (no application fee)
Official transcript(s) from a regionally accredited college or university showing a bachelor’s degree was conferred with a minimum 2.5 cumulative GPA on a 4.0 scale. If your undergraduate GPA is less than 2.5, you may be granted provisional admission. Contact an admissions counselor to learn more. NOTE: For students with an undergraduate GPA between 2.25 – 2.49 a statement of purpose and resume will be required for admission review.
Students for whom English is not their primary language must have an official Test of English as a Foreign Language (TOEFL) score of 79 on the internet-based test (iBT). An official International English Language Testing System (IELTS) score of 6.5 may be submitted in lieu of TOEFL.",Not Required,True,False,False,False,False,False,,,program,Master of Business Administration (MBA),https://degrees.midway.edu/grad-program-landing-page.html
,Required,"Completed graduate application. An official undergraduate transcript from an accredited college/university with a minimum cumulative 2.5 GPA, or a 3.0 on the last 60 hours of coursework. Copy of teaching certificate (initial certification). Two letters of recommendation. Written statement of professional goals. An interview with the Program Coordinator. Teacher Leader Program Additional Requirement: One of the letters of recommendation must be from the applicant’s current building principal or district-level administrator.",Not Required,True,False,False,False,False,False,,,program,Master of Education (M. Ed.),https://www.midway.edu/graduate/med-2/
Required,Required,"Completed online application; Official transcripts from all institutions attended; Cumulative undergraduate GPA of 3.0 on a 4.0 scale; BSN from an accredited institution; Active, unencumbered RN license in Kentucky or compact state; Resume/CV; Written statement of purpose; Three professional references; Personal interview with nursing faculty; Background check, drug screening, and immunizations after conditional acceptance",Not Required,True,False,True,False,False,False,,,program,Master of Science in Nursing (MSN),https://degrees.midway.edu/grad-program-landing-page.html
Required,Required,"To be considered for admission to the Master of Social Work program, all applicants must submit the following items:

1. Online Application for Admission: No fee required.
2. Official transcripts from all previously attended institutions. Applicants must hold a bachelor’s degree from a regionally accredited institution with a minimum cumulative undergraduate GPA of 3.0 on a 4.0 scale for unconditional admission. Applicants with a cumulative GPA between 2.50 and 2.99 may be admitted on a conditional basis.
3. Statement of Purpose: Submit a 3-5 page typed essay, double-spaced with 12 point font that addresses all of the following questions: (a) Why are you choosing social work as a profession? (b) What are your career goals? (c) Why is Midway University’s MSW program a good fit for you? (d) Describe your experiences working with diverse populations (e.g. race, ethnicity, socioeconomic class, sexual orientation, gender identity, religion, ability). (e) Discuss a social problem and how you see social workers addressing it. (f) The MSW program is rigorous. How have you prepared for the academic challenges of a graduate program? (g) Is there anything else you would like the admissions committee to know?
4. Three Letters of Recommendation: The letters should be submitted directly by the references through the online application portal. Two of the three references must be academic or professional (i.e. employer).
5. Resume: Submit a resume that details your educational, volunteer, and employment history.",Not Required,True,False,False,False,False,False,,,program,Master of Social Work (MSW),https://degrees.midway.edu/grad-program-landing-page.html
Required,Required,"Completed online application. Official transcript(s) of all previous college work showing a minimum 2.75 cumulative GPA, or a 3.0 GPA in the last 30 hours of credit completed. Two letters of recommendation. Passing scores on the PRAXIS Core Academic Skills for Educators (CASE) exams: Reading (156), Writing (162), and Mathematics (150). Applicants who have an ACT composite score of 22, an SAT combined score of 1100 (math + verbal after 3/1/16), or a GRE score of 1000 (math + verbal) or higher will be exempt from PRAXIS CASE. An applicant with a master’s degree from a regionally accredited institution is also exempt from PRAXIS CASE. A personal statement regarding the applicant’s professional goals and dispositions for teaching. A professional resume that summarizes the applicant’s educational and professional experiences. A signed statement that the applicant has read and will adhere to the Professional Code of Ethics for Kentucky School Personnel and the Midway University School of Education Character and Fitness requirements. An interview with the Program Coordinator.",Not Required,True,False,False,False,False,False,22.0,1100.0,program,Master of Art in Teaching (MAT),https://www.midway.edu/academics/majors-and-programs/mat.html
Required,Required,"Completed graduate application.
Official transcript(s) from a regionally accredited college or university showing a bachelor’s degree was awarded.
Minimum 2.5 cumulative GPA for all college work.
Two letters of recommendation.
Resume.
Personal statement.
International students have additional admissions requirements.",Not Required,True,False,False,True,False,False,,,program,Master of Science in Management Information Systems (MMIS),https://degrees.midway.edu/grad-program-landing-page.html
Required,Required,"To be considered for admission and matriculation into Midway University’s MSN-MBA Dual Degree program, students must present the following: A Bachelor of Science in Nursing (BSN) degree from a regionally accredited institution and a nationally accredited nursing program (ACEN or CCNE). A cumulative GPA of 3.0 on a 4.0 scale for all previous coursework is required. Submission of an application for admission. Submission of a curriculum vita or resume. Submission of a personal statement. Evidence of a current, unencumbered RN license from Kentucky or the state in which the student plans to complete the practicum requirements. Official transcripts of all previous undergraduate and graduate coursework. Three (3) letters of reference that speak to the applicant’s capacity for graduate-level work and for advanced practice nursing roles. Completion of an undergraduate or graduate statistics course with a grade of “C” or better within the past 5 years.",,True,False,False,False,False,False,,,program,Online Master of Science in Nursing-Master of Business Administration dual degree (online MSN-MBA dual degree),https://www.midway.edu/academics/majors-and-programs/msn-mba-dual-degree.html
Required,Required,"To be considered for admission to the MHA program, students must meet these requirements:
1. Complete an application online at www.midway.edu/apply.
2. Submit a non-refundable $40 application fee.
3. Provide an official transcript from all colleges/universities attended.
4. Minimum cumulative GPA of 2.5 (on a 4.0 scale). Conditional admission may be available for a lower GPA.
5. A current resume.
6. Two letters of recommendation.
7. A statement of purpose about why you want to earn your MHA at Midway University.",Not Required,True,False,,False,False,False,,,program,Master of Healthcare Administration (MHA),https://degrees.midway.edu/grad-program-landing-page.html
Required,Required,"Completed graduate application (no application fee). Official transcripts from all colleges/universities attended. Transcripts must show a conferred bachelor's degree from a regionally accredited institution with a minimum cumulative GPA of 2.5 on a 4.0 scale or a GPA of 2.75 in the last 60 hours. Applicants with an undergraduate GPA of less than 2.5 may be considered for provisional admission. A resume or CV. Two letters of recommendation. A brief, one-page essay on career goals and how a Midway MBA will help in achieving them.",Not Required,True,False,,False,False,False,,,program,Concentration in Human Resource Management (MBA),https://degrees.midway.edu/grad-program-landing-page.html
Required,Required,"Complete the graduate application
Official transcripts from all institutions attended
Bachelor’s degree from a regionally accredited institution with a minimum 2.5 GPA (or a 2.75 GPA in the last 60 hours of coursework). Students who do not meet the minimum GPA requirements may be admitted on a conditional basis.
Resume
Statement of goals
Two letters of recommendation",Not Required,True,False,,False,False,False,,,program,Concentration in Management Information Systems (MBA),https://degrees.midway.edu/grad-program-landing-page.html
