Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Accountancy (MAcc),,,,,MAcc,"Fall, Spring, Summer",,,,Required,Required,GMAT,"Applicants from countries where English is not the language of instruction must have a TOEFL score of at least 550 (PBT), 213 (CBT), or 79 (IBT) or an IELTS score of 6.0.","To be admitted with Regular Admission Status to the MAcc Program, applicants must meet the following requirements:

1. An undergraduate degree from a regionally accredited college or university.
2. An undergraduate GPA of at least 3.0 on a 4.0 scale.
3. An upper-division (junior and senior level courses) GPA in accounting of at least 3.0 on a 4.0 scale.
4. GMAT score of 500 or better. The GMAT is an essential component of the application and students must take the GMAT before being considered for admission to the MAcc program. However, students who meet one or more of the following criteria may waive the GMAT requirement:
   * An undergraduate overall GPA of 3.25 or higher from an AACSB accredited business school.
   * Passed all four parts of the CPA exam.
   * Hold a graduate degree from an accredited U.S. university.
   * Have five or more years of professional work experience in accounting.
   * Belong to Beta Alpha Psi (BAP) with a GPA of 3.25 or higher.
5. Completed the following prerequisite courses with a grade of C or better:
   * Financial Accounting (ACCT 200)
   * Managerial Accounting (ACCT 210)
   * Intermediate Accounting I & II (ACCT 300 & 301)
   * Cost Accounting (ACCT 310)
   * Accounting Information Systems (ACCT 320)
   * Income Tax I (ACCT 403)
   * Auditing (ACCT 410)
   * Principles of Management (MGMT 330)
   * Principles of Marketing (MRKT 340)
   * Corporation Finance (FINA 362)
   * Legal Environment of Business (BLAW 200)
   * Business Statistics (SCMS 255)
   * Micro Economics (ECON 201)
   * Macro Economics (ECON 202)",Not Required,,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,,,,College of Business,17413.5,,,,,,,"The Master of Accountancy (MAcc) Program at Minnesota State University, Mankato is designed to meet the needs of both career-changers and those already in the accounting profession seeking to fulfill the 150-credit hour requirement to be licensed as a CPA in Minnesota and other states. The MAcc program has a strong reputation for providing a high-quality, affordable, and convenient way for you to achieve your professional and academic goals. Courses in the MAcc program are offered on-campus, online, and in a hybrid format. All required courses for the program are offered online. Students may complete the MAcc degree fully online, on campus, or in a combination that best meets their needs.",,https://www.mnsu.edu/find-a-program/graduate-programs/,"The College of Business is accredited by AACSB International, which represents the highest standard of achievement for business schools worldwide. Less than 5% of the world's 13,000 business programs have earned AACSB Accreditation. AACSB-accredited schools produce graduates that are highly skilled and more desirable to employers than other non-accredited schools. The Department of Accounting has also been granted separate AACSB Accreditation, a distinction that only 186 universities worldwide have achieved.",,580.45,,True,,4.0,3.0,,,,,,,,,,,17413.5,,,,,,,False,False,,,,,500.0,,6.0,,,,,79.0,,,,,,,,,,,,,"Merit-based, need-based, major-specific",,,,,,,
,Master of Arts in Art and Design,,,,,Master of Arts,"Fall, Spring, Summer",,,February 15 (Priority),,Required,Not Required,All applicants whose native language is not English must demonstrate English proficiency. This can be met with: a minimum score of 79 on the internet-based TOEFL (iBT) with a minimum score of 17 on the speaking and writing sections; a minimum score of 6.5 on the IELTS; a minimum score of 110 on the Duolingo English Test; a minimum score of 53 on the PTE Academic; or successful completion of Level 112 in an ELS Language Center.,"To be considered for admission to the Master of Arts in Art and Design program, an applicant must have completed an undergraduate major in art or design, a related discipline, or have completed at least 30 semester credits of undergraduate studio art and art history. All applicants must meet the general requirements for admission to the College of Graduate Studies and Research. Admission to the Department of Art & Design will be based on the following:
1. Statement of Purpose: A letter stating the applicant’s intent in undertaking graduate study in art and design. This letter should describe the applicant’s specific area(s) of interest within the discipline as well as any relevant academic, professional, and personal experience.
2. Portfolio of Original Work: A portfolio of 15–20 examples of the applicant’s best and most recent work submitted as a single PDF. The portfolio should include a title page, a complete image list, and a table of contents.
3. Letters of Recommendation: Three current letters of recommendation from former teachers or others who have a direct knowledge of the applicant’s academic and/or artistic ability.
4. Official Transcripts: All post-secondary transcripts must be sent to the College of Graduate Studies.
5. Graduate Record Exam (GRE): Not required for this program.
6. Writing Sample: An academic writing sample may be requested by the graduate coordinator after a review of other required materials.",Optional,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Humanities and Social Sciences,18121.8,,,,,,"Ceramics, Drawing, Fibers, Graphic Design, Painting, Printmaking, Sculpture","The Master of Arts in Art and Design degree is for students who want to continue their studies in art and design in a scholarly direction. It is a one-year program that prepares students for further graduate study in art history or for a variety of professional opportunities in museums and galleries. The program does not require a studio emphasis, as the MFA degree does. It is designed to further develop a student's critical, analytical, and writing skills as well as to increase their knowledge and understanding of historical and contemporary art. It is the appropriate degree for graduates who do not intend to teach at the university level.",,https://www.mnsu.edu/programs/art-design/,"Minnesota State University, Mankato is an accredited institutional member of the National Association of Schools of Art and Design (NASAD).",,543.05,False,False,,4.0,3.0,,,,,,,,,,,18121.8,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,10000,,Graduate Assistantships,,,,,,,
,Master of Arts in Communication and Media,,,,,MA,"Fall, Spring, Summer",,,"March 15, 2026",Not Required,Required,Optional,"International applicants whose native language is not English must provide evidence of English proficiency. Accepted tests and minimum scores include: TOEFL iBT (79), TOEFL PBT (550), IELTS (6.5), PTE Academic (53), Duolingo English Test (110), or completion of ELS Level 112.",Completed application for admission to graduate study. Application fee (non-refundable). Official transcripts from all post-secondary institutions attended. GPA of 3.0 on a 4.0 scale. A statement of purpose (no more than 500 words). Two letters of recommendation. International students are required to meet English Language Proficiency requirements.,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Humanities and Social Sciences,18622.4,,,,,,,"The Master of Arts in Communication and Media provides students with a program of study focused on human and technologically-mediated communication. This program is for students interested in advanced study and professional growth in communication and media. Our MA students engage with the complex and evolving media and communication environment of the 21st century through innovative instruction, creative activity, and original research. The program emphasizes critical thinking, communication and media theory, diverse research methods, and media production. Our graduates have pursued further graduate education at the Ph.D. level or entered careers in strategic communication, public relations, integrated marketing, media industries, higher education, non-profit, consulting, and management.",,https://www.mnsu.edu/find-a-program/graduate-programs/,,,581.95,False,False,,4.0,3.0,,,,,,,,,,,18622.4,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,Graduate Assistantships,,,,,,,
,Master of Arts in English,,,,,Master of Arts,"Fall, Spring",,,"Fall Semester: July 1 (final), Spring Semester: October 15",Required,Required,Not Required,"Evidence of English language proficiency is required of all applicants whose native language is not English, regardless of U.S. citizenship status.","Students must meet the admission requirements of the College of Graduate Studies and Research (mnsu.edu/grad).

Students seeking admission to the MA program in English must submit the following materials to the College of Graduate Studies and Research:

A writing sample that demonstrates the applicant's ability to succeed in the program's graduate coursework. The writing sample should consist of 8-15 pages of polished, academic writing that makes an argument about a literary or cultural text. The writing sample may be a single paper or two shorter papers.
A 1-2 page statement of purpose that explains the applicant's preparation for graduate study in English and his or her goals for the program.
Three letters of recommendation from individuals who are familiar with the applicant's academic work. At least two of the letters should be from former professors.
A curriculum vitae (CV) or résumé.
Official transcripts from all post-secondary institutions attended.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Humanities and Social Sciences,16987.2,,,,,,"['Literature and Critical Theory', 'Teaching Writing and Literature', 'Creative Writing']","The Master of Arts in English is designed for students who want to deepen their skills of literary and cultural interpretation, written and oral communication, critical thinking, and advanced research. The MA in English is an excellent credential for teaching at the community-college level, for applying to PhD programs, and for a wide range of other professions requiring advanced skills in reading, writing, and research, such as publishing, technical writing, professional writing, and public relations.",,https://www.mnsu.edu/find-a-program/graduate-programs/,,,530.85,False,False,,4.0,3.0,,,,,,,,,,,16987.2,,,,,,,False,False,,,110.0,112.0,,,6.5,,,58.0,,79.0,,,,,,,,,,,"a stipend of $12,000 for the nine-month academic year",,Graduate Assistantships,,,,,,,
,Master of Arts in English Education,,,,,Master of Arts,"Summer, Fall",,,"June 15, 2026",Not Required,Required,Not Required,"All applicants must demonstrate English proficiency. Accepted tests and minimum scores are: TOEFL iBT 79, IELTS 6.5, Duolingo English Test (DET) 110, Pearson Test of English (PTE) 53, or completion of ELS Level 112.","In addition to the admission requirements of the College of Graduate Studies and Research, applicants must have:

1. A minimum GPA of 3.0 on a 4.0 scale.
2. A bachelor's degree in English or English education. Students without an English or English Education background will be required to take up to twelve (12) undergraduate credits in English in order to satisfy deficiencies.
3. A statement of purpose explaining the applicant's reasons for wanting to do graduate work in English and what he/she hopes to do with the degree.
4. A critical writing sample of 5-10 pages.
5. Two (2) letters of recommendation from former professors or other professionals who can comment on the applicant’s academic potential.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,16038,,,,,,,"The Master of Arts in English Education provides students the opportunity for advanced study in the fields of language, literature, writing, and pedagogy, enabling them to expand and deepen their expertise as teachers and scholars. Students work with committed and nationally recognized faculty to further develop their expertise in the field of English education. Many of our students are practicing teachers in K-12 and post-secondary settings, while others are recent graduates seeking more experience and knowledge before entering the teaching profession. The program offers face-to-face, hybrid, and online options that meet the needs of a variety of student schedules. All students will work on an individual basis with a graduate advisor to develop a course of study best suited to their individual goals and interests.",,https://www.mnsu.edu/find-a-program/graduate-programs/,,,534.6,True,False,,4.0,3.0,,,,,,,,,,,16038.0,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Departmental",,,,,,,
,Master of Arts in Gender and Women's Studies,,,,,,"Fall, Spring",,,,Not Required,Required,Not Required,International applicants must demonstrate English proficiency by meeting one of the following requirements: TOEFL iBT score of 79 or higher (with minimum subscores of 17); IELTS score of 6.5 or higher (with minimum subscores of 6.0); PTE score of 53 or higher (with minimum subscores of 47); Duolingo English Test score of 110 or higher (with minimum subscores of 90); or completion of Level 112 at an ELS Language Center.,"To apply to the Gender & Women's Studies Master's Program, please submit the following through the College of Graduate Studies and Research application portal: Completed Graduate Application for Admission. Application fee. Official transcripts from all post-secondary institutions. Three letters of recommendation from individuals who can speak to the applicant's academic potential. A statement of purpose, approximately 500-1000 words, that addresses the following: The applicant’s experience in Gender & Women’s Studies or a related field; The applicant’s academic and career goals and how a M.A. in GWS will help meet those goals; Specific areas of interest in Gender & Women’s Studies; Why the applicant wants to pursue graduate study at Minnesota State University, Mankato. A writing sample of approximately 10-15 pages that demonstrates strong writing and analytical skills. The sample should be a formal academic paper, preferably written for an upper-division course. International students must also submit official TOEFL or IELTS scores that meet the minimum requirements of the College of Graduate Studies and Research.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Social & Behavioral Sciences,17770.1,,,,,,,"The Master of Arts in Gender & Women's Studies is an interdisciplinary program designed to provide students with a comprehensive and in-depth understanding of the complex intersections of gender, sexuality, race, class, and other social categories. The program offers a rigorous academic curriculum that combines theoretical foundations with practical applications, preparing graduates for a wide range of careers in academia, advocacy, non-profit organizations, and public service. Students will explore a diverse range of topics, including feminist theory, queer theory, transnational feminism, gender and globalization, and social justice. The program is committed to fostering a supportive and inclusive learning environment where students can engage in critical dialogue, research, and community activism. Students can choose between a Thesis or an Alternate Plan Paper (APP) to complete their degree.",,https://catalog.aucegypt.edu/preview_program.php?catoid=39&poid=6921&returnto=1977,,,522.65,,False,,4.0,3.0,,,,,,,,,,,17770.1,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Industrial-Organizational Psychology,,,,,,Fall,,,"December 1, 2025",Required,Required,Not Required,Proof of English proficiency is required for graduate study. This requirement can be satisfied with one of the following: TOEFL score of 79 iBT (with a minimum of 17 on speaking and writing sections) or 550 PBT; IELTS score of 6.5; PTE Academic score of 53; Duolingo English Test score of 110; ELS Language Center's Level 112.,"A complete graduate application consists of the following materials: Completed graduate application form and fee; Official transcripts from all undergraduate and graduate institutions attended, sent directly to the Graduate College; Personal Statement (limit 1,000 words): Discuss a.) your interests and career goals, b.) why you have chosen the I/O Psychology M.A. program at Minnesota State, Mankato, and c.) a significant accomplishment and a significant mistake.; Resume/CV; Three letters of recommendation; GRE is optional; Official TOEFL, IELTS, PTE, or Duolingo scores (for international applicants); Application deadline: January 15",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"College of Science, Engineering & Technology",9849.6,,,,,,,"The Industrial-Organizational (I-O) Psychology graduate program is a rigorous Master of Arts degree designed to prepare students for careers in I-O related fields in a variety of organizations or to enter a doctoral program. Our program follows the scientist-practitioner model of I-O psychology, which emphasizes the connection between scientific principles and professional practice. Our students receive strong foundational coursework in I-O psychology, research methods and statistics, with an emphasis in the application of this knowledge to real-world problems. The program typically requires two years of full-time study and students complete an applied research-based thesis as the capstone requirement. The program does not offer distance education options.",,https://www.mnsu.edu/find-a-program/graduate-programs/,,,547.2,True,True,2.0,4.0,3.0,,,,,,,,,,,9849.6,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Research-based",,,,,,,
,Master of Arts in Literature and English Studies,,,,,MA,"Fall, Spring",,,February 15,Required,Required,Not Required,"International students whose native language is not English must provide evidence of English proficiency. Minnesota State University, Mankato accepts the following exams and minimum scores: TOEFL iBT: a total score of 79 with a minimum writing score of 20 and a minimum reading score of 19, IELTS: a total score of 6.5 with no band below 6.0, PTE Academic: a total score of 53 with no band below 49, Duolingo: a total score of 110, ELS: graduation from Level 112 of the English Language Services (ELS) intensive program.","Admission to the M.A. in Literature and English Studies program requires the following:
- A baccalaureate degree from a regionally accredited institution.
- An undergraduate GPA of at least 3.0 on a 4.0 scale.
- A grade of B or better in at least 18 credits of upper-division (300-400 level) undergraduate English courses. Applicants with fewer than 18 credits may be admitted provisionally.

In addition to the online application and application fee, applicants must submit the following materials:
- Transcripts from all post-secondary institutions attended.
- Two letters of recommendation from former professors that speak to your potential for success in a graduate program.
- A personal statement (statement of purpose) of approximately 500-750 words.
- A critical writing sample of approximately 10-15 pages.
- A résumé",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Humanities and Social Sciences,16952,,,,,,,"The Master of Arts in Literature and English Studies is an innovative, flexible graduate program that emphasizes multiculturalism and interdisciplinary studies. Students choose from a range of courses in literary and cultural studies, creative writing, linguistics, literature, rhetoric, and writing studies to suit their scholarly, professional, and personal goals. The program has particular strengths in American multicultural literatures, children's and young adult literature, creative writing, cultural studies, contemporary literary theory, linguistics, and rhetoric and composition. The program offers a thesis and an alternate plan paper option. Recent graduates have pursued PhDs and MFAs at programs across the country; have taught at the secondary and postsecondary levels; have become professional writers, editors, and librarians; and have assumed positions in a range of public and private sector jobs.",,https://www.mnsu.edu/find-a-program/graduate-programs/,,,529.75,True,False,,4.0,3.0,,,,,,,,,,,1445.12,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,10000,,Graduate Assistantships,,,,,,,
,Master of Arts in Teaching English to Speakers of Other Languages,,,,,MA,"Fall, Spring",,,,Required,Required,Not Required,"International applicants must provide evidence of English proficiency. Accepted tests and minimum scores for full admission are: TOEFL iBT score of 79 (with a minimum of 17 on each section), IELTS overall score of 6.5 (with a minimum of 6.0 on each band), Duolingo English Test (DET) score of 110, Pearson Test of English (PTE) overall score of 53 (with a minimum of 47 on each band), or successful completion of Level 112 in the ELS Language Centers Academic English Program.","Baccalaureate degree from an accredited university.
A grade point average of at least 3.0 on a 4.0 scale.
Letter of intent which explains in 500 words or less why the student wishes to pursue this degree.
A résumé listing relevant work and/or volunteer experience.
Two letters of reference.
An academic writing sample (e.g. a paper written for an undergraduate course).
Graduate Record Examination (GRE) is not required.
TOEFL iBT of 79, IELTS of 6.0, Duolingo of 100, or PTE of 53 (if the undergraduate degree was not from an English medium university).
A personal interview may be required.",Required,,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Humanities and Social Sciences,16824,,,,,,,"The Master of Arts in Teaching English to Speakers of Other Languages (MA in TESOL) is a professional degree designed for those who wish to teach English to speakers of other languages in a variety of settings in the United States or abroad. The program provides a strong foundation in the theoretical and pedagogical aspects of second language acquisition, linguistics, cross-cultural communication, and language teaching methodology. Graduates are prepared for careers as ESL/EFL teachers, curriculum developers, program administrators, and teacher trainers in K-12 public and private schools, community colleges, universities, and private language institutes.",,https://www.mnsu.edu/programs/teaching-english-to-speakers-of-other-languages/teaching-english-to-speakers-of-other-languages-ma/,,,525.75,,False,,4.0,3.0,,,,,,,,,,,16824.0,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"Up to $1,500 for departmental scholarships; Graduate Assistantships include a $10,000 stipend and tuition waiver.",,"Merit-based, Need-based, Graduate Assistantships",,,,,,,
,Master of Arts in Teaching: K-12 and Secondary Programs (MAT),,,,,Master's,Summer,,,,Required,Required,Not Required,"All applicants for graduate study, regardless of citizenship, must demonstrate proficiency in English. This can be met by providing an official score report from one of the following: TOEFL iBT: 79 (with minimum subscores of 17), TOEFL pBT: 550 (with minimum subscores of 53), IELTS: 6.5 (with minimum subscores of 6.0), Duolingo: 110, PTE Academic: 53, or ELS: 112.","Completed application to the College of Graduate Studies and Research. A bachelor’s degree from a regionally accredited university. An undergraduate GPA of 3.0 on a 4.0 scale. (Applicants with an undergraduate GPA between 2.75 and 2.99 can be considered for provisional admission. Students admitted provisionally must earn a 3.0 GPA in the first nine (9) credits of graduate coursework to be moved to full admission status.) Official transcript from the institution where you earned your bachelor’s degree. Statement of purpose. (In two pages, double spaced, describe a) your reason for pursuing a Master of Arts in Teaching, b) your personal qualities and experiences that will make you a successful classroom teacher, and c) your commitment to diversity, equity, and inclusion in education.) A professional resume. Names and contact information for two professional references. (A link will be sent to your recommenders to complete a recommendation form. At least one reference must be from a faculty member who can attest to your academic performance if you have graduated within the past 5 years. For applicants who have graduated more than five years ago, two professional letters of recommendation are acceptable.) For non-native English speakers, an English language proficiency test is required. A content review form verifying a major or a course equivalency in your intended licensure area. (This will be available within the online application.)",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,15337.5,,,,,,"['Academic and Behavioral Strategist', 'Agriculture', 'Art', 'Business', 'Chemistry', 'Communication Arts & Literature', 'Developmental Disabilities', 'Early Childhood', 'Earth & Space Science', 'Emotional Behavioral Disorders', 'Family and Consumer Science', 'Health', 'Learning Disabilities', 'Life Science', 'Mathematics', 'Music', 'Physical Education', 'Physics', 'Social Studies', 'Spanish', 'TESL', 'Technology Education', 'Theatre Arts']","The Master of Arts in Teaching (MAT) is an initial teacher licensure program for individuals with a bachelor's degree who want to become a K-12 or secondary teacher. Students can choose from a number of different licensure areas. The coursework is delivered in a blended format - a mix of online and face-to-face instruction - and field experiences take place in K-12 schools. Once accepted into the MAT program, faculty will review your transcripts to develop a course of study for you to meet the Minnesota licensure requirements and complete the MAT degree. Our MAT students have a broad range of life experiences and education that lead them to become teachers. The MAT program values these different experiences and the variety of perspectives students bring to the program and to the classroom.",,https://www.mnsu.edu/find-a-program/graduate-programs/,"The College of Education at Minnesota State University, Mankato is accredited by the Council for the Accreditation of Educator Preparation (CAEP).",,511.25,True,False,2.0,4.0,3.0,,,,,,,,,,,15337.5,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,Merit-based,,,,,,,
