Program name,Program Page url
Master of Accountancy,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Athletic Training,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4546&returnto=4572
Master of Business Administration,https://onlinedegrees.nku.edu/programs/business/mba/
Master of Business Leadership & Innovation,https://www.youtube.com/watch?v=jvJe85nZuuE
Master of Science in Cardiovascular Perfusion,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Clinical Mental Health Counseling,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Computer Science,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4533
Master of Science in Cybersecurity,https://onlinedegrees.nku.edu/programs/technology/ms-cybersecurity/
Master of Arts in Education,https://www.nku.edu/admissions/graduate/programs.html
Master of Arts in Educational Leadership,https://www.nku.edu/admissions/graduate/programs.html
Master of Arts in English,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Exercise Science,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Health Informatics,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4536&returnto=4572
Master of Science in Industrial-Organizational Psychology,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4495&returnto=4572
Master of Science in Information Systems,https://onlinecatalog.nku.edu/preview_program.php?catoid=30&poid=5115&returnto=5175
Master of Arts in Interdisciplinary Studies,https://onlinecatalog.nku.edu/preview_program.php?catoid=30&poid=5091&hl=%22interdisciplinary+studies%22&returnto=search
Master of Legal Studies,https://www.nku.edu/admissions/graduate/programs.html
Master of Science in Nursing,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4519&returnto=4577
Master of Public Administration,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4501
Master of Arts in Public History,https://www.nku.edu/admissions/graduate/programs.html
Master of Arts in School Counseling,https://www.nku.edu/content/dam/CHHS/KCRS/COU/MA%20SC.pdf
Master of Social Work,https://www.nku.edu/admissions/graduate/programs.html
Master of Arts in Teaching,https://www.nku.edu/admissions/graduate/programs.html
Doctor of Occupational Therapy,https://www.nku.edu/admissions/graduate/programs.html
Doctor of Education in Educational Leadership,https://www.plu.edu/academic-programs/program/doctor-of-education/
Doctor of Education in Educational Leadership (Online Accelerated),https://www.nku.edu/admissions/graduate.html
Doctor of Education in Educational Leadership - Principal Certification (Online Accelerated),https://www.nku.edu/admissions/graduate/programs.html
Doctor of Nursing Practice,https://www.nku.edu/admissions/graduate/programs.html
Business Analytics Certificate,https://www.nku.edu/admissions/graduate/programs.html
Clinical Research Certificate,https://www.nku.edu/admissions/graduate/programs.html
Composition and Rhetoric Certificate,https://www.nku.edu/admissions/graduate/programs.html
Creative Writing Certificate,https://extendedstudies.ucsd.edu/certificates/creative-writing
Health Care Commercialization Certificate,https://www.nku.edu/admissions/graduate/programs.html
Health Informatics Certificate,https://www.nku.edu/admissions/graduate/programs.html
Information Systems Certificate,https://www.nku.edu/admissions/graduate/programs.html
Literary and Cultural Studies Certificate,https://www.nku.edu/admissions/graduate/programs.html
Nonprofit Management & Leadership Certificate,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4500
Nurse Practitioner Advancement Certificate,https://www.nku.edu/admissions/graduate/programs.html
Post-Master of Science in Nursing Certificate,https://www.nku.edu/admissions/graduate/programs.html
Professional Writing Certificate,https://www.nku.edu/admissions/graduate/programs.html
Total Worker Health Certificate,https://www.nku.edu/admissions/graduate/programs.html
Alternative Certification in Special Education,https://www.nku.edu/admissions/graduate/programs.html
Director of Pupil Personnel,https://www.nku.edu/admissions/graduate/programs.html
Educational Leadership School Superintendent Certification,https://www.nku.edu/admissions/graduate/programs.html
Rank I Teaching,https://research.com/rankings/education/most-popular-education-highland-heights-ky
