Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Accountancy,,,,,Master's,"Fall, Spring",,,,Optional,Optional,Either,"For international applicants whose native language is not English, proof of English proficiency is required. To be considered for full admission, applicants must meet one of the following minimum proficiency scores: TOEFL iBT: 73, TOEFL PBT: 525, IELTS: 6.0, ELS: Level 112, Duolingo: 100, PTE Academic: 51.","Official transcripts from all undergraduate and graduate institutions attended; A bachelor’s degree from a regionally accredited institution; An overall undergraduate grade point average (GPA) of at least 3.00 on a 4.00 scale. If the undergraduate GPA is less than 3.00, the applicant may still be considered for admission by submitting a GMAT score of 500 or better. The analytical writing portion must have a score of 3.5 or better.",,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,Haile College of Business,"$22,350 (Total for 30 credits, KY Resident)",,,,,,"Financial Accounting/Auditing Track, Taxation Track","The Master of Accountancy (M.Acc.) program at Northern Kentucky University is designed for students with an undergraduate degree in accounting who want to pursue a graduate business degree with a specialization in accounting. Our M.Acc. program provides students with the advanced knowledge and skills necessary to succeed in today’s competitive business environment and to help them meet the 150-hour requirement to sit for the CPA exam in Kentucky, Ohio, and most other states.",,https://www.nku.edu/admissions/graduate/programs.html,"The Haile College of Business is accredited by AACSB International - The Association to Advance Collegiate Schools of Business. Additionally, the Department of Accounting and Business Law has earned a separate accounting accreditation from AACSB.",,"$745 per credit hour (Kentucky Resident); $1,152 per credit hour (Non-Resident)",False,False,,4.0,3.0,,,,,,,,,,,"$22,350 (Total for 30 credits, KY Resident)",,,,,,,False,False,,,100.0,112.0,500.0,,6.0,,,51.0,,73.0,,,,,,,,,,,,,"Merit-based scholarships, Graduate Assistantships",,,,,,,
,Master of Science in Athletic Training,,,,,,Summer,,,,,,Not Required,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Human Services,18342.5,,,,,,,"The Master of Science in Athletic Training (MSAT) program provides students with the required knowledge, skills and abilities to be eligible for national certification and state licensure as an athletic trainer. The MSAT is a full-time, two-year program that prepares students for a career in athletic training through a combination of didactic, laboratory and immersive clinical education experiences. The comprehensive didactic curriculum is based in evidence-based practice and includes courses in injury and illness prevention, wellness promotion, emergent care, examination and clinical diagnosis, therapeutic intervention and rehabilitation of injuries and medical conditions. A total of five immersive clinical education experiences provide students the opportunity to practice and apply the skills they learn in the classroom to a wide variety of patient populations under the direct supervision of a preceptor. All clinical experiences meet the requirements of the Commission on Accreditation of Athletic Training Education (CAATE) and will be in one of the following settings: college/university athletics, secondary school athletics, professional sports, orthopedic and primary care physician offices, outpatient rehabilitation clinics, industrial medicine, and performing arts. Students will also be required to complete a research project and successfully defend the results prior to graduation. Once certified and licensed, athletic trainers provide comprehensive patient care in a variety of settings. Athletic trainers (ATs) are health care professionals who collaborate with physicians to provide preventative services, emergency care, clinical diagnosis, therapeutic intervention and rehabilitation of injuries and medical conditions. ATs work with patients of all ages and abilities in a variety of settings including: hospitals, physician clinics, sports medicine clinics, secondary schools, colleges and universities, professional sports, performing arts, industrial settings, and military.",,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4546&returnto=4572,The Master of Science in Athletic Training program is accredited by the Commission on Accreditation of Athletic Training Education (CAATE).,,Kentucky Resident: $667; Metro Rate: $787; Out-of-State: $977,,,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graduate Assistantships,,,,,,,
,Master of Business Administration,,,,,MBA,"Fall, Spring, Summer",,,,Required,Required,Not Required,"All international applicants must provide proof of English proficiency by submitting one of the following: TOEFL minimum score of 79 (internet-based) or 550 (paper-based), IELTS minimum score of 6.0, PTE minimum score of 53 (academic), Duolingo English Test minimum score of 105, or completion of level 112 at an ELS Language Center.","Admission to the NKU MBA program is based on the following criteria:

A bachelor's degree from a regionally accredited institution
A minimum undergraduate GPA of 3.0 on a 4.0 scale
Conditional admission may be granted to students with GPAs between 2.5 and 2.99
Submission of GMAT or GRE score reports
GMAT/GRE waivers are available for candidates with:
An undergraduate GPA of 3.2 or higher from a regionally accredited institution OR
Five or more years of professional work experience OR
A terminal degree (e.g., JD, MD, PhD, etc.) OR
A master's degree in a business-related field OR
Active CPA license.
Two letters of recommendation (can be academic or professional)
A current resume
A 500-word statement of purpose",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Haile College of Business,"Total Estimated Tuition: $25,707",,,,,,"['Leadership', 'Data Analytics', 'Finance', 'Marketing', 'Innovation & Entrepreneurship', 'Health Care Administration']","The online Master of Business Administration (MBA) from Northern Kentucky University is a nationally ranked program designed to broaden your knowledge, skills and abilities in key areas of business and management. Taught by the same world-class faculty who teach on campus, our program provides you with a rich, rewarding academic experience that integrates real-world business challenges into the curriculum. Our online MBA program prepares you to navigate the business world from a management perspective and to overcome the challenges of an evolving global economy. With a focus on strategic leadership, management and decision-making, you will learn to utilize your business expertise to influence, lead and excel in any industry. In this program, you will develop the analytical skills to strategically manage a team, evaluate risk and opportunity, and understand how to drive your organization’s growth and profitability. You will emerge from our online MBA program as an innovative business leader, ready to create value for your organization and advance your career.",,https://onlinedegrees.nku.edu/programs/business/mba/,Northern Kentucky University's Haile/US Bank College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). Fewer than 5 percent of business schools worldwide have earned this hallmark of excellence in business education.,,$779 Per Credit Hour,False,True,1.0,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Diversity-based",,,,,,,
,Master of Business Leadership & Innovation,,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,"For international applicants, proof of English proficiency is required. Accepted tests and minimum scores are: TOEFL iBT 79 or PBT 550, IELTS 6.0, ELS Level 112, Duolingo English Test 105, or Pearson Test of English (PTE) 55.",Admission to the Master of Business Leadership and Innovation (MBLI) is selective. The admissions committee reviews each candidate’s application package and considers all components of the application to determine the candidate’s overall qualifications for the program. Applicants must meet the admission requirements of the graduate school as well as the program-specific requirements listed below: A bachelor's degree from an accredited institution. An undergraduate GPA of 3.0 or higher. OR an undergraduate GPA between 2.5-2.99 with three years of progressive work or military experience. A current resume detailing professional experience. A personal statement video (2-4 minutes in length).,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Haile College of Business,"$22,950 for the entire 30-credit-hour program ($765 per credit hour)",,,,,,,"The Master of Business Leadership and Innovation (MBLI) is a 30-credit hour online program for working professionals who want to sharpen their leadership and innovation skills. In this program, students develop strategic leadership, problem-solving, and decision-making skills that can be directly applied to their careers.",,https://www.youtube.com/watch?v=jvJe85nZuuE,The Haile College of Business is accredited by AACSB International.,,765,False,False,,4.0,3.0,,,,,,,,,,,22950,,,,,,,False,False,,,105.0,112.0,,,6.0,,,55.0,,79.0,,,,,,,,,,,,,Graduate Assistantships,,,,,,,
,Master of Science in Cardiovascular Perfusion,,,,,Master of Science,Fall,,early July 2025,"November 1, 2025",,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,College of Health and Human Services,61600,,,,,,,"The Master of Science in Cardiovascular Perfusion at Northern Kentucky University is a 21-month, 77-credit hour program that provides students with the didactic and clinical experience needed to become a certified clinical perfusionist. Students are educated in all aspects of cardiopulmonary bypass and related technologies such as extracorporeal membrane oxygenation (ECMO) and ventricular assist device (VAD) management. Graduates of the program are eligible for board certification through the American Board of Cardiovascular Perfusion.",,https://www.nku.edu/admissions/graduate/programs.html,The Northern Kentucky University Cardiovascular Perfusion Program has been granted initial accreditation by the Commission on Accreditation of Allied Health Education Programs (www.caahep.org) upon the recommendation of the Accreditation Committee for Perfusion Education (AC-PE).,,$800 per credit hour (Resident),,,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,300,,,500.0,,,,,,,,,,,,,,1000,,"Graduate Assistantships, NKU Graduate Scholarship",,,,,,,
,Master of Science in Clinical Mental Health Counseling,,,,,Master of Science,Fall,,August,January 15,Required,Required,Not Required,"Proof of English proficiency is required of all applicants whose native language is not English, regardless of citizenship. This requirement is waived for applicants who have received a degree from a U.S. college or university. NKU accepts the following as proof of English proficiency: TOEFL: 79 iBT (550 PBT), IELTS: 6.5, ELS Language Centers: Level 112, Duolingo English Test: 105, Pearson Test of English (PTE): 58.","In addition to the online application for graduate admission and application fee, the following are required: Official transcripts from all post-secondary institutions attended. Three letters of recommendation. A statement of purpose outlining your career goals and reasons for seeking admission to the program. A resume highlighting relevant experience.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)",,,,,,,"NKU's Master of Science in Clinical Mental Health Counseling is a 60-credit hour program accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP). The program is designed to prepare compassionate and self-reflective counselors to work with diverse clients in a variety of community and clinical settings. Students who complete the program are eligible for counseling licensure in Kentucky, Ohio, Indiana, and many other states. All courses in the counseling program are taught by core faculty who have professional experience as licensed counselors. The program has three main components: a core of counseling classes, including a practicum of at least 100 hours in the field; specialization classes that develop specific knowledge and skills; and an internship of at least 600 hours in a clinical setting.",,https://www.nku.edu/admissions/graduate/programs.html,Accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP).,,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)",False,False,,4.0,2.75,,,,,,,,,,,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)",,,,,,,False,False,,,105.0,112.0,,,6.5,,,58.0,,79.0,,,,,,,,,,,"Varies (e.g., $500, $1,500)",,"Merit-based, Need-based",,,,,,,
,Master of Science in Computer Science,,,,,,"Fall, Spring, Summer",,,,,,Not Required,Students for whom English is not their primary language must demonstrate English proficiency by submitting one of the following: Test of English as a Foreign Language (TOEFL) score of 525 (paper-based) or 70 (Internet-based); International English Language Testing System (IELTS) score of 6.0; Duolingo score of 95; ELS Language Centers level 112; Successful completion of NKU’s English as a Second Language (ESL) program; A bachelor’s degree from a regionally accredited U.S. college or university.,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Informatics,,,,,,,,"The Master of Science in computer science program is a 30-credit-hour program that builds on a bachelor’s degree in computer science to provide students with advanced knowledge and skills in the computing discipline. The program helps prepare students for a career in the computing field as well as for further study at the doctoral level. Students receive a broad background in the areas of algorithms, computer architecture, operating systems, and programming languages, and they also have the opportunity to take a variety of electives in areas such as artificial intelligence, computer vision, data science, database systems, high performance computing, networks, and security.",,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4533,,,"KY Resident: $667/credit hour, Non-Resident: $967/credit hour",,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,95.0,112.0,,,6.0,,,,,70.0,,,,,,,,,,,,,"Graduate Assistantships, Tuition Scholarships",,,,,,,
,Master of Science in Cybersecurity,,,,,,Multiple start dates per year,,,,,,Not Required,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Informatics,"$23,100 (Total Program Cost)",,,,,,"Cybersecurity Management, Cybersecurity Technology","Cybersecurity professionals are in high demand as technology continues to evolve and businesses and organizations adapt to a changing global climate. Northern Kentucky University's online Master of Science in Cybersecurity program prepares you to meet that need, whether you are seeking a career in the field or an advanced role in your current organization. Designed for working professionals, this 100% online program is flexible, convenient, and affordable. You will gain in-demand skills in cybersecurity and technology that you can apply right away in your career. Our M.S. in Cybersecurity online program provides you with in-depth knowledge of all aspects of cybersecurity, including the latest techniques, policies, ethical and legal issues, and risk assessment and management. You will gain a clear understanding of the full scope of security issues from different points of view and learn to think on a higher level as you design complete information security systems. In this cybersecurity master's program, you will: Learn to secure data and information, protect networks, and assess system vulnerabilities. Gain practical skills in risk management and threat analysis, network security, computer forensics, and cryptography. Prepare for professional certification exams such as CISSP®, CEH, and CHFI. Discover how to create and implement security plans and disaster recovery plans.",,https://onlinedegrees.nku.edu/programs/technology/ms-cybersecurity/,"Earn your degree from a National Center of Academic Excellence in Cyber Defense Education (CAE-CDE), a designation awarded by the National Security Agency and the Department of Homeland Security.",,$770 per credit hour (Non-Resident),,,,4.0,3.0,,,,,,,,,,,"$23,100 (Total Program Cost)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graduate Assistantships,,,,,,,
,Master of Arts in Education,,,,,,"Fall, Spring, Summer",,,,,,Not Required,Applicants whose native language is not English must demonstrate English proficiency. This can be met by providing ONE of the following: TOEFL (Test of English as a Foreign Language) score of 79 (IBT) or 550 (PBT); IELTS (International English Language Testing System) score of 6.0; Duolingo score of 105; ELS (English Language Services) Language Center's Level 112; or PTE (Pearson Test of English) Academic with a score of 53. This requirement is waived for applicants who have completed a bachelor's or master's degree from a U.S. institution or a country where English is the official language.,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,,,,,,,"Curriculum and Instruction, Educational Leadership (Principal Program), Gifted and Talented Education, Instructional Computer Technology, Literacy P-12, Reading/Literacy Specialist P-12, School Librarian, Special Education - Learning and Behavior Disorders P-12, Teacher as Leader in a Culturally and Linguistically Diverse World","The Master of Arts in Education (M.A.Ed.) degree program is designed to meet the advanced professional needs of P-12 teachers and other school personnel. The program supports the professional growth of educators and helps them expand their knowledge and skills in specific areas of education. The M.A.Ed. is an all-online program and is offered in nine different concentrations, and also includes additional endorsements and a certificate. The M.A.Ed. can be completed in as few as 18 months.",,https://www.nku.edu/admissions/graduate/programs.html,"Northern Kentucky University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. Questions about the accreditation of Northern Kentucky University may be directed in writing to the Southern Association of Colleges and Schools Commission on Colleges at 1866 Southern Lane, Decatur, GA 30033-4097, by calling (404) 679-4500, or by using information available on SACSCOC’s website (www.sacscoc.org).

The College of Education at Northern Kentucky University is accredited by the Council for the Accreditation of Educator Preparation (CAEP).",,$667 per credit hour (Kentucky Resident),,,,4.0,2.75,,,,,,,,,,,,,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"$1,000 - $5,000 per academic year",Up to 100% (for assistantships),"Graduate Assistantships, Fellowships, Merit-based Scholarships",,,,,,,
,Master of Arts in Educational Leadership,,,,,Master of Arts,"Spring, Summer, Fall",,,,,,Not Required,"All applicants whose native language is not English must provide evidence of English proficiency. This can be demonstrated through one of the following: TOEFL iBT minimum score of 79, IELTS minimum score of 6.0, PTE minimum score of 53, Duolingo English Test minimum score of 110, or completion of ELS Language Center Level 112.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,"$20,010 (Resident) - $28,800 (Non-Resident)",,,,,,,"The Master of Arts in Educational Leadership (principal preparation) program is a 30-credit hour, fully online program that leads to a recommendation for principal certification in Kentucky. The program combines core educational leadership content with field-based experiences to prepare candidates with the knowledge, skills, and dispositions to be highly effective school leaders.",,https://www.nku.edu/admissions/graduate/programs.html,Northern Kentucky University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). The College of Education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,,$667 (Kentucky Resident); $960 (Non-Resident),,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,110.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"Up to $1,000 (Graduate Student Opportunity Grant); $2,000 (URM Graduate Student Scholarship)",,"Need-based, Diversity-based",,,,,,,
