QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,School of the Arts,,4.0,2.0,,Fall 2026,,,"$12,570/Year (Kentucky Resident)",,$419 - $843,"$2,000 - $4,500 per year",,"Merit-based, Need-based",2 years,"$12,570/Year (Kentucky Resident)","Interdisciplinary Studies, A.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Informatics,,4.0,2.0,,,,,"Kentucky Resident: $5,244 per semester; Ohio Resident (Reciprocity): $7,476 per semester; Non-Resident: $10,488 per semester",,Kentucky Resident: $437 per credit hour; Ohio Resident (Reciprocity): $623 per credit hour; Non-Resident: $874 per credit hour,"Up to $4,500 per year",,"Merit-based, Departmental",4 years,"Kentucky Resident: $5,244 per semester; Ohio Resident (Reciprocity): $7,476 per semester; Non-Resident: $10,488 per semester","3D Digital Design and Visual Effects, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,Haile College of Business,,4.0,2.0,,,,,"$10,128/Year (Kentucky Resident)",,$422 (Kentucky Resident),"$1,500 - $4,000 per year",,Merit-based,4 years,"$10,128/Year (Kentucky Resident)","Accounting, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Arts and Sciences,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based",4 years,,"Anthropology, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Informatics,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based, Endowed",4 years,,"Applied Software Engineering, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,School of the Arts,,4.0,2.0,,,,,20760,,$865 per credit hour (Non-Resident),"$1,500 - $4,500 per year",,Merit-based,4 years,"$10,380 per semester (Non-Resident)","Art and Design, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,School of the Arts,,4.0,2.0,,,,,"Kentucky Resident: $5,328/Semester; Non-Resident: $10,656/Semester",,Kentucky Resident: $444/credit hour; Non-Resident: $888/credit hour,,,"Institutional, Endowed, and Private",4 years,"Kentucky Resident: $5,328/Semester; Non-Resident: $10,656/Semester","Art and Design, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Arts and Sciences,,4.0,2.0,,,,,,,$437 per credit hour (Kentucky Resident),"$1,500 - $3,000 for merit awards",Up to 100% (full tuition for some scholarships),Merit-based,120 credit hours,,"Biological Sciences, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Arts and Sciences,,4.0,2.0,,,,,"$12,390/Year (Kentucky Resident)",,$413 (Kentucky Resident),"Varies (e.g., $3,500 to full in-state tuition)",,Merit-based,4 years,"$12,390/Year (Kentucky Resident)","Biological Sciences, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
,College of Informatics,,4.0,2.5,,,,,,,,,,,4 years,,"Business Information Systems, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
