Program name,Program Page url
"Interdisciplinary Studies, A.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"3D Digital Design and Visual Effects, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Accounting, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Anthropology, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Applied Software Engineering, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Art and Design, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Art and Design, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Biological Sciences, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Biological Sciences, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Business Information Systems, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Chemistry, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Chemistry, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Communication Studies, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Computer Science, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Construction Management, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Criminal Justice, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Cybersecurity, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Data Analytics & Statistics, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Data Science, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Early Childhood Education (Birth-Kindergarten), B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Economics, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Education, Culture and Society, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Electrical and Electronic Engineering Technology, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Electronic Media & Broadcasting, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Elementary Education (P-5), B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Engineering Physics, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"English, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Environmental Science, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Environmental Science, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Exercise Science, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Finance, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"French, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"General Business, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Geology, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Geology, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"German, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Global Supply Chain Management, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Health Communication, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Health Informatics, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Health Science, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"History, B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Human Resource Management, B.S.B.A.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Human Services and Addictions, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
"Information Technology, B.S.",https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058
