Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,"Interdisciplinary Studies, A.A.",,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,True,Admission to the associate of arts degree in interdisciplinary studies does not require ACT/SAT scores.,Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,School of the Arts,"$12,570/Year (Kentucky Resident)",,,,,,,"The Associate of Arts in interdisciplinary studies is designed for students who desire a two-year degree in liberal arts and sciences. The degree focuses on development of critical thinking, problem-solving, communication, and technological competencies. It is an ideal starting point for students who wish to pursue a bachelor’s degree but are undecided about a specific major. The AA in interdisciplinary studies also serves the needs of students who seek to complete a short-term degree for personal and professional enhancement. The AA in interdisciplinary studies is not designed for transfer into a specific NKU bachelor’s degree program that requires a specialized associate’s degree for transfer purposes.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,$419 - $843,,False,,4.0,2.0,,,,,,,,,,,"$12,570/Year (Kentucky Resident)",,,,,,,False,False,,,100.0,112.0,,,6.0,,,49.0,,73.0,,,,,,,,,,,"$2,000 - $4,500 per year",,"Merit-based, Need-based",,,,,,,
,"3D Digital Design and Visual Effects, B.A.",,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Informatics,"Kentucky Resident: $5,244 per semester; Ohio Resident (Reciprocity): $7,476 per semester; Non-Resident: $10,488 per semester",,,,,,,"The 3D Digital Design and Visual Effects program offers a Bachelor of Arts degree for students interested in working in fields such as character design, environment modeling, motion graphics, video game design, film and video production, advertising, simulation, and forensic science. The program offers training in the latest digital tools used in a wide variety of industries that create visual effects, animation, and interactive media. Students gain knowledge in areas such as 3D modeling, texturing, rigging, animation, lighting, rendering, game design, and motion graphics. The curriculum focuses on developing the student's creative and technical abilities to succeed in a diverse and rapidly changing industry.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,Kentucky Resident: $437 per credit hour; Ohio Resident (Reciprocity): $623 per credit hour; Non-Resident: $874 per credit hour,,,,4.0,2.0,,,,,,,,,,,"Kentucky Resident: $5,244 per semester; Ohio Resident (Reciprocity): $7,476 per semester; Non-Resident: $10,488 per semester",,,,,,,,,,,95.0,112.0,,,6.0,,,49.0,,73.0,,,,,,,,,,,"Up to $4,500 per year",,"Merit-based, Departmental",,,,,,,
,"Accounting, B.S.B.A.",,,,,B.S.B.A.,,,,,Not Required,Optional,Not Required,True,"To be admitted to the B.S.B.A. degree program, students must meet the following criteria:

1. Completion of a minimum of 24 credit hours.
2. Completion of CMST 101, ENG 101, and MAT 114 (or higher) or STA 205 (or higher) with a grade of C- or better.
3. A minimum cumulative GPA of 2.50.",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Haile College of Business,"$10,128/Year (Kentucky Resident)",,,,,,,"Accounting is the process of identifying, measuring, and communicating economic information to permit informed judgments and decisions by users of the information. Accountants provide financial data and analyses for management decisions, prepare federal, state, and local tax returns, perform audits of financial records, and design and maintain financial information systems. Accountants are concerned with past, present, and future events and their impact on organizations. The accounting curriculum is designed to prepare students for successful careers in all areas of accounting, including public, private, governmental, and not-for-profit organizations. Students gain knowledge in various areas of accounting, including financial, managerial, taxation, auditing, and accounting information systems. Throughout the curriculum, students develop critical thinking, communication, and technical skills necessary for the accounting profession. Opportunities for accounting graduates continue to be excellent, with strong demand in all employment sectors. All graduates are eligible to sit for the CPA exam, the CMA exam, and other professional examinations.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,$422 (Kentucky Resident),,False,,4.0,2.0,,,,,,,,,,,"$10,128/Year (Kentucky Resident)",,,,,,,False,False,,,100.0,112.0,,,6.0,,,51.0,,73.0,,,,,,,,,,,"$1,500 - $4,000 per year",,Merit-based,,,,,,,
,"Anthropology, B.A.",,,,,,,,,,Not Required,Not Required,Not Required,True,,Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,"Anthropology is a comparative and holistic discipline that explores the human condition across time and space. Through its four subfields, sociocultural anthropology, archaeology, biological anthropology, and linguistic anthropology, the discipline asks fundamental questions about what it means to be human in all of our diversity and complexity. Students majoring in anthropology at NKU acquire practical skills in research, critical thinking, analysis, and cross-cultural communication in the service of justice, equality, and mutual understanding. These skills are highly valued by employers in business, education, government, and non-profit sectors. Many of our majors go on to graduate school and professional careers in a wide variety of fields.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,"Applied Software Engineering, B.S.",,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Informatics,,,,,,,,"The Bachelor of Science in applied software engineering program prepares students for positions as software developers, software engineers, and software architects. This degree provides students with a solid foundation in the principles, practices, and technologies of software engineering. Graduates are prepared for careers in a broad range of industries including healthcare, finance, manufacturing, and entertainment. Students will gain experience with modern software development techniques, including agile methods, object-oriented design, web application development, mobile application development, and cloud computing. The program emphasizes hands-on experience through project-based learning and internships. The curriculum includes a strong emphasis on problem-solving, critical thinking, and communication skills, which are essential for success in the software engineering field.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,100.0,112.0,,,6.0,,,49.0,,73.0,,,,,,,,,,,,,"Merit-based, Need-based, Endowed",,,,,,,
,"Art and Design, B.A.",,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of the Arts,"$10,380 per semester (Non-Resident)",,,,,,,"The Bachelor of Arts degree with a major in Art and Design is a liberal arts program designed to introduce students to a broad range of knowledge, skills, and approaches in the visual arts. The program encourages students to investigate various media, techniques, and critical theories and apply them to their own creative work. Students have the opportunity to specialize in Graphic Design, Photography, or Studio Art. The B.A. program allows for flexibility to pursue a minor or a second major. Many students take advantage of this flexibility by choosing a minor or second major in disciplines such as marketing, journalism, psychology, computer science, or education. Art and Design B.A. graduates are prepared for a variety of careers in the creative industries or for further study in graduate school.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,$865 per credit hour (Non-Resident),,,,4.0,2.0,,,,,,,,,,,20760,,,,,,,,,,,95.0,109.0,,,5.5,,,43.0,,61.0,,,,,,,,,,,"$1,500 - $4,500 per year",,Merit-based,,,,,,,
,"Art and Design, B.S.",,,,,,,,,,Not Required,Not Required,Not Required,True,"Admission to the B.S. in Art and Design program is based on general admission to Northern Kentucky University. For freshman admission, applicants should have a high school GPA of at least 2.75 and have completed the Kentucky minimum high school pre-college curriculum. NKU has a test-optional admission policy for qualifying students through the fall 2025 semester; first-time freshmen with a cumulative high school GPA of at least 3.0 are not required to submit an ACT or SAT score for admission consideration.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of the Arts,"Kentucky Resident: $5,328/Semester; Non-Resident: $10,656/Semester",,,,,,,"The Art and Design program is a comprehensive educational experience that prepares students for careers in the visual arts and design fields. The program emphasizes critical thinking, problem-solving, and creative expression through a wide range of courses in studio art, art history, and graphic design. Students gain hands-on experience in various mediums and techniques, develop a strong portfolio, and cultivate a deep understanding of art and design principles. Graduates are equipped with the skills and knowledge necessary to pursue successful careers as artists, designers, educators, or to continue their education at the graduate level.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,Kentucky Resident: $444/credit hour; Non-Resident: $888/credit hour,,False,,4.0,2.0,,,,,,,,,,,"Kentucky Resident: $5,328/Semester; Non-Resident: $10,656/Semester",,,,,,,False,False,,,95.0,112.0,,,6.0,,,49.0,,73.0,,,,,,,,,,,,,"Institutional, Endowed, and Private",,,,,,,
,"Biological Sciences, B.A.",,,,,,,,,,Not Required,Not Required,Not Required,True,"To be admitted to NKU, you need to meet the following requirements:

Complete the pre-college curriculum
Have a high school cumulative GPA of 2.75 or higher
NKU is currently test-optional. You do not need to submit an ACT or SAT score to be admitted to NKU or for scholarship consideration.

Students who do not meet the standard admission requirements above will be considered for admission if they have a cumulative high school GPA of 2.00 - 2.74 AND an ACT composite of 20 or higher (or SAT ERW+M of 1020 or higher).",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,General Biology Track,"The Biological Sciences program provides students with a broad and solid foundation in the concepts of biology as well as training in the use of contemporary methods, analyses, and communication skills. It offers students the opportunity to prepare for a range of professional careers, including entry-level laboratory or field positions, high school teaching, or for further graduate or professional training.

Program Objectives:
Upon completion of the BA in Biological Sciences, students will be able to:
1. Describe fundamental concepts in biology.
2. Formulate testable hypotheses and design experiments.
3. Apply quantitative reasoning and computational tools to analyze biological data.
4. Access and evaluate scientific literature.
5. Communicate scientific information effectively.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,$437 per credit hour (Kentucky Resident),,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"$1,500 - $3,000 for merit awards",Up to 100% (full tuition for some scholarships),Merit-based,,,,,,,
,"Biological Sciences, B.S.",,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,"$12,390/Year (Kentucky Resident)",,,,,,"Standard Option, Pre-Veterinary Option, Pre-Medical Sciences Option, Pre-Dentistry Option, Pre-Optometry Option, Pre-Physical Therapy Option, Pre-Physician Assistant Option, Forensic Science Option, Biotechnology Option, Environmental Science Option","The biological sciences curriculum at Northern Kentucky University is designed to provide students with a broad background in biological concepts while providing flexibility to customize their educational experience. Opportunities include undergraduate research, internships, field experiences, and study abroad. Biology provides an excellent foundation for a variety of careers including health care, environmental biology, biotechnology, forensic science, and graduate school. The B.S. in biological sciences also provides an excellent foundation for professional schools (medicine, dentistry, optometry, physical therapy, physician assistant, veterinary, etc.). Students can choose from a variety of options within the degree (listed below) to help guide their course selection for specific career paths. The Forensic Science and Biotechnology options are structured slightly differently and have additional specific requirements. Students should consult with an advisor to determine which option is best suited for their academic and career goals. The Department of Biological Sciences is housed in the state-of-the-art Health Innovation Center. Our classrooms and laboratories feature modern instrumentation, technology, and animal/plant collections. Faculty are active researchers who provide students with numerous opportunities for participation in meaningful research.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,,,$413 (Kentucky Resident),,,,4.0,2.0,,,,,,,,,,,"$12,390/Year (Kentucky Resident)",,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"Varies (e.g., $3,500 to full in-state tuition)",,Merit-based,,,,,,,
,"Business Information Systems, B.S.",,,,,,,,,,Not Required,Not Required,Not Required,True,"Northern Kentucky University has a test-optional admissions policy. To be considered for admission, applicants must submit a completed undergraduate application and an official high school transcript. Test scores (ACT/SAT) are not required for admission to NKU, but students are encouraged to submit them if available. Admission to the Haile College of Business program requires a student to have an overall GPA of 2.50 or higher after completing the specified foundation courses.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Informatics,,,,,,,,"The Business Information Systems (BIS) program provides students with the business and technical skills needed to successfully manage and apply information technology to solve business problems and create new business opportunities. BIS graduates work as business analysts, data analysts, database administrators, cybersecurity analysts, network administrators, IT project managers, and systems analysts in a variety of industries. Demand for BIS graduates continues to be strong and growing. A career in BIS combines a solid foundation in business, analytics, and computing along with problem-solving and communication skills to serve the information technology needs of businesses and other organizations. The BIS program is offered through the Department of Business Informatics. The Department of Business Informatics is one of seven academic departments in the Haile College of Business.",,https://onlinecatalog.nku.edu/content.php?catoid=27&navoid=4058,The Haile College of Business is accredited by AACSB International – The Association to Advance Collegiate Schools of Business.,,,,True,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,90.0,109.0,,,5.5,,,43.0,,61.0,,,,,,,,,,,,,,,,,,,,
