Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Required,Required,"In addition to the University graduate admission requirements, the following are required for the Lubin School of Business:

- Completion of the online application form
- Official transcripts from all post-secondary institutions attended
- GMAT/GRE is not required.
- Resume
- Statement of Purpose
- Two letters of recommendation
- $70 non-refundable application fee",Not Required,True,False,False,True,False,False,,,program,Master of Science in Accounting Data Analytics and Technology,https://catalog.pace.edu/graduate/programs-a-z/,
Required,Required,"In addition to the university-wide application and admission requirements, applicants to the Public Accounting, CPA Prep MBA must have completed an undergraduate degree in business with a major in accounting. Students without this background will be referred to the MS in Accounting program. Exceptions to this policy may be made on a case-by-case basis.

The GMAT/GRE is required for admission; however, the GMAT/GRE may be waived for admission if certain criteria are met. Please see the Lubin Graduate Admission page for more details.",Not Required,False,False,False,True,False,False,,,program,"Master of Business Administration in Accounting, Public Accounting, CPA Prep",https://catalog.pace.edu/graduate/programs-a-z/,
Required,Required,"In addition to the university-wide requirements, the MS in Accounting requires the following:

1. A completed application form.
2. A non-refundable application fee.
3. A current resume.
4. A personal statement (500 words or less) that describes the applicant’s reason for pursuing this graduate degree.
5. Official transcripts from all post-secondary schools attended.
6. Two letters of recommendation.
7. GMAT/GRE test scores are optional. Applicants who don’t submit test scores will not be penalized. Applicants who feel their GMAT/GRE scores will strengthen their application are welcome to submit them.
8. International applicants must also submit an English language proficiency test score.",Not Required,True,True,,False,False,False,,,program,"Master of Science in Accounting, Public Accounting, CPA Prep",https://catalog.pace.edu/graduate/programs-a-z/,
,,,,,,,,,,,,error,Master of Science in Applied AI,https://catalog.pace.edu/graduate/programs-a-z/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Business Administration in Arts and Entertainment Management,https://catalog.pace.edu/graduate/programs-a-z/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"In addition to the University graduate admission requirements, the following are required:

One letter of recommendation is required
Resume
Personal statement",Not Required,True,False,,False,False,False,,,program,Master of Science in Arts and Entertainment Management,https://catalog.pace.edu/graduate/programs-a-z/,
,,,,,,,,,,,,error,Master of Science in Artificial Intelligence,https://catalog.pace.edu/graduate/programs-a-z/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"Completed online application; Application fee; A Statement of Purpose, approximately 500 words, describing your reasons for applying to the MS in Biochemistry and Molecular Biology, your professional goals and aspirations, and how this program will help you achieve them; Two letters of recommendation, at least one academic; Official transcripts from all post-secondary institutions attended; Resume/CV; A bachelor’s degree in chemistry, biology or a related field with a GPA of 3.0 or higher from an accredited institution. Students with a GPA lower than 3.0 may be considered for admission on a conditional basis; Evidence of having completed the following college-level courses with a grade of B or better: Two semesters of general chemistry with lab, Two semesters of organic chemistry with lab, Two semesters of general biology with lab, One semester of biochemistry or molecular biology, One semester of physics, One semester of calculus.",Not Required,True,False,True,True,False,False,,,program,Master of Science in Biochemistry and Molecular Biology,https://www.pace.edu/program/biochemistry-and-molecular-biology-ms,
,,,,,,,,,,,,error,Master of Business Administration/Juris Doctor in Business Administration,https://prelaw.wisc.edu/wordpress/wp-content/uploads/2015/04/Dual-JD-Programs1.xlsx,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"The Office of Graduate Admission requires the following for the MBA in Business Analytics program: Completed online application; Resume; Official transcripts from all post-secondary institutions attended; One letter of recommendation; Personal Statement; Official GMAT/GRE scores: GMAT/GRE waivers are available for qualified candidates.; $70 non-refundable application fee; Official TOEFL, IELTS, or Pearson PTE academic scores are required of all applicants who did not complete their undergraduate or a graduate degree in the United States.",,False,False,False,True,False,False,,,program,Master of Business Administration in Business Analytics,https://catalog.pace.edu/graduate/programs-a-z/,
