Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,"The MS in Accounting Data Analytics and Technology program provides a unique blend of accounting, data analytics, and technology to meet the market needs for accountants and auditors with advanced data analytics skills. The accounting profession is in the midst of a technological disruption. Accounting professionals are expected to go beyond the debits and credits and become tech-savvy professionals. They should not only be skilled in accounting and auditing, but they also must have skills in data analytics and information systems that allow them to make informed decisions. This new program will provide a unique blend of accounting, data analytics, and technology to meet the new market needs for accountants and auditors with data analytics skills. This program is a STEM-designated program and is registered with the New York State Education Department for 150-credit hour-licensure.",https://catalog.pace.edu/graduate/lubin-school-business/accounting/accounting-data-analytics-technology-ms/,"The Lubin School of Business is dually accredited in business and accounting by the Association to Advance Collegiate Schools of Business (AACSB) International, an elite distinction shared by fewer than 2% of business schools worldwide.",Master of Science in Accounting Data Analytics and Technology,https://catalog.pace.edu/graduate/programs-a-z/,
"Public Accounting, CPA Prep","The Master of Business Administration in Public Accounting prepares students for entry and career advancement in the field of public accountancy by providing a course of study that satisfies the educational requirements for CPA licensure in New York State. While it is geared to the CPA candidate who lacks an undergraduate accounting degree, the program also provides a broader business perspective necessary for advancement to the highest levels of management. The Lubin School of Business is dually accredited in both business and accounting by the Association to Advance Collegiate Schools of Business (AACSB) International, an elite distinction shared by few other business schools in the world.",https://catalog.pace.edu/graduate/lubin-school-business/accounting/accounting-public-accounting-cpa-prep-mba/,"The Lubin School of Business is dually accredited in both business and accounting by the Association to Advance Collegiate Schools of Business (AACSB) International, an elite distinction shared by few other business schools in the world.","Master of Business Administration in Accounting, Public Accounting, CPA Prep",https://catalog.pace.edu/graduate/programs-a-z/,
"Public Accounting, CPA Prep","The Lubin MS in Accounting program will provide you with the critical knowledge of accounting principles and business applications to prepare you for a successful career. Our program is designed to create a path for you to become a certified public accountant (CPA). Students who complete the MS in Accounting program will satisfy the 150-credit-hour New York State requirement for CPA licensure and gain the analytical and technical skills that today's top firms and corporations are seeking. As an added benefit, we offer a CPA review course at a significantly reduced price for our graduate accounting students. We offer the accounting program in both New York City and Westchester.",https://catalog.pace.edu/graduate/lubin-school-business/accounting/accounting-public-accounting-cpa-prep-ms/,Pace University's Lubin School of Business is accredited for both business and accounting by AACSB International-The Association to Advance Collegiate Schools of Business. This elite distinction is held by fewer than 2% of business schools worldwide.,"Master of Science in Accounting, Public Accounting, CPA Prep",https://catalog.pace.edu/graduate/programs-a-z/,Master of Science
,"The Master of Science in Applied Artificial Intelligence (MS in AAI) program focuses on giving students a practical understanding of AI technologies and their applications in a variety of industries. Unlike traditional AI master’s programs that emphasize research and theory, this degree focuses on the practical application of AI. The curriculum covers a wide range of topics, including AI algorithms, natural language processing, deep learning, computer vision, and the development and management of AI projects. The program provides students with real-world problems and data sets, so that they can apply what they learn in class to real-world situations, preparing them for the challenges they will face in their careers. Students will gain the skills necessary to develop AI applications from start to finish, from initial design and data gathering to final deployment and maintenance. Our graduates will be well-prepared to take on positions as AI application developers, AI solution architects, AI project managers, and machine learning engineers, and to drive innovation and growth in their respective industries.",https://catalog.pace.edu/graduate/seidenberg-school-computer-science-information-systems/computer-science/applied-artificial-intelligence-ms/,,Master of Science in Applied AI,https://catalog.pace.edu/graduate/programs-a-z/,
Arts and Entertainment Management,"The Lubin MBA program is designed for business professionals and recent graduates who want to make a difference in their organizations and their communities. We combine the theory, application, and experience students need to become leaders who can create opportunities in a dynamic global business environment. Students develop analytical, practical, and interpersonal skills in a curriculum that gives them a solid foundation in all functional areas of business, as well as the flexibility to specialize in their areas of interest. The program prepares students to become leaders and provides a clear pathway to success and professional growth.

The Arts and Entertainment Management concentration focuses on the business aspects of producing and managing artists, artistic organizations, and events. Students gain comprehensive business expertise with a special focus on businesses that produce and manage artistic events, organizations, and artists in the non-profit and for-profit sectors.",https://catalog.pace.edu/graduate/lubin/business-administration-mba/,The Lubin School of Business at Pace University is among the less than 2% of business schools worldwide that are dual accredited by AACSB International—the Association to Advance Collegiate Schools of Business—in both business and accounting.,Master of Business Administration in Arts and Entertainment Management,https://catalog.pace.edu/graduate/programs-a-z/,MBA
,"The Master of Science in Arts and Entertainment Management is a 36-credit hour graduate degree that combines business and management theories with industry expertise to prepare students for leadership careers in creative industries. Arts and entertainment organizations are unique cultural enterprises. They face a range of challenges in their efforts to be artistically innovative and financially stable, and to provide stimulating work environments. This program provides students with the critical skills and professional experience needed to meet these challenges.",https://catalog.pace.edu/graduate/dyson-college-arts-sciences/media-communications-visual-arts/arts-entertainment-management-ms/,,Master of Science in Arts and Entertainment Management,https://catalog.pace.edu/graduate/programs-a-z/,MS
,"The Master of Science in Artificial Intelligence is a 30-credit program that provides students with a comprehensive understanding of AI theory and technologies. Students will learn how to design and build AI systems, apply AI techniques to solve real-world problems, and evaluate the ethical and social implications of AI. The program will prepare students for careers in the rapidly growing field of AI, in roles such as AI researcher, AI engineer, machine learning engineer, and data scientist. The program is offered fully online and asynchronously so students can advance their careers from anywhere in the world.

Program Learning Outcomes
Upon completion of the program, students will be able to:
- Demonstrate knowledge of AI and machine learning techniques and their applications.
- Design and develop AI systems using a variety of tools and platforms.
- Analyze and interpret data using statistical and machine learning methods.
- Apply ethical principles and professional responsibilities in the development and deployment of AI systems.
- Communicate technical concepts and results to both technical and non-technical audiences.",https://catalog.pace.edu/graduate/seidenberg-school-computer-science-information-systems/computer-science/artificial-intelligence-ms/,,Master of Science in Artificial Intelligence,https://catalog.pace.edu/graduate/programs-a-z/,
,"Our Master of Science in Biochemistry and Molecular Biology degree program offers you the laboratory experience and the academic background for a successful career in a wide variety of settings, including biotechnology, pharmaceutical, academic, or government laboratories. The program’s mission is to provide you with a high-quality education in the current theories and techniques of biochemistry and molecular biology in a diverse and nurturing learning environment that prepares students for employment or advanced degree programs.",https://www.pace.edu/program/biochemistry-and-molecular-biology-ms,,Master of Science in Biochemistry and Molecular Biology,https://www.pace.edu/program/biochemistry-and-molecular-biology-ms,Master of Science
,"Earn your Juris Doctor (JD) and a Master of Business Administration (MBA) in our highly-regarded joint-degree program. You’ll be uniquely prepared to solve complex challenges at the intersection of law and business, giving you a competitive edge in a wide variety of legal and business fields. Pace University is the only law school in the New York metropolitan area to offer a 4-year joint JD/MBA degree in business. This highly competitive program is a partnership between the Elisabeth Haub School of Law and the Lubin School of Business, both highly respected and nationally-ranked schools. You’ll become a part of our extensive alumni network of more than 8,000 in law and 30,000 in business, many of whom have reached the pinnacle of success in their fields. Benefit from our prime location in the business and legal hub of Westchester County, as well as our proximity to New York City, and access countless opportunities to build the skills you need for a career at the nexus of business and law.",https://www.pace.edu/program/juris-doctor-master-business-administration-jd-mba,The Elisabeth Haub School of Law is approved by the Council of the Section of Legal Education and Admissions to the Bar of the American Bar Association (ABA). The Lubin School of Business is dually accredited in business and accounting by the Association to Advance Collegiate Schools of Business (AACSB) International.,Master of Business Administration/Juris Doctor in Business Administration,https://prelaw.wisc.edu/wordpress/wp-content/uploads/2015/04/Dual-JD-Programs1.xlsx,
,"The MBA in Business Analytics program provides students with the skills and knowledge to analyze large data sets to make effective business decisions. Students gain a comprehensive understanding of business functional areas and quantitative skills and expertise in various analytical tools. The program is an intensive, 12-18-month program for students with strong quantitative backgrounds. The 39-credit MBA in Business Analytics curriculum provides a solid understanding of business fundamentals along with specialized expertise in business analytics. Our graduates are highly sought after by firms in finance, marketing, and operations. The MBA in Business Analytics program has STEM designation.",https://catalog.pace.edu/graduate/lubin/business-analytics-mba/,The Lubin School of Business is among the less than three percent of business schools worldwide with dual accreditation from AACSB International—the Association to Advance Collegiate Schools of Business—in both business and accounting.,Master of Business Administration in Business Analytics,https://catalog.pace.edu/graduate/programs-a-z/,
