Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Doctor of Business Administration,https://post.edu/blog/post-expands-graduate-programs-with-doctor-of-business-administration-degree/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Doctor of Nursing Practice,https://post.edu/wp-content/uploads/2023/12/POST_ASC_DNP_Overview_R18-PEM.pdf,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Business Administration,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Business Administration – Healthcare,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"To apply, applicants must complete the admissions application and submit an official transcript from the accredited institution that awarded the bachelor’s degree, indicating the date of conferral. MBA applicants need to have successfully completed undergraduate coursework in accounting, finance, and marketing. The Malcolm Baldrige School of Business does not require a GMAT, GRE or any other entrance exam.",Not Required,True,False,False,False,False,False,,,program,
Master of Education,https://post.edu/academics/online-graduate-degrees/,Required,Required,Complete graduate application. Submit official transcripts from all colleges and universities previously attended. Have a minimum 3.0 undergraduate GPA. Possess a baccalaureate degree from an accredited institution. Provide a personal statement. Submit a resume. Provide two letters of recommendation. For Teaching and Learning concentration applicants: Provide a copy of a valid teaching license or certificate.,,True,False,False,False,False,False,,,program,
Master of Public Administration,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Accounting,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Business Intelligence and Analytics,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"To apply for Post University’s on-campus or online master’s degree programs, you will need to submit the following: An official transcript from the accredited institution that granted your baccalaureate degree, Completed application, Application fee, Proof of immunization (for on-campus students)",Not Required,True,False,False,False,False,False,,,program,
Master of Science in Clinical Mental Health Counseling,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Computer Science,https://post.edu/academics/online-graduate-degrees/,Required,,"To apply for Post University’s Master of Science in Computer Science degree program, you must provide the following: Official transcripts from a bachelor’s degree program that is accredited by an accrediting agency recognized by the Council for Higher Education Accreditation (CHEA) or the U.S. Department of Education or an equivalent foreign institution; Professional resume",,True,False,False,True,False,False,,,program,
