Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,"Are you good with numbers and looking for a career that uses these skills? If you are, an Associate’s Degree in Accounting from Post University may be the right program for you. The Associate’s Degree in Accounting program offers students a broad range of accounting courses to prepare students for entry-level accounting positions. It is a stepping stone for your future and a way to increase your earning potential in any business, large or small. Upon completion of this program, students will have a strong foundation in core accounting principles and be able to: Perform bookkeeping, payroll and tax preparation tasks. Process accounts payable and accounts receivable. Prepare financial statements. Analyze financial data. Work with accounting software. Recognize the ethical challenges faced by today’s accounting professional. The curriculum also includes courses in business, communications, and liberal arts, ensuring that you develop a well-rounded skill set applicable to various professional settings.",https://post.edu/blog/dropdowns/associates-degree/,,Associate's Degree in Accounting,https://post.edu/blog/dropdowns/associates-degree/,
,,,,Bachelor's Degree in Accounting,https://en.wikipedia.org/wiki/Academic,
,"Post University offers a Bachelor of Science (B.S.) in Biology to help students interested in the field develop the skills they need to pursue a wide range of career opportunities. The Post University B.S. in Biology curriculum helps students develop critical analytical thinking, and quantitative reasoning skills. Students will explore biology fundamentals and learn how to apply their skills in a wide variety of environments. The Biology program is designed to provide students with a solid foundation in the principles of biology, including genetics, cell biology, ecology, and evolution. Students will also gain hands-on experience through laboratory work and fieldwork, allowing them to apply their knowledge in real-world settings. With a B.S. in Biology from Post University, students will be well-prepared to pursue a variety of career paths in the biological sciences, including research, healthcare, environmental conservation, and education.",https://post.edu/academics/undergraduate-degrees/bachelor-of-science-in-biology/,,Bachelor's Degree in Biology,https://post.edu/blog/post-university-educational-opportunities-in-online-biology/,
,,,,Associate's Degree in Business,https://en.wikipedia.org/wiki/Academic,
,,,,Bachelor's Degree in Business,https://en.wikipedia.org/wiki/Academic,
,,,,Bachelor's Degree in Child Care and Support Services Management,https://en.wikipedia.org/wiki/Academic,
,,,,Bachelor's Degree in Child Development,https://en.wikipedia.org/wiki/Academic,
,,,,Bachelor's Degree in Communications,https://en.wikipedia.org/wiki/Academic,
,"Our Bachelor of Science (B.S.) in Computer Information Systems degree program prepares students for various entry-level positions in the computer technology field. Students will learn the essentials of computer hardware and software, computer programming, computer networking, cybersecurity, and data analysis. The program helps students develop the fundamental knowledge and essential skills for a career in the rapidly expanding computer technology field. It is designed to prepare students for various entry-level positions in areas like computer programming, computer networking, cybersecurity, and data analysis. The Bachelor of Science (B.S.) in Computer Information Systems degree program at Post University offers students a well-rounded and flexible curriculum, preparing them for entry-level positions in a variety of computer-related fields. Students will develop proficiency in computer hardware, software, and networking, an understanding of computer programming and logic, an introduction to cyber security and data analytics, and the ability to apply critical thinking and problem-solving skills to real-world computing challenges. The total credits for the program are 120, and the program length is 8 semesters.",https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-computer-information-systems/,,Bachelor's Degree in Computer and Information Sciences,https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-computer-information-systems/,
Mental Health Counseling,"The Bachelor of Arts in Psychology program offers a comprehensive curriculum that provides students with a strong foundation in psychological principles, theories, and research methods. Through a combination of coursework, hands-on experiences, and critical thinking exercises, students develop a deep understanding of human behavior, cognitive processes, and emotional well-being. The program emphasizes ethical considerations in psychology, cultural diversity, and the application of psychological knowledge to real-world issues. Graduates are prepared for various entry-level positions in fields such as human services, mental health, education, and research, or for advanced studies in psychology and related disciplines. The Mental Health Counseling Concentration within this program is designed for students interested in pursuing careers in mental health counseling or related fields. It focuses on developing essential skills in counseling techniques, assessment, and intervention strategies. Students gain knowledge of various theoretical approaches to counseling, ethical guidelines, and an understanding of diverse populations. The curriculum also prepares students for graduate-level studies in counseling or clinical psychology.",https://post.edu/student-services/academic-affairs/university-catalog/#bachelor-of-arts-in-psychology,,Bachelor's Degree in Counseling Psychology,https://post.edu/student-services/academic-affairs/university-catalog/,
