QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The Malcolm Baldrige School of Business,,,,,,,,,,670,,,"Academic Merit, Athletic, International Student, Legacy, Military",,,Associate's Degree in Accounting,https://post.edu/blog/dropdowns/associates-degree/
,The Malcolm Baldrige School of Business,,4.0,2.0,,,,,,,670,"$6,000 to $14,000",,"Merit-based, Need-based, Military",,$670 per credit hour,Bachelor's Degree in Accounting,https://en.wikipedia.org/wiki/Academic
,The John P. Burke School of Public Service and Education,,4.0,2.0,,,,,,,$650 per credit hour,"$1,500 (Alumni Scholarship)",10% (Family Grant),"Need-based, Alumni, Family, Military",,$650 per credit hour,Bachelor's Degree in Biology,https://post.edu/blog/post-university-educational-opportunities-in-online-biology/
,The Malcolm Baldrige School of Business,,4.0,2.0,,,,,16200,,$675 per credit hour,"Up to $6,195",,"Institutional, Alumni, Legacy, Military",,16200,Associate's Degree in Business,https://en.wikipedia.org/wiki/Academic
,The Malcolm Baldrige School of Business,,4.0,2.0,,,,,"$20,250/Year",,675,"Up to $18,000 annually",,"Merit-based, Need-based",,"$20,250/Year",Bachelor's Degree in Business,https://en.wikipedia.org/wiki/Academic
,The School of Education,,4.0,2.0,,Fall 2026,,,"$35,350/Year",,605,1500,15%,"Merit-based, Need-based, Affiliation-based",,"$35,350/Year",Bachelor's Degree in Child Care and Support Services Management,https://en.wikipedia.org/wiki/Academic
,John P. Burke School of Public Service & Education,,,,,Fall 2026,,,"$35,350/Year",,$605 per credit hour,"$10,000 to $18,000 per year",,"Merit-based, Grants",,"$35,350/Year",Bachelor's Degree in Child Development,https://en.wikipedia.org/wiki/Academic
,The John P. Burke School of Public Service and Education,,4.0,2.0,,,,,"$15,600/Year",,650,"Up to $17,000",,Merit-based,,"$15,600/Year",Bachelor's Degree in Communications,https://en.wikipedia.org/wiki/Academic
,The School of Art & Sciences,,4.0,2.0,,Fall 2026,,,17925,,625,"$1,500 - $20,000",,"Academic, Performance-based, Legacy, Sibling, Military",,"$17,925/semester (On-Campus); $625/credit hour (Online)",Bachelor's Degree in Computer and Information Sciences,https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-computer-information-systems/
,The School of Arts and Sciences,,4.0,2.0,,,,,17925/Semester,,650,"Up to $20,000",,"Academic, Performance-Based, Community-Based",120 credit hours,17925/Semester,Bachelor's Degree in Counseling Psychology,https://post.edu/student-services/academic-affairs/university-catalog/
,John P. Burke School of Public Service and Education,,4.0,2.0,,,,,"$20,100/Year",,670,"Up to $18,000",,"Performance-based, Legacy, International Student",,40200,Associate's Degree in Criminal Justice and Safety Studies,https://online.lsu.edu/online-degree-programs/associates/associate-science-criminal-justice/
,John P. Burke School of Public Service and Education,,4.0,2.0,,,,,"$17,650 per semester",,$625 per credit hour,"Up to $20,000",,"Merit-based, Performance-based, Need-based",,"$17,650 per semester",Bachelor's Degree in Criminal Justice and Safety Studies,https://en.wikipedia.org/wiki/Academic
,The John P. Burke School of Public Service & Education,,,,,,,,19500/Year,,650,"$500 - $15,000",,"Merit-based, Need-based",Complete in as few as 2-3 years,19500/Year,Bachelor's Degree in Crisis/Emergency/Disaster Management,https://en.wikipedia.org/wiki/Academic
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,650,,650,"Up to $20,000",,"Merit-based, Need-based, Military, Legacy",120 credit hours,650,Bachelor's Degree in Data Science,https://en.wikipedia.org/wiki/Academic
,The John P. Burke School of Public Service and Education,,4.0,2.0,,Fall 2026,,,"Main Campus: $17,500/Semester; Online: $670/Credit",,670,"Up to $21,000",,"Merit-based, Need-based, Legacy, Military, and for other specific student populations",4 years,"Main Campus: $17,500/Semester; Online: $670/Credit",Bachelor's Degree in Education,https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-child-studies/
,The School of Education,,4.0,2.0,,,,,,,$610 per credit hour,,,"Merit-based, Need-based, and Institutional grants",,,Bachelor's Degree in Educational/Instructional Technology,https://en.wikipedia.org/wiki/Academic
