Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Associate's Degree in Accounting,,,,,,,,,,Not Required,Not Required,Not Required,True,"To be considered for admission to an associate or bachelor’s degree program, you need to have a high school diploma with a GPA of 2.0 or higher or an equivalent (GED, for example).",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,,,,,,,,"Are you good with numbers and looking for a career that uses these skills? If you are, an Associate’s Degree in Accounting from Post University may be the right program for you. The Associate’s Degree in Accounting program offers students a broad range of accounting courses to prepare students for entry-level accounting positions. It is a stepping stone for your future and a way to increase your earning potential in any business, large or small. Upon completion of this program, students will have a strong foundation in core accounting principles and be able to: Perform bookkeeping, payroll and tax preparation tasks. Process accounts payable and accounts receivable. Prepare financial statements. Analyze financial data. Work with accounting software. Recognize the ethical challenges faced by today’s accounting professional. The curriculum also includes courses in business, communications, and liberal arts, ensuring that you develop a well-rounded skill set applicable to various professional settings.",,https://post.edu/blog/dropdowns/associates-degree/,,,670,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,95.0,112.0,,,6.0,,,50.0,,71.0,,,,,,,,,,,,,"Academic Merit, Athletic, International Student, Legacy, Military",,,,,,,
,Bachelor's Degree in Accounting,,,,,,,,,,,,Not Required,True,,,,,,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,The Malcolm Baldrige School of Business,$670 per credit hour,,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,670,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,75.0,,,,,,,,,,,"$6,000 to $14,000",,"Merit-based, Need-based, Military",,,,,,,
,Bachelor's Degree in Biology,,,,,,,,,,Not Required,Not Required,Not Required,True,"To apply for an undergraduate program, you will need to submit a completed admissions application and a high school transcript or GED. For transfer students, official college transcripts from any previously attended institutions are also required.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The John P. Burke School of Public Service and Education,$650 per credit hour,,,,,,,"Post University offers a Bachelor of Science (B.S.) in Biology to help students interested in the field develop the skills they need to pursue a wide range of career opportunities. The Post University B.S. in Biology curriculum helps students develop critical analytical thinking, and quantitative reasoning skills. Students will explore biology fundamentals and learn how to apply their skills in a wide variety of environments. The Biology program is designed to provide students with a solid foundation in the principles of biology, including genetics, cell biology, ecology, and evolution. Students will also gain hands-on experience through laboratory work and fieldwork, allowing them to apply their knowledge in real-world settings. With a B.S. in Biology from Post University, students will be well-prepared to pursue a variety of career paths in the biological sciences, including research, healthcare, environmental conservation, and education.",,https://post.edu/blog/post-university-educational-opportunities-in-online-biology/,,,$650 per credit hour,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,95.0,109.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"$1,500 (Alumni Scholarship)",10% (Family Grant),"Need-based, Alumni, Family, Military",,,,,,,
,Associate's Degree in Business,,,,,,,,,,Not Required,Optional,Not Required,True,"To apply for an undergraduate program at Post, you must: Complete an online application. Submit an official high school transcript or GED score report. We also accept college transcripts for any credits you may have earned.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,16200,,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,$675 per credit hour,,False,,4.0,2.0,,,,,,,,,,,16200,,,,,,,False,False,,,95.0,109.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Up to $6,195",,"Institutional, Alumni, Legacy, Military",,,,,,,
,Bachelor's Degree in Business,,,,,,,,,,Not Required,Not Required,Not Required,True,"To apply for an undergraduate degree program at Post, you must: Complete the application. Submit your official high school transcript or equivalent (GED). If you have fewer than 12 college credits, you must also submit an official high school transcript or equivalent. Submit official transcripts from all previously attended colleges and universities. Complete the Free Application for Federal Student Aid (FAFSA).",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,"$20,250/Year",,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,675,,False,,4.0,2.0,,,,,,,,,,,"$20,250/Year",,,,,,,False,False,,,95.0,112.0,,,6.0,,,50.0,,71.0,,,,,,,,,,,"Up to $18,000 annually",,"Merit-based, Need-based",,,,,,,
,Bachelor's Degree in Child Care and Support Services Management,,,,,,Fall 2026,,,,,,Not Required,True,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The School of Education,"$35,350/Year",,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,605,,False,,4.0,2.0,,,,,,,,,,,"$35,350/Year",,,,,,,False,False,,,95.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,1500,15%,"Merit-based, Need-based, Affiliation-based",,,,,,,
,Bachelor's Degree in Child Development,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,True,"To apply for our on-campus or online undergraduate programs, we just need a completed application, and your high school transcripts or GED scores.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,John P. Burke School of Public Service & Education,"$35,350/Year",,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,$605 per credit hour,,False,,,,,,,,,,,,,,"$35,350/Year",,,,,,,False,False,,,95.0,112.0,,,6.0,,,48.0,,70.0,,,,,,,,,,,"$10,000 to $18,000 per year",,"Merit-based, Grants",,,,,,,
,Bachelor's Degree in Communications,,,,,,,,,,Not Required,Not Required,Not Required,True,"To apply for an undergraduate certificate or degree program, you must: Have a high school diploma with a GPA of 2.0 or higher or a recognized equivalent such as a GED. If you have fewer than 12 college credits from a regionally accredited institution, we will require your high school transcripts. If you have 12 or more credits, we will only require your college transcripts.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The John P. Burke School of Public Service and Education,"$15,600/Year",,,,,,,,,https://en.wikipedia.org/wiki/Academic,,,650,,False,,4.0,2.0,,,,,,,,,,,"$15,600/Year",,,,,,,False,False,,,95.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,"Up to $17,000",,Merit-based,,,,,,,
,Bachelor's Degree in Computer and Information Sciences,,,,,,Fall 2026,,,,,,Not Required,True,"At Post University, we have a simple, rolling admissions process. All we require is an application and your official transcripts.",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The School of Art & Sciences,"$17,925/semester (On-Campus); $625/credit hour (Online)",,,,,,,"Our Bachelor of Science (B.S.) in Computer Information Systems degree program prepares students for various entry-level positions in the computer technology field. Students will learn the essentials of computer hardware and software, computer programming, computer networking, cybersecurity, and data analysis. The program helps students develop the fundamental knowledge and essential skills for a career in the rapidly expanding computer technology field. It is designed to prepare students for various entry-level positions in areas like computer programming, computer networking, cybersecurity, and data analysis. The Bachelor of Science (B.S.) in Computer Information Systems degree program at Post University offers students a well-rounded and flexible curriculum, preparing them for entry-level positions in a variety of computer-related fields. Students will develop proficiency in computer hardware, software, and networking, an understanding of computer programming and logic, an introduction to cyber security and data analytics, and the ability to apply critical thinking and problem-solving skills to real-world computing challenges. The total credits for the program are 120, and the program length is 8 semesters.",,https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-computer-information-systems/,,,625,,False,,4.0,2.0,,,,,,,,,,,17925,,,,,,,False,False,,,100.0,112.0,,,6.0,,,50.0,,71.0,,,,,,,,,,,"$1,500 - $20,000",,"Academic, Performance-based, Legacy, Sibling, Military",,,,,,,
,Bachelor's Degree in Counseling Psychology,,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,The School of Arts and Sciences,17925/Semester,,,,,,Mental Health Counseling,"The Bachelor of Arts in Psychology program offers a comprehensive curriculum that provides students with a strong foundation in psychological principles, theories, and research methods. Through a combination of coursework, hands-on experiences, and critical thinking exercises, students develop a deep understanding of human behavior, cognitive processes, and emotional well-being. The program emphasizes ethical considerations in psychology, cultural diversity, and the application of psychological knowledge to real-world issues. Graduates are prepared for various entry-level positions in fields such as human services, mental health, education, and research, or for advanced studies in psychology and related disciplines. The Mental Health Counseling Concentration within this program is designed for students interested in pursuing careers in mental health counseling or related fields. It focuses on developing essential skills in counseling techniques, assessment, and intervention strategies. Students gain knowledge of various theoretical approaches to counseling, ethical guidelines, and an understanding of diverse populations. The curriculum also prepares students for graduate-level studies in counseling or clinical psychology.",,https://post.edu/student-services/academic-affairs/university-catalog/,,,650,,,,4.0,2.0,,,,,,,,,,,17925/Semester,,,,,,,,,,,95.0,,,,6.0,,,50.0,,71.0,,,,,,,,,,,"Up to $20,000",,"Academic, Performance-Based, Community-Based",,,,,,,
