Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
,,A minor in accounting is available to all undergraduate students except those majoring in accounting. A minimum grade of C is required in all courses for the minor.,,False,False,False,False,False,False,,,program,Minor in Accounting,https://catalog.qu.edu/programs/
Not Required,Required,"To apply for admission to an undergraduate program, a prospective student must submit the following: Completed Common Application or Quinnipiac Application; Official high school transcript(s); One letter of recommendation from a teacher or school counselor; Personal essay or writing sample.",Required,False,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://catalog.qu.edu/programs/
Not Required,Required,"Quinnipiac accepts the Common Application exclusively. First-year applicants will need to submit:

- The Common Application
- Official high school transcript(s)
- One letter of recommendation from a teacher or school counselor
- Personal essay
- Test scores (optional for most programs)",Not Required,True,False,False,False,False,False,,,program,Bachelor of Arts in Advertising and Integrated Communications,https://catalog.qu.edu/programs/
,,,,True,True,False,False,False,False,,,program,Minor in Advertising and Public Relations,https://catalog.qu.edu/programs/
,,"To be admitted to the minor in aging studies, students must have a GPA of at least 2.500 and must obtain the signature of the program director.",,True,False,False,False,False,False,,,program,Minor in Aging Studies,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Anthropology,https://catalog.qu.edu/programs/
Optional,Optional,Complete our free online application. Request that official transcripts from all colleges and universities you have previously attended be sent directly to Quinnipiac University. You may choose to submit a personal statement outlining your educational and professional goals. You may choose to submit a resume highlighting your professional experience.,,True,True,,False,False,False,,,program,Bachelor of Science in Applied Business,https://catalog.qu.edu/programs/
,,A student may minor in applied statistics and data science by completing the following 18 credits with a grade of C or better in each course. A maximum of two courses in the minor may be used to satisfy a major or another minor requirement. A minimum of three of the courses in the minor must be taken at Quinnipiac University.,,True,False,,False,False,False,,,program,Minor in Applied Statistics and Data Science,https://catalog.qu.edu/programs/
,,,,True,False,,True,False,False,,,program,Minor in Artificial Intelligence,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Asian Studies,https://catalog.qu.edu/arts-sciences/interdisciplinary-minors/asian-studies-minor/
Not Required,Required,The following items are required when you apply for admission: The Common Application or the Quinnipiac Application; Official high school transcript; One letter of recommendation from a school counselor or teacher; A personal essay (from the Common Application or Quinnipiac Application); SAT/ACT scores (Quinnipiac is a test-optional institution).,Required,True,False,,False,False,False,,,program,Bachelor of Science in Athletic Training,https://catalog.qu.edu/courses-undergraduate/at/
Not Required,Required,"A complete first-year application includes the following: Common Application or Quinnipiac Application, including your essay/personal statement; Official high school transcript(s); Secondary school report form and counselor recommendation; One letter of recommendation from an academic teacher; $65 nonrefundable application fee, or a fee waiver. Standardized test scores are optional for most programs; if you choose to submit them, you may self-report your scores on your application. Official scores will be required for students who enroll.",Not Required,True,True,,True,False,False,,,program,Bachelor of Science in Behavioral Neuroscience,https://www.qu.edu/schools/arts-and-sciences/programs/bachelors-degree/behavioral-neuroscience/
Not Required,Required,"All first-year applicants must submit the following: The Common Application, including the personal essay and Quinnipiac-specific questions; an official high school transcript; and one letter of recommendation from a teacher or counselor. Standardized test scores (SAT/ACT) are optional for the Bachelor of Science in Biochemistry program.",Required,True,True,,True,False,False,,,program,Bachelor of Science in Biochemistry,https://catalog.qu.edu/programs/
Not Required,Required,"To apply to Quinnipiac as a first-year student, you’ll need to submit: The Common Application, Your official high school transcript, 1 letter of recommendation from a teacher or counselor, A personal essay.",Not Required,True,True,,True,False,False,,,program,Bachelor of Science in Biology,https://catalog.qu.edu/arts-sciences/biological-sciences/biology-bs/biology-bs.pdf
Not Required,Required,"All first-year applicants must submit: The Common Application, official high school transcript(s), two letters of recommendation (one of which must be from your school counselor), and an essay (Personal Statement).",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Biomedical Marketing,https://catalog.qu.edu/business/marketing/biomedical-marketing-bs/biomedical-marketing-bs.pdf
Not Required,Required,"A completed Common Application or Quinnipiac Application, including the personal essay and Quinnipiac-specific questions; Official high school transcript; One letter of recommendation from a teacher or counselor; List of senior year courses; SAT/ACT Scores (optional, see our test-optional policy).",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Biomedical Sciences,https://catalog.qu.edu/programs/
