Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Accountancy,https://academics.charlotte.edu/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master in Business Administration (MBA),https://academics.charlotte.edu/program/business-administration-mba-dubois-center-online/,Required,Required,"For admission to the Belk College of Business M.B.A. program, an applicant should have a bachelor’s degree from a regionally accredited college or university. A satisfactory score on the GMAT or GRE is required unless a waiver is granted. Applicants also need two years of professional work experience and an acceptable score on the TOEFL or IELTS (if the native language is not English).

Application Requirements:

*   An Application for Graduate Admission
*   Official transcripts for all academic work completed after high school
*   A satisfactory score on the Graduate Management Admission Test (GMAT) or the Graduate Record Examinations (GRE) General Test. Test score waivers are available for some highly qualified applicants. For more information regarding waiver requirements, visit our website at mba.charlotte.edu.
*   Resume with a minimum of two years of professional, post-baccalaureate work experience
*   Statement of Purpose describing your reasons for pursuing a graduate business degree and your career goals
*   Three letters of recommendation",Not Required,False,False,False,False,False,False,,,program,
Master of Science in Economics,https://academics.charlotte.edu/graduate-programs/,Optional,Required,"In addition to the general requirements for admission to the Graduate School, the following are required for admission to the M.S. in Economics program: 1. A bachelor’s degree from a regionally accredited college or university. 2. An overall undergraduate GPA of at least 3.0. 3. Successful completion of the following prerequisite coursework with a grade of B or better: Principles of Macroeconomics, Principles of Microeconomics, Intermediate Macroeconomics, Intermediate Microeconomics, Calculus I, and Statistics. 4. Unofficial transcripts are required with the application. Official transcripts will be required if you are offered admission. 5. A Statement of Purpose is required. 6. Three letters of recommendation are required. 7. GRE/GMAT scores are optional. 8. Resume is optional. 9. All international applicants are required to take the TOEFL and have their scores submitted if their native language is not English.",,True,True,False,True,False,False,,,program,
Master of Science in Management,https://academics.charlotte.edu/graduate-programs/,Required,Required,"A complete application for the Master of Science in Management includes: the online application and fee, unofficial transcripts from all institutions attended, a current resume, three letters of recommendation, a Statement of Purpose addressing specific prompts, and a video essay. Official GMAT or GRE scores are listed as a requirement, though waivers are available for qualified applicants. An interview may also be requested by the admissions committee. International applicants have additional requirements, including proof of English language proficiency.",Not Required,False,False,,True,False,False,,,program,
Master of Science in Mathematical Finance,https://mathfinance.charlotte.edu/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Real Estate,https://academics.charlotte.edu/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Data Science and Business Analytics,https://academics.charlotte.edu/graduate-programs/,Required,Required,"Applicants must meet the requirements for admission to the Graduate School. In addition, the following are required: A bachelor’s degree in a related discipline from a regionally accredited college or university. An undergraduate GPA of 3.0 or higher is expected. Students are expected to have a strong quantitative background including at least two semesters of calculus, a semester of statistics, and a background in computer programming. Standardized test scores (GRE/GMAT) are optional for all applicants. Unofficial transcripts from all institutions attended. Three letters of recommendation. Resume/CV (no more than two pages). A Statement of Purpose that addresses your motivations for pursuing this degree and your career goals.",,False,True,,True,False,False,,,program,
PhD in Computing and Information Systems,https://academics.charlotte.edu/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Organizational Science,https://orgscience.charlotte.edu/directory/scott-tonidandel/,Required,Required,"An online application submitted through the Graduate School's application portal. A statement of purpose that outlines your motivation for pursuing a Ph.D. in Organizational Science, your research interests and career goals, and how you see yourself fitting with the program. A resume outlining your educational and work history. Unofficial transcripts from all colleges and universities attended. Official GRE scores (the UNC Charlotte school code is 5105). Three letters of recommendation. A non-refundable application fee.",Not Required,False,False,,True,False,False,,,program,
PhD in Public Policy,https://academics.charlotte.edu/graduate-programs/,Required,Required,"To be considered for admission, applicants must hold a master’s degree from an accredited U.S. university or its equivalent from a foreign institution. The following materials must be submitted as part of your application: An online application for graduate admission; A non-refundable application fee; Official transcripts from ALL post-secondary institutions attended; Official Graduate Record Examination (GRE) scores (The UNC Charlotte code is 5105); A statement of purpose; A writing sample; Three letters of recommendation; A resume or curriculum vitae; For international students, official TOEFL or IELTS scores may be required.",Required,False,False,,False,False,False,,,program,
PhD in Business Administration (Finance),https://academics.charlotte.edu/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Arts in Teaching - Elementary Education (K-6),https://academics.charlotte.edu/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
