Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
"Tax, Data Analytics and Financial Reporting","The Belk College of Business Master of Accountancy (MACC) program is designed for both accounting and non-accounting majors to prepare students for rewarding careers in accounting. The MACC program has an outstanding record of placing graduates with public accounting firms, corporations, government agencies and not-for-profit organizations. In addition to a comprehensive curriculum that positions students for success on the CPA exam, the MACC program provides an invaluable competitive advantage: a network of outstanding students, a dedicated faculty of teacher-scholars, and a strong alumni base in Charlotte and beyond. In fact, many of our students accept job offers before they graduate.",https://belkcollege.charlotte.edu/macc,The Belk College of Business is accredited by AACSB International - The Association to Advance Collegiate Schools of Business.,Master of Accountancy,https://academics.charlotte.edu/graduate-programs/,
"['Applied Investment Management', 'Business Analytics', 'Commercial Real Estate', 'Crowdsourcing', 'Digital Marketing', 'Economics', 'Energy', 'Entrepreneurship and Corporate Venturing', 'Financial Institutions/Commercial Banking', 'Human Resources Management', 'Information and Technology Management', 'International Management', 'Marketing', 'Operations Management']","The Belk College of Business Master of Business Administration (MBA) program is designed for working professionals from a wide variety of industries and academic backgrounds. The MBA program combines a strong foundation in business knowledge with opportunities for specialization. The nationally-ranked program is offered in a flexible format, allowing students to select the pace and format that best meets their needs. The program offers a core curriculum that provides a solid foundation in the functional areas of business and elective courses to develop expertise. All core courses emphasize business concepts through the case method and other forms of experiential learning, enabling students to apply the course material to real business problems. Elective courses in the MBA program are designed to offer a deeper level of expertise in a variety of business areas. In addition to a variety of broad elective courses, the MBA program offers 14 concentrations. These concentrations allow students to gain in-depth knowledge in a specific area of interest.",https://academics.charlotte.edu/program/business-administration-mba-dubois-center-online/,"The Belk College of Business at UNC Charlotte is accredited by AACSB International - The Association to Advance Collegiate Schools of Business (AACSB), the premier accrediting agency for business schools worldwide. This means the Belk College has met the rigorous standards of quality for both its faculty and academic programs. Less than five percent of business schools in the world have earned this distinction.",Master in Business Administration (MBA),https://academics.charlotte.edu/program/business-administration-mba-dubois-center-online/,
"quantitative economics, quantitative finance","The Master of Science in Economics is a quantitatively rigorous program that will equip you with the mathematical and statistical modeling skills needed for a career as an economist or analyst in the private or public sector, or to pursue a Ph.D. in economics or a related field. The program is designated as a science, technology, engineering, and mathematics (STEM) program, which allows international graduates on F-1 visas to work in the U.S. for up to three years after graduation under the Optional Practical Training (OPT) program. The curriculum provides a solid foundation in microeconomic theory, macroeconomic theory, and econometrics. Students choose between two concentrations: quantitative economics or quantitative finance. Our location in the heart of the second-largest financial center in the country provides graduates with a wide array of internship and career opportunities. UNC Charlotte is the only university in the Carolinas to offer a graduate degree in economics.",https://belkcollege.charlotte.edu/economics/master-science-economics,The Belk College of Business is accredited by AACSB International.,Master of Science in Economics,https://academics.charlotte.edu/graduate-programs/,
,"The Master of Science in Management (M.S. in Management) at UNC Charlotte’s Belk College of Business is a one-year, 30-credit hour graduate program designed for students with a non-business undergraduate degree and less than one year of professional work experience. Students develop a strong foundation of business knowledge with courses in all functional areas of business, including marketing, finance, accounting, business analytics, and more. Our program is taught by the same expert faculty who teach in our top-ranked MBA program. Team-based projects and professional development opportunities are incorporated into the curriculum to ensure students graduate with the skills needed to lead in a variety of industries. The M.S. in Management is a cohort-based program offering students the chance to connect with peers and build their professional network. The program is 11 months, full-time, starting in July and ending in May. The curriculum consists of 10 classes and a two-part professional development course. Students will also be required to participate in an offsite orientation prior to the start of classes. As a STEM-designated program, the M.S. in Management allows international students to extend their time in the U.S. to gain career experience.",https://belkcollege.charlotte.edu/msm,The Belk College of Business is accredited by AACSB International - The Association to Advance Collegiate Schools of Business.,Master of Science in Management,https://academics.charlotte.edu/graduate-programs/,
Risk Management,"The Master of Science in Mathematical Finance program is designed to prepare students for careers in the quantitative analysis of financial markets and the management of risk. The interdisciplinary curriculum is delivered by faculty from three UNC Charlotte colleges – the Belk College of Business, the College of Computing and Informatics, and the College of Liberal Arts & Sciences – and leverages the University’s position as a leading research institution in one of America’s fastest-growing financial capitals. Our graduates are well-prepared for a variety of roles in investment banks, commercial banks, hedge funds, insurance companies, corporate treasuries, and regulatory agencies. The program is designated as a STEM program (CIP code 27.0305). As an academic partner with both the Global Association of Risk Professionals (GARP) and the Chartered Alternative Investment Analyst (CAIA) Association, we are able to offer a curriculum that is on the forefront of industry practices and developments in risk management and alternative investments.",https://mathfinance.charlotte.edu/,,Master of Science in Mathematical Finance,https://mathfinance.charlotte.edu/,Master of Science
"['Development and Investment', 'Real Estate Finance']","The Master of Science in Real Estate (M.S. in Real Estate) is the only program of its kind in the Carolinas. Offered through the Belk College of Business and the Childress Klein Center for Real Estate (CKCRE), this flexible, 33-credit-hour program is designed to provide students with the skills necessary to succeed in a variety of real estate industry careers. The M.S. in Real Estate provides a broad overview of the real estate industry, with a focus on commercial real estate development and investment. Courses are offered on a part-time basis to accommodate both working professionals and full-time students. With a strong focus on finance and development, students who graduate from this program will be equipped for a wide variety of careers in the real-estate industry, including real estate development, lending, investment, and corporate real estate. The program also provides the foundation for students to work toward several professional certifications including the CCIM, ARGUS and LEED AP credentials.",https://belkcollege.charlotte.edu/msre,"The Belk College of Business is accredited by AACSB International, which represents the highest standard of achievement for business schools worldwide.",Master of Science in Real Estate,https://academics.charlotte.edu/graduate-programs/,Master's
"['AI & Machine Learning', 'Bioinformatics', 'Business Analytics', 'Cybersecurity Analytics', 'Data Visualization & High-Performance Computing', 'Financial Technology (FinTech)', 'Health Informatics']","The Master of Science in Data Science and Business Analytics (DSBA) is an interdisciplinary degree program offered by the College of Computing and Informatics, the Belk College of Business, the College of Health and Human Services, and the Department of Mathematics and Statistics in the College of Liberal Arts & Sciences. The DSBA master’s program is a professional program that provides students with a deep understanding of the analytical and technical skills needed to analyze large datasets and drive decision-making in any organization. The DSBA program is a unique blend of data science, business analytics, and big data management. Our interdisciplinary approach ensures students are well-prepared to tackle complex challenges in the ever-evolving world of data. The DSBA program prepares students for careers in a variety of fields, including data science, business analytics, data engineering, and data-driven decision-making. Students have the opportunity to participate in research, internships, and other experiential learning opportunities to enhance their skills and knowledge.",https://dsba.charlotte.edu/academics/master-science-data-science-and-business-analytics,,Master of Science in Data Science and Business Analytics,https://academics.charlotte.edu/graduate-programs/,Master's
"Bioinformatics and Genomics, Computer Science, Software and Information Systems","The Ph.D. in Computing and Information Systems (CIS) is an interdisciplinary program, offered by the Department of Computer Science, the Department of Software and Information Systems, and the Department of Bioinformatics and Genomics. Students in the program receive a broad background in the various areas of computing and information systems and conduct in-depth research in a specific area of interest. The program aims to train students to be first-class researchers and prepare them for careers in research or academia.",https://cci.charlotte.edu/academics/phd-computing-and-information-systems,,PhD in Computing and Information Systems,https://academics.charlotte.edu/graduate-programs/,PhD
,"The Organizational Science Ph.D. Program at UNC Charlotte is an interdisciplinary program that grants a Ph.D. degree in Organizational Science. Our program provides doctoral-level training to students from a variety of academic backgrounds. By bringing together faculty from a number of different social science disciplines, we are able to offer a more diverse curriculum and a richer intellectual experience than is typically found in a traditional, departmental-based Ph.D. program. Our program is broadly focused on the application of social science theory and methods to the study of a wide variety of substantive topics related to organizations and their members. Our core faculty are nationally-recognized scholars in a number of fields including management, psychology, sociology, and communication studies. This diversity is a major asset and gives our program a distinct identity that makes it an attractive choice for students who do not fit neatly into a single discipline. We are a STEM-designated degree program (CIP Code 30.9999 – Multi-/Interdisciplinary Studies, Other). All students are guaranteed funding for four years with the possibility of a fifth year of funding.",https://orgscience.charlotte.edu/,,PhD in Organizational Science,https://orgscience.charlotte.edu/directory/scott-tonidandel/,
"public health, social policy, education, environmental policy, and urban and regional policy","The Public Policy Ph.D. program at UNC Charlotte is an interdisciplinary program that draws on the assets of seven departments and three colleges at the university, including the College of Liberal Arts & Sciences, the Belk College of Business, and the College of Health and Human Services. The curriculum is policy-focused and research-oriented, with students taking courses in public policy, research methods, and a specialized concentration. Students can choose a concentration in a number of substantive policy areas, including but not limited to public health, social policy, education, environmental policy, and urban and regional policy. The program prepares graduates for careers in academia and in the public, private, and non-profit sectors. Located in North Carolina's major urban region, UNC Charlotte is an excellent place to study urban and regional policy issues. The Public Policy Program has a strong relationship with the City of Charlotte, Mecklenburg County, and many nonprofit organizations in the area. Graduates from the program are prepared to contribute to policy analysis and policy making in a variety of settings.",https://publicpolicy.charlotte.edu/phd-program,,PhD in Public Policy,https://academics.charlotte.edu/graduate-programs/,PhD
Finance,"The Ph.D. in Business Administration program offers a specialization in finance. The program provides a stimulating learning environment for a small and highly select group of students. We equip our students with the theoretical, analytical and research skills needed for a successful career in academic research and teaching. Our faculty actively researches a broad range of topics and regularly publishes in top-tier journals. We work closely with our doctoral students on research projects throughout the program. Students benefit from the low student-to-faculty ratio and individualized attention.",https://belkcollege.charlotte.edu/phd-business-administration,"The Belk College of Business at UNC Charlotte is accredited by AACSB International - The Association to Advance Collegiate Schools of Business. AACSB International is the premier accrediting agency for bachelor's, master's and doctoral degree programs in business administration and accounting.",PhD in Business Administration (Finance),https://academics.charlotte.edu/graduate-programs/,PhD
,"The Master of Arts in Teaching (M.A.T.) in Elementary Education is a 39-credit hour graduate program designed for students who have an undergraduate degree in a field other than education and who want to become licensed to teach in elementary schools (Kindergarten through grade 6). Coursework in the program is offered completely online. The program is specifically intended for individuals who want to be prepared to teach in a diverse 21st century classroom. The program focuses on teaching linguistically and culturally diverse students and ensuring that teacher candidates are well prepared in all content areas, particularly in literacy and mathematics instruction. The M.A.T. program focuses on developing deep pedagogical content knowledge across the elementary curriculum. The M.A.T. program has two tracks: a full-time, 15-month program that includes a yearlong student teaching internship; or a part-time option where candidates work as a lateral entry teacher and take two courses a semester. Both tracks lead to a master’s degree and an ‘A’ level North Carolina teaching license.",https://catalog.charlotte.edu/preview_program.php?catoid=44&poid=12076,The Cato College of Education at UNC Charlotte is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Master of Arts in Teaching - Elementary Education (K-6),https://academics.charlotte.edu/graduate-programs/,Master's
English Language Arts; Mathematics; Science; Social Studies,The Master of Arts in Teaching (M.A.T.) in Middle Grades Education is for individuals who have an undergraduate degree in a field other than education and who want to become a middle school teacher in one of the following areas: English Language Arts; Mathematics; Science; Social Studies. This program is a 33-hour initial licensure program designed to be completed in four semesters. It combines coursework with extensive field-based experiences to prepare graduates for a successful career in a middle school classroom and to be teacher leaders. The M.A.T. program is approved by the North Carolina Department of Public Instruction. It includes a core of professional education studies that provide a strong foundation in teaching and learning as well as content-specific pedagogy courses that focus on the unique challenges of teaching in particular subject areas.,https://mdsk.charlotte.edu/master-arts-teaching-middle-grades-6-9-education-english-math-social-studies-or-science/,The M.A.T. program is approved by the North Carolina Department of Public Instruction. The Cato College of Education is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Master of Arts in Teaching - Middle and Secondary Education (6-12),https://mdsk.charlotte.edu/master-arts-teaching-middle-grades-6-9-education-english-math-social-studies-or-science/,
"French, German, Japanese, Spanish","The Graduate Certificate and M.A.T. Programs in Foreign Language Education lead to an initial North Carolina teaching license in French, German, Spanish, or Japanese for grades K-12. The Graduate Certificate is an 18- to 21-credit hour program for applicants who already hold a bachelor’s degree in a foreign language (or its equivalent). The Master of Arts in Teaching (M.A.T.) is a 33- to 36-credit hour program for individuals seeking a master’s degree and an initial teaching license. Students in the M.A.T. take the same courses as students in the Graduate Certificate, plus 12-15 hours of additional coursework leading to the master’s degree. Students in our programs learn from expert faculty in language pedagogy and have extensive opportunities to work with experienced teachers in public school classrooms. In addition to online and on-campus coursework, all students in our programs complete a one-semester (full-time) student teaching internship as a capstone experience. This combination of rigorous coursework and practical experience ensures that our graduates are well-prepared to be effective world language teachers in K-12 schools.",https://mdsk.charlotte.edu/academic-programs/graduate-certificatemat-foreign-language-education-0/,Our programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP) and the North Carolina Department of Public Instruction (NCDPI).,Master of Arts in Teaching - Foreign Language Education (K-12),https://mdsk.charlotte.edu/academic-programs/graduate-certificatemat-foreign-language-education-0/,
