Program name,Program Page url
Master of Accountancy,https://academics.charlotte.edu/graduate-programs/
Master in Business Administration (MBA),https://academics.charlotte.edu/program/business-administration-mba-dubois-center-online/
Master of Science in Economics,https://academics.charlotte.edu/graduate-programs/
Master of Science in Management,https://academics.charlotte.edu/graduate-programs/
Master of Science in Mathematical Finance,https://mathfinance.charlotte.edu/
Master of Science in Real Estate,https://academics.charlotte.edu/graduate-programs/
Master of Science in Data Science and Business Analytics,https://academics.charlotte.edu/graduate-programs/
PhD in Computing and Information Systems,https://academics.charlotte.edu/graduate-programs/
PhD in Organizational Science,https://orgscience.charlotte.edu/directory/scott-tonidandel/
PhD in Public Policy,https://academics.charlotte.edu/graduate-programs/
PhD in Business Administration (Finance),https://academics.charlotte.edu/graduate-programs/
Master of Arts in Teaching - Elementary Education (K-6),https://academics.charlotte.edu/graduate-programs/
Master of Arts in Teaching - Middle and Secondary Education (6-12),https://mdsk.charlotte.edu/master-arts-teaching-middle-grades-6-9-education-english-math-social-studies-or-science/
Master of Arts in Teaching - Foreign Language Education (K-12),https://mdsk.charlotte.edu/academic-programs/graduate-certificatemat-foreign-language-education-0/
Master of Arts in Teaching - Special Education (K-12),https://academics.charlotte.edu/graduate-programs/
Master of Arts in Teaching - Teaching English as a Second Language (K-12),https://academics.charlotte.edu/graduate-programs/
Master of Arts in Teaching - Early Childhood Education (Birth-Kindergarten),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Elementary Education (K-6)),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Middle Grades Track: English/language arts),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Middle Grades Track: mathematics),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Middle Grades Track: science),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Middle Grades Track: social studies),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Secondary Education Track: comprehensive social studies),https://academics.charlotte.edu/graduate-programs/
Master of Education - Curriculum & Instruction (Secondary Education Track: comprehensive science),https://mdsk.charlotte.edu/academic-programs/med-curriculum-and-instruction-ci/
Master of Education - Curriculum & Instruction (Teaching English as a Second Language (K-12)),https://academics.charlotte.edu/program/curriculum-and-instruction-m-ed-online/
"Master of Education - Learning, Design and Technology",https://academics.charlotte.edu/graduate-programs/
Master of Education - Reading Education (K-12),https://academics.charlotte.edu/graduate-programs/
Master of Education - Special Education (K-12) (General Curriculum),https://academics.charlotte.edu/graduate-programs/
Master of Education - Special Education (K-12) (Adapted Curriculum),https://academics.charlotte.edu/graduate-programs/
Master of Education - Academically Gifted,https://academics.charlotte.edu/graduate-programs/
Master of Education - Child & Family Studies (B-K),https://egem.charlotte.edu/child-family-studies-med-2017-2018-m-ed-recruitment-plan/
Master of Arts in School Counseling,https://academics.charlotte.edu/graduate-programs/
Master of Arts in Addiction Counseling,https://academics.charlotte.edu/graduate-programs/
Master of Arts in Clinical Mental Health,https://academics.charlotte.edu/program/counseling-clinical-mental-health-concentration-m-a-on-campus/
Master of Arts in English Education,https://english.charlotte.edu/programs/graduate-program-information/
Master of Arts in Mathematics Education,https://s3.amazonaws.com/media.guidebook.com/upload/12QCXAFQnetPQAy8P4JZpeAbS1OFn0TN7dav9g1W/0rPKGeZqJ4i53ifeXLkbNQmMR4L7qOQieQeY.pdf
Graduate Certificate in Precision Metrology,https://academics.charlotte.edu/graduate-programs/
Master's Degree in Mechanical Engineering and Engineering Science - Bioengineering,https://academics.charlotte.edu/graduate-programs/
Master's Degree in Mechanical Engineering and Engineering Science - Computational Mechanics and Materials,https://mees.charlotte.edu/graduate-programs/master-of-science-in-mechanical-engineering/computational-mechanics-and-materials/
Master's Degree in Mechanical Engineering and Engineering Science - Dynamics and Controls,https://academics.charlotte.edu/graduate-programs/
Master's Degree in Mechanical Engineering and Engineering Science - Manufacturing and Metrology,https://academics.charlotte.edu/graduate-programs/
Master's Degree in Mechanical Engineering and Engineering Science - Motorsports Engineering,https://academics.charlotte.edu/graduate-programs/
Master's Degree in Mechanical Engineering and Engineering Science - Thermal Sciences and Fluid Mechanics,https://academics.charlotte.edu/graduate-programs/
PhD in Mechanical Engineering and Engineering Science,https://mees.charlotte.edu/graduate-program-faqs/11/
