Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
"Bachelor of Arts in African, African American, and Diaspora Studies",https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in American Studies,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in American Studies – American Indian and Indigenous Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/,Optional,Optional,"First-year students are required to submit an application, application fee, and an official high school transcript. Submission of SAT or ACT scores is optional for first-year applicants through Fall 2024. An essay and a list of your activities are included in the application and are strongly recommended. The writing sections of the SAT and ACT are not required.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Anthropology,https://catalog.unc.edu/undergraduate/programs-study/,,,Students can declare a major in Anthropology after completing ANTH 1101 with a grade of C or above.,,True,False,,False,False,False,,,program,
Bachelor of Arts in Archaeology,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Art History,https://catalog.unc.edu/undergraduate/programs-study/,,,Students may declare a major in Art History at any time. The requirements to declare a major include a minimum GPA of 2.0.,,True,True,,False,False,False,,,program,
Bachelor of Arts in Asian Studies,https://academics.charlotte.edu/program/global-studies-b-a-on-campus/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Asian Studies – Arab Cultures Concentration,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"First-year admission to UNC Charlotte is competitive. All applications receive a holistic review which takes multiple factors into consideration for an admission decision. This includes your academic performance in high school, standardized test scores (if you choose to submit them), and your required essay. The following items are required to complete your application: Online Application and Fee, Official High School Transcript, Official SAT or ACT Scores (Note: UNC Charlotte is test-optional), and an Essay. A recommendation is optional but strongly recommended.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Behavioral Sciences,https://coaa.charlotte.edu/music/undergraduate-programs/bachelor-arts-music/,,,,,True,True,,False,False,False,,,program,
Bachelor of Arts in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
