Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,"The Bachelor of Arts (BA) in African, African American, and Diaspora Studies (AAADS) is an interdisciplinary program designed to provide students with an understanding of the experiences, cultures, and contributions of African and African American peoples throughout the world. The program is committed to a critical examination of historical and contemporary issues relevant to people of African descent, including their social, political, economic, and cultural developments. Students in the AAADS program will develop critical thinking skills, research abilities, and a nuanced understanding of race, ethnicity, gender, and class. The curriculum emphasizes a global perspective, exploring the connections between Africa, the Caribbean, North America, and other parts of the African Diaspora. Graduates will be prepared for a variety of careers in fields such as education, public policy, social justice, community development, international relations, and cultural institutions, as well as for further graduate study in related disciplines.",https://catalog.unc.edu/undergraduate/programs-study/african-african-american-diaspora-studies-ba/,,"Bachelor of Arts in African, African American, and Diaspora Studies",https://catalog.unc.edu/undergraduate/programs-study/,
,"American Studies is an interdisciplinary program that draws on the expertise of a variety of departments and colleges across the UNC Charlotte campus to study the cultures and societies of the United States, broadly conceived. It features two core courses: an introduction to the interdisciplinary study of American cultures, and a capstone research seminar for seniors. Students complete a sequence of elective courses from at least three different departments, choosing from a wide array of options in fields such as history, literature, art, music, political science, religious studies, sociology, and women’s and gender studies. The program is flexible, allowing students to tailor their studies to their individual interests. American Studies trains students to think critically and analytically about a wide range of subjects, to formulate research questions, and to develop compelling arguments based on evidence. Students who major in American Studies acquire a broad knowledge of U.S. cultures and societies and develop strong skills in critical thinking, research, writing, and oral communication, preparing them for a variety of careers in fields such as education, law, journalism, government, public history, and museum work, or for graduate study.",https://catalog.unc.edu/undergraduate/programs-study/american-studies-ba/,,Bachelor of Arts in American Studies,https://catalog.unc.edu/undergraduate/programs-study/,
American Indian and Indigenous Studies Concentration,"American Studies is an interdisciplinary program that examines the history, societies, and cultures of the United States and the Americas. The program provides students with a broad humanistic and social scientific education while allowing them to develop expertise in a specific concentration area. American Studies coursework challenges students to critically analyze cultural production, social institutions, political movements, and historical narratives from multiple perspectives. It emphasizes critical thinking, research, and communication skills applicable to a wide range of career fields including law, public policy, teaching, business, journalism, museum work, and archival studies. Graduates are well-prepared for professional careers and for further study in a variety of graduate and professional programs.",https://catalog.unc.edu/undergraduate/programs-study/american-studies-ba/,,Bachelor of Arts in American Studies – American Indian and Indigenous Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/,
Applied Anthropology,"The Bachelor of Arts in Anthropology is designed to provide students with a broad and comprehensive understanding of the diverse aspects of human experience across time and space. Anthropology is a holistic discipline that encompasses the study of human biology, culture, language, and archaeology. The program emphasizes critical thinking, research methods, and ethical engagement with diverse populations and cultural practices. Students will develop skills in data collection, analysis, and interpretation, preparing them for a variety of careers in fields such as cultural resource management, international development, public health, education, and museum studies, as well as for graduate studies in anthropology or related disciplines. The curriculum offers a solid foundation in the subfields of anthropology and allows students to tailor their studies through electives and, optionally, a concentration in Applied Anthropology.",https://catalog.unc.edu/undergraduate/programs-study/anthropology-ba/,,Bachelor of Arts in Anthropology,https://catalog.unc.edu/undergraduate/programs-study/,
,"Archaeology is the study of the human past through its material remains. Archaeologists investigate all aspects of human history, from the emergence of our species to the historic periods of the modern world. The study of archaeology combines the social sciences, humanities, and natural sciences through an interdisciplinary approach to research. This interdisciplinary approach gives students both breadth and depth in their understanding of the various sub-fields of anthropology and the related sciences. The Archaeology B.A. provides students with a broad and deep understanding of the human past, a strong training in archaeological field methods and theory, and a critical perspective on the interpretation of material culture. Students graduating with a B.A. in Archaeology will have the skills necessary for continued graduate study in archaeology or for careers in cultural resource management, museums, education, or other fields.",https://catalog.unc.edu/undergraduate/programs-study/archaeology-ba/,,Bachelor of Arts in Archaeology,https://catalog.unc.edu/undergraduate/programs-study/,
,"The Bachelor of Arts in Art History prepares students for careers in museums, galleries, cultural institutions, and graduate study in art history. Students develop skills in visual analysis, critical thinking, research, and writing through the study of global art and architectural traditions.",https://catalog.unc.edu/undergraduate/programs-study/art-history-ba/,,Bachelor of Arts in Art History,https://catalog.unc.edu/undergraduate/programs-study/,
,"The Bachelor of Arts (B.A.) in Global Studies is an interdisciplinary program designed for students interested in understanding global processes, problems, and interconnections. The major emphasizes critical thinking about global issues from a variety of perspectives—political, economic, historical, social, and cultural. Students develop knowledge about world regions, acquire foreign language proficiency, and gain cross-cultural understanding. The major offers students a choice of six concentrations that align with career interests and/or graduate studies. The program prepares students for a wide variety of careers in government, non-governmental organizations, business, international education, and other fields that require global literacy.",https://academics.charlotte.edu/program/global-studies-b-a-on-campus/,,Bachelor of Arts in Asian Studies,https://academics.charlotte.edu/program/global-studies-b-a-on-campus/,
Arab Cultures Concentration,"The Asian Studies program provides an interdisciplinary curriculum that enables students to gain an understanding of the region's diverse cultures, societies, and languages. Asian Studies majors develop the critical thinking, research, and communication skills necessary for success in a globalized world. The curriculum allows students to choose one of four concentrations: Arab Cultures, East Asia, South Asia, or Southeast Asia. Students are strongly encouraged to study abroad in an Asian country.",https://catalog.unc.edu/undergraduate/programs-study/asian-studies-ba/,,Bachelor of Arts in Asian Studies – Arab Cultures Concentration,https://catalog.unc.edu/undergraduate/programs-study/,
,,,,Bachelor of Arts in Behavioral Sciences,https://coaa.charlotte.edu/music/undergraduate-programs/bachelor-arts-music/,
,"The Bachelor of Arts (B.A.) in Chemistry degree program is designed for students seeking a broad education in chemistry with greater flexibility to pursue other academic interests in allied fields or in other non-science fields. The B.A. curriculum includes introductory courses in analytical, inorganic, organic, and physical chemistry, along with biochemistry. Additional upper-level courses are chosen from the several subdisciplines in chemistry. The B.A. degree also prepares students for chemistry-related careers in business, education, government, and technical sales, as well as for various graduate and professional programs. The B.A. degree provides a solid foundation for further study in chemistry, health-related fields, or other disciplines.",https://catalog.unc.edu/undergraduate/programs-study/chemistry/chemistry-ba/,,Bachelor of Arts in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/,
Classical Archaeology,"The study of Classics offers an engaging exploration of the roots of Western Civilization while cultivating analytical and communication skills prized by employers and graduate programs. Through a wide range of courses, students explore the literature, history, art, and philosophy of Greece and Rome and their interactions with the ancient Near East and other cultures. Students may choose from three concentrations: Ancient Greek and Latin, Classical Archaeology, and Classical Civilization. Whichever concentration they pursue, students learn to apply critical thinking and interpretive skills to human experience, to conduct research, to think about ethical questions, and to communicate effectively. The Bachelor of Arts in Classics provides excellent preparation for careers in such fields as law, medicine, teaching, journalism, business, public service, and library or museum work. It also prepares students for graduate study in Classics and related fields.",https://catalog.unc.edu/undergraduate/programs-study/classics-ba/,,Bachelor of Arts in Classics – Classical Archaeology,https://catalog.unc.edu/undergraduate/programs-study/,
Classical Civilization,"The Bachelor of Arts in Classics provides students with a strong liberal arts education grounded in the languages, literatures, and cultures of ancient Greece and Rome. Students develop skills in critical thinking, analytical reasoning, and written and oral communication through the study of diverse texts and artifacts. In addition to a core of required courses, students choose either a concentration in Classical Civilization or Latin, each of which allows for significant flexibility in course selection based on individual interests. Graduates are prepared for a variety of careers in education, law, medicine, government, library science, and the arts, as well as for further study in graduate programs.",https://languages.charlotte.edu/programs/classics-ba/,,Bachelor of Arts in Classics – Classical Civilization,https://languages.charlotte.edu/programs/,
