QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years (120 credit hours),,"Bachelor of Arts in African, African American, and Diaspora Studies",https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,,,,"$7,473/Year (In-state); $21,347/Year (Out-of-state)",,,,,"Merit-based, Need-based",120 credit hours,"$7,473/Year (In-state); $21,347/Year (Out-of-state)",Bachelor of Arts in American Studies,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, need-based",120 credit hours,,Bachelor of Arts in American Studies – American Indian and Indigenous Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based scholarships, grants, loans, student employment",120 credit hours,,Bachelor of Arts in Anthropology,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,,,,"NC Resident: $7,236/Year; Non-NC Resident: $22,057/Year",,NC Resident: $301.50/Credit Hour; Non-NC Resident: $919.04/Credit Hour,,,"Merit-based, Need-based",120 credit hours,"NC Resident: $7,236/Year; Non-NC Resident: $22,057/Year",Bachelor of Arts in Archaeology,https://catalog.unc.edu/undergraduate/programs-study/
,College of Arts + Architecture,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based",120 credit hours,,Bachelor of Arts in Art History,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,,,,"$21,136/Year (Non-NC Resident)",,$881.50/Credit Hour (Non-NC Resident),,,"Merit-based, Need-based, College-specific, Department-specific",4 years,,Bachelor of Arts in Asian Studies,https://academics.charlotte.edu/program/global-studies-b-a-on-campus/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,21256,,,,,"Merit-based, Need-based",4 years,21256,Bachelor of Arts in Asian Studies – Arab Cultures Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,79.4% (University-wide for Fall 2023),Fall 2026,,,,,"$375.05/credit (In-state, 2024-2025), $1,369.30/credit (Out-of-state, 2024-2025)",,,"Merit-based, Need-based, Departmental",4 years,"$7,953/year (In-state, 2024-2025), $23,863/year (Out-of-state, 2024-2025)",Bachelor of Arts in Behavioral Sciences,https://coaa.charlotte.edu/music/undergraduate-programs/bachelor-arts-music/
,College of Liberal Arts & Sciences,,4.0,2.0,,,,,,,,,,Merit-based,120 credit hours,,Bachelor of Arts in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,22230.5,,NC Resident: $303.07/Credit; Non-NC Resident: $926.32/Credit,,,"Merit-based, Need-based",4 years,22230.5,Bachelor of Arts in Classics – Classical Archaeology,https://catalog.unc.edu/undergraduate/programs-study/
851-900,College of Humanities & Earth and Social Sciences,,4.0,2.0,79.5%,Fall 2026,"August 1, 2025","Early Action: November 1, 2025; Regular Decision: February 1, 2026","$7,586/year (in-state); $22,808/year (out-of-state)",,$316.08/credit (in-state); $950.33/credit (out-of-state),,,"Merit-based, Need-based",4 years,"$7,586/year (in-state); $22,808/year (out-of-state)",Bachelor of Arts in Classics – Classical Civilization,https://languages.charlotte.edu/programs/
,The College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,"In-State: $7,674.86/year; Out-of-State: $22,448.86/year (2023-2024, includes tuition and fees)",,In-State: $182.46/credit hour (tuition only); Out-of-State: $798.04/credit hour (tuition only) (2023-2024),,,"Merit-based, Need-based",4 years (120 credit hours),"In-State: $4,379/year; Out-of-State: $19,153/year (2023-2024)","Bachelor of Arts in Classics – Greek, Latin, and Combined Greek and Latin",https://catalog.unc.edu/undergraduate/programs-study/classics-major-ba-greek-latin/classics-major-ba-greek-latin.pdf
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,"NC Resident: $7,297/Year; Non-NC Resident: $21,343/Year",,NC Resident: $304.08/credit hour; Non-NC Resident: $889.33/credit hour,,,"Merit-based, Need-based",120 credit hours,"NC Resident: $7,297/Year; Non-NC Resident: $21,343/Year",Bachelor of Arts in Communication Studies,https://catalog.unc.edu/undergraduate/programs-study/
,College of Computing and Informatics,,4.0,2.5,,,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Computer Science,https://catalog.unc.edu/undergraduate/programs-study/
,College of Computing and Informatics,,4.0,2.5,,Fall 2026,,,,,$349.50/credit (In-state); $920.75/credit (Out-of-state),,,"Merit-based, Need-based",4 years,"$7,376/Year (In-state); $20,977/Year (Out-of-state)",Bachelor of Arts in Data Science,https://catalog.unc.edu/undergraduate/programs-study/
,College of Arts + Architecture,,4.0,2.0,,Fall 2026,,,"In-State: $7,376/Year, Out-of-State: $21,089/Year",,"In-State: $307.33/credit, Out-of-State: $878.71/credit",,,"Departmental, Merit-based",4 Years,"In-State: $7,376/Year, Out-of-State: $21,089/Year",Bachelor of Arts in Drama,https://catalog.unc.edu/undergraduate/programs-study/
,Belk College of Business,,4.0,2.0,79.4% (Fall 2023),Fall 2026,,,"In-State: $9,900.90/year; Out-of-State: $22,546.90/year (based on 2023-2024 rates, includes university fees and business undergrad program fee)",,"In-State: ~$418.50 per credit hour; Out-of-State: ~$945.45 per credit hour (based on 2023-2024 part-time rates, excluding special fees)",,,"Merit-based, Need-based, Leadership, Community Involvement",4 years,"In-State: $9,900.90/year; Out-of-State: $22,546.90/year (based on 2023-2024 rates, includes university fees and business undergrad program fee)",Bachelor of Arts in Economics,https://academics.charlotte.edu/program/economics-b-s-on-campus/
,Cato College of Education,,4.0,2.75,79.49% (Fall 2023),,,,"NC Resident: $7,658.70/year, Non-NC Resident: $22,394.70/year",,"NC Resident: $182.17/credit hour, Non-NC Resident: $796.17/credit hour",,,"Merit-based, need-based, or a combination",4 years,"NC Resident: $7,658.70/year, Non-NC Resident: $22,394.70/year",Bachelor of Arts in Education,https://teal.charlotte.edu/undergraduate-programs/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,"$7,491/Year (NC Resident), $22,272/Year (Non-Resident)",,"$312.13/Credit (NC Resident), $928.00/Credit (Non-Resident)","Ranges from $1,000 to full in-state tuition and fees",,"Merit-based, Departmental",4 years,"$3,897/Year (NC Resident), $18,678/Year (Non-Resident)",Bachelor of Arts in English,https://catalog.unc.edu/undergraduate/programs-study/
851-900,,,4.0,2.0,,Fall 2026,,,"In-State: $7,624/Year; Out-of-State: $20,834/Year",,In-State: $205.75/Credit Hour; Out-of-State: $796.75/Credit Hour,,,"Merit-based, need-based, and a combination of both.",,"In-State: $7,624/Year; Out-of-State: $20,834/Year",Bachelor of Arts in European and Russian Studies,https://as.tufts.edu/ilcs/academics/majors/ba-russian-eastern-european-studies
851-900,College of Humanities & Earth and Social Sciences,,4.0,2.0,,,,,7614/year (in-state); 22838/year (out-of-state),,317.29/credit hour (in-state); 951.62/credit hour (out-of-state),,,"Merit-based, Need-based",4 years,7614/year (in-state); 22838/year (out-of-state),Bachelor of Arts in French,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECdm4bHjl7WpVnQ7trMgryZ9eF_a-95LrIKzBah5xcKh5p9LQLR2nkE6oYxM0mflQxAfvn05mewR_oHXNlOLbmnUwpMFlLMdAJWVPUXH66ZjnpCnJyiCMyY9r1leVt8Dtol6EoROn0E00UfjWmtkNEee3LzdV5MKmEsYRERdVF0H8Q41VqlnZ50Pl3n176FhcpjR7nbgF4aw_obJr7IcnSJe_dMmOV2BL-K1abu5PPtR8=
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,"NC Resident: $7,313/Year, Non-NC Resident: $22,503/Year",,"NC Resident: $609.42, Non-NC Resident: $1,875.25",,,"Merit-based, Need-based",4 years,"NC Resident: $7,313/Year, Non-NC Resident: $22,503/Year",Bachelor of Arts in Geography and Environment,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,$158.84/Credit (In-state); $793.21/Credit (Out-of-state),,,"Merit-based, Need-based",4 years (120 credit hours),"$7,325/Year (In-state); $22,550/Year (Out-of-state)",Bachelor of Arts in Geological Sciences – Earth Science Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,,,,7490,,"$289.00/Credit Hour (NC Resident), $846.00/Credit Hour (Non-Resident)",,,"Merit-based, Need-based, Special Talent",120 credit hours,"$7,490/Year (NC Resident), $22,726/Year (Non-Resident)",Bachelor of Arts in Germanic and Slavic Languages and Literatures – German Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,,120 credit hours,,Bachelor of Arts in Germanic and Slavic Languages and Literatures – Russian Language and Culture Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,,,,,,,,,"University-wide scholarships, college-specific scholarships, departmental scholarships, Merit scholarships",120 credit hours,,Bachelor of Arts in Germanic and Slavic Languages and Literatures – Slavic and East European Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,"NC Resident: $5,162.98/Semester; Non-NC Resident: $11,986.98/Semester",,NC Resident: $423.83/Credit; Non-NC Resident: $992.50/Credit,,,,120 credit hours,"NC Resident: $5,162.98/Semester; Non-NC Resident: $11,986.98/Semester",Bachelor of Arts in Global Studies,https://catalog.unc.edu/undergraduate/programs-study/
,,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",,,Bachelor of Arts in Haitian Creole,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,,,,,,,,,$500 - $1000,,"Merit-based, Need-based",,,Bachelor of Arts in Hindi-Urdu,https://languages.charlotte.edu/student-opportunities/scholarships/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",120 credit hours,,Bachelor of Arts in History,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years (120 credit hours),,Bachelor of Arts in Latin American Studies,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,,,,,,,,,Merit-based,4 years,,"Bachelor of Arts in Linguistics, Interpretation, and Translation",https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, financial need, or other criteria",4 years,,Bachelor of Arts in Media and Journalism,https://catalog.unc.edu/undergraduate/programs-study/media-journalism-major-ba/
,College of Arts + Architecture,,4.0,2.0,,,,,,,,,,"Merit-based scholarships, Need-based scholarships",120 credit hours,,Bachelor of Arts in Music,https://catalog.unc.edu/undergraduate/programs-study/
,College of Arts + Architecture,,4.0,2.0,79%,Fall 2026,,,"$2,951.90/Year",,$307.20/credit (In-State); $901.95/credit (Out-of-State),"Awards range from $1,000 to $4,000 per year",,Talent-based,4 years,"$4,421/Year (In-State); $18,698/Year (Out-of-State)",Bachelor of Arts in Music History and Literature,https://coaa.charlotte.edu/music/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based scholarships, need-based grants",4 years,,Bachelor of Arts in North American Studies,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based",4 years,,"Bachelor of Arts in Peace, War, and Defense",https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Philosophy,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,,Fall 2026,,,"$7,624/Year (in-state), $21,766/Year (out-of-state)",,"$373.52/credit (in-state), $999.67/credit (out-of-state)",,,"Merit-based, Need-based",4 years,"$7,624/Year (in-state), $21,766/Year (out-of-state)",Bachelor of Arts in Political Science,https://research.com/degrees/best-online-political-science-degree-programs
,College of Liberal Arts & Sciences,,4.0,2.0,,,,,7409,,"$211.00 (In-state, part-time), $923.00 (Out-of-state, part-time)",,,"Merit-based, Need-based",4 years,"$7,409 (In-state, Annual), $22,860 (Out-of-state, Annual)",Bachelor of Arts in Public Policy Analysis,https://catalog.unc.edu/undergraduate/programs-study/
,College of Humanities & Earth and Social Sciences,,4.0,2.0,79.5% (Fall 2023),Fall 2026,,,,,In-State: $145.50/credit hour (tuition only); Out-of-State: $731.50/credit hour (tuition only) (based on 2023-2024 rates),,,"Merit-based, Need-based, Major-specific",120 credit hours,"In-State: $7,376/year; Out-of-State: $20,972/year (based on 2023-2024 rates)",Bachelor of Arts in Religious Studies,https://www.educations.com/bachelors-degree/humanities-studies/north-america/distance-learning
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Departmental",120 credit hours,,Bachelor of Arts in Sociology,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"scholarships, grants, loans, and work-study",120 credit hours,,Bachelor of Arts in Spanish,https://catalog.unc.edu/undergraduate/programs-study/
,College of Arts + Architecture,,4.0,2.0,,Fall 2026,,,"In-state: $9,067/year; Out-of-state: $21,961/year (2023-2024)",,In-state: $307.00/hour (tuition only); Out-of-state: $844.25/hour (tuition only),,,Merit and/or need-based,4 years,"In-state: $9,067/year; Out-of-state: $21,961/year (2023-2024)",Bachelor of Arts in Studio Arts,https://academics.charlotte.edu/program/art-b-a-on-campus/
,College of Arts + Architecture,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Visual Arts,https://catalog.unc.edu/undergraduate/programs-study/
801-850,College of Liberal Arts & Sciences,,4.0,2.0,79.8%,Fall 2026,,,"NC Resident: $7,371.50/Year; Non-Resident: $21,209.50/Year",10132,NC Resident: $184.25/Credit Hour (Tuition only); Non-Resident: $760.75/Credit Hour (Tuition only),,,"Merit-based, Need-based",4 years,"NC Resident: $7,371.50/Year; Non-Resident: $21,209.50/Year",Bachelor of Arts in Women's Studies,https://interdisciplinarystudies.charlotte.edu/academics/ba-interdisciplinary-studies/
851-900,,,4.0,2.0,79.5%,Fall 2026,,,,,$313.96/credit (in-state); $948.05/credit (out-of-state),,,"Merit-based, Need-based, Departmental",,"$7,535/year (in-state); $22,753/year (out-of-state)",Bachelor of Science in Applied Sciences,https://catalog.wit.edu/sciences-humanities/sciences/applied-sciences-bs/applied-sciences-bs.pdf
,College of Science,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, leadership, and talent",4 years,,Bachelor of Science in Astronomy,https://catalog.unc.edu/undergraduate/programs-study/
,"College of Computing and Informatics, College of Liberal Arts & Sciences",,4.0,2.0,80.1% (Fall 2023),Fall 2026,,,22627,,$405.29/credit (In-state); $942.79/credit (Out-of-state),,,"Merit-based, Need-based, Departmental",4 years,"$9,727/Year (In-state); $22,627/Year (Out-of-state)",Bachelor of Science in Bioinformatics,https://artsci.tamu.edu/statistics/academics/undergraduate/bs-in-bioinformatics.html
,College of Science,,4.0,2.0,80%,Fall 2026,,,"NC Resident: $12,482/Year; Non-NC Resident: $42,918/Year",,"NC Resident: $708.67/Credit Hour; Non-NC Resident: $1,976.83/Credit Hour","Varies by award (e.g., $500, up to $1,000 for departmental scholarships)",,"Merit-based, Need-based, Departmental",4 years,"NC Resident: $12,482/Year; Non-NC Resident: $42,918/Year",Bachelor of Science in Biology,https://bsc.ua.edu/undergraduate/bachelor-of-science-in-biology/
,The William States Lee College of Engineering,,4.0,2.0,,Fall 2026,,,11188,,"In-state: $466.50/Credit, Out-of-state: $993.50/Credit",,,"Merit-based, Need-based",4 Years,11188,Bachelor of Science in Biomedical Engineering,https://academics.charlotte.edu/program/mechanical-engineering-biomedical-engineering-concentration-b-s-m-e-on-campus/
,Belk College of Business,,4.0,2.5,79.5%,Fall 2026,,,"In-state: $7,861/year; Out-of-state: $23,585/year (includes full-time tuition and mandatory fees). A differential tuition of $80 per credit hour is charged for upper-division business courses.","Approximately $2,500",NC Resident: $183.79/credit hour (tuition only); Non-NC Resident: $838.96/credit hour (tuition only). Additional fees apply. Plus a differential tuition of $80 per credit hour for upper-division business courses.,,,"Based on academic major, GPA, financial need, and campus/community involvement.",4 years (120 credit hours),,Bachelor of Science in Business Administration,https://belkcollege.charlotte.edu/academics/undergraduate-programs/undergraduate-academics/
,College of Science,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/
,College of Liberal Arts & Sciences,,4.0,2.0,79.6%,Fall 2026,,,,,In-state: $317.87/credit hour; Out-of-state: $972.12/credit hour,"Varies. Departmental scholarships of ~$1,000 are available. University-level scholarships can cover full tuition and fees.",,"Merit-based, Need-based",4 years,"In-state: $7,629/year; Out-of-state: $23,331/year",Bachelor of Science in Chemistry – Biochemistry Track,https://chemistry.charlotte.edu/programs/undergraduate-programs/
,College of Science,,4.0,2.0,,Fall 2026,,,,,NC Resident: $317.63/Credit Hour; Non-NC Resident: $878.29/Credit Hour,,,"Merit-based, Need-based",4 years,"NC Resident: $7,623/Year; Non-NC Resident: $21,079/Year",Bachelor of Science in Chemistry – Polymer Track,https://catalog.unc.edu/undergraduate/programs-study/
,UNC School of Medicine,,4.0,2.0,,Fall 2026,,,,,"NC Resident: $292.46/credit hour; Non-Resident: $1,538.38/credit hour (based on 2023-2024 rates)",,,Merit and need-based,2 years (four semesters),"NC Resident: $9,125.50/year; Non-Resident: $39,027.50/year (based on 2023-2024 rates)",Bachelor of Science in Clinical Laboratory Science,https://www.med.unc.edu/healthsciences/clinical/about-us/bachelor-of-science-in-clinical-laboratory-science/
,College of Science,,4.0,2.0,,,,,7657.5,,NC Resident: $311.68/credit hour; Non-NC Resident: $905.51/credit hour,,,"Merit-based, Need-based",4 years,"NC Resident: $7,657.50/year; Non-NC Resident: $21,909.50/year",Bachelor of Science in Computational and Applied Mathematics,https://catalog.unc.edu/undergraduate/programs-study/
,College of Computing and Informatics,,4.0,2.5,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Computer Science,https://catalog.unc.edu/undergraduate/programs-study/
,College of Science,,4.0,2.0,,Fall 2026,,,,,"$254.15/credit hour (NC Resident); $1,268.65/credit hour (Non-NC Resident)",,,"Merit-based, Need-based",4 years,"$7,326/year (In-state); $22,544/year (Out-of-state)",Bachelor of Science in Earth and Marine Sciences,https://catalog.unc.edu/undergraduate/programs-study/earth-marine-sciences-major-bs/earth-marine-sciences-major-bs.pdf
641-650,College of Health and Human Services,,4.0,2.0,79%,Fall 2026,,,"In-State: $7,419/year, Out-of-State: $22,865/year (Total Tuition and Fees for 2023-2024)",,In-State: $309.21/credit hour; Out-of-State: $952.80/credit hour (Total Tuition and Fees for 2023-2024),,,"Merit-based, Need-based, Program-specific",4 years,"In-State: $3,812/year, Out-of-State: $19,258/year (Tuition-only for 2023-2024)",Bachelor of Science in Environmental Health Science,https://ech.charlotte.edu/degrees-and-programs/phs-undergraduate-programs/bachelor-science-public-health-bsph-2/
