Program name,Program Page url
"Bachelor of Arts in African, African American, and Diaspora Studies",https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in American Studies,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in American Studies – American Indian and Indigenous Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Anthropology,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Archaeology,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Art History,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Asian Studies,https://academics.charlotte.edu/program/global-studies-b-a-on-campus/
Bachelor of Arts in Asian Studies – Arab Cultures Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Behavioral Sciences,https://coaa.charlotte.edu/music/undergraduate-programs/bachelor-arts-music/
Bachelor of Arts in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Classics – Classical Archaeology,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Classics – Classical Civilization,https://languages.charlotte.edu/programs/
"Bachelor of Arts in Classics – Greek, Latin, and Combined Greek and Latin",https://catalog.unc.edu/undergraduate/programs-study/classics-major-ba-greek-latin/classics-major-ba-greek-latin.pdf
Bachelor of Arts in Communication Studies,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Computer Science,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Data Science,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Drama,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Economics,https://academics.charlotte.edu/program/economics-b-s-on-campus/
Bachelor of Arts in Education,https://teal.charlotte.edu/undergraduate-programs/
Bachelor of Arts in English,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in European and Russian Studies,https://as.tufts.edu/ilcs/academics/majors/ba-russian-eastern-european-studies
Bachelor of Arts in French,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECdm4bHjl7WpVnQ7trMgryZ9eF_a-95LrIKzBah5xcKh5p9LQLR2nkE6oYxM0mflQxAfvn05mewR_oHXNlOLbmnUwpMFlLMdAJWVPUXH66ZjnpCnJyiCMyY9r1leVt8Dtol6EoROn0E00UfjWmtkNEee3LzdV5MKmEsYRERdVF0H8Q41VqlnZ50Pl3n176FhcpjR7nbgF4aw_obJr7IcnSJe_dMmOV2BL-K1abu5PPtR8=
Bachelor of Arts in Geography and Environment,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Geological Sciences – Earth Science Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Germanic and Slavic Languages and Literatures – German Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Germanic and Slavic Languages and Literatures – Russian Language and Culture Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Germanic and Slavic Languages and Literatures – Slavic and East European Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Global Studies,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Haitian Creole,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Hindi-Urdu,https://languages.charlotte.edu/student-opportunities/scholarships/
Bachelor of Arts in History,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Latin American Studies,https://catalog.unc.edu/undergraduate/programs-study/
"Bachelor of Arts in Linguistics, Interpretation, and Translation",https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Media and Journalism,https://catalog.unc.edu/undergraduate/programs-study/media-journalism-major-ba/
Bachelor of Arts in Music,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Music History and Literature,https://coaa.charlotte.edu/music/
Bachelor of Arts in North American Studies,https://catalog.unc.edu/undergraduate/programs-study/
"Bachelor of Arts in Peace, War, and Defense",https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Philosophy,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Political Science,https://research.com/degrees/best-online-political-science-degree-programs
Bachelor of Arts in Public Policy Analysis,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Religious Studies,https://www.educations.com/bachelors-degree/humanities-studies/north-america/distance-learning
Bachelor of Arts in Sociology,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Spanish,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Studio Arts,https://academics.charlotte.edu/program/art-b-a-on-campus/
Bachelor of Arts in Visual Arts,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Arts in Women's Studies,https://interdisciplinarystudies.charlotte.edu/academics/ba-interdisciplinary-studies/
Bachelor of Science in Applied Sciences,https://catalog.wit.edu/sciences-humanities/sciences/applied-sciences-bs/applied-sciences-bs.pdf
Bachelor of Science in Astronomy,https://catalog.unc.edu/undergraduate/programs-study/
Bachelor of Science in Bioinformatics,https://artsci.tamu.edu/statistics/academics/undergraduate/bs-in-bioinformatics.html
Bachelor of Science in Biology,https://bsc.ua.edu/undergraduate/bachelor-of-science-in-biology/
Bachelor of Science in Biomedical Engineering,https://academics.charlotte.edu/program/mechanical-engineering-biomedical-engineering-concentration-b-s-m-e-on-campus/
Bachelor of Science in Business Administration,https://belkcollege.charlotte.edu/academics/undergraduate-programs/undergraduate-academics/
