Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,"Bachelor of Arts in African, African American, and Diaspora Studies",,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Humanities & Earth and Social Sciences,,,,,,,,"The Bachelor of Arts (BA) in African, African American, and Diaspora Studies (AAADS) is an interdisciplinary program designed to provide students with an understanding of the experiences, cultures, and contributions of African and African American peoples throughout the world. The program is committed to a critical examination of historical and contemporary issues relevant to people of African descent, including their social, political, economic, and cultural developments. Students in the AAADS program will develop critical thinking skills, research abilities, and a nuanced understanding of race, ethnicity, gender, and class. The curriculum emphasizes a global perspective, exploring the connections between Africa, the Caribbean, North America, and other parts of the African Diaspora. Graduates will be prepared for a variety of careers in fields such as education, public policy, social justice, community development, international relations, and cultural institutions, as well as for further graduate study in related disciplines.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,115.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in American Studies,,,,,,,,,,,,Not Required,True,,,,,,True,True,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Humanities & Earth and Social Sciences,"$7,473/Year (In-state); $21,347/Year (Out-of-state)",,,,,,,"American Studies is an interdisciplinary program that draws on the expertise of a variety of departments and colleges across the UNC Charlotte campus to study the cultures and societies of the United States, broadly conceived. It features two core courses: an introduction to the interdisciplinary study of American cultures, and a capstone research seminar for seniors. Students complete a sequence of elective courses from at least three different departments, choosing from a wide array of options in fields such as history, literature, art, music, political science, religious studies, sociology, and women’s and gender studies. The program is flexible, allowing students to tailor their studies to their individual interests. American Studies trains students to think critically and analytically about a wide range of subjects, to formulate research questions, and to develop compelling arguments based on evidence. Students who major in American Studies acquire a broad knowledge of U.S. cultures and societies and develop strong skills in critical thinking, research, writing, and oral communication, preparing them for a variety of careers in fields such as education, law, journalism, government, public history, and museum work, or for graduate study.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,4.0,2.0,,,,,,,,,,,"$7,473/Year (In-state); $21,347/Year (Out-of-state)",,,,,,,,,,,115.0,112.0,,,6.5,,,,,83.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in American Studies – American Indian and Indigenous Studies Concentration,,,,,,Fall 2026,,,,Optional,Optional,Not Required,True,"First-year students are required to submit an application, application fee, and an official high school transcript. Submission of SAT or ACT scores is optional for first-year applicants through Fall 2024. An essay and a list of your activities are included in the application and are strongly recommended. The writing sections of the SAT and ACT are not required.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Humanities & Earth and Social Sciences,,,,,,,American Indian and Indigenous Studies Concentration,"American Studies is an interdisciplinary program that examines the history, societies, and cultures of the United States and the Americas. The program provides students with a broad humanistic and social scientific education while allowing them to develop expertise in a specific concentration area. American Studies coursework challenges students to critically analyze cultural production, social institutions, political movements, and historical narratives from multiple perspectives. It emphasizes critical thinking, research, and communication skills applicable to a wide range of career fields including law, public policy, teaching, business, journalism, museum work, and archival studies. Graduates are well-prepared for professional careers and for further study in a variety of graduate and professional programs.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, need-based",,,,,,,
,Bachelor of Arts in Anthropology,,,,,,Fall 2026,,,,,,Not Required,True,Students can declare a major in Anthropology after completing ANTH 1101 with a grade of C or above.,,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts & Sciences,,,,,,,Applied Anthropology,"The Bachelor of Arts in Anthropology is designed to provide students with a broad and comprehensive understanding of the diverse aspects of human experience across time and space. Anthropology is a holistic discipline that encompasses the study of human biology, culture, language, and archaeology. The program emphasizes critical thinking, research methods, and ethical engagement with diverse populations and cultural practices. Students will develop skills in data collection, analysis, and interpretation, preparing them for a variety of careers in fields such as cultural resource management, international development, public health, education, and museum studies, as well as for graduate studies in anthropology or related disciplines. The curriculum offers a solid foundation in the subfields of anthropology and allows students to tailor their studies through electives and, optionally, a concentration in Applied Anthropology.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based scholarships, grants, loans, student employment",,,,,,,
,Bachelor of Arts in Archaeology,,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts & Sciences,"NC Resident: $7,236/Year; Non-NC Resident: $22,057/Year",,,,,,,"Archaeology is the study of the human past through its material remains. Archaeologists investigate all aspects of human history, from the emergence of our species to the historic periods of the modern world. The study of archaeology combines the social sciences, humanities, and natural sciences through an interdisciplinary approach to research. This interdisciplinary approach gives students both breadth and depth in their understanding of the various sub-fields of anthropology and the related sciences. The Archaeology B.A. provides students with a broad and deep understanding of the human past, a strong training in archaeological field methods and theory, and a critical perspective on the interpretation of material culture. Students graduating with a B.A. in Archaeology will have the skills necessary for continued graduate study in archaeology or for careers in cultural resource management, museums, education, or other fields.",,https://catalog.unc.edu/undergraduate/programs-study/,,,NC Resident: $301.50/Credit Hour; Non-NC Resident: $919.04/Credit Hour,,,,4.0,2.0,,,,,,,,,,,"NC Resident: $7,236/Year; Non-NC Resident: $22,057/Year",,,,,,,,,,,105.0,,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Art History,,,,,,,,,,,,Not Required,True,Students may declare a major in Art History at any time. The requirements to declare a major include a minimum GPA of 2.0.,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts + Architecture,,,,,,,,"The Bachelor of Arts in Art History prepares students for careers in museums, galleries, cultural institutions, and graduate study in art history. Students develop skills in visual analysis, critical thinking, research, and writing through the study of global art and architectural traditions.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Asian Studies,,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Humanities & Earth and Social Sciences,,,,,,,,"The Bachelor of Arts (B.A.) in Global Studies is an interdisciplinary program designed for students interested in understanding global processes, problems, and interconnections. The major emphasizes critical thinking about global issues from a variety of perspectives—political, economic, historical, social, and cultural. Students develop knowledge about world regions, acquire foreign language proficiency, and gain cross-cultural understanding. The major offers students a choice of six concentrations that align with career interests and/or graduate studies. The program prepares students for a wide variety of careers in government, non-governmental organizations, business, international education, and other fields that require global literacy.",,https://academics.charlotte.edu/program/global-studies-b-a-on-campus/,,,$881.50/Credit Hour (Non-NC Resident),,,,4.0,2.0,,,,,,,,,,,"$21,136/Year (Non-NC Resident)",,,,,,,,,,,115.0,,,,6.5,,,59.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, College-specific, Department-specific",,,,,,,
,Bachelor of Arts in Asian Studies – Arab Cultures Concentration,,,,,,Fall 2026,,,,Not Required,Required,Not Required,True,"First-year admission to UNC Charlotte is competitive. All applications receive a holistic review which takes multiple factors into consideration for an admission decision. This includes your academic performance in high school, standardized test scores (if you choose to submit them), and your required essay. The following items are required to complete your application: Online Application and Fee, Official High School Transcript, Official SAT or ACT Scores (Note: UNC Charlotte is test-optional), and an Essay. A recommendation is optional but strongly recommended.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts & Sciences,21256,,,,,,Arab Cultures Concentration,"The Asian Studies program provides an interdisciplinary curriculum that enables students to gain an understanding of the region's diverse cultures, societies, and languages. Asian Studies majors develop the critical thinking, research, and communication skills necessary for success in a globalized world. The curriculum allows students to choose one of four concentrations: Arab Cultures, East Asia, South Asia, or Southeast Asia. Students are strongly encouraged to study abroad in an Asian country.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,False,,4.0,2.0,,,,,,,,,,,21256,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Behavioral Sciences,,,,,,Fall 2026,,,,,,Not Required,True,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts & Sciences,"$7,953/year (In-state, 2024-2025), $23,863/year (Out-of-state, 2024-2025)",,,,,,,,,https://coaa.charlotte.edu/music/undergraduate-programs/bachelor-arts-music/,,,"$375.05/credit (In-state, 2024-2025), $1,369.30/credit (Out-of-state, 2024-2025)",,False,,4.0,2.0,79.4% (University-wide for Fall 2023),,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,"Merit-based, Need-based, Departmental",,,,,,,
,Bachelor of Arts in Chemistry,,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts & Sciences,,,,,,,,"The Bachelor of Arts (B.A.) in Chemistry degree program is designed for students seeking a broad education in chemistry with greater flexibility to pursue other academic interests in allied fields or in other non-science fields. The B.A. curriculum includes introductory courses in analytical, inorganic, organic, and physical chemistry, along with biochemistry. Additional upper-level courses are chosen from the several subdisciplines in chemistry. The B.A. degree also prepares students for chemistry-related careers in business, education, government, and technical sales, as well as for various graduate and professional programs. The B.A. degree provides a solid foundation for further study in chemistry, health-related fields, or other disciplines.",,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,115.0,,,,6.0,,,50.0,,70.0,,,,,,,,,,,,,Merit-based,,,,,,,
