Program name,Program Page url
Accountancy MSA,https://www.youtube.com/watch?v=kzVp8_qAgrg
Adult-Gerontology Acute Care Nurse Practitioner Cert,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html
Adult-Gerontology Acute Care Nurse Practitioner MSN,https://www.una.edu/education/academic-programs/graduate.html
Adult-Gerontology Primary Care Nurse Practitioner Cert,https://www.una.edu/education/academic-programs/graduate.html
Adult-Gerontology Primary Care Nurse Practitioner MSN,https://www.una.edu/nursing/graduate/msn.html
Advertising MA,https://www.una.edu/education/academic-programs/graduate.html
Anthropology MA,https://www.una.edu/education/academic-programs/graduate.html
Anthropology MA: Applied Biological Anthropology,https://www.una.edu/education/academic-programs/graduate.html
Applied Carbonate Geology Cert,https://www.una.edu/arts-sciences-engineering/certificate-programs.html
Applied Learning Sciences EdD,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
Applied Learning Sciences EdD Online,https://www.una.edu/online/index.html
Applied Physiology MSEd,https://www.una.edu/education/academic-programs/graduate.html
Applied Remote Sensing MPS,https://catalog.una.edu/graduate/arts-sciences/professional-studies-mission-ma/
Aquaculture MPS,https://catalog.una.edu/graduate/arts-sciences/professional-studies-mission-ma/
Architectural Engineering MSAE,https://www.una.edu/arts-sciences-engineering/graduate-programs.html
Architecture: Classical Architecture Cert,https://www.una.edu/education/academic-programs/graduate.html
Artist Development Cert Online,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/vad/
Arts Leadership Cert Online,https://www.una.edu/education/program-pages/master-of-arts-in-education-instructional-leadership.html
Arts Management Cert Online,https://www.una.edu/education/academic-programs/graduate.html
Arts Presenting Fundamentals Cert Online,https://www.una.edu/education/academic-programs/graduate.html
Athletic Training MSAT,https://www.ut.edu/graduate-degrees/ms-in-athletic-training
Atmospheric Sciences MS,https://www.una.edu/education/academic-programs/graduate.html
Atmospheric Sciences MPS,https://www.una.edu/education/academic-programs/graduate.html
Atmospheric Sciences PhD,https://www.una.edu/education/academic-programs/graduate.html
Biochemistry and Molecular Biology MS,https://catalog.una.edu/graduate/courses/bi/
Biochemistry and Molecular Biology PhD,https://quadcitiesdaily.com/una-confirmed-as-doctoral-granting-institution/
Biochemistry and Molecular Biology Executive PhD Online,https://www.una.edu/biology/biology-programs/cellular--molecular-biology.html
Biology MS,"https://www.google.com/search?q=time+in+Lauderdale+County,+US"
Biology PhD,https://www.una.edu/biology/index.html
Biomedical Engineering MSBE,https://www.una.edu/engineering-industrial-professions/academic-programs/bachelor-engineering.html
Biomedical Engineering MSBE with emphasis in Medical Physics,https://www.una.edu/education/academic-programs/graduate.html
Biomedical Engineering PhD,https://www.una.edu/engineering-industrial-professions/index.html
Biomedical Engineering PhD with emphasis in Medical Physics,https://www.una.edu/arts-sciences-engineering/graduate-programs.html
Biomedical Sciences MS,https://www.una.edu/education/academic-programs/graduate.html
Biomedical Sciences PIBS (umbrella pathway program),https://www.una.edu/education/academic-programs/graduate.html
Biostatistics MS,https://www.una.edu/education/academic-programs/graduate.html
Biostatistics PhD,https://www.una.edu/education/academic-programs/graduate.html
Broadcast Meteorology MPS,https://www.una.edu/interdisciplinary-studies/graduate/index.html
Business Cert,https://catalog.una.edu/undergraduate/colleges-programs/business/business.pdf
Business Executive DBA,https://www.dba-compass.com/programs/university-of-north-alabama/executive-doctor-of-business-administration-edba/
Business PhD: Accounting,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
Business PhD: Finance,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
Business PhD: Management,https://catalog.una.edu/graduate/business/edba/
Business PhD: Management Science,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
Business Administration Accelerated MBA,https://catalog.una.edu/undergraduate/colleges-programs/business/special-programs-activities/accelerated20masters20program/
Business Administration Accelerated MBA in Real Estate,https://www.una.edu/mba/index.html
Business Administration Executive MBA in Health Management and Policy,https://www.una.edu/education/academic-programs/graduate.html
Business Administration Global Executive MBA,https://www.una.edu/education/academic-programs/graduate.html
Business Analytics MSBA,https://www.una.edu/mba/index.html
Business Technology MS Online,https://www.una.edu/education/academic-programs/graduate.html
Cancer Biology PhD,https://catalog.una.edu/graduate/courses/bi/
Cellular Physiology and Molecular Biophysics PhD,https://www.una.edu/education/academic-programs/graduate.html
Clinical Mental Health Counseling MA,https://catalog.una.edu/undergraduate/colleges-programs/education-human-sciences/counselor-education/
Data Analytics and Program Evaluation MS Online,https://www.una.edu/education/academic-programs/graduate.html
Doctor of Nursing Practice (DNP): Advanced Practice,https://www.una.edu/education/academic-programs/graduate.html
Doctor of Nursing Practice (DNP): Population Health,https://www.una.edu/nursing/graduate/doctor-nursing-practice.html
Doctor of Nursing Practice (DNP): Educational Leadership,https://www.una.edu/education/academic-programs/graduate.html
Economics PhD,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
Education Specialist: Elementary Education,https://catalog.una.edu/graduate/courses/eds/
Education Specialist: Instructional Leadership,https://www.una.edu/education/academic-programs/graduate.html
Education Specialist: Teacher Leader,https://www.una.edu/education/academic-programs/graduate.html
Electrical and Computer Engineering MSECE,https://engineering.purdue.edu/ECE/Academics/Graduates/MASTERS
Electrical and Computer Engineering MSECE with emphasis in Artificial Intelligence,https://www.una.edu/education/academic-programs/graduate.html
Electrical and Computer Engineering MSECE with emphasis in Cybersecurity,https://www.una.edu/education/academic-programs/graduate.html
Electrical and Computer Engineering PhD,https://www.una.edu/education/academic-programs/graduate.html
English MA,https://www.una.edu/english/master-of-arts-in-english.html
English PhD,https://www.una.edu/english/index.html
Environmental Health and Safety MS,https://www.una.edu/education/academic-programs/graduate.html
Environmental Science and Policy PhD,https://www.una.edu/education/academic-programs/graduate.html
Epidemiology PhD,https://www.una.edu/education/academic-programs/graduate.html
Exercise Physiology PhD,https://www.una.edu/kinesiology/graduateprograms/doctor-of-philosophy-in-exercise-science-and-health-promotion.html
Exploration Science MPS,https://www.una.edu/interdisciplinary-studies/graduate/index.html
"Health and Human Performance (Master's level, non-certification)",https://catalog.una.edu/graduate/education-human-sciences/education-human-sciences.pdf
History MA,https://catalog.una.edu/graduate/arts-sciences/history-ma/
"Instructional Design and Technology MS Online: Teaching, Learning, and Leading",https://www.una.edu/education/academic-programs/graduate.html
Instructional Design and Technology MS Online: Learning and Development,https://www.una.edu/education/academic-programs/graduate.html
Master of Accountancy (MAcc) Degree,https://www.youtube.com/watch?v=kzVp8_qAgrg
Master of Arts in Education (MAEd): School Counseling,https://catalog.una.edu/graduate/education-human-sciences/ma-education-secondary-education-instructional-school-counseling-p-12/ma-education-secondary-education-instructional-school-counseling-p-12.pdf
Master of Arts in Education (MAEd): Elementary Education K-6,https://catalog.una.edu/graduate/education-human-sciences/ma-education-elementary-education-k-6/
Master of Arts in Education (MAEd): Secondary Education,https://www.una.edu/education/academic-programs/graduate.html
Master of Arts in Education (MAEd): P-12 Education (selected teaching fields),https://academiccatalog.umd.edu/graduate/
Master of Arts in Education (MAEd): Instructional Leadership,https://www.una.edu/education/academic-programs/graduate.html
Master of Arts in Education (MAEd): Special Education: Collaborative Teacher K-6 and/or 6-12,https://www.una.edu/education/academic-programs/graduate.html
Master of Arts in Education (MAEd) in Secondary Education-English/Language Arts,https://catalog.una.edu/graduate/education-human-sciences/ma-education-secondary-education-english-language-arts/
Master of Arts in Education (MAEd) in Secondary Education – English/Language Arts – Alternative Plan,https://catalog.una.edu/graduate/education-human-sciences/ma-education-secondary-education-english-language-arts/
Master of Science in Exercise Science and Health Promotion: Exercise Science,https://www.una.edu/sitemap.xml
Master of Science in Exercise Science and Health Promotion: Kinesiology,https://research.com/rankings/exercise-science/best-online-exercise-science-al
Master of Science in Exercise Science and Health Promotion: Wellness and Health Promotion,https://www.una.edu/education/academic-programs/graduate.html
Master of Science in Mathematics (MS) Degree,https://www.una.edu/education/academic-programs/graduate.html
