QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,,,,,,,,,,,,,Accountancy MSA,https://www.youtube.com/watch?v=kzVp8_qAgrg
,,,,,,,,,,,,,,,,,Adult-Gerontology Acute Care Nurse Practitioner Cert,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html
,Anderson College of Nursing and Health Professions,0.0,4.0,3.0,,Fall,,,22725.0,,450,,,"Merit-based, Need-based",6 semesters (full-time) or 9 semesters (part-time),17775.0,Adult-Gerontology Acute Care Nurse Practitioner MSN,https://www.una.edu/education/academic-programs/graduate.html
,Anderson College of Nursing and Health Professions,,4.0,3.0,,"Fall, Spring",,,8455.0,,445,,,"Merit-based, Field-specific",four to five semesters of part-time study,8455.0,Adult-Gerontology Primary Care Nurse Practitioner Cert,https://www.una.edu/education/academic-programs/graduate.html
,Anderson College of Nursing and Health Professions,0.0,4.0,3.0,,"Fall, Spring, Summer",,,19890.0,,442,,,,5-7 Semesters,19890.0,Adult-Gerontology Primary Care Nurse Practitioner MSN,https://www.una.edu/nursing/graduate/msn.html
,,,,,,,,,,,,,,,,,Advertising MA,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Anthropology MA,https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",,4.0,2.75,,"Fall, Spring, Summer",,,14760.0,,"Alabama Resident: $410, Non-Resident: $820","Up to $4,000 annually",,"Academic scholarships, Graduate Assistantships, Fellowships, International Student Scholarships",,14760.0,Anthropology MA: Applied Biological Anthropology,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Applied Carbonate Geology Cert,https://www.una.edu/arts-sciences-engineering/certificate-programs.html
,,,,,,,,,,,,,,,,,Applied Learning Sciences EdD,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
,College of Education and Human Sciences,,4.0,3.0,,"Summer, Fall",,,39000.0,,650,,,,As little as 27 months,39000.0,Applied Learning Sciences EdD Online,https://www.una.edu/online/index.html
,College of Education and Human Sciences,,4.0,2.75,,"Fall, Spring, Summer",,,12030.0,,401,Up to $1000,,"Merit-based, Assistantships",,12030.0,Applied Physiology MSEd,https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",,4.0,2.5,,,,,13500.0,,450,,,Merit-based,,13500.0,Applied Remote Sensing MPS,https://catalog.una.edu/graduate/arts-sciences/professional-studies-mission-ma/
,,,,,,,,,,,,,,,,,Aquaculture MPS,https://catalog.una.edu/graduate/arts-sciences/professional-studies-mission-ma/
,"College of Arts, Sciences, and Engineering",,4.0,2.75,,"Fall, Spring, Summer",,,11760.0,,462,2000,,"Fellowship, Assistantship",,11760.0,Architectural Engineering MSAE,https://www.una.edu/arts-sciences-engineering/graduate-programs.html
,,,,,,,,,,,,,,,,,Architecture: Classical Architecture Cert,https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",,4.0,2.0,,"Fall, Spring, Summer",,,5475.0,,365,,,"Academic, Leadership, Performance, Endowed",one year or less,5475.0,Artist Development Cert Online,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/vad/
,College of Education & Human Sciences,,4.0,3.0,,Summer,,,11700.0,,390,,,,1 year,11700.0,Arts Leadership Cert Online,https://www.una.edu/education/program-pages/master-of-arts-in-education-instructional-leadership.html
,"College of Arts, Sciences, and Engineering",,,,,"Fall, Spring, Summer",,,8190.0,,455,1000,,"Graduate Assistantships, Graduate Council Fellowships, Graduate Student Research Grants",18 credit hours,8190.0,Arts Management Cert Online,https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",,4.0,2.5,,"Fall, Spring",,,5400.0,,450,,,Graduate Assistantships,Two semesters,5400.0,Arts Presenting Fundamentals Cert Online,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Athletic Training MSAT,https://www.ut.edu/graduate-degrees/ms-in-athletic-training
,,,,,,,,,,,,,,,,,Atmospheric Sciences MS,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Atmospheric Sciences MPS,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Atmospheric Sciences PhD,https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",1.0,4.0,2.75,,"Fall, Spring, Summer",,,15246.0,,"In-State: $462, Out-of-State: $862",,,"Graduate Assistantships, Endowed Scholarships",,15246.0,Biochemistry and Molecular Biology MS,https://catalog.una.edu/graduate/courses/bi/
,,,,,,,,,,,,,,,,,Biochemistry and Molecular Biology PhD,https://quadcitiesdaily.com/una-confirmed-as-doctoral-granting-institution/
,,,,,,,,,,,,,,,,,Biochemistry and Molecular Biology Executive PhD Online,https://www.una.edu/biology/biology-programs/cellular--molecular-biology.html
,,,,,,,,,,,,,,,,,Biology MS,"https://www.google.com/search?q=time+in+Lauderdale+County,+US"
,,,,,,,,,,,,,,,,,Biology PhD,https://www.una.edu/biology/index.html
,,,,,,,,,,,,,,,,,Biomedical Engineering MSBE,https://www.una.edu/engineering-industrial-professions/academic-programs/bachelor-engineering.html
,,,,,,,,,,,,,,,,,Biomedical Engineering MSBE with emphasis in Medical Physics,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Biomedical Engineering PhD,https://www.una.edu/engineering-industrial-professions/index.html
,,,,,,,,,,,,,,,,,Biomedical Engineering PhD with emphasis in Medical Physics,https://www.una.edu/arts-sciences-engineering/graduate-programs.html
,"College of Arts, Sciences, and Engineering",,4.0,2.75,,"Fall, Spring, Summer",,,25500.0,,850,,,"Graduate Assistantships, Graduate Council Scholarships, Departmental Scholarships",,,Biomedical Sciences MS,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Biomedical Sciences PIBS (umbrella pathway program),https://www.una.edu/education/academic-programs/graduate.html
,"College of Arts, Sciences, and Engineering",,4.0,2.75,,"Fall, Spring, Summer",,,13200.0,,440,Up to $1000,,"Merit-based, Assistantships, Fellowships",,13200.0,Biostatistics MS,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Biostatistics PhD,https://www.una.edu/education/academic-programs/graduate.html
,,,,,,,,,,,,,,,,,Broadcast Meteorology MPS,https://www.una.edu/interdisciplinary-studies/graduate/index.html
,,,,,,,,,,,,,,,,,Business Cert,https://catalog.una.edu/undergraduate/colleges-programs/business/business.pdf
,College of Business and Technology,,4.0,3.0,,Fall,,,65000.0,,,,,,3 years,65000.0,Business Executive DBA,https://www.dba-compass.com/programs/university-of-north-alabama/executive-doctor-of-business-administration-edba/
,,,,,,,,,,,,,,,,,Business PhD: Accounting,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
,College of Business and Technology,,,3.0,,Fall,,February 1,60000.0,,1000,,,,3 years,60000.0,Business PhD: Finance,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
,College of Business and Technology,,4.0,3.0,,Fall,,,54000.0,,900,,,"Assistantships, Fellowships",3 years,54000.0,Business PhD: Management,https://catalog.una.edu/graduate/business/edba/
,College of Business and Technology,,,3.0,,Fall,,,65000.0,,1000,,,,3 years,65000.0,Business PhD: Management Science,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
,College of Business and Technology,,4.0,3.0,,,,,14250.0,,475,,,,As little as 12 months,14250.0,Business Administration Accelerated MBA,https://catalog.una.edu/undergraduate/colleges-programs/business/special-programs-activities/accelerated20masters20program/
,College of Business and Technology,,,2.5,,"Fall, Spring, Summer",,,14484.0,,426,,,,as little as 12 months,14484.0,Business Administration Accelerated MBA in Real Estate,https://www.una.edu/mba/index.html
