QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,"Anderson College of Arts, Sciences, and Engineering",,4.0,2.0,,Fall 2026,,,"$10,230/Year (In-State); $20,460/Year (Out-of-State)",,$341/credit hour (In-State); $682/credit hour (Out-of-State),"$1,500 - $6,000",,"Merit-based, talent-based, performance-based",2 years,"$10,230/Year (In-State); $20,460/Year (Out-of-State)",Associate of Science in Culinary Arts,https://catalog.una.edu/undergraduate/
,,,,,,Fall 2026,,,,,,,,,,,Associate of Science in Hospitality and Events Management,https://hospitalityprep.com/hospitality-management-degree-in-alabama/
,College of Business and Technology,,4.0,2.0,,Fall 2026,,,11310,,"$347 (In-State), $694 (Out-of-State)","$1,500 - $10,000 per year",,"Academic, Endowed, Leadership, Performance, Alumni",4 years,"In-State: $11,310/Year, Out-of-State: $21,720/Year",Bachelor of Business Administration in Accounting,https://www.una.edu/business/undergraduate/bachelor-of-business-administration-bba/index.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Applied Health Science,https://publichealth.indiana.edu/undergraduate/degrees-majors/bs-applied-health-sciences/index.html
,"College of Arts, Sciences, and Engineering",,4.0,2.0,,Fall 2026,,,,,In-State: $342 per credit hour; Out-of-State: $684 per credit hour,"Varies, up to full tuition per year",,"Merit-based, Leadership-based, Performance-based",4 years,"In-State: $5,130 per semester; Out-of-State: $10,260 per semester (for 12-18 credit hours, based on 2023-2024 rates)",Bachelor of Arts in Biology,https://www.una.edu/biology/index.html
,"College of Arts, Sciences, and Engineering",,4.0,2.0,,Fall 2026,,,"$10,800/Semester",,$720/Credit Hour,"Varies, up to full tuition plus stipends",,"Academic, Leadership, Performance, Endowed",4 years,"$10,800/Semester",Bachelor of Science in Biology,https://catalog.una.edu/undergraduate/
,"Anderson College of Arts, Sciences, and Engineering",,4.0,2.0,,,,,11340,,$378/credit hour (In-State); $706/credit hour (Out-of-State),"Varies, from $2,000/year up to full tuition plus allowances",,"Academic, Endowed, Leadership, Performance",4 years,"$11,340/year (In-State); $21,180/year (Out-of-State)",Bachelor of Science in Biology (Cellular & Molecular Biology Option),https://catalog.una.edu/undergraduate/
,Sanders College of Business and Technology,,4.0,2.0,,,,,"$11,850/Year (in-state, online); $14,850/Year (out-of-state, online)",,"$395/credit hour (in-state, online); $495/credit hour (out-of-state, online)","$3,000 - $10,000 per year",,"Merit-based, Leadership-based, Need-based, Performance-based",4 years (120 credit hours),"$11,850/Year (in-state, online); $14,850/Year (out-of-state, online)",Bachelor of Business Administration in Business Administration (Flex),https://catalog.una.edu/undergraduate/
,"College of Arts, Sciences, and Engineering",,4.0,2.0,,Fall 2026,,,,,$357 per credit hour (In-State); $647 per credit hour (Out-of-State),"Up to $10,000 per year",,"Academic Scholarships, Endowed Scholarships, Performance Scholarships",120 credit hours,"$10,710/Year (In-State); $19,410/Year (Out-of-State)",Bachelor of Arts in Chemistry,https://catalog.una.edu/undergraduate/
,"College of Arts, Sciences, and Engineering",,4.0,2.0,,Fall 2026,,,,,"$350/credit hour (in-state), $700/credit hour (out-of-state)","$3,000 - $8,000 per year, up to full tuition",,"Merit-based, Endowed",4 years,"$10,500/Year (in-state), $21,000/Year (out-of-state)",Bachelor of Science in Chemistry,https://www.una.edu/chemistryandphysics/index.html
