Program name,Program Page url
Associate of Science in Culinary Arts,https://catalog.una.edu/undergraduate/
Associate of Science in Hospitality and Events Management,https://hospitalityprep.com/hospitality-management-degree-in-alabama/
Bachelor of Business Administration in Accounting,https://www.una.edu/business/undergraduate/bachelor-of-business-administration-bba/index.html
Bachelor of Science in Applied Health Science,https://publichealth.indiana.edu/undergraduate/degrees-majors/bs-applied-health-sciences/index.html
Bachelor of Arts in Biology,https://www.una.edu/biology/index.html
Bachelor of Science in Biology,https://catalog.una.edu/undergraduate/
Bachelor of Science in Biology (Cellular & Molecular Biology Option),https://catalog.una.edu/undergraduate/
Bachelor of Business Administration in Business Administration (Flex),https://catalog.una.edu/undergraduate/
Bachelor of Arts in Chemistry,https://catalog.una.edu/undergraduate/
Bachelor of Science in Chemistry,https://www.una.edu/chemistryandphysics/index.html
Bachelor of Fine Arts in Cinematic Arts and Theatre,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/cinematic-arts-theatre/bfa/
Bachelor of Arts in Communication Arts,https://www.una.edu/communication/Degree%20Program/communications-majors/communication-studies.html
Bachelor of Science in Communication Arts,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/communications/ba-bs/ba-bs.pdf
Bachelor of Business Administration in Computer Information Systems,https://catalog.una.edu/undergraduate/
Bachelor of Science in Computer Science,https://catalog.una.edu/undergraduate/
Bachelor of Arts in Criminal Justice,https://catalog.una.edu/undergraduate/
Bachelor of Science in Criminal Justice,https://catalog.una.edu/undergraduate/
Bachelor of Science in Culinary Arts Management,https://catalog.una.edu/undergraduate/
Bachelor of Business Administration in Economics,https://catalog.una.edu/undergraduate/colleges-programs/business/business.pdf
Bachelor of Engineering,https://catalog.una.edu/undergraduate/
Bachelor of Science in Engineering Technology,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/engineering-industrial-professions/bs-engineering-technology/
Bachelor of Arts in English,https://catalog.una.edu/
Bachelor of Science in English,https://www.liberty.edu/arts-sciences/bachelors/english-writing/
Bachelor of Arts in Entertainment Industry,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/entertainment-industry/ba-bs/
Bachelor of Science in Entertainment Industry,https://catalog.una.edu/undergraduate/
Bachelor of Arts in Entertainment Industry (Entertainment Business Option),https://www.una.edu/sitemap.xml
Bachelor of Science in Entertainment Industry (Entertainment Business Option),https://catalog.una.edu/undergraduate/
Bachelor of Arts in Entertainment Industry (Entertainment Technology Option),https://catalog.una.edu/
Bachelor of Science in Entertainment Industry (Entertainment Technology Option),https://catalog.una.edu/undergraduate/
Bachelor of Science in Exercise Science,https://catalog.una.edu/undergraduate/colleges-programs/education-human-sciences/health-physical-education-recreation/bs-exercise-science/
Bachelor of Science in Fashion Merchandising and Design,https://www.una.edu/art/degree/fashion-merchandising-and-design.html
Bachelor of Business Administration in Finance,https://catalog.una.edu/undergraduate/colleges-programs/business/department-economics-finance/department-economics-finance.pdf
Bachelor of Science in Fitness Management,https://www.una.edu/education/bachelor-degrees/bachelor-of-science-health-and-fitness.html
Bachelor of Arts in Foreign Languages,https://www.una.edu/sitemap.xml
Bachelor of Arts in Geography,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/geoscience/ba-bs-geography/ba-bs-geography.pdf
