Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Associate of Science in Culinary Arts,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,Applicants from non-English speaking countries must provide proof of English proficiency. This can be met by providing an official score report from one of the following: Test of English as a Foreign Language (TOEFL) - minimum score of 61 iBT or 500 PBT; International English Language Testing System (IELTS) - minimum score of 5.5; Pearson Test of English (PTE) - minimum score of 46; Duolingo - minimum score of 90; ELS Language Centers - completion of level 109; Successful completion of UNA’s English as a Second Language Program.,"Students may be admitted unconditionally if they have a high school GPA of 2.25 or higher. Required documents for admission include a completed Application for Admission, a $35 Application Fee, and an official High School Transcript. UNA is test optional; ACT/SAT scores are not required for admission.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"Anderson College of Arts, Sciences, and Engineering","$10,230/Year (In-State); $20,460/Year (Out-of-State)",,,,,,,,,https://catalog.una.edu/undergraduate/,,,$341/credit hour (In-State); $682/credit hour (Out-of-State),,False,,4.0,2.0,,,,,,,,,,,"$10,230/Year (In-State); $20,460/Year (Out-of-State)",,,,,,,False,False,,,90.0,109.0,,,5.5,,,46.0,,61.0,,,,,,,,,,,"$1,500 - $6,000",,"Merit-based, talent-based, performance-based",,,,,,,
,Associate of Science in Hospitality and Events Management,,,,,,Fall 2026,,,,,,Not Required,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"If you’re ready to start building a career in the dynamic and exciting hospitality and events industries, the University of North Alabama’s Associate of Science (AS) in Hospitality and Events Management will provide you with the foundational knowledge and skills you need. You will learn the core principles of hospitality operations, including front office management, food and beverage service, event planning, and customer relations. The curriculum is designed to equip you with the practical expertise and critical thinking abilities essential for success in entry-level and supervisory roles within hotels, resorts, restaurants, event venues, and more. With a strong emphasis on real-world application, this program prepares graduates to seamlessly transition into the workforce or continue their education at a four-year institution.",,https://hospitalityprep.com/hospitality-management-degree-in-alabama/,,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Business Administration in Accounting,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,"International applicants must submit one of the following to demonstrate English proficiency: TOEFL Internet-based test (iBT) with a minimum score of 61, TOEFL Paper-based test (PBT) with a minimum score of 500, IELTS with a minimum score of 5.5, PTE Academic with a minimum score of 46, Duolingo English Test with a minimum score of 95, or successful completion of ELS Language Center's level 112.","To be considered for admission, applicants must submit an official high school transcript. The University of North Alabama is a test-optional institution for students applying with a 2.5 or higher high school GPA. For students who submit test scores, unconditional admission requires a minimum composite score of 18 on the ACT or a minimum of 940 on the SAT, along with a minimum high school GPA of 2.50. Conditional admission is possible with a minimum composite score of 16 on the ACT or 860 on the SAT and a minimum high school GPA of 2.00.",Not Required,,True,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,College of Business and Technology,"In-State: $11,310/Year, Out-of-State: $21,720/Year",,,,,,Accounting,"The Bachelor of Business Administration (BBA) degree provides students with a broad knowledge of business functions and processes. Students learn to think critically, solve problems, and communicate effectively, preparing them for a wide range of career opportunities in various industries or for further graduate study.",,https://www.una.edu/business/undergraduate/bachelor-of-business-administration-bba/index.html,"The College of Business is accredited by AACSB International, the premier accrediting body for collegiate business programs. Less than 5% of all business schools worldwide have earned AACSB accreditation.",,"$347 (In-State), $694 (Out-of-State)",,False,,4.0,2.0,,,,,,,,,,,11310,,,,,,,False,False,,,95.0,112.0,,,5.5,,,46.0,,61.0,,,,,,,,,,,"$1,500 - $10,000 per year",,"Academic, Endowed, Leadership, Performance, Alumni",,,,,,,
,Bachelor of Science in Applied Health Science,,,,,,,,,,,,Not Required,"For international applicants, English Proficiency may be demonstrated by providing one of the following: Test of English as a Foreign Language (TOEFL) with a minimum score of 61 on the iBT (Internet Based Test) or 500 on the PBT (Paper Based Test); International English Language Testing System (IELTS) with a minimum score of 5.5; Pearson Test of English (PTE) Academic with a minimum score of 46; Duolingo English Test with a minimum score of 95; Successful completion of ELS Language Centers Level 109.",,,,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,,,https://publichealth.indiana.edu/undergraduate/degrees-majors/bs-applied-health-sciences/index.html,,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,95.0,109.0,,,5.5,,,46.0,,61.0,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in Biology,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,All applicants whose native language is not English must provide evidence of English proficiency. This can be demonstrated by submitting an official score report from one of the following testing services: TOEFL: 61 iBT or 500 PBT; IELTS: 5.5; PTE: 46; Duolingo: 95; ELS: Level 112 with a 2.5 GPA.,"Unconditional admission to the University may be granted to first-time freshmen who are graduates of a regionally accredited high school and meet one of the following criteria:
1. A minimum 2.50 cumulative high school GPA.
2. A minimum 2.00 cumulative high school GPA AND a minimum 18 ACT composite score or a minimum 960 SAT total score.

All students must submit an official high school transcript. The transcript must include the final senior grades, graduation date, and diploma type. Students must have completed the required number of high school courses.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Sciences, and Engineering","In-State: $5,130 per semester; Out-of-State: $10,260 per semester (for 12-18 credit hours, based on 2023-2024 rates)",,,,,,,"The Bachelor of Arts in Biology degree provides students with a broad exposure to biology and allows for a greater number of elective hours than the Bachelor of Science in Biology degree. The flexibility offered by the additional elective hours in the Bachelor of Arts degree provides an excellent opportunity for students to pursue a double major or a minor in a related field such as chemistry or psychology. The Bachelor of Arts degree is an ideal choice for students interested in preparing for careers in areas such as pharmacy, medical technology, health-related fields, environmental law, forensics, scientific illustration, or science writing.",,https://www.una.edu/biology/index.html,,,In-State: $342 per credit hour; Out-of-State: $684 per credit hour,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,95.0,112.0,,,5.5,,,46.0,,61.0,,,,,,,,,,,"Varies, up to full tuition per year",,"Merit-based, Leadership-based, Performance-based",,,,,,,
,Bachelor of Science in Biology,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,"Applicants whose native language is not English must demonstrate English proficiency by submitting an acceptable score on the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), Duolingo English Test (DET), Pearson Test of English Academic (PTE Academic), or by successful completion of the English Language Services (ELS) Level 112 course. Minimum scores are: TOEFL: 79 (iBT), 550 (PBT); IELTS: 6.0; Duolingo English Test (DET): 110; PTE Academic: 54.","Unconditional Admission may be granted to first-time freshman applicants who meet the following criteria: A minimum composite score of 18 on the ACT (or SAT equivalent of 960), A minimum of a 2.25 high school grade point average (GPA) on a 4.0 scale. First-time freshmen who have a 2.75 or higher high school GPA may be admitted to UNA without an ACT or SAT score.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Sciences, and Engineering","$10,800/Semester",,,,,,,"The Bachelor of Science (BS) in Biology is designed to provide students with a solid foundation in the biological sciences. The curriculum emphasizes critical thinking, problem-solving, and laboratory skills necessary for careers in biological research, healthcare, education, and various other fields. Students will develop a comprehensive understanding of biological principles, ranging from molecular and cellular biology to ecology and evolution. Concentrations are available in Pre-Health, Ecology and Environmental Biology, Microbiology/Cell Biology, Bioinformatics, and General Biology, allowing students to tailor their studies to specific career interests. Graduates of the program are well-prepared for entry-level positions in diverse biological fields or for further graduate or professional studies.",,https://catalog.una.edu/undergraduate/,,,$720/Credit Hour,,True,,4.0,2.0,,,,,,,,,,,"$10,800/Semester",,,,,,,False,False,,18.0,110.0,112.0,,,6.0,,,54.0,960.0,79.0,,,,,,,,,,,"Varies, up to full tuition plus stipends",,"Academic, Leadership, Performance, Endowed",,,,,,,
,Bachelor of Science in Biology (Cellular & Molecular Biology Option),,,,,,,,,,Not Required,Not Required,Not Required,All applicants whose native language is not English are required to demonstrate proficiency in English. This requirement can be fulfilled by ONE of the following: TOEFL: Minimum score of 61 on the Internet-based test (IBT) or 500 on the paper-based test (PBT); IELTS: Minimum score of 5.5; PTE Academic (Pearson Test of English): Minimum score of 46; Duolingo English Test: Minimum score of 95; Successful completion of the English Language Services (ELS) Level 112.,Students with a 2.50 or higher high school grade point average (GPA) will be admitted without an ACT or SAT test score. Students with a 2.00-2.49 high school GPA must have a minimum 18 ACT or 960 SAT to be admitted. Students with a high school GPA below a 2.00 must submit a complete application for committee review.,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"Anderson College of Arts, Sciences, and Engineering","$11,340/year (In-State); $21,180/year (Out-of-State)",,,,,,Cellular & Molecular Biology Option,"This option is designed for students interested in careers or graduate studies in molecular biology, cell biology, genetics, biotechnology, microbiology, immunology, virology, and related fields. It provides a strong foundation in the molecular and cellular aspects of biology, preparing students for research, industry, and advanced academic pursuits in these dynamic fields.",,https://catalog.una.edu/undergraduate/,,,$378/credit hour (In-State); $706/credit hour (Out-of-State),,True,,4.0,2.0,,,,,,,,,,,11340,,,,,,,False,False,,18.0,95.0,112.0,,,5.5,,,46.0,960.0,61.0,,,,,,,,,,,"Varies, from $2,000/year up to full tuition plus allowances",,"Academic, Endowed, Leadership, Performance",,,,,,,
,Bachelor of Business Administration in Business Administration (Flex),,,,,,,,,,Not Required,Not Required,Not Required,"Students from non-English speaking countries are required to submit proof of English proficiency. This can be accomplished by meeting the minimum requirements of any of the following: Test of English as a Foreign Language (TOEFL) iBT - 61, International English Language Testing System (IELTS) - 5.5, Pearson Test of English (PTE) Academic - 46, Duolingo English Test - 95, Successful completion of the University of North Alabama’s intensive English as a Second Language (ESL) Program, or Successful completion of Level 112 at an ELS Language Center in the United States.","To apply for freshman admission, applicants must complete the online application, pay the $35 application fee, and submit an official high school transcript. For students with a 3.0 GPA or higher, ACT/SAT scores are not required for admission. For students with a 2.99 GPA or lower, a minimum 18 ACT or 960 SAT score is required for regular admission.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Sanders College of Business and Technology,"$11,850/Year (in-state, online); $14,850/Year (out-of-state, online)",,,,,,Business Administration (Flex),"The Bachelor of Business Administration (B.B.A.) degree provides a strong core in business principles combined with a concentration in a specific area of business. In addition to the core, concentrations are offered in accounting, business administration (flex), economics, finance, general business, human resource management, management, and marketing. Students earning a B.B.A. degree are prepared for entry-level positions in a variety of business fields or for further study at the graduate level.",,https://catalog.una.edu/undergraduate/,Accredited by AACSB International (for the College of Business and Technology),,"$395/credit hour (in-state, online); $495/credit hour (out-of-state, online)",,False,,4.0,2.0,,,,,,,,,,,"$11,850/Year (in-state, online); $14,850/Year (out-of-state, online)",,,,,,,False,False,,18.0,95.0,112.0,,,5.5,,,46.0,960.0,61.0,,,,,,,,,,,"$3,000 - $10,000 per year",,"Merit-based, Leadership-based, Need-based, Performance-based",,,,,,,
,Bachelor of Arts in Chemistry,,,,,BA,Fall 2026,,,,Not Required,Not Required,Not Required,"Proof of English Proficiency can be met by providing an official score report from one of the following: Test of English as a Foreign Language (TOEFL) minimum score of 61 on the internet-based test (iBT) or 500 on the paper-based test (PBT). International English Language Testing System (IELTS) minimum score of 5.5. Pearson Test of English (PTE) minimum score of 46. Duolingo minimum score of 95. ELS Language Center, Certificate of Completion of Level 112. Successful completion of UNA's English as a Second Language Program.","Unconditional Admission may be granted to applicants who are high school graduates, have an official ACT or SAT score, and a minimum 2.0 cumulative high school GPA. Test-Optional Admission may be granted to students with a 2.50 or higher cumulative high school GPA. Required documents include: a completed application, a $35 application fee, an official high school transcript, and official ACT or SAT scores (unless applying for Test-Optional Admission).",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Sciences, and Engineering","$10,710/Year (In-State); $19,410/Year (Out-of-State)",,,,,,,"The Bachelor of Arts in Chemistry provides a broad background in chemistry with less emphasis on advanced mathematics and physics than the Bachelor of Science programs. The degree is particularly well-suited for students wishing to combine the study of chemistry with another field through a double major or a minor, or for students interested in careers in areas such as forensic science, environmental science, secondary education, or in health-related fields. This major provides students with the background for admission to graduate programs in chemistry, biochemistry, and related fields as well as various professional schools (e.g., medical, dental, pharmacy).",,https://catalog.una.edu/undergraduate/,,,$357 per credit hour (In-State); $647 per credit hour (Out-of-State),,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,95.0,112.0,,,5.5,,,46.0,,61.0,,,,,,,,,,,"Up to $10,000 per year",,"Academic Scholarships, Endowed Scholarships, Performance Scholarships",,,,,,,
,Bachelor of Science in Chemistry,,,,,,Fall 2026,,,,Not Required,Not Required,Not Required,"Students from non-English speaking countries must provide evidence of English proficiency. Students may meet the English requirement in any one of the following ways: TOEFL score of 79 (iBT), 550 (pBT); IELTS score of 6.0; Pearson Test of English (PTE) Academic score of 54; Duolingo score of 100; Completion of Level 112 of the English for Academic Purposes (EAP) program from an ELS Language Center; Completion of UNA's Intensive English Program.","Prospective students must complete the online application for undergraduate admission, pay the non-refundable $35 application fee, and submit an official high school transcript. The University of North Alabama offers test-optional admission to students with a 2.50 or higher high school GPA. For students who do not meet the test-optional criteria, official ACT or SAT scores must be submitted.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Sciences, and Engineering","$10,500/Year (in-state), $21,000/Year (out-of-state)",,,,,,,"The Bachelor of Science (B.S.) in Chemistry is one of the foundational degrees in the sciences. The B.S. in Chemistry requires 120 credit hours and a minimum of 40 credit hours in Chemistry lecture and laboratory courses. This degree program is approved by the American Chemical Society (ACS) and provides the student with a comprehensive background in all areas of chemistry, including analytical, biochemistry, inorganic, organic, and physical chemistry. The Department of Chemistry and Physics offers the B.S. in Chemistry, the B.S. in Chemistry with American Chemical Society Certification, and the B.S. in Forensic Chemistry. Students graduating with a B.S. in Chemistry are well prepared for a wide range of career opportunities including chemistry, environmental science, chemical sales, chemical information science, technical writing, and laboratory support. Those students interested in pursuing professional or graduate studies in chemistry, biochemistry, chemical engineering, forensic science, medicine, dentistry, pharmacy, or other health professions will find the curriculum beneficial.",,https://www.una.edu/chemistryandphysics/index.html,Approved by the American Chemical Society (ACS),,"$350/credit hour (in-state), $700/credit hour (out-of-state)",,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,16.0,100.0,112.0,,,6.0,,,54.0,,79.0,,,,,,,,,,,"$3,000 - $8,000 per year, up to full tuition",,"Merit-based, Endowed",,,,,,,
