Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
"Curriculum and Teaching, Educational Administration, Human Resource Development, Mathematics, Science, STEAM","Whether you are looking for professional development or a career change, The University of Findlay's Master of Arts in Education (MAE) program can help you meet your goals. We offer a variety of emphases and license options to help you advance your career. The MAE program is designed to fit your busy schedule with courses offered online, on campus and in hybrid formats.",https://www.findlay.edu/education/masters-of-arts-in-education,Council for the Accreditation of Educator Preparation (CAEP),Masters,Master of Arts in Education,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The Master of Arts in Professional Communication (MAPC) prepares students for success in a wide variety of professions. The program is designed to develop the student's ability to communicate effectively using oral, written, and visual modes. The MAPC provides a strong foundation in theory and practice, ensuring that students are well-versed in the latest communication strategies and technologies. This program is available 100% online or on campus.",https://www.findlay.edu/arts-humanities-social-sciences/master-of-arts-in-professional-communication,,Master of Arts,Master of Arts in Professional Communication,https://www.findlay.edu/admissions/graduate/graduate-programs
,"Findlay's Master of Arts in Rhetoric and Writing (MARW) offers a customized curriculum to meet your personal and professional goals. Whether you are looking to teach dual enrollment, move into a doctoral program, or advance your career in the private sector, our program will give you the skills you need to succeed.",https://www.findlay.edu/arts-sciences/english/master-of-arts-in-rhetoric-and-writing,,,Master of Arts in Rhetoric and Writing,https://www.findlay.edu/admissions/graduate/graduate-programs
,The Master of Arts in TESOL and Applied Linguistics program prepares you to be a specialist in second language teaching and linguistics. Our coursework provides a solid foundation in the theory and practice of teaching English to speakers of other languages.,https://www.findlay.edu/arts-sciences/master-of-arts-in-tesol-and-applied-linguistics,,Master of Arts,Master of Arts in TESOL and Applied Linguistics,https://www.findlay.edu/admissions/graduate/graduate-programs
Certified Management Accountant; Certified Public Accountant; Finance; Healthcare Management; Human Resource Management; International Business; Marketing; Operations Management,The Master of Business Administration (MBA) is designed to equip the student with skills that can be directly applied in the workplace. The program features an emphasis on ethical leadership and a strategic focus. Students have the option to customize their degree by choosing a concentration.,https://www.findlay.edu/business/master-of-business-administration,Accreditation Council for Business Schools and Programs (ACBSP),MBA,Master of Business Administration,https://www.findlay.edu/admissions/graduate/graduate-programs
,"University of Findlay’s Master of Occupational Therapy (MOT) Program is a professional entry-level degree program for students who have completed a bachelor’s degree (in any major) and have completed the program prerequisites. Occupational therapists help people of all ages do the things they want and need to do through the therapeutic use of daily activities (occupations). Common occupational therapy interventions include helping children with disabilities to participate fully in school and social situations, helping people recovering from injury to regain skills, and providing supports for older adults experiencing physical and cognitive changes.",https://www.findlay.edu/health-professions/occupational-therapy/master-of-occupational-therapy,The occupational therapy program is accredited by the Accreditation Council for Occupational Therapy Education (ACOTE) of the American Occupational Therapy Association (AOTA).,Masters,Master of Occupational Therapy,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The University of Findlay's Physician Assistant Program is committed to providing a supportive, collaborative, and professional environment for students to gain the medical knowledge, skills, and values needed to become competent and compassionate physician assistants.",https://www.findlay.edu/health-professions/physician-assistant/,"The Accreditation Review Commission on Education for the Physician Assistant, Inc. (ARC-PA) has granted Accreditation-Continued status to the University of Findlay Physician Assistant Program.",Masters,Master of Physician Assistant,https://www.findlay.edu/admissions/graduate/graduate-programs
,"With the University of Findlay’s Master of Science in Applied Security and Analytics, you can become a leader in the rapidly growing fields of big data and cybersecurity. You can improve your credentials and gain the necessary skills to advance your career in the IT industry. This degree is designed to cover a unique blend of coursework in both cybersecurity and business analytics.",https://www.findlay.edu/sciences/computer-science/master-of-science-applied-security-and-analytics,,Masters,Master of Science in Applied Security and Analytics,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The Master of Science in Environmental, Safety and Health Management degree prepares you for leadership positions in the environmental industry. The program provides you with the skills to make managerial decisions and provides technical knowledge to help you work in the environmental, safety and health field. The University of Findlay's All Hazards Training Center, which has provided custom training to industry and government since 1989, provides the hands-on training for the program. The degree can be completed 100% online, on-campus or a convenient blend of both.",https://www.findlay.edu/sciences/environmental-safety-occupational-health/master-of-science,"The Master of Science in Environmental, Safety and Health Management is accredited by the National Environmental Health Science and Protection Accreditation Council (EHAC).",,"Master of Science in Environmental, Safety and Health Management",https://www.findlay.edu/admissions/graduate/graduate-programs
,"Health informatics is the science of evaluating, implementing, and utilizing technology to manage health information to improve patient care. The Master of Science in Health Informatics (MSHI) program at the University of Findlay prepares students to step into a variety of roles within the healthcare industry. This program provides a solid foundation in the technology and management aspects of health informatics.",https://www.findlay.edu/health-professions/health-informatics/,,Masters,Master of Science in Health Informatics,https://www.findlay.edu/admissions/graduate/graduate-programs
Health Administration or Educational Leadership,The Master of Science in Radiologic Sciences (MSRS) program prepares you for a career in leadership or higher education. This online program is designed for working professionals who are registered radiologic technologists and are ready to advance their careers.,https://www.findlay.edu/health-professions/radiologic-sciences/master-of-science-in-radiologic-sciences,,Masters,Master of Science in Radiologic Sciences,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The University of Findlay's Doctor of Education (Ed.D.) program is designed to create leaders who have the knowledge and skills to transform educational organizations and improve student learning. We offer two distinct emphasis areas to match your career goals: School Psychology and Teaching and Learning. The Doctor of Education program is a conceptual framework designed around the domains of advocacy, stewardship, and leadership.",https://www.findlay.edu/education/graduate/doctor-of-education,The College of Education is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Doctoral,Doctor of Education (Ed.D.),https://www.findlay.edu/admissions/graduate/graduate-programs
,"The University of Findlay’s Doctor of Education in School Psychology program is designed to give you the knowledge and skills necessary to become a licensed school psychologist. This program is built on a practitioner-scholar model, emphasizing the application of research to practice.",https://www.findlay.edu/education/graduate/doctor-of-education-school-psychology,The College of Education is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Doctoral,Doctor of Education in School Psychology,https://www.findlay.edu/admissions/graduate/graduate-programs
,"Occupational therapists help people of all ages to live active and productive lives. They help children with disabilities participate in school and social situations, assist those recovering from injuries to regain skills and aid older adults to remain independent. The Doctor of Occupational Therapy (OTD) Program at the University of Findlay is a professional entry-level degree program designed to prepare students to become occupational therapists.",https://www.findlay.edu/health-professions/occupational-therapy/doctor-of-occupational-therapy,The entry-level occupational therapy doctoral degree program is accredited by the Accreditation Council for Occupational Therapy Education (ACOTE) of the American Occupational Therapy Association (AOTA).,Doctoral,Doctor of Occupational Therapy (OTD),https://www.findlay.edu/health-professions/occupational-therapy/doctor-of-occupational-therapy
