QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Business,,4.0,2.0,,"Fall, Spring, Summer",,,0,,1101.0,"up to $19,000 per year",,"Merit-based, Endowed",4 years,39634,Accounting,https://www.findlay.edu/academics/undergraduate
,College of Education,,4.0,2.75,,"Fall, Spring",,,0,,1410.0,"up to $18,000",,Merit-based,4 years,39538,Adolescent/Young Adult Education,https://www.findlay.edu/academics/undergraduate
,College of Education,,4.0,2.5,,"Fall, Spring",,,0,,1316.0,21000,,"Merit-based, Endowed, Departmental",4 years,39538,Adolescent/Young Adult English/Language Arts,https://www.findlay.edu/academics/undergraduate
,College of Education,,,2.5,,,,,0,,840.0,14000 - 20000,,Merit-based,4 years,39598,Adolescent/Young Adult Integrated Mathematics,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-mathematics
,College of Education,,4.0,2.75,,"Fall, Spring",,,0,,1378.0,16000 - 20000,,Merit-based,4 years,39538,Adolescent/Young Adult Life Science,https://www.findlay.edu/academics/undergraduate
,College of Education,,,2.5,,,,,0,,1577.0,14000 - 19000,,Merit-based,4 years,"38,988 per year",Adolescent/Young Adult Mathematics,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-mathematics
,College of Education,,,3.0,,"Fall, Spring",,,0,,1309.0,"13,000 - 19,000 per year",,"Merit-based, Endowed, Talent-based",4 years,39266,Adolescent/Young Adult Science,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-science
,College of Education,,,,79%,"Fall, Spring",,,0,,1318.0,"$10,000 - $19,000",,"Merit-based, Endowed, Grants",4 years,39528,Adolescent/Young Adult Social Studies,https://www.findlay.edu/academics/undergraduate
,College of Sciences,,4.0,2.0,,"Fall, Spring",,,0,,1013.0,13000 - 19000,,Merit-based,4 years,39538,All Hazards Emergency Management,https://findlay.smartcatalogiq.com/en/current/graduate-catalog
,College of Sciences,,4.0,3.0,,"Fall, Spring",,,0,,870.0,"Up to $18,000 per year",,Merit-based,4 years,"39,528 per year",Animal Science - Industry Option,https://www.findlay.edu/sciences/animal-science/industry
