Program name,Program Page url
Master of Science in Information Technology,https://www.wust.edu/graduate-program
Master of Science in Information Technology with a Concentration in IT Systems & Management,https://www.wust.edu/graduate-program
Master of Science in Information Technology with a Concentration in Data Management & Analytics,https://www.wust.edu/graduate-program
Master of Science in Information Technology with a Concentration in Software Design & Management,https://www.wust.edu/graduate-program
Master of Science in Cybersecurity,https://www.wust.edu/graduate-program
Master of Business Administration,https://www.lamar.edu/business/management-marketing-and-general-business/master-of-business-administration/
Master of Business Administration with a Concentration in Leadership and Management,https://www.wust.edu/graduate-program
Master of Business Administration with a Concentration in Accounting & Finance,https://www.wust.edu/mba
Master of Business Administration with a Concentration in Information Technology,https://www.jcu.edu.au/courses/master-of-information-technology-master-of-business-administration
Master of Business Administration with a Concentration in Health Care Management,https://www.wust.edu/graduate-program
Master of Business Administration with a Concentration in Human Resources Management,https://www.wust.edu/graduate-program
Master of Business Administration with a Concentration in Project Management,https://www.wust.edu/graduate-program
