Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
"['Accounting Concentration', 'Finance Concentration']","The Master of Science in Accounting and Finance (MSAF) is a 30-credit hour program that provides students with an advanced education in the fields of accounting and finance, helping them develop into sophisticated business professionals who can effectively navigate these important areas. The MSAF provides a broad education with specialized concentrations that help students focus their studies on particular interests. Students are prepared for a variety of leadership positions within private industry, government, and nonprofit organizations. Concentrations in Accounting and Finance are available to students. The Accounting Concentration prepares students for a career in public accounting as well as in corporate or government environments. The Finance Concentration provides students with an advanced education that will prepare them for a variety of careers in the financial services and investment industry.",https://wne.edu/academics/graduate/masters/accounting-and-finance.cfm,AACSB International Accredited,Master of Science in Accounting and Finance,https://wne.edu/academics/graduate/index.cfm,
,"The 36-credit Master of Science in Applied Behavior Analysis (ABA) at Western New England University will prepare you to seek licensure as an applied behavior analyst and sit for the Board Certified Behavior Analyst® (BCBA) examination. Applied behavior analysts work with children and adults with autism and other developmental disabilities in schools, homes, and clinical settings. This program can be completed either online or on campus in as little as 16-24 months and includes courses in ethics, foundational principles of behavior, and research. There are two practicum courses built into the curriculum to provide you with the fieldwork and supervision required for licensure.",https://wne.edu/academics/graduate/masters/applied-behavior-analysis.cfm,The Association for Behavior Analysis International has verified the following courses toward the coursework requirements for eligibility to take the Board Certified Behavior Analyst® or Board Certified Assistant Behavior Analyst® examination. Applicants will need to meet additional requirements before they can be deemed eligible to take the examination.,Master of Science in Applied Behavior Analysis,https://wne.edu/academics/graduate/index.cfm,Master's
"['General Business', 'Business Law', 'Leadership', 'Public Relations']","The Western New England University Master of Business Administration (MBA) program is focused on providing students with the skills they need for a lifetime of career success. With small classes, personalized attention, and a real-world approach to learning, our MBA gives you a competitive advantage in the workplace. Students learn to think critically, communicate effectively, analyze opportunities, and make sound judgments. In short, the WNE MBA program develops the managerial skills that can be applied to any industry. The WNE MBA will enable you to continue to grow professionally throughout your career, adding value to your organization as you advance through the ranks. In addition, the program is among the most affordable of any private AACSB International-accredited institution in the region. There is no better value in graduate business education.",https://wne.edu/academics/graduate/master-business-administration/index.cfm,AACSB International,Master of Business Administration (MBA),https://wne.edu/academics/graduate/index.cfm,Master of Business Administration (MBA)
,"The 30-credit Master of Science in Business Analytics (MSBA) at Western New England University will position you for a career in this high-demand field by helping you develop the skills needed to create, analyze, and manage data-driven business solutions. With a curriculum focused on the managerial application of analytics, the MSBA is designed to equip you with quantitative and technical expertise, as well as the professional communication skills needed to lead with data. The curriculum integrates topics in data mining, statistical modeling, optimization, and simulation to drive business decisions. Our expert faculty will provide you with personal attention in a collaborative learning environment. Through case studies and hands-on experience, you will explore real-world challenges while developing the expertise to interpret data, identify trends, and leverage information to help organizations achieve a competitive advantage.",https://wne.edu/academics/graduate/masters/business-analytics.cfm,AACSB International,Master of Science in Business Analytics,https://wne.edu/academics/graduate/index.cfm,Master of Science
"['structural', 'geotechnical', 'environmental', 'construction management']","The Master of Science in Civil Engineering (MSCE) program will prepare you to take on leadership roles in the field through a course of study that is practice-oriented and flexible. The program provides advanced knowledge and skills in the planning, design, construction, and maintenance of the built environment. Offered on campus or 100% online, the curriculum allows students to choose a concentration in structural, geotechnical, environmental, or construction management. Full-time students can complete the program in just one year. You may also enroll part-time and complete your degree at your own pace. Classes are offered in the late afternoons and evenings to accommodate working professionals.",https://wne.edu/academics/graduate/masters/civil-engineering.cfm,"The College of Engineering is accredited by the Engineering Accreditation Commission of ABET, the global accreditor of college and university programs in applied and natural science, computing, engineering, and engineering technology.",Master of Science in Civil Engineering,https://wne.edu/academics/graduate/index.cfm,Masters
,"The 30-credit Master of Science in Construction Management (MSCM) is designed for professionals in the design, engineering, and construction industries who seek to advance their careers and acquire leadership roles. The MSCM program offers advanced study in the management of construction projects from inception to completion, focusing on the management of resources, time, cost, quality, and safety. A unique feature of the program is its emphasis on sustainable design and construction, more commonly known as 'green building'.",https://wne.edu/academics/graduate/masters/construction-management.cfm,,Master of Science in Construction Management,https://wne.edu/academics/graduate/index.cfm,Master of Science
,"The Master of Science in Electrical Engineering (MSEE) is an innovative program that can be completed on a part-time or full-time basis, offering you the opportunity for advanced study in a variety of emphasis areas. The 30-credit curriculum has a flexible structure that allows students to customize a course of study suited to their career objectives. Our dedicated faculty members bring real-world experience to the classroom and are at the forefront of their fields, conducting innovative research in such areas as integrated photonics, nanotechnology, wireless communications, and robotics. Our close ties to industry leaders in the region and beyond, provide exceptional opportunities for internships and career placement. Areas of study include communication theory, digital signal processing, system theory, microelectronics, and photonics.",https://www.wne.edu/academics/graduate/electrical-engineering/index.cfm,,Master of Science in Electrical Engineering,https://www.kuleuven.be/programmes/master-electrical-engineering,
,"The Master of Science in Engineering Management (MSEM) is a hybrid program designed to prepare you for a leadership role in the technology-based, project-driven enterprise. The MSEM will equip you with the fundamental business and management skills in areas such as project management, quality management, and operations management. As you sharpen your analytical and problem-solving skills, you will benefit from faculty who have years of experience as leaders in both industry and the classroom. Through case studies and hands-on projects, you will apply the knowledge you acquire to solving real-world management issues. The 10-course/30-credit curriculum includes seven core courses, two electives, and a capstone course. Elective courses offer you the flexibility to explore other disciplines or expand your expertise in a specific area.",https://wne.edu/academics/graduate/masters/engineering-management.cfm,,Master of Science in Engineering Management,https://wne.edu/academics/graduate/index.cfm,Master of Science
,"The Master of Science in Industrial Engineering (MSIE) program at Western New England University is designed to help you enhance your knowledge and skills to improve integrated systems of people, materials, information, facilities, and technology. You will acquire advanced skills in areas such as quality assurance, operations management, engineering management, systems engineering, supply chain management, and data analytics.

The MSIE is a 30-credit graduate program that offers both a thesis and a nonthesis option, as well as an option to transition seamlessly from our Bachelor of Science in Industrial Engineering program through our 5-year Bachelor/MSIE program. The program is flexible to accommodate the needs of both full-time students and working professionals and is structured to be completed in one calendar year for full-time students. The curriculum is comprised of eight courses and either a six-credit thesis or two additional courses for the nonthesis option. Classes for the program are offered on campus in the evenings.",https://wne.edu/academics/graduate/ms-industrial-engineering/index.cfm,,Master of Science in Industrial Engineering,https://wne.edu/academics/graduate/index.cfm,Master of Science
,"The Master of Science in Mechanical Engineering (MSME) is a 30-credit hour program that will deepen your understanding of the design, manufacture, and operation of mechanical and thermal systems. You’ll be prepared for leadership positions in the mechanical engineering field and have the opportunity to make an immediate impact on the job. The 30-credit MSME program has a flexible curriculum with no required core. You can tailor your studies to focus on an area of your interest by selecting from a wide range of available electives. The program offers advanced coursework and professional development in design and manufacturing engineering, mechanics and materials, and thermal fluid sciences.",https://wne.edu/academics/graduate/mechanical-engineering-ms.cfm,,Master of Science in Mechanical Engineering,https://wne.edu/academics/graduate/mechanical-engineering-ms.cfm,Master of Science
,"The Master of Science in Medical Sciences (MSMS) is an intensive, one-year program designed for students who need to enhance their academic credentials for admission into medical, dental, or other health professional schools. Through our rigorous curriculum, the MSMS program will develop your critical thinking skills and strengthen your foundational knowledge in the medical sciences. The program emphasizes the practical application of knowledge in a supportive learning environment with small class sizes and personalized advising from our expert faculty. The MSMS program will provide you with a competitive advantage for professional school admission and a strong foundation for your future career as a healthcare professional.",https://wne.edu/pharmacy-and-health-sciences/programs/master-of-science-in-medical-sciences/index.cfm,,Master of Science in Medical Sciences,https://wne.edu/academics/graduate/index.cfm,Master
Nonprofit Management,"The Master of Science in Organizational Leadership (MSOL) is an innovative program that prepares students for leadership roles in a variety of fields, including business and nonprofit organizations. This 30-credit graduate program is offered fully online or in a blended format of online and in-person classes to give working professionals the flexibility they need to earn a degree while meeting their professional and personal responsibilities. The MSOL program features a cutting-edge curriculum taught by faculty with exceptional academic credentials and extensive leadership experience. Through an emphasis on both the science and art of leadership, students will develop the critical skills and knowledge needed to become a truly effective and inspirational leader. The MSOL program welcomes a diverse student body from a wide variety of academic backgrounds and professional organizations.",https://wne.edu/academics/graduate/masters/organizational-leadership.cfm,"The College of Business is accredited by AACSB International—The Association to Advance Collegiate Schools of Business, the premier accrediting body for business schools in the world. Less than 5% of business schools worldwide have earned this prestigious designation.",Master of Science in Organizational Leadership,https://wne.edu/academics/graduate/index.cfm,Master
,"The 32-credit Master of Science in Pharmaceutical Sciences program at Western New England University will prepare you for a dynamic career in this growing field. As more and more people seek medical care for their ailments, the demand for medications and the people who develop them increases. With your MS in Pharmaceutical Sciences, you will be well positioned to assume a role in pharmaceutical research in an academic or industrial environment. You may also choose to pursue a PhD or other doctoral level degrees. The program is specifically designed to address a need for skilled individuals with working knowledge of pharmaceutical sciences, including a range of topics from drug discovery and development to drug dosage formulations and applications in a clinical setting. With state-of-the-art labs in the Center for the Sciences and Pharmacy, you will gain hands-on experience using industry-standard equipment and procedures.",https://wne.edu/pharmacy-and-health-sciences/academics/ms-in-pharmaceutical-sciences/index.cfm,,Master of Science in Pharmaceutical Sciences,https://wne.edu/academics/graduate/index.cfm,
,"The Western New England University Online Master of Science in Pharmacogenomics (MSPGx) is one of the nation's first such programs, preparing students for careers in this new and exciting field of personalized medicine. You will gain the knowledge and skills needed to understand how a patient's genetic makeup affects their response to drugs. The MSPGx is a 31-credit, fully online program that does not require a residency. Students will enroll as a cohort and can complete the program in two years by taking 1-2 courses per semester. You will learn to predict drug responses, both in terms of efficacy and toxicity, for individual patients based on their genetic information.",https://wne.edu/pharmacy-and-health-sciences/academics/ms-pharmacogenomics/index.cfm,,Master of Science in Pharmacogenomics,https://wne.edu/academics/graduate/index.cfm,Master of Science
,"The entry-level Doctor of Occupational Therapy (OTD) program provides a clear path to a successful career as a certified occupational therapist. As a graduate of our OTD program, you will be prepared for entry-level practice in a variety of traditional and emerging settings, including hospitals, community-based practice, and academia. As a practitioner, you will collaborate with clients, families, and communities to promote health, well-being, and participation in life through engagement in occupation. You will become a lifelong learner, leader, and advocate for the clients and communities that you serve. Our innovative OTD curriculum incorporates principles of occupational justice into coursework and clinical experiences. With a focus on justice and service to the community, our students develop advocacy skills to support the health and wellness of individuals and groups. Our program provides a high-quality education that is career-focused, student-centered, and taught by faculty experts in their practice areas.",https://wne.edu/academics/graduate/occupational-therapy-doctorate/index.cfm,"The entry-level occupational therapy doctoral degree program is accredited by the Accreditation Council for Occupational Therapy Education (ACOTE) of the American Occupational Therapy Association (AOTA), located at 6116 Executive Boulevard, Suite 200, North Bethesda, MD 20852-4929. ACOTE’s telephone number c/o AOTA is (301) 652-AOTA and its Web address is www.acoteonline.org. Graduates of the program will be eligible to sit for the national certification examination for the occupational therapist administered by the National Board for Certification in Occupational Therapy (NBCOT). After successful completion of this exam, the individual will be an Occupational Therapist, Registered (OTR).",Doctor of Occupational Therapy (OTD),https://wne.edu/academics/graduate/index.cfm,Doctoral
,"The four-year Doctor of Pharmacy (PharmD) program at Western New England University is future-focused, providing you with a strong foundation in the pharmaceutical and clinical sciences. Through our innovative curriculum, you will gain an understanding of how to apply this knowledge to a wide variety of patient populations in diverse practice settings. An emphasis on interprofessional education, along with experiential opportunities starting in your first semester, will prepare you to be a practice-ready pharmacist and a valuable member of the healthcare team. We offer early assurance opportunities for qualified high school students and guaranteed progression for qualified WNE undergraduate students from a variety of science and health majors. Through our affiliations, we also provide a streamlined admissions process for qualified students from a variety of undergraduate institutions. These pathways provide a seamless transition into our professional program. The six-year PharmD pathway allows students to earn their bachelor’s and Doctor of Pharmacy degrees through an accelerated program of study. In our small classes, you’ll learn from our distinguished faculty who have extensive experience as both researchers and practitioners. As a result of their diverse expertise, you will be exposed to a broad spectrum of career opportunities that exist in the field of pharmacy. Our faculty will challenge and support you as you develop into a leader who is able to provide compassionate care to a diverse patient population. Our graduates are highly sought after by employers for their ability to think critically, communicate effectively, and collaborate successfully with other members of the healthcare team as they serve their communities.",https://www.wne.edu/pharmacy-and-health-sciences/academics/pharmd/index.cfm,"The Western New England University Doctor of Pharmacy program is accredited by the Accreditation Council for Pharmacy Education, 190 South LaSalle Street, Suite 3000, Chicago, IL 60603, 312-664-3575; FAX 866-228-2631, web site www.acpe-accredit.org.",Doctor of Pharmacy (PharmD),https://wne.edu/academics/graduate/index.cfm,Doctoral
,"The PhD in Behavior Analysis program is a full-time, campus-based program designed to train the next generation of leaders in the field of behavior analysis. Students will engage in advanced coursework in behavior analysis and develop a sophisticated repertoire of research and clinical skills. Students will contribute to the scholarly literature in behavior analysis through the completion of an empirical dissertation, and will complete a post-doctoral fellowship following coursework. The mission of the doctoral program in Behavior Analysis at Western New England University is to provide students with a rigorous course of study in behavior analysis that will prepare them for a career as a scientist-practitioner in the field. Graduates will be prepared to work in a variety of academic and clinical roles, and engage in research, teaching, and clinical practice. The doctoral program provides a stimulating and collegial learning environment, and opportunities for students to develop close working relationships with faculty mentors and with their peers. Students will work closely with their faculty mentors to design and implement a program of research in a selected area. In addition, students have a number of opportunities to gain supervised experience in teaching at the undergraduate and graduate level, and will have a variety of clinical experiences available to them at the University and in the community. The Association for Behavior Analysis International has verified the following courses toward the coursework requirements for eligibility to take the Board Certified Behavior Analyst® or Board Certified Assistant Behavior Analyst® examination. Applicants will need to meet additional requirements before they can be deemed eligible to take the examination.",https://wne.edu/academics/graduate/phd-behavior-analysis.cfm,,Doctor of Philosophy in Behavior Analysis,https://wne.edu/academics/graduate/index.cfm,Doctoral
,"The Western New England University PhD in Engineering Management is designed for engineering and business professionals with STEM backgrounds who wish to conduct in-depth research to solve problems in complex engineering/technical systems. The curriculum offers a distinctive blend of qualitative and quantitative analysis, and a well-rounded business approach for managing technology, innovation, and people within an engineering or technical enterprise. While developing expertise as a world-class researcher, you will gain the skills and knowledge to lead organizations through complex technical and business challenges and bring a scholarly perspective and approach to your career in industry, research, or academia.",https://wne.edu/academics/graduate/phd-engineering-management/index.cfm,,Doctor of Philosophy in Engineering Management,https://wne.edu/academics/graduate/index.cfm,PhD
,"Western New England University offers the only part-time PhD in Industrial Management in the United States, providing a unique pathway for working professionals to earn a terminal degree. This practice-oriented program is designed for industrial managers who seek to solve significant industry problems from an applied, interdisciplinary perspective. The program prepares students to become industry thought leaders, C-suite executives, and professors at teaching-oriented academic institutions. Our students are working professionals from a wide array of industries, including aerospace, healthcare, pharmaceuticals, manufacturing, and defense. This diversity leads to rich classroom experiences where students can share their real-world examples to enhance their learning. The PhD in Industrial Management degree is a STEM designated degree (CIP Code 15.1501). The program is not intended to be a distance learning program and requires in-person attendance.",https://wne.edu/academics/graduate/phd-industrial-management/index.cfm,,Doctor of Philosophy in Industrial Management,https://wne.edu/academics/graduate/index.cfm,PhD
"['Business Law', 'Criminal Law', 'Estate Planning', 'Gender and Sexuality Law', 'International and Comparative Law', 'Public Interest Law', 'Real Estate Law']","Our Juris Doctor (JD) degree is your gateway to a successful and satisfying legal career. The foundation of the JD curriculum is a rigorous program of required courses that provides students with a firm grounding in the core subjects of legal education. Building upon this foundation, students may choose from an extensive menu of elective courses to focus on particular areas of interest, including a variety of clinical and skills courses designed to ensure that they are 'practice ready' upon graduation. To earn the Juris Doctor degree, students must complete 89 credit hours of study and the Upper Level Writing Requirement. Our full-time program is typically completed in three years and our part-time programs in four years. The School of Law offers a variety of course scheduling options, including a full-time day program, a part-time day program, and a part-time evening program.",https://wne.edu/law/academics/jd-programs/index.cfm,Western New England University School of Law is an ABA-approved law school.,Juris Doctor (JD),https://wne.edu/law/index.cfm,Doctoral
,"The Master of Laws (LL.M.) in Elder Law and Estate Planning is the preeminent program for attorneys who wish to gain sophistication in these two expanding areas of practice. Offered exclusively online, this 24-credit graduate program is designed for legal professionals to build expertise that will help them advance their careers and best serve their clients’ needs. The program is offered on a part-time basis, enabling busy professionals to balance work and family life while earning their advanced degree. All courses are offered completely online and can be accessed at any time of day, from anywhere. Our highly-regarded faculty of legal scholars are among the most accomplished and recognized leaders in their fields, with decades of practice and practical experience. Students will learn how to provide holistic, client-centered service, with a curriculum focused on the unique legal issues facing older adults and their families.",https://wne.edu/law/academics/llm/index.cfm,Western New England University School of Law is accredited by the American Bar Association (ABA) Council of the Section of Legal Education and Admissions to the Bar.,Master of Laws (LL.M.) in Elder Law and Estate Planning,https://wne.edu/academics/graduate/index.cfm,Master of Laws (LL.M.)
,"Artificial Intelligence (AI) is transforming nearly every industry, from healthcare and finance to transportation and entertainment. As AI technology continues to advance, there is a growing demand for skilled professionals who can develop, implement, and manage AI systems. The Graduate Certificate in Artificial Intelligence from Western New England University is designed to provide you with the knowledge and skills needed to succeed in this dynamic field. In this program, you will learn the fundamentals of AI, including machine learning, deep learning, natural language processing, and computer vision. You will also gain hands-on experience with popular AI tools and platforms, such as Python, TensorFlow, and PyTorch. The certificate program is designed to be flexible and can be completed online or in person. It is also a stackable credential that can be applied toward the MS in Electrical Engineering or the MS in Computer Engineering at WNE. With a graduate certificate in AI from WNE, you will be prepared for a variety of careers in the AI field, including AI engineer, machine learning engineer, data scientist, and AI research scientist. You will also be well-equipped to pursue further graduate studies in AI or a related field. With the skills and knowledge you gain, graduates of the AI graduate certificate program will be well-positioned to take on leadership roles in this exciting and rapidly growing field.",https://wne.edu/academics/graduate/certificates/artificial-intelligence.cfm,,Graduate Certificate in Artificial Intelligence,https://wne.edu/academics/graduate/index.cfm,Certificate
,The Graduate Certificate in Business Foundations provides students with a foundational knowledge of business management and is a great option for those interested in a career in business or as a first step to pursuing an MBA. The 15-credit (5-course) certificate can be completed in as little as two semesters and all credits can be applied towards a Western New England University MBA.,https://wne.edu/academics/graduate/certificates/business-foundations/index.cfm,College of Business Accredited by AACSB International,Graduate Certificate in Business Foundations,https://wne.edu/academics/graduate/index.cfm,Certificate
