Program name,Program Page url
Master of Science in Accounting and Finance,https://wne.edu/academics/graduate/index.cfm
Master of Science in Applied Behavior Analysis,https://wne.edu/academics/graduate/index.cfm
Master of Business Administration (MBA),https://wne.edu/academics/graduate/index.cfm
Master of Science in Business Analytics,https://wne.edu/academics/graduate/index.cfm
Master of Science in Civil Engineering,https://wne.edu/academics/graduate/index.cfm
Master of Science in Construction Management,https://wne.edu/academics/graduate/index.cfm
Master of Science in Electrical Engineering,https://www.kuleuven.be/programmes/master-electrical-engineering
Master of Science in Engineering Management,https://wne.edu/academics/graduate/index.cfm
Master of Science in Industrial Engineering,https://wne.edu/academics/graduate/index.cfm
Master of Science in Mechanical Engineering,https://wne.edu/academics/graduate/mechanical-engineering-ms.cfm
Master of Science in Medical Sciences,https://wne.edu/academics/graduate/index.cfm
Master of Science in Organizational Leadership,https://wne.edu/academics/graduate/index.cfm
Master of Science in Pharmaceutical Sciences,https://wne.edu/academics/graduate/index.cfm
Master of Science in Pharmacogenomics,https://wne.edu/academics/graduate/index.cfm
Doctor of Occupational Therapy (OTD),https://wne.edu/academics/graduate/index.cfm
Doctor of Pharmacy (PharmD),https://wne.edu/academics/graduate/index.cfm
Doctor of Philosophy in Behavior Analysis,https://wne.edu/academics/graduate/index.cfm
Doctor of Philosophy in Engineering Management,https://wne.edu/academics/graduate/index.cfm
Doctor of Philosophy in Industrial Management,https://wne.edu/academics/graduate/index.cfm
Juris Doctor (JD),https://wne.edu/law/index.cfm
Master of Laws (LL.M.) in Elder Law and Estate Planning,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Artificial Intelligence,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Business Foundations,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Data Analytics,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Finance,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Financial Accounting,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Green Belt,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Industrial Safety and Public Health,https://wne.edu/academics/graduate/college-engineering-certificates.cfm
Graduate Certificate in Information Management,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Leadership,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Operations Management,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Operations Research,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Project Management,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Risk and Emergency Management,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Sport Leadership,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Strategic Decision-Making,https://wne.edu/academics/graduate/index.cfm
Graduate Certificate in Supply Chain,https://wne.edu/academics/graduate/college-engineering-certificates.cfm
Graduate Certificate in Tax Planning,https://wne-academic-catalog-2025-26.catalog.prod.coursedog.com/programs/0rxpDBvjRLpBuwZW77ug
