QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Business,0.0,4.0,3.0,,"Fall, Spring, Summer",,,31350,,1045,1000,50%,"Merit scholarships, Graduate assistantships, Alumni scholarships",As little as one year,31350,Master of Science in Accounting and Finance,https://wne.edu/academics/graduate/index.cfm
,College of Arts and Sciences,2.0,4.0,,,"Fall, Spring, Summer",,,30780,,855,"$1,000 to $5,000",,"Merit-based, Graduate Assistantships",As little as one year,30780,Master of Science in Applied Behavior Analysis,https://wne.edu/academics/graduate/index.cfm
,College of Business,1.0,4.0,3.0,,"Fall, Spring, Summer",,,,,1123,"Awards range from $1,000 to $6,000 annually",,"Merit-based, Graduate Assistantships",As little as one year,33690,Master of Business Administration (MBA),https://wne.edu/academics/graduate/index.cfm
,College of Business,,4.0,,,"Fall, Spring, Summer",,,33630,,1121,,up to 50%,Merit-based,As little as one year,33630,Master of Science in Business Analytics,https://wne.edu/academics/graduate/index.cfm
,College of Engineering,,4.0,3.0,,"Fall, Spring",,,,,1202,,,Merit-based,As little as one year,36060,Master of Science in Civil Engineering,https://wne.edu/academics/graduate/index.cfm
,College of Engineering,2.0,4.0,3.0,,"Fall, Spring, Summer",,,,,1203,,,"Merit-based, Graduate Assistantships",,36090,Master of Science in Construction Management,https://wne.edu/academics/graduate/index.cfm
,College of Engineering,,4.0,3.0,,"Fall, Spring, Summer",,,36360,,1212,Up to 18 credits of tuition annually for Graduate Assistantships,up to 20%,"Double Golden Bear Scholarship, Military Scholarship, Plus Program Scholarship, Merit scholarships, Graduate Assistantships",As little as one year,36360,Master of Science in Electrical Engineering,https://www.kuleuven.be/programmes/master-electrical-engineering
,College of Engineering,2.0,4.0,3.0,,"Fall, Spring, Summer",,,36300,,1210,,,"Merit-based scholarships, Graduate Assistantships",As little as one year,36300,Master of Science in Engineering Management,https://wne.edu/academics/graduate/index.cfm
,College of Engineering,2.0,4.0,3.0,,Rolling Admissions,,,"$36,600 for the entire program (30 credits)",,1220,,10% tuition discount for alumni (Double Bearcat Scholarship),"Merit-based, Graduate Assistantships, STEM Scholarship, Alumni Discount",30 credits,"$36,600 for the entire program (30 credits)",Master of Science in Industrial Engineering,https://wne.edu/academics/graduate/index.cfm
,College of Engineering,0.0,4.0,3.0,,"Fall, Spring",,,,,1212,,,"Merit Scholarships, Graduate Assistantships, Alumni Scholarships, Double Beaver Scholarships",30 credits / As little as one year,,Master of Science in Mechanical Engineering,https://wne.edu/academics/graduate/mechanical-engineering-ms.cfm
