QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Arts and Humanities,,4.0,2.0,,,,,,,,"Awards range from $1,000 to $1,500",,"Merit-based, Need-based",,,Bachelor of Arts in American Studies,https://amst.umd.edu/academic-programs/undergraduate/ba
,College of Arts and Sciences,,,,,Fall 2026,"August 1, 2025","February 15, 2026","$45,036/Year",,$955 per credit hour,"$10,000 to $26,000 per year",,Merit-based,4 years,"$45,036/Year",Bachelor of Arts in Communication,https://wne.edu/academics/undergraduate/communication.cfm
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,44534/Year,,970,"$10,000 - $27,000",,Merit-based,4 years,"$44,534/Year",Bachelor of Arts in Creative Writing,https://wne.edu/academics/undergraduate/creative-writing.cfm
,College of Arts and Sciences,,4.0,2.0,93%,Fall 2026,,,"$44,534/Year",,$980,"$12,000 - $26,000",,Merit-based,4 years,"$44,534/Year",Bachelor of Arts in Economics,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,,88%,,,,"$44,818/Year",,"$1,280","$15,000 - $26,000 per year",,Merit-based,4 years,"$44,818/Year",Bachelor of Arts in Elementary Education,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,2.0,,,,,44494,,985,"$16,000 - $26,000",,Merit-based,4 years,44494,Bachelor of Arts in English,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,2.0,,,,,"$45,898/Year",,760,"$10,000 - $25,000",,Merit-based,4 years,"$45,898/Year",Bachelor of Arts in History,https://wne.edu/academics/undergraduate/history.cfm
,,,4.0,2.0,,Fall 2026,,,,,"$1,280/Credit","$13,000-$26,000",,"Merit-based, Need-based",4 years,"$46,014/Year",Bachelor of Arts in Integrated Studies,https://catalog.augusta.edu/preview_program.php?catoid=48&poid=11381
,College of Arts and Sciences,,4.0,,,,,,"$44,534/Year",,$945/Credit Hour,"$8,000 - $28,000",,Merit-based,4 years,"$44,534/Year",Bachelor of Arts in International Studies,https://wne.edu/academics/undergraduate/international-studies.cfm
,College of Arts and Sciences,,4.0,2.0,82%,Fall 2026,,,"$44,818/Year",,"$1,145","$15,000-$26,000",,"Merit-based, Athletic",4 years,"$44,818/Year",Bachelor of Arts in Law,https://wne.edu/academics/undergraduate/index.cfm
,,,,,,,,,,,,,,,,,Bachelor of Arts in Liberal Studies,https://www.udel.edu/academics/colleges/cas/prospective-students/undergraduate-programs/bachelor-arts-liberal-studies/
,College of Arts and Sciences,,4.0,2.0,88%,Fall 2026,,,45460,20412,990,"$10,000 - $26,000",,Merit-based,4 years,"$45,460/Year",Bachelor of Arts in Political Science,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,44592,30808,,"$15,000 - $28,000 per year",,"Merit-based, Need-based",4 years,44592,Bachelor of Arts in Psychology,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$45,090/Year",,985,"$15,000 - $28,000",,Merit-based,4 years,"$45,090/Year",Bachelor of Arts in Secondary Education in English,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$45,394/Year",,$1035 per credit hour,"$8,000-$25,000",,Merit-based,4 years,"$45,394/Year",Bachelor of Arts in Secondary Education in History,https://wne.edu/academics/undergraduate/index.cfm
,College of Arts and Sciences,,4.0,,,Fall 2026,,,"$45,036/Year",,$845/Credit,"$15,000 - $26,000 per year",,"Merit-based, Need-based",4 years,"$45,036/Year",Bachelor of Science in Actuarial Science,https://wne.edu/academics/undergraduate/actuarial-science.cfm
,College of Engineering,,4.0,2.0,88%,Fall 2026,,,"$46,112/Year",31000,,"$15,000-$28,000",,Merit-based,4 years,"$46,112/Year",Bachelor of Science in Bioengineering and Biomedical Engineering,https://wne.edu/academics/undergraduate/biomedical-engineering.cfm
