DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Undergraduate Admissions Office,,,,,,,,Ithaca,USA,US,United States,engage@admissions.cornell.edu,607.255.5241,,NY,410 Thurston Avenue,,14850,New York,,False,https://admissions.cornell.edu/,,,False,False,Cornell University
Graduate School Admissions,,,,,,,,,USA,US,United States,gradadmissions@cornell.edu,607-255-5820,,,,,,,,False,https://gradschool.cornell.edu/admissions/,,,False,False,Cornell University
International and U.S. Abroad Questions,,,,,,,,,USA,US,United States,international@admissions.cornell.edu,,,,,,,,,False,https://admissions.cornell.edu/apply/first-year-applicants/international-first-year-admissions,,,False,False,Cornell University
Transfer Applicant Questions,,,,,,,,,USA,US,United States,transfer@admissions.cornell.edu,,,,,,,,,False,https://admissions.cornell.edu/apply/transfer-applicants,,,False,False,Cornell University
College of Agriculture and Life Sciences Admissions,,,,,,,,Ithaca,USA,US,United States,cals_admissions@cornell.edu,607.255.2036,,NY,177 Roberts Hall,,14853,New York,,False,https://cals.cornell.edu/admissions/,Roberts Hall,,False,False,Cornell University
"College of Architecture, Art, and Planning Admissions",,,,,,,,Ithaca,USA,US,United States,aap-admissions@cornell.edu,607.255.4376,,NY,135 E Sibley Hall,,14853,New York,,False,https://aap.cornell.edu/admissions,E Sibley Hall,,False,False,Cornell University
College of Arts & Sciences Admissions,,,,,,,,Ithaca,USA,US,United States,as_admissions@cornell.edu,607-255-4833,,NY,KG17 Klarman Hall,,14853,New York,,False,https://as.cornell.edu/admissions,Klarman Hall,,False,False,Cornell University
Cornell SC Johnson College of Business Admissions,,,,,,,,Ithaca,USA,US,United States,,607.254.4228,,NY,248 Sage Hall,,14853,New York,,False,https://business.cornell.edu/programs/undergraduate/,Sage Hall,,False,False,Cornell University
College of Engineering Admissions,,,,,,,,Ithaca,USA,US,United States,,,,NY,173 Rhodes Hall,,14853,New York,,False,https://www.engineering.cornell.edu/admissions/undergraduate-admissions,Rhodes Hall,,False,False,Cornell University
College of Human Ecology Admissions,,,,,,,,Ithaca,USA,US,United States,humec_admissions@cornell.edu,607.255.5471,,NY,Martha Van Rensselaer Hall,,14853,New York,,False,https://www.human.cornell.edu/admissions,Martha Van Rensselaer Hall,,False,False,Cornell University
School of Industrial and Labor Relations Admissions,,,,,,,,Ithaca,USA,US,United States,,607.255.2222,,NY,216 Ives Hall,,14853,New York,,False,https://www.ilr.cornell.edu/admissions/undergraduate-admissions,Ives Hall,,False,False,Cornell University
Cornell Jeb E. Brooks School of Public Policy Admissions,,,,,,,,Ithaca,USA,US,United States,,,,NY,2301 Martha Van Rensselaer Hall,,14853,New York,,False,https://publicpolicy.cornell.edu/studying-with-us/undergraduate-programs/,Martha Van Rensselaer Hall,,False,False,Cornell University
