DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
"Office of Admissions, Indiana University Bloomington",,,,,,,,Bloomington,US,US,United States,iub.admissions@iu.edu,812-855-0661,,IN,,,,Indiana,,False,https://admissions.indiana.edu/apply/index.html,,,False,False,Indiana University
"Office of International Services, Indiana University Bloomington",,,,,,,,Bloomington,US,US,United States,,,,IN,,,,Indiana,,False,https://ois.iu.edu/admissions/index.html,,,False,False,Indiana University
"Office of Admissions, Indiana University East",,,,,,,,Richmond,US,US,United States,iue.admissions@iu.edu,765-973-8208,,IN,2325 Chester Boulevard,Whitewater Hall 151,47374-1289,Indiana,,False,https://www.iue.edu/admissions/index.html,Whitewater Hall,,False,False,Indiana University
"Graduate Admissions, Indiana University East",,,,,,,,Richmond,US,US,United States,iuegrad@iu.edu,,,IN,,,,Indiana,,False,https://www.iue.edu/admissions/index.html,,,False,False,Indiana University
"Office of Admissions, Indiana University Kokomo",,,,,,,,Kokomo,US,US,United States,iuk.admissions@iu.edu,765-455-9217,,IN,,,,Indiana,,False,https://www.iuk.edu/admissions/index.html,,,False,False,Indiana University
"Office of International Student Services, Indiana University Kokomo",,,,,,,,Kokomo,US,US,United States,iuk.international@iu.edu,,,IN,2300 S. Washington St.,,46902,Indiana,,False,https://www.iuk.edu/international/admissions/how-to-apply.html,,,False,False,Indiana University
"Office of Admissions, Indiana University Northwest",,,,,,,,Gary,US,US,United States,,219-980-6991,,IN,,100,46408,Indiana,,False,https://www.iun.edu/admissions/index.htm,Hawthorn Hall,,False,False,Indiana University
"Office of Admissions, Indiana University South Bend",,,,,,,,South Bend,US,US,United States,iusb.admissions@iu.edu,(574) 520-4839,,IN,1700 Mishawaka Avenue,"First Floor, Room 146",46634-7111,Indiana,,False,https://www.iusb.edu/admissions/index.html,Administration Building,,False,False,Indiana University
"International Admissions, Indiana University South Bend",,,,,,,,South Bend,US,US,United States,oiss@iu.edu,,,IN,1700 Mishawaka Avenue,"First Floor, Room 146",46634-7111,Indiana,,False,https://www.iusb.edu/admissions/index.html,Administration Building,,False,False,Indiana University
"Graduate Admissions, Indiana University South Bend",,,,,,,,South Bend,US,US,United States,iusb.graduate@iu.edu,,,IN,1700 Mishawaka Avenue,"First Floor, Room 146",46634-7111,Indiana,,False,https://www.iusb.edu/admissions/index.html,Administration Building,,False,False,Indiana University
"Office of Admissions, Indiana University Southeast",,,,,,,,New Albany,US,US,United States,ius.admissions@iu.edu,812-941-2212,,IN,,,,Indiana,,False,https://www.ius.edu/admissions/,,,False,False,Indiana University
"Division of Enrollment Management, Indiana University Indianapolis",,,,,,,,Indianapolis,US,US,United States,iuindy.admissions@iu.edu,317-274-4591,,IN,420 University Boulevard,Room 255,46202,Indiana,,False,https://enrollment.iupui.edu/,,,False,False,Indiana University
"Office of International Affairs, Indiana University Indianapolis",,,,,,,,Indianapolis,US,US,United States,iapply@iu.edu,317-274-7000,,IN,,ES 2126,,Indiana,,False,https://international.iupui.edu/admissions/index.html,Education/Social Work Building,,False,False,Indiana University
IU Graduate School Indianapolis,,,,,,,,Indianapolis,US,US,United States,imagrad@iu.edu,(317) 274-1577,,IN,755 W. Michigan Street,Room 1170,46202,Indiana,,False,https://graduate.iupui.edu/,University Library,,False,False,Indiana University
