DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Undergraduate Admissions,,,,,,,,Washington,US,US,United States,gwadm@gwu.edu,202-994-6040,,DC,800 21st St NW,Suite 100,20052,District of Columbia,,False,https://undergraduate.admissions.gwu.edu/apply-gw,"University Student Center, Admissions Welcome Center",,False,False,The George Washington University
Transfer Admissions (Undergraduate),,,,,,,,Washington,US,US,United States,gwadm@gwu.edu,202-994-6040,,DC,800 21st St NW,Suite 100,20052,District of Columbia,,False,https://undergraduate.admissions.gwu.edu/apply-gw,"University Student Center, Admissions Welcome Center",,False,False,The George Washington University
International Admissions (Undergraduate),,,,,,,,Washington,US,US,United States,gwadm@gwu.edu,202-994-6040,,DC,800 21st St NW,Suite 100,20052,District of Columbia,,False,https://undergraduate.admissions.gwu.edu/apply-gw,"University Student Center, Admissions Welcome Center",,False,False,The George Washington University
"Milken Institute School of Public Health, Office of Admissions & Enrollment (Graduate)",,,,,,,,Washington,US,US,United States,GWSPHadmit@gwu.edu,202-994-2160,,DC,"950 New Hampshire Avenue, NW",2nd Floor,20052,District of Columbia,,False,https://publichealth.gwu.edu/admissions-aid/graduate-admissions,,,False,False,The George Washington University
"Milken Institute School of Public Health, Undergraduate Admissions",,,,,,,,Washington,US,US,United States,gwadm@gwu.edu,(202) 994-6040,,DC,800 21st Street NW,Suite 100,20052,District of Columbia,,False,https://publichealth.gwu.edu/admissions-aid/undergraduate-admissions,"University Student Center, Admissions & Alumni Center",,False,False,The George Washington University
"Columbian College of Arts and Sciences, Office of Graduate Admissions",,,,,,,,Washington,US,US,United States,askccas@gwu.edu,202-994-6210,,DC,"801 22nd Street, N.W.",#107,20052,District of Columbia,,False,https://columbian.gwu.edu/apply-graduate-program,,,False,False,The George Washington University
"Graduate School of Education and Human Development, Office of Graduate Admissions",,,,,,,,Washington,US,US,United States,gsehdadm@gwu.edu,202-994-9283,,DC,"2136 G Street, N.W.",,20052,District of Columbia,,False,,,,False,False,The George Washington University
"School of Medicine and Health Sciences, Health Sciences Programs, Office of Admissions",,,,,,,,Washington,US,US,United States,hsphora@gwu.edu,202-994-0777,,DC,2000 Pennsylvania Avenue NW,Suite 2000,20006,District of Columbia,,False,,,,False,False,The George Washington University
"School of Medicine and Health Sciences, M.D. Admissions",,,,,,,,Washington,US,US,United States,medadmit@gwu.edu,202-994-3506,,DC,"2300 I Street, NW",Suite 106,20037,District of Columbia,,False,,Ross Hall,,False,False,The George Washington University
"School of Nursing, Office of Admissions",,,,,,,,Ashburn,US,US,United States,nursing@gwu.edu,571-553-0138,,VA,45085 University Drive,Suite 201-T,20147,Virginia,,False,,,,False,False,The George Washington University
"The College of Professional Studies, Office of Admissions",,,,,,,,Ashburn,US,US,United States,applycps@gwu.edu,202-994-2083,,VA,44983 Knoll Square,Suite B56,20147,Virginia,,False,,,,False,False,The George Washington University
"Trachtenberg School of Public Policy & Public Administration, Admissions and Recruitment (Graduate)",,,,,,,,Washington,US,US,United States,tsadmit@gwu.edu,202-994-0931,,DC,"805 21st Street, NW",Suite 601,20052,District of Columbia,,False,https://tspppa.gwu.edu/admissions,MPA Building,,False,False,The George Washington University
"Corcoran School of the Arts & Design, Undergraduate Admissions",,,,,,,,Washington,US,US,United States,gwadm@gwu.edu,202-994-6040,,DC,800 21st St NW,Suite 100,20052,District of Columbia,,False,https://undergraduate.admissions.gwu.edu/apply-gw,"University Student Center, Admissions Welcome Center",,False,False,The George Washington University
"Corcoran School of the Arts & Design, Graduate Admissions",,,,,,,,Washington,US,US,United States,askccas@gwu.edu,202-994-6210,,DC,"801 22nd Street, N.W.",#107,20052,District of Columbia,,False,https://columbian.gwu.edu/apply-graduate-program,,,False,False,The George Washington University
