DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Undergraduate Admissions,,,,,,,,Berkeley,US,US,United States,,(510) 642-3175,,CA,110 Sproul Hall,#5800,94720-5800,California,,False,https://admissions.berkeley.edu/,Sproul Hall,,False,False,University of California at Berkeley
Graduate Admissions,,,,,,,,Berkeley,US,US,United States,gradadm@berkeley.edu,(510) 642-5472,,CA,424 Sproul Hall,#5900,94720-5900,California,,False,https://grad.berkeley.edu/admissions/,Sproul Hall,,False,False,University of California at Berkeley
School of Law J.D. Admissions Office,,,,,,,,Berkeley,US,US,United States,admissions@law.berkeley.edu,+1 510-642-2274,,CA,225 Law Building,,94720-7200,California,,False,https://www.law.berkeley.edu/admissions/jd/,Law Building,,False,False,University of California at Berkeley
School of Law LL.M. & J.S.D. Programs Office,,,,,,,,Berkeley,US,US,United States,llm@law.berkeley.edu,+1 510-664-4043,,CA,225 Law Building,,94720-7200,California,,False,https://www.law.berkeley.edu/academics/llm/,Law Building,,False,False,University of California at Berkeley
Full-time MBA Admissions,,,,,,,,Berkeley,US,US,United States,mbaadm@haas.berkeley.edu,+1 510-642-1405,,CA,430 Student Services Bldg,#1902,94720-1902,California,,False,https://haas.berkeley.edu/mba/admissions/,Student Services Bldg,,False,False,University of California at Berkeley
Evening & Weekend MBA Admissions,,,,,,,,Berkeley,US,US,United States,ewmbaadm@haas.berkeley.edu,+1 510-642-0292,,CA,430 Student Services Bldg,#1906,94720-1906,California,,False,https://haas.berkeley.edu/ewmba/admissions/,Student Services Bldg,,False,False,University of California at Berkeley
MBA for Executives Admissions,,,,,,,,Berkeley,US,US,United States,mbaforexecs@haas.berkeley.edu,+1 510-643-1046,,CA,430 Student Services Bldg,#1910,94720-1910,California,,False,https://haas.berkeley.edu/executive-mba/admissions/,Student Services Bldg,,False,False,University of California at Berkeley
School of Information Admissions,,,,,,,,Berkeley,US,US,United States,admissions@ischool.berkeley.edu,(510) 664-4742,,CA,102 South Hall,#4600,94720-4600,California,,False,https://www.ischool.berkeley.edu/admissions,South Hall,,False,False,University of California at Berkeley
School of Public Health Admissions,,,,,,,,Berkeley,US,US,United States,publichealth@berkeley.edu,,,CA,2121 Berkeley Way,Room 5302,94720-7360,California,,False,https://publichealth.berkeley.edu/admissions/,,,False,False,University of California at Berkeley
Admissions and Student Affairs Office - Herbert Wertheim School of Optometry & Vision Science,,,,,,,,Berkeley,US,US,United States,optometry-admissions@berkeley.edu,510-642-9537,,CA,Minor Hall,,94720-2020,California,,False,https://optometry.berkeley.edu/admissions/,Minor Hall,,False,False,University of California at Berkeley
Social Welfare Graduate Admissions,,,,,,,,Berkeley,US,US,United States,swadmissions@berkeley.edu,510.642.9042,,CA,120 Haviland Hall,#7400,94720-7400,California,,False,https://socialwelfare.berkeley.edu/admissions,Haviland Hall,,False,False,University of California at Berkeley
Goldman School of Public Policy MPP Admissions,,,,,,,,Berkeley,US,US,United States,mppadm@berkeley.edu,(510) 643-6961,,CA,2607 Hearst Avenue,,94720-7320,California,,False,https://gspp.berkeley.edu/admissions/,,,False,False,University of California at Berkeley
Berkeley School of Education Admissions/Student Services,,,,,,,,Berkeley,US,US,United States,bse_gradadmissions@berkeley.edu,(510) 642-0841,,CA,2121 Berkeley Way,4th Floor,94720-1670,California,,False,https://bse.berkeley.edu/admissions,,,False,False,University of California at Berkeley
Berkeley Journalism Admissions,,,,,,,,Berkeley,US,US,United States,journalism_admissions@berkeley.edu,(510) 643-0167,,CA,121 North Gate Hall,#5860,94720-5860,California,,False,https://journalism.berkeley.edu/admissions/,North Gate Hall,,False,False,University of California at Berkeley
