DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Undergraduate Admissions,,,,,,,,Chapel Hill,USA,US,United States,unchelp@admissions.unc.edu,(919) 966-3621,Landline,NC,174 Country Club Rd,,27514,North Carolina,,False,https://admissions.unc.edu/apply/,Jackson Hall,,False,False,University of North Carolina at Chapel Hill
The Graduate School,,,,,,,,Chapel Hill,USA,US,United States,gradadmissions@unc.edu,(919) 966-2611,Landline,NC,222 E Cameron Ave,,27599,North Carolina,,False,https://gradschool.unc.edu/admissions/instructions.html,Bynum Hall,,False,False,University of North Carolina at Chapel Hill
International Student and Scholar Services,,,,,,,,Chapel Hill,USA,US,United States,isss@unc.edu,(919) 962-5661,Landline,NC,301 Pittsboro Street,Room 2004,27516,North Carolina,,False,https://isss.unc.edu/,FedEx Global Education Center,,False,False,University of North Carolina at Chapel Hill
School of Medicine Office of Admissions,,,,,,,,Chapel Hill,USA,US,United States,admissions@med.unc.edu,(919) 962-8331,Landline,NC,321 S. Columbia Street,"1001 Bondurant Hall, CB #9500",27599,North Carolina,,False,https://www.med.unc.edu/admit/how-to-apply/,Bondurant Hall,,False,False,University of North Carolina at Chapel Hill
Full-Time MBA Admissions & Student Recruitment,,,,,,,,Chapel Hill,USA,US,United States,mba_info@unc.edu,919-962-9129,Landline,NC,300 Kenan Center Drive,"Campus Box 3490, Room 2114",27599-3490,North Carolina,,False,https://www.kenan-flagler.unc.edu/programs/mba/full-time-mba/admissions/apply-now/,McColl Building,,False,False,University of North Carolina at Chapel Hill
Undergraduate Business Program Admissions,,,,,,,,Chapel Hill,USA,US,United States,ubp-recruiting@unc.edu,919-962-0339,Landline,NC,300 Kenan Center Drive,Campus Box 3490,27599-3490,North Carolina,,False,https://www.kenan-flagler.unc.edu/programs/undergraduate-business/admissions/apply/,McColl Building,,False,False,University of North Carolina at Chapel Hill
School of Law Admissions,,,,,,,,Chapel Hill,USA,US,United States,law_admissions@unc.edu,919.962.5109,Landline,NC,160 Ridge Road,,27599,North Carolina,,False,https://law.unc.edu/admissions/application-process/,Van Hecke-Wettach Hall,,False,False,University of North Carolina at Chapel Hill
School of Nursing Office of Admissions and Student Services,,,,,,,,Chapel Hill,USA,US,United States,nursing@unc.edu,919.966.4260,Landline,NC,120 Mason Farm Road,,27599,North Carolina,,False,https://nursing.unc.edu/admissions/apply/,Carrington Hall,,False,False,University of North Carolina at Chapel Hill
Adams School of Dentistry Admissions,,,,,,,,Chapel Hill,USA,US,United States,DDSAdmissions@unc.edu,(919) 537-3359,Landline,NC,385 S. Columbia St.,,27599,North Carolina,,False,https://dental.unc.edu/education/dds/apply/,Koury Oral Health Sciences Building,,False,False,University of North Carolina at Chapel Hill
Eshelman School of Pharmacy Admissions,,,,,,,,Chapel Hill,USA,US,United States,pharmacy_admissions@unc.edu,,,NC,109 Beard Hall,Campus Box 7566,27599,North Carolina,,False,https://pharmacy.unc.edu/admissions/pharmd/apply/,Beard Hall,,False,False,University of North Carolina at Chapel Hill
Gillings School of Global Public Health Admissions,,,,,,,,Chapel Hill,USA,US,United States,sph-admissions@unc.edu,,,NC,135 Dauer Drive,"170 Rosenau Hall, CB #7400",27599,North Carolina,,False,https://sph.unc.edu/admissions/how-to-apply/,Rosenau Hall,,False,False,University of North Carolina at Chapel Hill
School of Education Admissions,,,,,,,,Chapel Hill,USA,US,United States,,,,NC,100 E Cameron Ave,CB 3500,27599-3500,North Carolina,,False,https://education.unc.edu/admissions-aid/how-to-apply-deadlines/,Peabody Hall,,False,False,University of North Carolina at Chapel Hill
