DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Admissions and Recruitment,,,,,,,,Madison,US,US,United States,onwisconsin@admissions.wisc.edu,608-262-3961,Landline,WI,702 West Johnson Street,Suite 1101,53715-1007,Wisconsin,,False,https://admissions.wisc.edu/apply/,,,False,False,University of Wisconsin-Madison
Graduate School Admissions,,,,,,,,Madison,US,US,United States,admissions@grad.wisc.edu,608-262-2433,Landline,WI,500 Lincoln Drive,232 Bascom Hall,53706,Wisconsin,,False,https://grad.wisc.edu/apply/,Bascom Hall,,False,False,University of Wisconsin-Madison
Law School Admissions Office,,,,,,,,Madison,US,US,United States,admissions@law.wisc.edu,608-262-5914,Landline,WI,975 Bascom Mall,,53706,Wisconsin,,False,https://law.wisc.edu/admissions/jd/apply.html,UW Law School,,False,False,University of Wisconsin-Madison
MD Admissions Office,,,,,,,,Madison,US,US,United States,medadmissions@med.wisc.edu,608-263-4925,Landline,WI,750 Highland Avenue,,53705,Wisconsin,,False,https://www.med.wisc.edu/education/md-program/admissions/application-process/,Health Sciences Learning Center,,False,False,University of Wisconsin-Madison
SVM Office of Academic Affairs,,,,,,,,Madison,US,US,United States,oaa@vetmed.wisc.edu,608-263-2525,Landline,WI,2015 Linden Drive,,53706-1102,Wisconsin,,False,https://vetmed.wisc.edu/education/dvm/admissions/application-forms/,Veterinary Medicine Building,,False,False,University of Wisconsin-Madison
Wisconsin Undergraduate Business Program Admissions & Recruitment,,,,,,,,Madison,US,US,United States,admissions@wsb.wisc.edu,608-890-2490,Landline,WI,975 University Avenue,2020 Grainger Hall,53706,Wisconsin,,False,https://business.wisc.edu/undergraduate/admissions/apply/,Grainger Hall,,False,False,University of Wisconsin-Madison
School of Education Student Services,,,,,,,,Madison,US,US,United States,studentservices@education.wisc.edu,608-262-1651,Landline,WI,1000 Bascom Mall,139 Education Building,53706,Wisconsin,,False,https://education.wisc.edu/admissions-aid/undergraduate-admissions/,Education Building,,False,False,University of Wisconsin-Madison
School of Nursing Undergraduate Admissions,,,,,,,,Madison,US,US,United States,admissions@nursing.wisc.edu,608-263-5180,Landline,WI,701 Highland Avenue,Suite 1100,53705,Wisconsin,,False,https://nursing.wisc.edu/undergraduate/admissions/apply/,Signe Skott Cooper Hall,,False,False,University of Wisconsin-Madison
PharmD Admissions Office,,,,,,,,Madison,US,US,United States,,608-262-6234,Landline,WI,777 Highland Avenue,2220L Rennebohm Hall,53705-2222,Wisconsin,,False,https://pharmacy.wisc.edu/programs/pharmd/admissions/application-process/,Rennebohm Hall,,False,False,University of Wisconsin-Madison
Nelson Institute Academic Programs Office,,,,,,,,Madison,US,US,United States,grad@nelson.wisc.edu,608-262-7996,Landline,WI,550 N Park Street,70 Science Hall,53706,Wisconsin,,False,https://nelson.wisc.edu/graduate/professional-program-application-information/,Science Hall,,False,False,University of Wisconsin-Madison
La Follette School Admissions,,,,,,,,Madison,US,US,United States,admissions@lafollette.wisc.edu,608-262-3581,Landline,WI,1225 Observatory Drive,,53706,Wisconsin,,False,https://lafollette.wisc.edu/admissions/graduate-admissions/,,,False,False,University of Wisconsin-Madison
