DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Undergraduate Admissions,,,,,,,,New Haven,USA,US,United States,first-year.admissions@yale.edu,203.432.9300,,CT,300 Prospect Street,,06511,Connecticut,,False,https://admissions.yale.edu/,Ray Tompkins House,,False,False,Yale University
"Office of Graduate Admissions, Yale Graduate School of Arts and Sciences",,,,,,,,New Haven,USA,US,United States,graduate.admissions@yale.edu,,,CT,1 Hillhouse Avenue,,06511,Connecticut,,False,https://gsas.yale.edu/admissions/application-information,Warner House,,False,False,Yale University
Yale Law School Admissions,,,,,,,,New Haven,USA,US,United States,admissions.law@yale.edu,203-432-4995,,CT,127 Wall Street,,06511,Connecticut,,False,https://law.yale.edu/admissions,Sterling Law Building,,False,False,Yale University
Yale School of Management MBA Admissions,,,,,,,,New Haven,USA,US,United States,mba.admissions@yale.edu,+1 203-432-5635,,CT,165 Whitney Avenue,,06511,Connecticut,,False,https://som.yale.edu/programs/mba/admissions,Edward P. Evans Hall,,False,False,Yale University
"Office of Admissions, Yale School of Medicine",,,,,,,,New Haven,USA,US,United States,medical.admissions@yale.edu,203-785-2643,,CT,367 Cedar Street,,06510,Connecticut,,False,https://medicine.yale.edu/education/admissions/,Sterling Hall of Medicine,,False,False,Yale University
Yale School of Nursing Office of Admissions,,,,,,,,Orange,USA,US,United States,ysnadmissions@yale.edu,203-785-2389,,CT,400 West Campus Drive,,06477,Connecticut,,False,https://nursing.yale.edu/admissions-financial-aid/admissions-process-and-how-apply,Yale School of Nursing,,False,False,Yale University
Yale Divinity School Admissions Office,,,,,,,,New Haven,USA,US,United States,div.admissions@yale.edu,203-432-5360,,CT,409 Prospect Street,,06511,Connecticut,,False,https://divinity.yale.edu/admissions,,,False,False,Yale University
Yale School of Art Admissions,,,,,,,,New Haven,USA,US,United States,art.admissions@yale.edu,,,CT,1156 Chapel Street,P.O. Box 208339,06520-8339,Connecticut,,False,https://www.art.yale.edu/apply,Green Hall,,False,False,Yale University
Yale School of Architecture Admissions,,,,,,,,New Haven,USA,US,United States,gradarch.admissions@yale.edu,203.432.2296,,CT,180 York Street,P.O. Box 208242,06520-8242,Connecticut,,False,https://www.architecture.yale.edu/admissions/apply,Paul Rudolph Hall,,False,False,Yale University
David Geffen School of Drama at Yale Admissions,,,,,,,,New Haven,USA,US,United States,dramaregistrar@yale.edu,203-432-1507,,CT,222 York Street,P.O. Box 208244,06520-8244,Connecticut,,False,https://www.drama.yale.edu/admissions/how-apply,University Theatre,,False,False,Yale University
Yale School of Music Admissions,,,,,,,,New Haven,USA,US,United States,gradmusic.admissions@yale.edu,203-432-4155,,CT,470 College St,P.O. Box 208246,06520-8246,Connecticut,,False,https://music.yale.edu/admissions/application-information,Sprague Memorial Hall,,False,False,Yale University
Yale School of the Environment Office of Admissions,,,,,,,,New Haven,USA,US,United States,admissions.yse@yale.edu,(203) 432-5106,,CT,195 Prospect Street,,06511,Connecticut,,False,https://environment.yale.edu/admissions,Kroon Hall,,False,False,Yale University
Jackson School of Global Affairs Admissions,,,,,,,,New Haven,USA,US,United States,jackson.admissions@yale.edu,,,CT,55 Hillhouse Avenue,,06511,Connecticut,,False,https://jackson.yale.edu/admissions/,,,False,False,Yale University
