Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Professional Studies Graduate Certificate in Ministry,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Professional Studies Graduate Certificate in Ministry is a unique academic program designed to help prepare participants to best proclaim the gospel in response to the legacy of concerns caused by the impact of Covid-19 on ministerial efforts in five specific areas.  The Certificate is a great choice for those who already have a degree, but would like to stay current within the field, and for those who are interested in elevating their career options without the expense of a master's degree.",,https://www.amridgeuniversity.edu,,,760.0,FALSE,False,,,,,,,,,,,,,,,,,,Religion##Theology##Religious Studies,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Military, First Time Freshmen, Ministers, Corporate Alliance",FALSE,,,FALSE,FALSE,,
,Master of Arts in Interdisciplinary Studies,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,"Business Administration, Counseling, Marriage and Family Therapy, Leadership, Ministry, Biblical Studies","The Master of Arts in Interdisciplinary Studies allows students to combine two academic disciplines to create a graduate program specific to their career goals and interests.  This unique degree program can be personalized for students' whose career needs are not satisfied by traditional degree plans.  Upon acceptance, the student will choose courses from multiple disciplines and design an individual plan of study with guidance from a Faculty Mentor and Academic Advisor.",,https://www.amridgeuniversity.edu/,,,750.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Interdisciplinary Studies##Business Administration##Counseling##Marriage and Family Therapy##Theology##Humanities,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Federal Financial Aid, Military Students, First Time Freshmen, Ministers, Corporate Alliance partners",FALSE,,,FALSE,FALSE,,
,Master of Arts in Marriage and Family Therapy,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Arts (MA) in Marriage and Family Therapy is a professional-level degree program where experiences provide the foundation for marriage and family therapy theory, scientific research, and clinical practice.  Students learn the different approaches and clinical techniques required for today's practitioners offering therapeutic services to individuals, couples, and families.  A major goal of this program is to help prepare students for licensure in Marriage and Family Therapy in their resident state.",,https://www.amridgeuniversity.edu/,,,650.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Marriage and Family Therapy##Counseling,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Master of Arts in Professional Counseling,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,"The Master of Arts (MA) in Professional Counseling provides a foundation in psychology theory, scientific research, and clinical practice, preparing students for licensure in Professional Counseling.  Graduates are equipped to offer therapeutic services in various settings like churches, private practices, and community agencies.  The program also serves as a basis for advanced studies in related fields.",,https://www.amridgeuniversity.edu/,,,750.0,FALSE,False,,,,,,,,,,,,,,,,,,Counseling##Psychology##Human Services,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Federal Financial Aid, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Master of Arts in Christian Education,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,The Master of Arts in Christian Education is a 36-semester-hour program designed to be completed in four semesters. The curriculum focuses on developing a biblical philosophy of Christian education and effective leadership skills for church settings and other organizations. It also emphasizes the use of sound interpretation principles for biblical texts and the application of curriculum and instruction principles.,,https://www.amridgeuniversity.edu/,,,515.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Education##Religion##Theology,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Military Students, First Time Freshmen, Ministers, Corporate Alliance partners, Federal Financial Aid",FALSE,,,FALSE,FALSE,,
,Master of Arts in New Testament Studies,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Arts (MA) in New Testament Studies is a graduate degree that offers a specialization in the New Testament of the Bible.  Courses include the study of texts in the Greek New Testament, New Testament backgrounds, and on proper contextual interpretation.  This program provides a foundation for students to pursue a Doctor of Philosophy in Biblical Studies in New Testament.",,https://www.amridgeuniversity.edu/,,,760.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Theology##Religious Studies##Religion,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Military Students, First Time Freshmen, Ministers, and Corporate Alliance partners",FALSE,,,FALSE,FALSE,,
,Master of Arts in Old Testament Studies,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Arts in Old Testament Studies offers a specialization in the Old Testament of the Bible, with courses covering texts in the Hebrew Old Testament, Old Testament backgrounds, and proper contextual interpretation. This program emphasizes proficiency in the Hebrew language and scholarly biblical research and writing. It is designed to provide a strong foundation for students who intend to pursue a Doctor of Philosophy in Biblical Studies in the Old Testament.",,https://www.amridgeuniversity.edu/,,,500.0,FALSE,False,,,,,,,,,,,,,,,,,,Religion##Religious Studies##Theology,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Master of Business Administration,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Business Administration (MBA) at Amridge University provides practical training in finance, accounting, information systems, research, and ethical leadership.  The program is designed for those looking to advance their current careers or move into leadership roles.  Graduates are prepared for work in corporate, non-profit, and Christian ministry settings.",,https://www.amridgeuniversity.edu,,,760.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Business Administration,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Military, First Time Freshmen, Ministers, Corporate Alliance partners",FALSE,,,FALSE,FALSE,,
,Master of Divinity,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,"Ministerial Leadership, Marriage and Family Therapy, Professional Counseling","The Master of Divinity (MDiv) degree prepares qualified persons to be effective Christian ministers and church leaders who will use their gifts and knowledge in proclaiming the gospel, strengthening the church, and serving humanity. The program is biblical in orientation with exposure to theological and historical studies, seeking to provide Christian service that is both scholarly and relevant to contemporary life.",,https://www.amridgeuniversity.edu,,,750.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Theology##Religion##Religious Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based, Military Students, First Time Freshmen, Ministers, Corporate Alliance partners",FALSE,,,FALSE,FALSE,,
,Master of Divinity in Marriage and Family Therapy,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"The Master of Divinity (MDiv) in Marriage and Family Therapy is a professional-level degree program for individuals planning to enter or continue careers in full-time ministry. This program provides students with extensive studies in the biblical text and thorough preparation in theology and practical ministry. It also provides a foundation for marriage and family therapy theory, scientific research, and clinical practice, helping prepare students for licensure in Marriage and Family Therapy (LMFT).",,https://www.amridgeuniversity.edu/,,,650.0,FALSE,False,,,,,,,,,,,,,,,,,,Theology##Marriage and Family Therapy##Counseling,,,False,False,,,95.0,,,,6.0,,,,,61.0,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
