Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,"Accountancy and Data Analytics, Master",,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,True,False,True,False,,True,False,False,False,True,True,True,False,False,,,,W. P. Carey School of Business,,,,,,,,,"The Master of Accountancy and Data Analytics program is a non-thesis professional program that gives accounting students the data analytics skills they need to be successful in the accounting profession.

This program is designed to develop the data analytics skills necessary to ask the right questions and to find appropriate answers from the data. Students learn how to analyze and understand large amounts of data from different sources; how to identify and find patterns, trends and other information in the data; and how to communicate their findings.

Students in this STEM-designated program receive training in the technologies that are quickly becoming standard in the business world, including:

Alteryx
artificial intelligence
blockchain
robotic process automation
Tableau
Python
SQL
The program is typically completed in nine months (fall and spring semesters).

This program satisfies the 150-hour requirement for CPA licensure in Arizona and other states.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,The undergraduate and graduate programs and the School of Accountancy are all accredited by the Association to Advance Collegiate Schools of Business.,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Acting, Master of Fine Arts",,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"Herberger Institute for Design and the Arts, School of Music, Dance and Theatre","$46,432/Year","$46,432/Year",,,,,,,"The MFA in acting is an intensive three-year program focused on the development of the actor as an artist, artisan and entrepreneur. The goal is to develop artists with the desire and ability to create their own work and who are self-generating, self-sustaining and self-producing.
The curriculum is studio-based and experiential. The faculty is a team of artists and educators who are nationally and internationally recognized. The training combines classical and contemporary methods, with a strong emphasis on new work, devised work, and interdisciplinary and transdisciplinary creation.
The master's degree program culminates in a public performance of an original work created by the student, the applied project.
The program is distinguished by its small class size (typically three to five students are admitted each year); its one-on-one mentorship by faculty; and its focus on new work development, community engagement and social activism through performance.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,"National Association of Schools of Theatre, Accredited",,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,Teaching Assistantships,FALSE,,,FALSE,FALSE,,,
,"Addiction Psychology, Master of Science",,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must fulfill the requirements of both the Graduate College and the College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in psychology, counseling, social work or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

All applicants must submit:

1. graduate admission application and application fee
2. official transcripts
3. resume
4. statement of purpose
5. two letters of recommendation
6. proof of English proficiency",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,"College of Liberal Arts and Sciences, Department of Psychology","$31,518/Year","$31,518/Year",,,,,,"nonthesis track, thesis track","The Master of Science in addiction psychology provides students with an in-depth understanding of the psychology and neurobiology of addiction and its treatment. The program's curriculum centers on evidence-based practice to prepare students for careers as clinicians, researchers and leaders in the field of addiction. The program also provides the foundational coursework required for licensure as a substance abuse counselor in the state of Arizona. The curriculum places an emphasis on a multicultural and systemic framework for understanding addiction. Students are challenged to develop into self-reflective, ethical and culturally competent professionals who work with and advocate for diverse individuals and families. The program offers two tracks: 1. A nonthesis track with an emphasis on clinical work. Students in this track complete a clinical practicum and internship in a community-based setting. 2. A thesis track that offers students opportunities to become involved in research while they are in the program, and these students complete an empirical thesis under the mentorship of a faculty member. All students are required to complete a 100-hour practicum and a 600-hour internship for a total of 700 hours of clinical experience.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,$1499/credit,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,"Fellowships, Teaching Assistantships, Research Assistantships",FALSE,,,FALSE,FALSE,,,
,"Advanced Analytics in Higher Education, Graduate Certificate",,,,,Graduate-Certificate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Mary Lou Fulton Teachers College,,"$9,240 (Resident) / $16,710 (Non-resident) for the entire program",,,,,,,"The advanced analytics in higher education graduate certificate program provides students with the foundational skills to conduct advanced analytics within a higher education context. In this program, students develop the analytic and data science skills necessary to make informed, evidence-based decisions.

The coursework focuses on data management and warehousing, predictive analytics, and data visualization. The program addresses the need for institutional researchers, student affairs professionals, and higher education administrators to be data literate and capable of using advanced analytic methods to improve institutional effectiveness and student success. The certificate program can also serve as a gateway to the Doctor of Education in leadership and innovation program.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,"$616/credit (Resident), $1,114/credit (Non-resident)",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,"Aerospace Engineering, Master of Science",,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Ira A. Fulton Schools of Engineering,,,,,,,,,"The Master of Science in aerospace engineering is a research-oriented program in which students work closely with a faculty advisor to design a research project, conduct research and write and defend a thesis.

Students can customize their educational experience by choosing courses in one of six specialization areas: acoustics and structural dynamics, advanced manufacturing and materials, autonomous and intelligent systems, computational fluid dynamics and aerodynamics, space systems, and thermofluid systems.

Students can enhance their knowledge by becoming involved with cutting-edge research opportunities, nationally recognized faculty, and state-of-the-art research facilities. They develop a deeper understanding of aerospace engineering through an advanced course of study and research in preparation for doctoral studies or a career in research and development in industry or government.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,Merit-based fellowships,FALSE,,,FALSE,FALSE,,,
,"Aerospace Engineering, PhD",,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Ira A. Fulton Schools of Engineering,"$31,594/Year","$31,594/Year",,,,,,,"The aerospace engineering doctoral program in the School for Engineering of Matter, Transport and Energy provides students with an education with a broad background in aerospace engineering and a deep research experience in their chosen specialization. Students can choose a focus area including: aerodynamics and fluid dynamics; aerospace structures and materials; astrodynamics and space systems; dynamics and control; and propulsion and combustion. The program provides the necessary skills and knowledge for students to make original contributions to the field of aerospace engineering. The program faculty members have extensive experience and are internationally recognized in their fields of research. They are also excellent instructors and mentors. This is a research-intensive degree program. Students are expected to carry out research under the guidance of a faculty advisor and to disseminate their research findings through conference presentations and archival journal publications. The PhD in aerospace engineering is granted upon a successful defense of the dissertation, which is a significant, original contribution to the state of the art in the aerospace engineering field.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,1755.22,FALSE,False,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,65.0,,90.0,,,,,,,,,,,,,"Teaching or research assistantships, Fellowships",FALSE,,,FALSE,FALSE,,,
,"American Indian Studies (Cultural Resource Revitalization and Sust), Master of Arts",,,,,Graduate,Fall 2026,,,,,Required,Not Required,REQUIRED,"All applicants must meet the requirements of both the Graduate College and The College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

All applicants must submit:
1. a graduate admission application and application fee
2. official transcripts
3. a statement of purpose
4. a writing sample
5. three letters of recommendation
6. proof of English proficiency",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,School of Social Transformation,,"$25,824/Year",,,,,,Cultural Resource Revitalization and Sust,"The Master of Arts in American Indian studies with a concentration in cultural resource revitalization and sustainability is a unique program designed to provide a broad understanding of the historical and contemporary legal, political, social and cultural contexts shaping American Indian life and to give students the knowledge needed to pursue advanced study or a career in Native leadership. The program focuses on:
cultural resource management
language revitalization
legal and policy issues related to Native American self-determination and Indigenous rights
Students develop practical, real-world skills through the program's strong internship component. American Indian Studies at ASU actively supports students through every step of their graduate school journey, from advising and mentorship to graduation and beyond. This approach has led to exceptional completion rates: 90% of students in the master's degree program graduate within two years.

The degree program is distinctive because of the breadth of faculty research interests, an interdisciplinary approach and an emphasis on connecting research to the needs of Native communities. The faculty's work in community-based research offers students valuable experience working with tribal communities. The curriculum allows students to take courses from other programs at ASU, providing a solid foundation and in-depth training on the historical context, legal complexity and diverse cultural knowledge needed to address the challenges and possibilities facing Native American and other Indigenous communities.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,1439,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,Graduate teaching and research assistantships,FALSE,,,FALSE,FALSE,,,
,"American Indian Studies (Indigenous Rights and Social Justice), Master of Arts",,,,,Graduate,Fall 2026,,,,,Required,Not Required,REQUIRED,An applicant must have a bachelor's degree from a regionally accredited institution. Applicants must have a minimum of a 3.00 cumulative GPA (scale is 4.00 = A) in the last 60 hours of their first bachelor's degree program.,Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Social Transformation,,,,,,,,Indigenous Rights and Social Justice,"The American Indian studies MA program offers a concentration in Indigenous rights and social justice that focuses on the individual and collective rights of American Indians and other Indigenous peoples. The concentration critically analyzes complex issues of tribal sovereignty, self-determination, human rights, and decolonization through the lens of Indigenous critical theory and Indigenous-centered research methodologies.

The curriculum is interdisciplinary in nature. Students examine the legal, political, social, cultural, environmental and economic factors that shape Indigenous rights and their pursuit of social justice from both historical and contemporary perspectives.

A key feature of the Indigenous rights and social justice concentration is its hands-on approach. Through research, coursework and the required internship, students have the opportunity to engage in rights- and justice-based projects with Indigenous nations, communities and organizations, gaining real-world experience and marketable skills. Graduates of the program are prepared for careers in tribal governments, Indigenous-led community organizations, federal and state agencies, and nonprofit organizations working in human rights, environmental justice, cultural resources protection, education and community development.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,New American University Scholar awards,FALSE,,,FALSE,FALSE,,,
,"American Indian Studies (Tribal Leadership and Governance), Master of Arts",,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All applicants must meet the minimum admission requirements of the Graduate College. A student must have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program.",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Social Transformation,"$14,944/Year","$14,944/Year",,,,,,Tribal Leadership and Governance,"The Master of Arts in American Indian studies with a concentration in tribal leadership and governance is an interdisciplinary program that provides students with the intellectual and practical skills to conduct research and leadership work in American Indian studies and with Indigenous communities. The program is designed for students who want to work with Indigenous nations in leadership positions or in program development and management as well as for those who wish to pursue a doctoral degree.

Graduates are equipped with the knowledge needed to assume leadership and administrative roles in a number of areas, including:

tribal, federal and state governments
business
cultural resource management
education
health care
social services

The program also has a strong research focus that prepares students to carry on to a doctoral program, particularly the ASU doctoral program in justice and social inquiry.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,$747/Credit Hour,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,"American Indian Studies (Visual and Oral Culture), Master of Arts",,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must fulfill the requirements of both the Graduate College and The College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

Applicants are required to submit:
1. graduate admission application and application fee
2. official transcripts
3. three letters of recommendation
4. a statement of purpose
5. a resume or curriculum vitae
6. a writing sample
7. proof of English proficiency",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,The College of Liberal Arts and Sciences,"$31,220/Year","$31,220/Year",,,,,,Visual and Oral Culture,"The Master of Arts degree program in American Indian studies with a concentration in visual and oral culture is a transdisciplinary program focused on the study of the oral and visual traditions of American Indian peoples. This includes the study of language, literature, philosophy and religious thought as expressed orally, as well as the study of art, media and material culture. The concentration is designed to prepare students for doctoral study in fields that engage American Indian studies, such as history, law and literature, and for a number of professions, including those in which a deep understanding of American Indian peoples and their expressive cultures is vital.

Coursework includes a core curriculum that provides a solid foundation for understanding the major theoretical and methodological approaches to American Indian studies, along with a number of electives from which students can choose to tailor their program to fit their own interests. Students work with faculty members from a range of academic disciplines, and they have the opportunity to participate in independent research, to work on projects in the American Indian community and to develop a deep and holistic understanding of American Indian cultures and the challenges facing American Indian communities today.",,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,"$831/credit (resident); $1,784/credit (nonresident)",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,60.0,,80.0,,,,,,,,,,,,,"Fellowships, Program-specific scholarships",FALSE,,,FALSE,FALSE,,,
